Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,15.20,15.20,13.50, 14.40,14.30,173379,24.39
29-Dec-2011,16.70,16.90,13.75, 14.50,14.95,85470,12.84
28-Dec-2011,17.20,17.20,16.40, 16.40,16.70,8438,1.42
27-Dec-2011,17.00,17.25,16.30, 17.25,16.95,10588,1.77
26-Dec-2011,17.15,17.75,16.75, 16.75,16.80,10641,1.82
23-Dec-2011,16.90,17.40,16.75, 17.00,16.95,30950,5.28
22-Dec-2011,16.05,16.90,15.40, 16.90,16.50,40764,6.58
21-Dec-2011,15.30,16.75,15.30, 16.45,16.05,51726,8.33
20-Dec-2011,15.40,15.80,14.30, 15.70,15.40,63625,9.49
19-Dec-2011,15.90,15.90,15.00, 15.05,15.05,17120,2.60
16-Dec-2011,15.90,16.75,15.20, 15.80,15.60,42230,6.79
15-Dec-2011,16.20,16.45,16.20, 16.35,16.30,12440,2.02
14-Dec-2011,16.80,16.80,16.20, 16.35,16.55,7899,1.31
13-Dec-2011,16.15,17.00,16.15, 16.35,16.25,23174,3.82
12-Dec-2011,16.70,16.95,16.60, 16.60,16.65,10304,1.72
09-Dec-2011,16.60,16.95,16.60, 16.70,16.70,19071,3.19
08-Dec-2011,16.50,17.00,16.50, 16.70,16.75,12371,2.07
07-Dec-2011,16.70,17.20,16.60, 16.95,16.70,26616,4.49
05-Dec-2011,16.60,16.95,16.40, 16.65,16.60,42980,7.17
02-Dec-2011,16.50,17.00,16.20, 16.65,16.80,36880,6.21
01-Dec-2011,17.00,17.15,16.50, 16.50,16.55,27137,4.56
30-Nov-2011,17.15,17.15,16.40, 16.50,16.60,59562,9.96
29-Nov-2011,17.10,17.75,16.85, 17.00,17.15,142018,24.64
28-Nov-2011,16.55,17.50,16.55, 17.10,17.00,30468,5.22
25-Nov-2011,17.30,17.65,16.60, 16.90,16.90,158916,27.27
24-Nov-2011,18.20,18.20,16.20, 16.80,16.90,92611,15.71
23-Nov-2011,18.05,18.40,17.10, 17.60,17.75,64470,11.39
22-Nov-2011,17.50,19.65,17.40, 17.95,18.05,333503,61.21
21-Nov-2011,16.90,17.00,16.60, 16.90,16.70,531990,88.50
18-Nov-2011,16.95,17.25,15.15, 16.85,16.60,88714,14.40
17-Nov-2011,16.60,17.20,15.85, 17.05,16.95,71161,11.87
16-Nov-2011,16.10,16.60,15.80, 16.15,15.90,22274,3.56
15-Nov-2011,17.20,17.25,16.10, 16.55,16.30,32540,5.35
14-Nov-2011,17.20,17.40,16.80, 17.00,16.90,19819,3.37
11-Nov-2011,17.60,17.60,16.80, 16.80,16.80,19919,3.39
09-Nov-2011,17.65,17.90,17.40, 17.40,17.40,16261,2.86
08-Nov-2011,17.90,18.05,17.60, 17.65,17.65,3415,0.61
04-Nov-2011,18.00,18.20,17.80, 18.20,17.90,13588,2.45
03-Nov-2011,17.85,18.40,17.60, 17.75,17.65,6543,1.16
02-Nov-2011,17.55,18.10,17.45, 18.10,18.05,14779,2.66
01-Nov-2011,18.30,18.35,17.75, 17.75,17.80,6298,1.13
31-Oct-2011,17.60,18.20,17.60, 17.95,18.00,13453,2.42
28-Oct-2011,17.40,18.50,17.40, 18.00,17.85,44524,7.99
26-Oct-2011,17.40,17.65,17.20, 17.40,17.45,18180,3.17
25-Oct-2011,16.55,17.40,16.50, 17.10,17.15,39601,6.75
24-Oct-2011,16.65,17.15,16.40, 16.50,16.55,18658,3.11
21-Oct-2011,17.15,17.30,16.70, 16.80,16.85,19780,3.33
20-Oct-2011,16.80,17.45,16.50, 17.10,17.15,26679,4.55
19-Oct-2011,17.00,17.30,16.70, 16.85,16.80,17012,2.87
18-Oct-2011,17.00,17.60,16.70, 17.00,16.95,11385,1.93
17-Oct-2011,17.20,17.65,17.00, 17.45,17.45,30850,5.36
14-Oct-2011,17.40,18.20,16.70, 17.15,17.10,35473,6.06
13-Oct-2011,16.00,17.10,15.85, 17.00,16.85,103416,17.27
12-Oct-2011,15.85,16.40,15.65, 16.35,16.15,56880,9.14
11-Oct-2011,16.70,16.70,15.60, 15.70,15.85,56990,9.15
10-Oct-2011,15.80,16.45,15.80, 16.00,16.00,21437,3.43
07-Oct-2011,16.20,16.45,16.10, 16.10,16.10,23752,3.86
05-Oct-2011,16.50,16.50,15.75, 16.05,16.00,21621,3.49
04-Oct-2011,16.80,16.80,15.65, 16.00,15.90,22132,3.55
03-Oct-2011,16.80,16.80,15.80, 16.10,16.00,63213,10.20
30-Sep-2011,17.20,17.20,16.05, 16.40,16.15,50198,8.21
29-Sep-2011,17.40,17.40,16.40, 16.50,16.55,52000,8.68
28-Sep-2011,17.50,18.00,16.65, 16.85,16.95,200647,34.44
27-Sep-2011,17.05,17.65,16.80, 17.00,17.05,277088,47.49
26-Sep-2011,17.50,17.70,16.95, 17.40,17.35,104620,18.03
23-Sep-2011,17.10,18.10,17.10, 17.10,17.30,103949,18.13
