Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,38.10,41.30,37.50, 41.30,41.30,1050,0.40
20-Dec-2011,39.35,39.35,39.35, 39.35,39.35,204,0.08
19-Dec-2011,41.40,41.40,41.40, 41.40,41.40,5,0.00
16-Dec-2011,39.45,39.45,39.45, 39.45,39.45,25,0.01
15-Dec-2011,38.55,41.35,38.55, 41.35,41.35,160,0.06
14-Dec-2011,40.40,40.50,38.00, 40.50,39.40,931,0.37
13-Dec-2011,39.00,39.00,39.00, 39.00,39.00,435,0.17
12-Dec-2011,40.70,40.70,40.70, 40.70,40.70,500,0.20
09-Dec-2011,38.85,38.85,38.80, 38.80,38.80,400,0.16
07-Dec-2011,40.50,40.50,40.50, 40.50,40.50,5,0.00
05-Dec-2011,39.00,42.00,39.00, 42.00,40.95,1414,0.57
01-Dec-2011,41.00,41.00,39.00, 40.00,40.00,1000,0.40
29-Nov-2011,40.40,40.90,40.40, 40.90,40.90,635,0.26
28-Nov-2011,40.95,45.20,40.95, 44.20,42.50,2400,1.06
25-Nov-2011,43.10,43.10,43.10, 43.10,43.10,50,0.02
24-Nov-2011,43.15,43.15,43.15, 43.15,43.15,60,0.03
22-Nov-2011,44.55,46.90,43.65, 45.40,45.40,470,0.21
18-Nov-2011,45.95,45.95,45.95, 45.95,45.95,50,0.02
04-Nov-2011,45.00,47.90,45.00, 47.60,47.60,504,0.23
02-Nov-2011,44.15,44.15,44.10, 44.10,44.10,50,0.02
31-Oct-2011,39.00,44.45,39.00, 44.00,44.00,571,0.23
28-Oct-2011,40.40,40.40,40.40, 40.40,40.40,100,0.04
25-Oct-2011,39.15,39.15,39.15, 39.15,39.15,27,0.01
24-Oct-2011,39.15,39.15,39.15, 39.15,39.15,49,0.02
21-Oct-2011,39.00,39.00,39.00, 39.00,39.00,1,0.00
19-Oct-2011,39.00,40.85,39.00, 39.05,39.05,600,0.24
18-Oct-2011,39.00,39.00,39.00, 39.00,39.00,99,0.04
14-Oct-2011,39.00,39.00,39.00, 39.00,39.00,200,0.08
13-Oct-2011,40.50,40.50,39.90, 39.90,39.90,930,0.37
12-Oct-2011,39.00,41.00,39.00, 40.90,40.15,1740,0.70
11-Oct-2011,40.00,40.00,40.00, 40.00,40.00,1,0.00
10-Oct-2011,39.00,39.00,39.00, 39.00,39.00,200,0.08
07-Oct-2011,39.00,39.00,39.00, 39.00,39.00,150,0.06
05-Oct-2011,41.55,41.55,39.05, 39.05,39.05,240,0.10
04-Oct-2011,37.00,42.00,37.00, 39.00,39.05,874,0.36
03-Oct-2011,38.05,39.00,38.05, 38.10,38.90,130,0.05
23-Sep-2011,40.70,40.70,40.70, 40.70,40.70,1500,0.61
22-Sep-2011,44.70,44.70,38.10, 42.00,41.70,1653,0.69
21-Sep-2011,42.20,42.20,42.20, 42.20,42.20,100,0.04
20-Sep-2011,39.50,39.50,39.50, 39.50,39.50,1496,0.59
16-Sep-2011,39.95,39.95,38.50, 38.50,38.50,200,0.08
15-Sep-2011,37.60,43.65,37.60, 38.25,38.25,102,0.04
14-Sep-2011,35.10,42.20,35.10, 40.05,41.45,1954,0.80
13-Sep-2011,34.50,41.90,34.50, 38.65,38.65,1861,0.75
12-Sep-2011,37.90,44.80,37.90, 38.05,38.05,3,0.00
08-Sep-2011,39.50,41.60,38.15, 41.60,41.60,325,0.13
07-Sep-2011,38.00,38.00,37.80, 37.80,37.80,2000,0.76
05-Sep-2011,37.40,37.50,37.20, 37.40,37.40,154,0.06
02-Sep-2011,37.15,39.00,37.10, 39.00,39.00,200,0.08
29-Aug-2011,37.30,37.30,37.30, 37.30,37.30,40,0.01
26-Aug-2011,41.25,41.25,38.05, 38.10,38.10,294,0.12
25-Aug-2011,39.90,39.90,39.90, 39.90,39.90,25,0.01
24-Aug-2011,38.05,38.05,38.05, 38.05,38.05,500,0.19
22-Aug-2011,39.25,39.25,37.20, 37.20,37.20,200,0.08
19-Aug-2011,40.00,40.00,37.15, 37.15,37.40,203,0.08
18-Aug-2011,42.00,42.00,38.05, 38.30,38.30,2337,0.89
17-Aug-2011,38.60,40.95,38.60, 40.00,40.00,1061,0.42
16-Aug-2011,40.00,40.00,40.00, 40.00,40.00,10,0.00
10-Aug-2011,41.40,41.40,40.50, 40.50,40.50,606,0.25
09-Aug-2011,39.00,39.40,39.00, 39.40,39.40,660,0.26
08-Aug-2011,45.00,45.00,40.85, 40.85,40.85,26,0.01
05-Aug-2011,45.90,45.90,42.95, 42.95,42.95,101,0.04
04-Aug-2011,43.65,45.45,43.65, 43.65,43.70,149,0.07
03-Aug-2011,47.30,47.30,43.30, 44.00,43.60,3002,1.31
02-Aug-2011,45.00,45.60,45.00, 45.00,45.05,2505,1.14
01-Aug-2011,50.90,50.90,46.85, 46.85,46.85,3,0.00
29-Jul-2011,49.00,49.30,49.00, 49.30,49.30,5550,2.72
28-Jul-2011,46.00,46.95,46.00, 46.95,46.95,1177,0.55
27-Jul-2011,45.70,45.70,43.25, 44.40,44.70,3250,1.43
26-Jul-2011,46.70,47.60,45.50, 45.50,45.50,7439,3.41
25-Jul-2011,49.00,50.00,47.55, 49.25,47.85,21332,10.18
21-Jul-2011,52.00,52.00,50.05, 50.05,50.05,107,0.05
20-Jul-2011,53.10,53.10,50.75, 51.00,51.00,32,0.02
19-Jul-2011,52.45,52.45,50.55, 50.55,50.55,2,0.00
15-Jul-2011,55.20,55.20,49.95, 49.95,49.95,277,0.14
14-Jul-2011,52.55,52.55,52.55, 52.55,52.55,6,0.00
13-Jul-2011,52.70,52.70,49.70, 52.60,52.60,67,0.03
12-Jul-2011,54.60,54.60,49.40, 50.15,50.15,184,0.09
11-Jul-2011,55.65,55.65,52.00, 52.00,52.00,11,0.01
08-Jul-2011,53.00,57.70,53.00, 53.00,53.00,161,0.09
07-Jul-2011,53.00,54.95,53.00, 54.95,54.95,11,0.01
06-Jul-2011,55.00,55.00,55.00, 55.00,55.00,1,0.00
05-Jul-2011,52.50,52.50,50.10, 52.45,52.45,246,0.13
04-Jul-2011,54.45,54.45,50.00, 50.00,50.00,101,0.05
01-Jul-2011,52.10,52.10,51.90, 51.90,51.90,8,0.00
29-Jun-2011,51.40,51.45,49.60, 49.60,49.60,133,0.07
28-Jun-2011,49.00,49.00,49.00, 49.00,49.00,7,0.00
27-Jun-2011,51.00,51.20,51.00, 51.20,51.20,102,0.05
24-Jun-2011,49.65,49.65,48.55, 49.00,48.75,8,0.00
23-Jun-2011,52.00,52.80,50.50, 50.90,50.85,253,0.13
22-Jun-2011,46.15,51.00,46.15, 51.00,50.95,1413,0.69
20-Jun-2011,48.55,48.55,48.55, 48.55,48.55,13,0.01
17-Jun-2011,49.20,52.65,49.20, 49.20,49.20,177,0.09
15-Jun-2011,50.10,50.10,50.10, 50.10,50.10,1,0.00
13-Jun-2011,51.25,51.25,51.25, 51.25,51.25,10,0.01
10-Jun-2011,53.55,53.55,53.55, 53.55,53.55,52,0.03
08-Jun-2011,55.85,55.85,51.00, 51.00,51.00,4,0.00
07-Jun-2011,53.15,53.15,53.15, 53.15,53.15,366,0.19
06-Jun-2011,53.05,53.05,50.60, 50.60,50.60,9,0.00
03-Jun-2011,50.50,50.50,50.50, 50.50,50.50,6,0.00
02-Jun-2011,51.30,51.30,50.60, 50.60,50.60,300,0.15
31-May-2011,51.50,51.50,50.20, 50.30,50.30,55,0.03
30-May-2011,50.00,50.00,49.05, 49.05,49.05,100,0.05
27-May-2011,50.00,52.00,50.00, 50.00,50.00,405,0.20
26-May-2011,52.05,52.05,52.00, 52.00,52.00,557,0.29
25-May-2011,50.00,50.00,49.55, 49.55,49.55,220,0.11
24-May-2011,54.60,54.60,49.40, 49.40,50.15,201,0.10
23-May-2011,50.40,52.00,50.40, 52.00,52.00,103,0.05
20-May-2011,53.05,53.05,53.00, 53.05,53.05,206,0.11
19-May-2011,61.35,61.35,55.60, 55.60,55.60,33,0.02
18-May-2011,64.55,64.55,58.40, 58.40,58.40,51,0.03
17-May-2011,61.45,61.45,61.45, 61.45,61.45,1,0.00
16-May-2011,60.85,60.85,55.10, 58.50,58.50,14,0.01
13-May-2011,57.95,57.95,57.95, 57.95,57.95,1,0.00
12-May-2011,55.15,55.15,55.15, 55.15,55.15,1,0.00
