Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,213.00,213.00,207.00, 210.00,209.80,8706,18.37
29-Dec-2011,208.00,216.50,207.85, 210.00,210.50,10433,22.24
28-Dec-2011,212.45,213.80,204.10, 207.70,210.25,132964,282.16
27-Dec-2011,208.00,213.50,207.00, 211.00,212.45,15234,31.92
26-Dec-2011,209.00,210.90,205.00, 207.00,205.90,3927,8.14
23-Dec-2011,207.60,211.75,205.00, 205.00,205.70,4097,8.51
22-Dec-2011,209.00,219.80,205.25, 207.80,207.50,19354,41.12
21-Dec-2011,214.05,223.85,205.25, 205.25,207.30,9445,19.81
20-Dec-2011,215.00,216.00,212.15, 212.95,212.85,8800,18.91
19-Dec-2011,229.00,229.00,214.15, 214.25,215.60,106734,229.52
16-Dec-2011,222.00,228.00,215.50, 217.50,217.55,8761,19.36
15-Dec-2011,220.00,220.90,218.00, 218.50,219.05,3272,7.17
14-Dec-2011,224.70,231.50,217.00, 218.10,222.80,37329,84.37
13-Dec-2011,218.00,224.40,218.00, 221.95,221.25,10906,24.02
12-Dec-2011,218.05,220.85,217.80, 220.00,219.90,44444,97.42
09-Dec-2011,216.50,220.00,216.50, 217.80,218.45,6967,15.27
08-Dec-2011,223.00,225.00,218.25, 218.45,219.50,169128,371.37
07-Dec-2011,234.90,234.90,218.25, 224.75,223.15,20266,45.45
05-Dec-2011,223.25,233.00,223.25, 225.85,225.75,10313,23.56
02-Dec-2011,222.30,234.25,220.10, 227.00,229.85,13074,29.83
01-Dec-2011,201.55,234.80,201.55, 224.00,222.85,6341,14.14
30-Nov-2011,204.00,224.75,204.00, 220.70,220.30,7983,17.56
29-Nov-2011,234.40,234.40,215.55, 220.50,219.55,9546,21.09
28-Nov-2011,239.95,239.95,222.00, 226.00,226.40,13243,30.07
25-Nov-2011,219.75,221.00,215.00, 219.95,219.55,7399,16.12
24-Nov-2011,217.95,220.00,215.25, 218.75,217.00,5306,11.51
23-Nov-2011,218.00,222.00,215.00, 216.30,219.10,51235,110.96
22-Nov-2011,219.40,219.50,214.00, 214.10,214.90,23585,50.96
21-Nov-2011,219.50,224.05,217.00, 217.00,217.70,12382,27.25
18-Nov-2011,217.00,223.75,215.00, 219.00,219.05,41311,90.81
17-Nov-2011,223.00,224.90,215.00, 224.40,217.95,51262,112.80
16-Nov-2011,220.05,224.00,220.05, 224.00,223.45,5828,12.95
15-Nov-2011,224.50,225.95,217.60, 222.20,221.00,84448,186.03
14-Nov-2011,227.05,229.95,219.00, 219.95,220.55,22979,51.54
11-Nov-2011,231.00,231.00,225.30, 228.00,226.85,3689,8.38
09-Nov-2011,230.00,231.00,227.50, 230.75,229.70,13597,31.20
08-Nov-2011,230.10,231.70,228.10, 228.10,228.65,6238,14.33
04-Nov-2011,235.00,235.00,228.00, 228.00,229.30,10928,25.28
03-Nov-2011,235.00,235.05,230.00, 231.40,231.40,31971,74.16
02-Nov-2011,232.00,234.90,231.05, 231.65,232.25,1730,4.02
01-Nov-2011,233.05,238.00,233.00, 235.00,235.40,180221,423.52
31-Oct-2011,244.00,244.00,231.15, 233.00,234.25,80835,189.94
28-Oct-2011,235.00,239.70,230.60, 234.00,234.75,39418,92.62
26-Oct-2011,232.00,233.90,228.00, 233.90,231.90,5928,13.68
25-Oct-2011,228.85,230.90,225.00, 227.00,226.95,9718,22.10
24-Oct-2011,230.00,234.50,226.10, 227.45,228.60,18673,43.12
21-Oct-2011,244.00,244.00,226.25, 228.50,228.45,39318,92.21
20-Oct-2011,229.05,249.00,226.60, 231.00,234.20,59658,139.13
19-Oct-2011,236.00,236.00,229.05, 232.90,232.25,5784,13.49
18-Oct-2011,233.00,235.00,225.15, 229.05,230.75,13504,31.12
17-Oct-2011,234.90,244.50,230.55, 239.00,234.85,179213,427.35
14-Oct-2011,227.00,234.00,223.95, 234.00,225.45,15436,34.93
13-Oct-2011,232.00,236.15,230.30, 230.30,230.85,8289,19.23
12-Oct-2011,234.90,236.00,226.90, 226.90,232.55,157262,367.97
11-Oct-2011,239.90,242.00,232.60, 234.90,233.85,3993,9.50
10-Oct-2011,231.00,240.00,224.10, 237.00,237.25,75111,175.43
07-Oct-2011,229.80,231.60,227.00, 231.60,230.05,116807,265.33
05-Oct-2011,227.15,234.00,221.15, 221.65,223.95,34871,80.12
04-Oct-2011,233.55,233.55,224.00, 230.00,227.60,2390,5.44
03-Oct-2011,231.95,234.00,220.35, 233.00,231.25,9000,20.51
30-Sep-2011,227.50,232.80,226.50, 232.80,231.55,10282,23.62
29-Sep-2011,250.00,250.00,221.00, 228.90,227.00,62216,140.13
28-Sep-2011,224.00,226.20,220.20, 223.50,222.55,11055,24.71
27-Sep-2011,218.00,228.40,218.00, 222.00,222.15,119625,266.11
26-Sep-2011,220.05,223.90,219.55, 222.00,221.45,146977,323.46
23-Sep-2011,221.50,224.00,219.25, 221.45,220.20,22001,48.55
22-Sep-2011,223.50,226.40,220.00, 220.55,221.30,11308,25.22
21-Sep-2011,228.00,228.00,222.20, 226.00,225.45,2922,6.58
20-Sep-2011,224.95,228.40,221.00, 226.95,224.80,15574,35.00
19-Sep-2011,224.00,224.75,220.00, 223.50,222.90,3939,8.77
16-Sep-2011,223.80,224.90,220.25, 224.00,223.30,10906,24.32
15-Sep-2011,220.00,222.95,215.50, 220.00,217.95,223454,491.33
14-Sep-2011,218.00,221.00,215.05, 219.95,219.60,4386,9.56
13-Sep-2011,219.85,224.00,218.00, 218.30,218.95,53471,117.68
12-Sep-2011,220.00,221.80,218.25, 220.00,219.25,108969,239.72
09-Sep-2011,227.50,227.50,219.00, 220.00,221.10,12126,27.10
08-Sep-2011,226.00,227.10,221.00, 222.80,221.85,13221,29.66
07-Sep-2011,225.00,228.90,223.00, 223.10,223.85,55749,125.38
06-Sep-2011,222.10,225.95,216.00, 225.95,224.70,4825,10.76
05-Sep-2011,223.15,224.70,220.00, 224.70,222.35,13219,29.22
02-Sep-2011,233.85,234.35,223.00, 224.50,224.95,29592,66.87
30-Aug-2011,222.00,225.00,222.00, 224.50,224.10,4885,10.92
29-Aug-2011,229.90,229.90,212.25, 221.00,220.00,306818,681.09
26-Aug-2011,225.00,225.00,215.00, 217.30,218.90,4367,9.61
25-Aug-2011,223.00,224.70,221.50, 221.50,222.60,3820,8.52
24-Aug-2011,220.00,225.80,218.45, 222.00,222.30,7349,16.40
23-Aug-2011,221.00,222.00,217.80, 220.05,220.00,126433,278.14
22-Aug-2011,216.10,223.90,216.10, 218.35,217.85,2966,6.46
19-Aug-2011,223.00,223.00,216.05, 216.25,217.35,4809,10.50
18-Aug-2011,228.00,228.00,217.00, 221.15,220.00,701874,1544.19
17-Aug-2011,226.00,229.80,223.65, 225.00,225.50,352782,793.79
16-Aug-2011,231.00,232.30,225.05, 232.00,229.20,207121,476.35
12-Aug-2011,232.90,232.90,222.40, 230.00,230.05,3107,7.11
11-Aug-2011,225.05,231.85,225.00, 231.50,230.05,5531,12.66
10-Aug-2011,231.90,233.90,228.05, 229.25,229.20,5870,13.51
09-Aug-2011,218.00,232.00,216.00, 227.20,225.10,35353,79.58
08-Aug-2011,235.00,235.00,215.10, 227.70,225.40,37384,82.55
05-Aug-2011,228.50,230.40,215.00, 226.00,227.30,13279,29.79
04-Aug-2011,239.95,243.00,225.20, 231.90,230.30,103889,246.02
03-Aug-2011,233.45,237.95,232.00, 234.60,235.25,3509,8.23
02-Aug-2011,239.00,243.90,231.35, 241.65,239.35,12602,30.05
01-Aug-2011,240.00,242.40,235.00, 235.00,236.10,5136,12.18
29-Jul-2011,238.05,241.00,235.15, 238.85,238.45,5834,13.89
28-Jul-2011,240.40,245.00,236.50, 241.90,241.65,16251,38.79
27-Jul-2011,240.00,245.75,237.15, 245.00,243.25,3163,7.65
26-Jul-2011,244.45,244.45,238.50, 240.00,239.05,8994,21.58
25-Jul-2011,241.00,245.80,240.10, 240.10,244.85,29572,72.31
22-Jul-2011,235.20,244.50,235.20, 243.00,243.00,17768,42.93
21-Jul-2011,236.70,240.60,235.00, 237.80,237.45,7903,18.80
20-Jul-2011,235.15,238.55,234.50, 237.95,236.70,15598,36.81
19-Jul-2011,240.00,245.80,233.10, 234.95,234.50,81580,193.66
18-Jul-2011,236.00,238.40,232.00, 232.05,234.15,33622,79.13
15-Jul-2011,237.00,238.00,234.00, 234.50,234.85,6863,16.18
14-Jul-2011,233.00,240.00,233.00, 237.00,237.10,8464,20.03
13-Jul-2011,235.10,239.00,234.15, 236.00,236.05,7481,17.70
12-Jul-2011,237.80,238.90,235.00, 236.00,236.10,7244,17.11
11-Jul-2011,245.30,254.00,237.00, 237.65,237.80,8448,20.15
08-Jul-2011,244.80,246.00,240.00, 240.10,241.25,35206,85.52
07-Jul-2011,245.00,245.00,240.10, 243.00,242.60,6697,16.29
06-Jul-2011,245.00,245.70,243.00, 244.80,244.30,13643,33.37
05-Jul-2011,245.00,247.85,243.45, 244.05,244.80,50832,124.53
04-Jul-2011,253.90,253.90,234.00, 245.70,244.95,43196,105.47
01-Jul-2011,241.00,244.80,240.00, 240.00,240.70,9394,22.74
30-Jun-2011,244.00,246.00,234.15, 240.00,240.15,21563,51.85
29-Jun-2011,231.40,244.90,231.40, 241.00,240.50,19804,47.41
28-Jun-2011,231.05,237.00,231.05, 235.00,234.95,5142,12.09
27-Jun-2011,231.00,237.00,230.15, 235.00,234.60,11569,27.12
24-Jun-2011,239.00,239.00,230.10, 232.75,232.35,6676,15.51
23-Jun-2011,228.70,240.00,228.70, 231.90,231.75,20884,48.45
22-Jun-2011,235.00,235.05,225.25, 228.00,226.95,52802,121.67
21-Jun-2011,232.05,242.00,230.20, 230.35,231.25,19220,44.92
20-Jun-2011,228.00,242.00,227.90, 233.25,236.25,63006,147.13
17-Jun-2011,229.05,235.00,229.00, 234.75,233.70,13694,31.82
16-Jun-2011,235.00,235.00,229.00, 232.60,232.00,12963,30.07
15-Jun-2011,226.00,247.05,226.00, 232.90,235.30,75124,180.35
14-Jun-2011,221.15,231.95,221.15, 229.10,229.95,13467,30.83
13-Jun-2011,234.00,234.00,227.15, 228.00,228.70,9315,21.33
10-Jun-2011,235.00,235.00,229.40, 232.85,231.75,9490,22.04
09-Jun-2011,232.85,237.55,231.05, 232.50,231.95,4187,9.76
08-Jun-2011,241.00,241.00,232.05, 233.10,233.45,11244,26.36
07-Jun-2011,240.00,240.00,235.10, 235.10,235.90,6507,15.40
06-Jun-2011,239.70,244.50,234.00, 235.65,236.80,18356,43.74
03-Jun-2011,243.95,249.00,237.00, 238.95,239.70,23635,57.70
02-Jun-2011,244.80,246.40,235.00, 242.80,240.25,129942,312.23
01-Jun-2011,228.00,257.70,223.90, 245.75,245.90,367478,911.67
31-May-2011,223.35,227.05,219.50, 224.05,223.90,152912,340.89
30-May-2011,219.10,226.00,215.00, 221.50,221.15,174143,384.17
27-May-2011,225.20,226.55,219.20, 219.90,220.15,17691,39.19
26-May-2011,230.00,230.00,221.10, 222.55,224.25,11034,24.78
25-May-2011,227.00,231.80,225.80, 229.00,230.00,16005,36.47
24-May-2011,221.50,231.90,221.50, 229.50,227.90,43862,100.06
23-May-2011,226.60,232.05,223.00, 225.75,224.50,17523,39.65
20-May-2011,223.60,230.90,223.60, 229.65,230.00,31317,71.91
19-May-2011,231.90,232.20,223.00, 230.50,230.85,43132,99.15
18-May-2011,228.00,232.85,223.00, 225.00,223.75,28651,64.94
17-May-2011,234.70,238.90,228.00, 229.95,229.50,27864,64.86
16-May-2011,234.00,238.00,228.50, 231.00,230.10,27193,63.48
13-May-2011,231.00,235.00,225.00, 235.00,231.55,14341,33.19
12-May-2011,233.25,235.00,225.00, 226.00,225.80,38805,88.56
11-May-2011,243.10,243.10,231.30, 232.05,234.60,32209,76.39
10-May-2011,240.15,247.00,240.00, 242.50,241.45,3406,8.30
09-May-2011,253.75,255.00,242.00, 242.00,242.80,7318,17.90
06-May-2011,250.00,254.95,244.00, 244.50,245.20,12243,30.20
05-May-2011,252.80,252.80,243.45, 249.80,248.45,11844,29.52
04-May-2011,247.90,257.70,240.10, 256.70,252.75,15687,38.79
