Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,33.00,34.25,32.60, 33.65,33.65,1303,0.44
29-Dec-2011,33.60,34.75,32.20, 33.55,33.90,4291,1.43
28-Dec-2011,32.50,33.30,32.40, 32.50,33.15,943,0.31
27-Dec-2011,33.75,33.90,32.85, 32.85,32.85,2936,0.99
26-Dec-2011,33.95,33.95,33.35, 33.35,33.35,610,0.21
23-Dec-2011,32.85,33.75,32.80, 32.85,32.90,3718,1.23
22-Dec-2011,33.00,33.90,32.25, 33.00,33.00,4141,1.37
21-Dec-2011,33.50,33.50,32.05, 33.40,33.40,2684,0.89
20-Dec-2011,32.65,34.00,32.60, 33.40,33.15,2656,0.89
19-Dec-2011,34.00,34.00,32.85, 33.40,33.30,3266,1.08
16-Dec-2011,35.10,35.10,33.85, 34.10,34.40,3167,1.09
15-Dec-2011,34.05,35.00,33.50, 35.00,34.65,4411,1.51
14-Dec-2011,35.95,36.95,34.00, 34.20,34.55,13346,4.87
13-Dec-2011,37.00,37.20,36.00, 36.40,36.40,1270,0.46
12-Dec-2011,36.50,38.00,36.00, 37.90,37.55,1226,0.45
09-Dec-2011,37.95,37.95,36.05, 37.95,37.45,1051,0.39
08-Dec-2011,37.50,37.85,36.65, 37.80,37.05,422,0.16
07-Dec-2011,39.20,39.20,38.00, 38.30,38.30,2530,0.97
05-Dec-2011,37.00,38.45,37.00, 37.50,37.50,1269,0.48
02-Dec-2011,37.55,38.00,36.80, 37.10,37.20,1825,0.68
01-Dec-2011,39.45,40.00,36.05, 37.20,37.00,2018,0.75
30-Nov-2011,37.10,37.40,35.85, 36.70,36.20,2036,0.74
29-Nov-2011,37.00,37.55,36.95, 37.00,37.15,521,0.19
28-Nov-2011,35.50,41.00,34.60, 36.75,36.80,9833,3.60
25-Nov-2011,35.95,36.55,35.90, 36.25,36.25,210,0.08
24-Nov-2011,34.50,35.95,34.20, 35.95,35.40,3141,1.10
23-Nov-2011,35.50,36.40,31.65, 35.00,35.10,9948,3.41
22-Nov-2011,35.55,37.40,35.40, 36.75,35.75,2983,1.08
21-Nov-2011,35.60,37.90,35.60, 36.35,36.05,4106,1.51
18-Nov-2011,36.00,37.70,35.15, 36.50,36.30,2943,1.06
17-Nov-2011,36.10,38.00,36.10, 37.00,36.85,4623,1.70
16-Nov-2011,36.90,37.00,36.05, 36.05,36.35,5325,1.95
15-Nov-2011,38.05,38.05,36.85, 36.85,37.15,7033,2.63
14-Nov-2011,39.00,39.00,38.00, 38.00,38.00,4912,1.87
11-Nov-2011,39.50,40.50,38.40, 38.90,38.55,6819,2.64
09-Nov-2011,40.30,41.20,39.00, 39.00,40.05,10238,4.11
08-Nov-2011,40.50,41.25,40.15, 41.25,40.60,3053,1.24
04-Nov-2011,40.00,41.20,40.00, 40.85,40.35,8593,3.49
03-Nov-2011,40.75,40.90,39.50, 40.10,40.10,4622,1.86
02-Nov-2011,40.30,40.30,39.50, 40.00,39.85,1293,0.52
01-Nov-2011,40.85,41.20,39.75, 39.80,39.95,9061,3.66
31-Oct-2011,40.15,40.85,39.55, 40.85,40.50,10057,4.06
28-Oct-2011,39.15,40.00,38.95, 39.30,39.25,16476,6.48
26-Oct-2011,38.00,38.95,37.55, 38.95,38.45,5619,2.16
25-Oct-2011,37.90,38.95,37.30, 38.50,38.40,10375,3.95
24-Oct-2011,37.90,38.30,37.25, 37.80,37.30,2709,1.02
21-Oct-2011,37.25,37.85,37.15, 37.25,37.45,1524,0.57
20-Oct-2011,38.90,38.90,37.15, 37.25,37.55,1567,0.58
19-Oct-2011,37.45,37.95,37.45, 37.55,37.65,5266,1.98
18-Oct-2011,37.90,37.90,37.25, 37.80,37.75,958,0.36
17-Oct-2011,37.95,38.90,36.30, 37.90,37.90,4046,1.52
