Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,32.30,32.40,29.20, 30.00,29.90,8127,2.51
29-Dec-2011,28.05,31.10,28.05, 30.40,29.90,10104,3.05
28-Dec-2011,31.70,31.70,27.35, 29.40,29.35,9361,2.72
27-Dec-2011,29.05,35.00,27.10, 29.00,29.75,41279,12.79
26-Dec-2011,25.80,30.35,25.50, 30.00,30.20,79286,23.16
23-Dec-2011,21.20,25.30,21.00, 24.10,25.30,57610,14.01
22-Dec-2011,25.50,25.50,19.65, 21.50,21.10,31594,6.67
21-Dec-2011,24.20,28.00,23.50, 24.00,24.00,2413,0.58
20-Dec-2011,24.85,24.85,24.00, 24.50,24.50,742,0.18
19-Dec-2011,30.00,30.00,22.20, 24.50,25.05,16219,3.96
16-Dec-2011,26.80,26.80,25.30, 25.30,25.30,1000,0.26
15-Dec-2011,28.00,28.00,24.35, 25.80,25.80,1043,0.27
14-Dec-2011,25.50,26.95,25.50, 25.75,26.20,4864,1.27
13-Dec-2011,28.50,28.50,25.10, 25.25,26.50,3942,1.03
12-Dec-2011,26.00,30.95,26.00, 26.95,26.60,830,0.22
09-Dec-2011,26.00,27.80,25.50, 27.20,27.20,700,0.19
08-Dec-2011,28.00,28.00,27.05, 27.05,27.10,852,0.24
07-Dec-2011,28.95,28.95,27.00, 27.95,27.70,5192,1.42
05-Dec-2011,28.00,28.00,26.50, 26.70,26.70,4493,1.22
02-Dec-2011,26.50,27.95,26.30, 27.95,27.90,4342,1.17
01-Dec-2011,26.05,27.50,25.30, 25.30,25.70,8160,2.16
30-Nov-2011,25.65,26.40,25.65, 26.40,26.40,600,0.16
29-Nov-2011,25.90,26.60,24.20, 26.50,26.50,693,0.17
28-Nov-2011,24.50,26.05,24.50, 25.70,25.80,2260,0.58
25-Nov-2011,26.00,27.40,24.70, 24.70,25.10,3252,0.85
24-Nov-2011,26.60,26.90,26.50, 26.90,26.90,600,0.16
23-Nov-2011,25.40,27.00,25.00, 25.65,26.10,4667,1.23
22-Nov-2011,24.10,29.25,24.10, 24.75,25.35,4351,1.10
21-Nov-2011,27.00,29.00,25.25, 25.50,25.55,2887,0.75
18-Nov-2011,26.50,28.40,25.35, 28.00,27.85,4586,1.24
17-Nov-2011,27.25,28.50,27.25, 27.30,27.35,2425,0.67
16-Nov-2011,26.50,27.90,26.50, 27.90,27.90,244,0.07
15-Nov-2011,28.50,29.95,27.00, 27.00,27.50,2566,0.72
14-Nov-2011,29.00,30.00,28.70, 28.70,28.70,3708,1.08
11-Nov-2011,30.70,30.70,29.40, 29.60,29.60,5385,1.60
09-Nov-2011,30.40,31.35,29.80, 29.80,29.80,5121,1.54
08-Nov-2011,30.10,31.00,30.00, 30.20,30.20,8472,2.58
04-Nov-2011,32.60,32.60,30.65, 30.80,30.85,5297,1.65
03-Nov-2011,31.00,31.90,31.00, 31.70,31.45,4808,1.51
02-Nov-2011,31.00,31.35,30.55, 30.75,30.80,3917,1.21
01-Nov-2011,31.00,31.45,30.80, 31.30,31.30,5431,1.68
31-Oct-2011,33.10,33.40,30.95, 31.80,31.75,33736,10.68
28-Oct-2011,33.95,38.00,32.40, 33.25,33.05,29223,9.96
26-Oct-2011,33.00,33.00,31.65, 31.80,31.80,30,0.01
25-Oct-2011,30.50,32.70,30.50, 31.10,31.45,4499,1.41
24-Oct-2011,31.00,32.90,30.00, 31.55,30.90,10036,3.20
21-Oct-2011,33.50,33.50,31.60, 31.60,31.80,7126,2.30
20-Oct-2011,34.35,34.80,32.55, 32.70,33.35,14991,5.07
19-Oct-2011,29.60,35.45,29.60, 33.70,33.60,88688,29.84
18-Oct-2011,30.00,30.60,29.70, 30.00,30.25,8826,2.65
17-Oct-2011,32.65,32.65,30.00, 30.35,30.60,4207,1.30
14-Oct-2011,32.20,32.20,29.05, 31.55,31.15,32399,9.86
13-Oct-2011,35.25,35.50,30.70, 31.50,31.80,163208,55.15
12-Oct-2011,31.70,35.10,31.70, 33.50,34.15,194959,66.94
11-Oct-2011,26.90,29.25,25.00, 29.25,29.25,97232,28.13
10-Oct-2011,24.70,24.95,24.10, 24.45,24.35,3520,0.86
07-Oct-2011,24.35,24.35,24.10, 24.10,24.10,200,0.05
05-Oct-2011,24.10,25.00,24.00, 24.00,24.05,1602,0.39
04-Oct-2011,25.85,25.85,25.00, 25.00,25.00,700,0.18
03-Oct-2011,25.70,26.00,25.15, 25.50,25.50,142,0.04
30-Sep-2011,28.80,28.80,23.20, 26.25,26.35,3304,0.87
29-Sep-2011,27.50,27.50,26.00, 26.25,26.40,1159,0.31
28-Sep-2011,26.40,26.40,26.40, 26.40,26.40,95,0.03
27-Sep-2011,26.00,27.90,26.00, 26.65,26.85,2031,0.54
26-Sep-2011,26.00,27.00,26.00, 27.00,27.00,5139,1.39
23-Sep-2011,26.30,27.00,25.50, 26.20,26.20,11413,2.98
21-Sep-2011,27.50,28.25,27.50, 27.75,27.75,758,0.21
20-Sep-2011,27.00,27.55,27.00, 27.55,27.55,250,0.07
19-Sep-2011,26.65,28.85,26.50, 27.00,27.00,3059,0.82
16-Sep-2011,27.00,27.50,26.50, 27.00,27.00,2469,0.67
15-Sep-2011,27.00,28.25,26.80, 27.00,27.00,1702,0.46
13-Sep-2011,27.00,27.50,26.05, 27.50,27.50,3430,0.92
12-Sep-2011,27.30,27.50,27.10, 27.50,27.50,1356,0.37
09-Sep-2011,28.00,28.65,28.00, 28.65,28.55,1200,0.34
08-Sep-2011,28.35,28.35,27.55, 27.65,27.75,12525,3.51
07-Sep-2011,28.00,29.90,28.00, 28.70,28.70,6100,1.78
06-Sep-2011,27.00,28.90,27.00, 28.70,28.70,2514,0.72
05-Sep-2011,30.20,31.00,26.00, 28.10,28.10,5332,1.47
02-Sep-2011,28.80,30.20,28.80, 28.80,28.80,197,0.06
30-Aug-2011,28.80,28.80,28.50, 28.50,28.50,102,0.03
29-Aug-2011,28.00,28.65,28.00, 28.50,28.50,1150,0.33
26-Aug-2011,28.05,30.00,25.65, 30.00,28.80,12376,3.54
25-Aug-2011,26.10,30.55,26.10, 30.55,30.55,501,0.13
24-Aug-2011,31.40,31.40,28.00, 29.50,29.40,18838,5.47
23-Aug-2011,30.70,30.70,27.50, 27.80,29.30,15054,4.36
22-Aug-2011,24.00,28.40,24.00, 28.00,27.95,9357,2.50
19-Aug-2011,24.00,24.90,22.40, 23.70,23.70,2159,0.51
18-Aug-2011,25.80,25.80,25.00, 25.00,25.00,241,0.06
17-Aug-2011,28.40,28.40,25.80, 26.20,25.95,2567,0.68
16-Aug-2011,28.00,28.75,27.00, 28.60,28.60,1690,0.47
12-Aug-2011,27.75,30.00,27.55, 28.10,29.90,5309,1.51
11-Aug-2011,31.55,31.85,29.75, 30.05,30.20,833,0.25
10-Aug-2011,28.05,30.75,27.00, 28.80,28.80,1753,0.51
09-Aug-2011,26.75,29.85,26.75, 27.85,27.85,1439,0.40
08-Aug-2011,27.20,30.00,27.00, 28.80,28.80,10148,2.87
05-Aug-2011,31.00,32.00,26.10, 30.55,30.55,7930,2.38
04-Aug-2011,32.65,33.40,31.55, 32.40,32.40,982,0.32
03-Aug-2011,32.00,35.40,31.25, 32.65,32.65,616,0.20
02-Aug-2011,32.50,35.50,32.50, 34.85,34.85,2600,0.85
01-Aug-2011,32.00,33.80,32.00, 32.55,32.55,687,0.22
29-Jul-2011,33.15,33.80,33.15, 33.50,33.50,1596,0.53
27-Jul-2011,34.20,36.10,34.20, 36.10,36.10,900,0.31
26-Jul-2011,40.25,40.25,34.30, 34.30,34.30,1226,0.44
25-Jul-2011,40.90,40.90,34.15, 34.35,34.35,2327,0.80
22-Jul-2011,35.00,35.00,34.25, 34.25,34.25,650,0.23
21-Jul-2011,33.10,35.75,33.10, 35.00,35.00,1689,0.59
20-Jul-2011,34.25,35.50,34.20, 35.40,35.40,980,0.35
19-Jul-2011,42.50,42.50,34.10, 35.30,35.30,2311,0.83
18-Jul-2011,33.00,35.45,33.00, 35.45,35.45,213,0.07
15-Jul-2011,40.90,40.90,33.65, 33.65,34.25,1932,0.67
14-Jul-2011,39.90,39.90,34.15, 34.50,34.90,1011,0.35
13-Jul-2011,35.75,35.75,33.80, 35.40,34.60,2815,0.96
12-Jul-2011,33.80,35.95,33.80, 33.80,33.80,1100,0.37
11-Jul-2011,35.05,35.80,34.75, 35.80,35.65,507,0.18
08-Jul-2011,36.00,36.00,33.10, 35.00,34.90,9325,3.24
07-Jul-2011,38.90,38.90,35.00, 36.05,36.05,3138,1.14
06-Jul-2011,37.00,37.00,35.35, 35.35,35.50,95,0.03
05-Jul-2011,37.00,37.85,33.10, 35.60,35.60,3384,1.20
04-Jul-2011,38.00,38.00,37.25, 37.75,37.75,501,0.19
01-Jul-2011,39.20,39.50,37.20, 39.50,39.25,1320,0.52
30-Jun-2011,35.00,37.95,35.00, 37.95,35.60,1001,0.36
29-Jun-2011,35.95,37.00,35.05, 37.00,37.00,1317,0.48
28-Jun-2011,33.25,35.45,33.25, 35.45,35.45,425,0.14
27-Jun-2011,34.95,35.50,34.95, 35.00,35.00,2487,0.87
24-Jun-2011,35.00,36.50,34.55, 35.00,35.10,3078,1.09
23-Jun-2011,34.05,35.40,34.05, 35.40,35.10,1509,0.53
22-Jun-2011,34.60,36.45,33.10, 34.50,33.85,3831,1.33
21-Jun-2011,35.55,36.75,34.50, 35.00,35.40,3729,1.34
20-Jun-2011,37.10,38.00,35.05, 35.80,35.90,12659,4.61
17-Jun-2011,42.00,42.90,38.00, 38.70,38.95,80624,32.11
