Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,128.55,131.85,128.55, 129.20,130.05,45720,59.82
29-Dec-2011,129.00,134.00,129.00, 129.45,130.80,11136,14.75
28-Dec-2011,130.00,131.40,129.00, 129.25,129.80,2214,2.89
27-Dec-2011,141.85,141.85,128.50, 131.90,131.40,2365,3.11
26-Dec-2011,130.00,131.00,129.00, 130.80,130.45,2506,3.27
23-Dec-2011,131.00,131.00,126.10, 131.00,129.45,2082,2.69
22-Dec-2011,129.00,132.40,127.45, 130.45,130.10,3314,4.29
21-Dec-2011,131.00,133.00,127.10, 132.00,131.90,7870,10.30
20-Dec-2011,130.00,133.75,127.00, 131.00,130.90,3274,4.27
19-Dec-2011,136.00,136.00,128.50, 131.00,132.60,7919,10.44
16-Dec-2011,138.90,145.00,132.00, 135.00,133.80,9015,12.22
15-Dec-2011,135.75,137.45,134.00, 137.00,137.10,5635,7.68
14-Dec-2011,140.00,140.85,132.50, 134.00,134.15,18521,24.87
13-Dec-2011,138.70,140.95,135.50, 139.80,138.85,3787,5.23
12-Dec-2011,142.00,143.90,135.20, 135.20,136.85,15978,22.13
09-Dec-2011,144.75,144.75,137.00, 140.00,139.80,3208,4.48
08-Dec-2011,145.00,145.00,141.00, 142.00,141.85,1805,2.56
07-Dec-2011,144.80,147.00,138.95, 145.00,144.80,8571,12.29
05-Dec-2011,140.00,146.00,137.00, 145.00,143.80,8312,11.85
02-Dec-2011,136.50,139.95,132.60, 137.40,138.70,4074,5.60
01-Dec-2011,141.00,141.00,133.50, 137.50,135.35,5722,7.73
30-Nov-2011,133.90,137.00,127.60, 133.00,131.25,3483,4.61
29-Nov-2011,134.20,134.20,130.55, 132.00,132.20,4913,6.49
28-Nov-2011,132.00,134.75,129.10, 132.90,131.85,16467,21.59
25-Nov-2011,132.50,132.90,129.00, 130.40,129.60,25639,33.43
24-Nov-2011,132.00,134.45,130.00, 131.50,133.75,15240,20.27
23-Nov-2011,140.00,140.00,128.00, 131.00,131.15,26307,34.58
22-Nov-2011,140.00,140.20,137.50, 139.20,139.55,41644,57.83
21-Nov-2011,140.00,142.60,137.05, 137.15,137.85,32361,45.22
18-Nov-2011,143.00,143.00,137.10, 139.50,139.20,43023,60.38
17-Nov-2011,146.00,146.20,140.00, 142.00,143.55,31565,45.43
16-Nov-2011,144.85,146.70,142.00, 143.00,143.30,56155,80.60
15-Nov-2011,150.00,150.00,143.65, 144.10,144.85,45373,66.76
14-Nov-2011,147.00,149.75,146.00, 149.40,148.60,35089,51.90
11-Nov-2011,147.00,149.50,144.70, 149.40,148.30,8576,12.65
09-Nov-2011,148.65,149.50,143.35, 145.00,148.00,14343,21.22
08-Nov-2011,146.50,149.95,145.50, 148.50,148.30,6450,9.59
04-Nov-2011,145.55,148.50,145.55, 148.00,147.35,4107,6.06
03-Nov-2011,147.95,149.95,144.55, 147.95,146.65,16761,24.77
02-Nov-2011,146.05,148.50,145.80, 148.50,147.35,12648,18.66
01-Nov-2011,149.00,149.00,146.00, 146.00,147.00,6640,9.79
31-Oct-2011,155.00,155.00,146.10, 147.05,148.00,4323,6.46
28-Oct-2011,147.50,150.05,144.65, 146.20,146.95,7723,11.42
26-Oct-2011,147.50,147.50,141.20, 146.00,145.65,1695,2.44
25-Oct-2011,143.90,146.15,138.50, 145.25,144.65,10876,15.47
24-Oct-2011,142.15,145.00,139.05, 145.00,143.50,6028,8.60
21-Oct-2011,144.00,144.50,141.60, 142.00,142.15,2580,3.68
20-Oct-2011,145.00,145.00,141.05, 143.75,143.50,2773,3.97
19-Oct-2011,141.25,144.00,139.25, 144.00,143.80,9913,14.21
18-Oct-2011,143.50,144.45,141.00, 141.00,141.95,10382,14.80
17-Oct-2011,145.00,145.00,142.75, 144.00,144.10,4982,7.17
14-Oct-2011,144.00,145.40,141.10, 145.00,145.10,8591,12.38
13-Oct-2011,143.90,144.00,140.00, 143.50,142.70,12801,18.28
12-Oct-2011,139.00,143.50,138.80, 142.00,141.65,17349,24.58
11-Oct-2011,139.10,142.45,138.50, 139.00,139.55,15649,22.07
10-Oct-2011,134.50,140.00,134.50, 139.40,139.05,14111,19.61
07-Oct-2011,138.90,142.50,130.00, 134.60,135.00,238336,318.86
05-Oct-2011,141.60,142.40,131.40, 133.00,134.30,24827,34.06
04-Oct-2011,140.00,144.00,137.05, 139.50,138.80,8505,11.83
03-Oct-2011,141.10,143.00,128.10, 141.00,141.20,21688,29.85
30-Sep-2011,142.00,145.25,141.00, 144.00,142.35,56044,80.01
29-Sep-2011,141.00,143.75,141.00, 142.30,142.05,31436,44.74
28-Sep-2011,141.20,146.45,141.00, 141.00,142.30,125879,181.16
27-Sep-2011,143.00,145.00,142.50, 142.50,143.10,65562,94.03
26-Sep-2011,142.00,144.70,139.00, 143.00,143.30,54513,77.96
23-Sep-2011,144.80,144.90,138.00, 144.70,143.15,84803,121.20
22-Sep-2011,143.10,146.95,141.50, 142.50,144.25,91571,132.08
21-Sep-2011,142.50,150.00,142.50, 144.80,144.45,55419,80.57
20-Sep-2011,145.90,145.90,143.05, 144.80,144.30,50430,73.03
19-Sep-2011,146.80,146.80,141.05, 145.05,144.50,54399,78.71
16-Sep-2011,148.15,148.15,143.60, 143.60,144.30,49427,71.79
15-Sep-2011,145.20,148.00,142.50, 144.40,145.25,52248,76.03
14-Sep-2011,146.80,147.60,144.00, 146.25,146.40,67027,97.44
13-Sep-2011,142.00,148.00,141.50, 146.50,147.10,49736,72.31
12-Sep-2011,143.00,146.50,138.00, 144.95,144.95,45180,65.35
09-Sep-2011,145.10,148.00,143.00, 144.50,143.80,28438,41.28
08-Sep-2011,149.75,151.00,142.65, 146.00,145.60,51661,76.01
07-Sep-2011,144.05,149.90,143.50, 148.85,147.75,68190,99.20
06-Sep-2011,143.05,147.80,143.05, 144.00,144.30,68809,100.03
05-Sep-2011,147.00,147.00,144.45, 146.50,145.70,64771,93.99
02-Sep-2011,147.40,151.70,147.35, 150.00,149.75,109040,163.05
30-Aug-2011,151.00,151.00,145.00, 146.50,147.10,111748,166.56
29-Aug-2011,147.50,150.30,144.30, 148.45,148.60,128393,189.43
