Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,58.60,60.40,58.10, 59.40,59.35,7972,4.75
29-Dec-2011,60.00,61.90,58.80, 59.15,59.15,28098,16.68
28-Dec-2011,60.00,61.65,60.00, 60.95,60.75,9476,5.76
27-Dec-2011,62.15,62.55,61.00, 61.15,61.20,24633,15.21
26-Dec-2011,62.10,64.00,62.10, 62.65,63.05,8004,5.04
23-Dec-2011,61.90,63.50,61.50, 63.00,63.00,6322,3.99
22-Dec-2011,60.30,63.00,60.05, 63.00,62.55,19163,11.92
21-Dec-2011,61.05,62.50,59.80, 61.05,60.45,75179,45.47
20-Dec-2011,61.25,62.75,59.65, 60.70,60.00,72751,44.13
19-Dec-2011,63.50,63.50,60.00, 62.55,62.15,100470,61.70
16-Dec-2011,63.30,64.40,62.60, 62.60,63.35,62305,39.73
15-Dec-2011,64.00,71.00,61.25, 62.75,63.30,84570,53.22
14-Dec-2011,64.00,65.20,63.60, 64.35,64.10,12562,8.09
13-Dec-2011,64.95,65.15,63.40, 64.85,64.55,18985,12.20
12-Dec-2011,70.30,70.30,65.20, 65.70,65.70,21788,14.62
09-Dec-2011,67.10,69.15,65.20, 68.40,68.25,34981,23.84
08-Dec-2011,69.75,71.80,66.10, 67.10,67.10,247032,172.04
07-Dec-2011,64.10,69.00,64.10, 68.00,67.95,63856,43.25
05-Dec-2011,63.50,66.00,63.50, 64.60,64.60,14362,9.31
02-Dec-2011,63.50,65.40,63.50, 64.45,64.55,15334,9.89
01-Dec-2011,66.15,66.20,64.05, 64.40,64.10,26988,17.54
30-Nov-2011,63.50,65.45,63.50, 64.50,64.45,20216,13.05
29-Nov-2011,63.30,65.20,63.30, 64.50,64.50,12818,8.27
28-Nov-2011,65.10,66.40,63.20, 64.00,64.05,56708,36.48
25-Nov-2011,64.50,66.65,63.75, 64.00,64.00,14227,9.22
24-Nov-2011,64.25,65.80,62.90, 65.50,65.55,15448,9.92
23-Nov-2011,64.70,65.00,63.55, 64.50,64.50,28212,18.16
22-Nov-2011,65.05,66.95,64.85, 65.30,65.15,23514,15.38
21-Nov-2011,72.00,72.00,64.95, 65.90,65.85,25668,17.05
18-Nov-2011,66.00,68.00,65.60, 67.00,66.70,21324,14.25
17-Nov-2011,67.10,68.45,66.40, 66.70,66.55,68743,45.89
16-Nov-2011,70.20,70.50,67.20, 68.10,68.00,44838,30.64
15-Nov-2011,70.00,72.80,69.35, 69.80,70.10,96331,67.69
14-Nov-2011,73.00,73.50,69.65, 70.30,69.95,63817,45.13
11-Nov-2011,73.25,75.45,72.50, 72.60,72.70,21987,16.10
09-Nov-2011,76.30,76.30,73.60, 74.00,74.05,31799,23.89
08-Nov-2011,77.20,78.25,75.85, 76.50,76.40,20513,15.70
04-Nov-2011,79.90,79.90,77.10, 77.50,77.50,27074,21.10
03-Nov-2011,79.90,81.00,77.65, 78.00,78.15,174533,138.01
02-Nov-2011,79.05,82.00,77.65, 79.00,78.25,78210,62.49
01-Nov-2011,81.30,81.30,77.35, 80.65,80.40,67364,53.84
31-Oct-2011,81.00,86.60,77.10, 81.40,81.30,529810,433.76
28-Oct-2011,75.00,76.95,72.55, 72.85,73.00,52144,38.87
26-Oct-2011,72.00,74.70,71.50, 74.05,74.10,22677,16.69
25-Oct-2011,72.00,72.45,70.80, 71.25,71.40,18853,13.45
24-Oct-2011,73.25,74.55,70.20, 71.00,71.15,57084,41.25
21-Oct-2011,74.50,75.00,71.75, 72.15,72.25,45529,33.31
20-Oct-2011,75.90,75.90,73.35, 73.90,73.90,23104,17.15
19-Oct-2011,76.95,76.95,74.95, 75.00,75.20,9353,7.03
18-Oct-2011,75.90,75.90,73.20, 75.35,74.95,21451,15.93
17-Oct-2011,75.40,77.40,74.70, 75.00,75.25,36620,27.82
14-Oct-2011,76.10,79.35,75.15, 75.80,75.35,40414,30.81
13-Oct-2011,76.00,83.00,75.50, 76.00,76.35,193504,152.27
12-Oct-2011,75.90,76.90,75.00, 76.55,76.35,17389,13.23
11-Oct-2011,76.00,76.90,75.50, 76.70,76.35,4052,3.09
10-Oct-2011,74.60,76.35,74.60, 76.00,75.85,9955,7.52
07-Oct-2011,76.00,77.70,75.00, 75.45,75.45,18386,14.03
05-Oct-2011,75.10,77.00,74.40, 76.00,75.75,18140,13.71
04-Oct-2011,73.70,76.70,73.70, 75.70,76.35,18289,13.78
03-Oct-2011,75.55,75.55,73.30, 74.10,74.70,13362,9.97
