Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,43.35,43.95,43.35, 43.50,43.60,64740,28.30
29-Dec-2011,43.10,43.90,43.10, 43.25,43.25,207774,90.39
28-Dec-2011,43.00,43.80,43.00, 43.50,43.40,168774,73.26
27-Dec-2011,43.30,43.70,42.90, 43.50,43.30,108629,47.01
26-Dec-2011,43.35,43.50,42.80, 43.40,43.25,193510,83.41
23-Dec-2011,43.90,43.90,42.25, 42.65,42.90,394637,169.42
22-Dec-2011,41.00,43.30,40.70, 43.30,43.15,532644,225.47
21-Dec-2011,41.75,41.80,41.10, 41.20,41.25,561139,231.75
20-Dec-2011,41.90,42.25,40.50, 41.15,41.25,462995,191.57
19-Dec-2011,42.00,42.50,41.00, 41.55,41.45,493426,205.14
16-Dec-2011,43.40,43.90,42.00, 42.20,42.50,1018943,435.40
15-Dec-2011,42.55,43.25,42.25, 43.25,42.90,478994,203.73
14-Dec-2011,42.50,43.75,42.50, 42.75,42.90,1967320,850.27
13-Dec-2011,42.70,43.00,41.60, 42.50,42.60,831679,353.32
12-Dec-2011,43.45,44.25,42.60, 42.70,42.95,956905,414.94
09-Dec-2011,43.80,44.30,42.20, 43.10,43.25,729632,314.95
08-Dec-2011,43.80,45.45,43.65, 44.00,43.90,3070733,1369.16
07-Dec-2011,41.20,43.30,41.20, 43.30,43.30,505607,216.73
05-Dec-2011,39.80,41.25,39.10, 41.25,41.25,1442762,584.64
02-Dec-2011,37.70,39.50,37.50, 39.20,39.30,1207538,470.07
01-Dec-2011,37.00,38.10,36.70, 37.70,37.70,1028837,383.87
30-Nov-2011,36.50,36.90,35.50, 36.50,36.30,1585537,574.59
29-Nov-2011,37.40,37.45,35.90, 36.30,36.30,3013540,1101.04
28-Nov-2011,34.95,35.70,34.55, 35.70,35.70,859033,304.11
25-Nov-2011,32.40,36.80,32.40, 33.75,34.00,12347287,4172.11
24-Nov-2011,36.00,36.00,36.00, 36.00,36.00,3269513,1177.02
23-Nov-2011,48.85,48.85,40.00, 40.00,40.00,520734,209.37
22-Nov-2011,54.50,54.50,44.40, 44.40,44.40,5792420,2634.80
21-Nov-2011,46.10,60.65,46.10, 56.00,55.45,7733394,4339.49
18-Nov-2011,71.00,71.95,57.60, 57.60,57.60,634014,374.97
17-Nov-2011,72.10,73.50,69.30, 69.30,71.95,1505415,1097.66
16-Nov-2011,72.60,73.75,71.60, 73.00,73.00,403908,294.97
15-Nov-2011,74.70,75.40,72.10, 72.10,73.60,275075,203.46
14-Nov-2011,75.80,78.00,74.10, 75.55,75.40,1333868,1027.27
11-Nov-2011,74.00,76.40,73.50, 75.90,75.80,760675,569.02
09-Nov-2011,75.90,76.40,74.50, 75.30,75.55,1699096,1282.62
08-Nov-2011,77.50,78.00,75.15, 76.00,75.50,1239786,946.17
04-Nov-2011,78.10,79.75,78.10, 79.20,79.35,434955,345.00
03-Nov-2011,77.10,78.40,77.00, 77.45,77.50,882732,685.52
02-Nov-2011,78.60,78.95,77.10, 77.45,77.70,469689,365.56
01-Nov-2011,80.40,82.05,79.00, 79.50,79.30,1424961,1146.07
31-Oct-2011,78.50,81.25,77.55, 80.00,80.20,1521321,1216.03
28-Oct-2011,77.50,80.00,76.35, 78.00,78.15,410330,320.36
26-Oct-2011,75.90,77.80,74.75, 77.00,77.20,386093,295.55
25-Oct-2011,76.40,76.40,73.80, 75.15,75.75,1806301,1351.66
24-Oct-2011,77.40,78.35,74.70, 74.90,77.00,1315385,1016.62
21-Oct-2011,78.80,79.55,76.50, 76.70,77.30,1431461,1127.12
20-Oct-2011,78.20,82.25,76.50, 77.00,78.20,5314145,4222.48
19-Oct-2011,72.30,79.40,71.40, 78.00,78.15,2680088,2053.70
18-Oct-2011,70.25,72.80,70.25, 71.95,72.30,2312752,1663.87
17-Oct-2011,71.55,71.75,70.60, 71.00,71.25,976532,696.15
14-Oct-2011,70.50,71.70,70.00, 70.90,71.10,388554,275.81
13-Oct-2011,69.25,70.95,69.00, 70.90,70.50,1108123,776.87
12-Oct-2011,68.40,69.75,68.05, 69.40,69.70,645907,446.56
11-Oct-2011,69.70,71.80,67.55, 67.55,68.40,984295,677.90
10-Oct-2011,65.40,68.80,64.65, 68.40,68.50,3621534,2437.05
07-Oct-2011,63.65,65.75,63.50, 65.40,65.45,5450640,3522.17
05-Oct-2011,64.00,64.35,62.25, 62.25,63.30,483896,307.32
04-Oct-2011,64.40,64.75,63.10, 64.00,63.75,1309919,838.18
03-Oct-2011,64.75,66.50,62.75, 63.00,64.80,3235551,2118.30
30-Sep-2011,64.60,66.00,63.60, 64.75,64.85,612275,396.93
29-Sep-2011,66.10,66.20,64.75, 65.00,65.00,1731145,1134.12
28-Sep-2011,66.45,68.95,65.60, 65.80,66.35,725826,492.64
27-Sep-2011,66.90,67.10,65.50, 65.80,66.45,1033607,683.43
26-Sep-2011,67.90,69.50,65.05, 66.00,65.80,1538469,1014.68
23-Sep-2011,65.10,67.95,64.70, 67.50,67.65,1528893,1024.61
22-Sep-2011,66.65,67.90,65.05, 66.25,66.00,2411337,1598.01
21-Sep-2011,65.90,69.35,65.35, 68.85,68.80,2410189,1641.65
20-Sep-2011,66.00,67.35,63.00, 65.50,65.30,4973762,3231.69
19-Sep-2011,66.00,67.55,65.00, 65.90,66.50,1115754,744.58
16-Sep-2011,62.00,66.70,60.65, 65.65,66.20,3610121,2355.32
15-Sep-2011,61.00,62.25,60.20, 61.60,62.05,911930,562.67
