Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,329.50,329.50,322.10, 329.50,328.45,4806,15.76
29-Dec-2011,321.00,332.00,310.50, 330.00,330.25,10496,34.35
28-Dec-2011,319.00,325.25,313.30, 320.05,320.20,7257,23.40
27-Dec-2011,320.00,326.45,319.00, 323.50,325.20,8221,26.64
26-Dec-2011,309.65,322.00,309.00, 318.00,320.00,23755,75.69
23-Dec-2011,301.00,311.80,296.70, 308.10,310.30,18309,56.51
22-Dec-2011,302.00,304.50,295.00, 297.25,298.90,11306,33.90
21-Dec-2011,306.15,308.85,301.60, 302.25,302.90,5563,16.88
20-Dec-2011,308.90,308.90,298.10, 303.00,302.15,11833,35.63
19-Dec-2011,300.55,305.00,299.30, 305.00,301.55,49547,150.04
16-Dec-2011,305.45,308.60,304.50, 306.20,306.10,9058,27.72
15-Dec-2011,301.00,310.00,301.00, 307.50,305.45,6759,20.64
14-Dec-2011,296.00,309.00,295.00, 301.50,304.85,64151,195.86
13-Dec-2011,298.00,308.00,294.00, 306.75,304.15,9402,28.50
12-Dec-2011,304.00,307.00,300.10, 300.15,300.80,54253,165.42
09-Dec-2011,301.00,307.00,298.00, 305.00,305.15,79826,243.39
08-Dec-2011,303.50,308.00,299.00, 308.00,303.95,8013,24.34
07-Dec-2011,305.10,312.15,303.80, 306.00,304.15,17618,53.65
05-Dec-2011,311.50,313.95,306.30, 307.00,308.70,3141,9.76
02-Dec-2011,317.50,317.90,311.00, 311.10,311.85,4570,14.31
01-Dec-2011,321.85,321.95,316.05, 317.05,317.50,25540,81.67
30-Nov-2011,320.00,322.00,313.00, 319.45,319.10,9714,30.97
29-Nov-2011,321.00,325.75,316.15, 324.00,321.25,31740,102.89
28-Nov-2011,316.00,329.75,302.00, 329.75,326.55,29952,96.38
25-Nov-2011,323.90,324.90,310.80, 324.00,322.85,4237,13.45
24-Nov-2011,316.30,319.00,310.65, 318.50,317.90,2647,8.39
23-Nov-2011,321.05,324.70,313.60, 324.65,323.10,5662,18.12
22-Nov-2011,316.10,330.00,312.65, 325.00,325.10,72973,236.95
21-Nov-2011,313.20,324.00,311.05, 322.10,322.10,29850,96.03
18-Nov-2011,311.00,321.00,308.00, 320.00,317.80,11491,35.96
17-Nov-2011,312.00,315.00,310.15, 315.00,313.55,26388,82.15
16-Nov-2011,310.50,317.00,310.00, 317.00,315.45,7623,23.85
15-Nov-2011,315.00,316.90,306.00, 316.25,314.50,6186,19.35
14-Nov-2011,315.00,316.00,312.00, 315.90,315.15,3265,10.28
11-Nov-2011,311.05,316.00,310.00, 316.00,315.15,7120,22.31
09-Nov-2011,319.90,319.90,310.00, 318.00,315.25,5444,17.05
