Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,1084.40,1129.40,1076.20, 1100.00,1101.00,1423,15.67
29-Dec-2011,1119.85,1119.85,1095.00, 1100.00,1102.70,11956,131.93
28-Dec-2011,1105.05,1115.00,1100.00, 1100.00,1104.55,912,10.12
27-Dec-2011,1108.35,1118.00,1099.75, 1110.00,1107.90,1584,17.50
26-Dec-2011,1109.00,1117.95,1102.50, 1108.05,1108.35,1708,18.94
23-Dec-2011,1105.00,1115.00,1101.00, 1114.00,1109.25,1151,12.74
22-Dec-2011,1100.00,1120.95,1090.00, 1092.95,1098.10,2611,28.82
21-Dec-2011,1111.05,1149.00,1078.60, 1100.00,1101.55,3500,38.57
20-Dec-2011,1135.00,1140.00,1095.70, 1100.00,1118.15,4832,54.19
19-Dec-2011,1125.00,1148.80,1102.25, 1145.00,1129.60,4728,52.82
16-Dec-2011,1195.00,1195.00,1112.50, 1143.00,1134.60,8459,97.11
15-Dec-2011,1113.00,1248.00,1100.00, 1200.00,1187.45,10189,118.92
14-Dec-2011,1162.00,1175.05,1120.00, 1120.00,1123.75,2704,31.05
13-Dec-2011,1122.40,1156.35,1122.40, 1152.50,1149.65,2083,23.90
12-Dec-2011,1151.25,1162.95,1112.50, 1125.00,1120.05,25701,288.08
09-Dec-2011,1152.00,1169.85,1150.00, 1150.00,1152.40,1228,14.18
08-Dec-2011,1163.10,1184.00,1155.00, 1163.00,1160.85,3781,44.17
07-Dec-2011,1182.10,1195.50,1160.00, 1178.70,1178.90,5079,59.92
05-Dec-2011,1160.00,1176.00,1152.00, 1160.00,1161.15,2091,24.27
02-Dec-2011,1170.00,1187.90,1149.00, 1165.00,1162.85,2495,28.99
01-Dec-2011,1196.00,1196.00,1170.00, 1170.00,1173.55,1814,21.36
30-Nov-2011,1180.00,1190.00,1165.00, 1165.25,1171.20,1850,21.70
29-Nov-2011,1200.00,1200.00,1178.00, 1178.00,1184.85,757,8.99
28-Nov-2011,1192.05,1211.90,1185.05, 1199.95,1195.35,16079,192.40
25-Nov-2011,1178.05,1208.00,1175.00, 1185.05,1192.05,1509,17.93
24-Nov-2011,1205.00,1205.00,1177.00, 1199.95,1193.65,17282,204.75
23-Nov-2011,1180.10,1211.00,1180.05, 1211.00,1204.25,2297,27.58
22-Nov-2011,1227.05,1250.05,1185.55, 1195.00,1196.10,5421,66.00
21-Nov-2011,1263.50,1263.50,1240.00, 1240.00,1240.55,2503,31.19
18-Nov-2011,1273.20,1307.95,1243.40, 1248.00,1250.70,3180,40.11
17-Nov-2011,1319.00,1319.00,1293.65, 1295.00,1299.65,1546,20.11
16-Nov-2011,1311.60,1323.75,1302.10, 1313.45,1312.10,888,11.64
15-Nov-2011,1312.40,1329.00,1312.40, 1320.05,1322.85,980,12.93
14-Nov-2011,1312.20,1340.00,1312.20, 1321.70,1322.30,615,8.17
11-Nov-2011,1330.00,1334.95,1315.65, 1323.80,1322.90,1376,18.23
09-Nov-2011,1342.00,1360.00,1325.00, 1325.60,1334.05,3859,51.96
08-Nov-2011,1348.00,1348.00,1326.50, 1339.90,1337.00,1020,13.62
04-Nov-2011,1325.00,1347.95,1310.00, 1347.95,1337.30,4011,53.52
03-Nov-2011,1328.05,1337.00,1308.00, 1320.00,1320.15,3823,50.59
02-Nov-2011,1330.00,1345.00,1325.55, 1328.00,1330.45,5285,70.54
01-Nov-2011,1328.20,1346.90,1325.05, 1328.45,1331.20,3357,44.91
31-Oct-2011,1350.00,1350.00,1329.95, 1334.80,1334.05,2008,26.82
28-Oct-2011,1350.55,1371.75,1333.05, 1360.00,1351.60,3099,41.72
26-Oct-2011,1345.00,1355.00,1332.00, 1344.00,1347.55,461,6.22
25-Oct-2011,1345.30,1350.00,1310.00, 1332.80,1328.50,3492,46.58
24-Oct-2011,1367.05,1389.00,1345.00, 1345.00,1356.50,14311,196.39
21-Oct-2011,1371.00,1378.90,1356.20, 1365.10,1369.05,359,4.92
20-Oct-2011,1365.50,1390.00,1365.00, 1370.00,1370.40,1579,21.71
19-Oct-2011,1388.00,1399.00,1376.55, 1376.55,1382.15,13727,189.64
18-Oct-2011,1356.20,1400.00,1356.20, 1385.00,1387.85,4487,62.43
17-Oct-2011,1380.05,1399.00,1355.00, 1378.00,1375.65,3391,46.82
14-Oct-2011,1364.00,1398.20,1342.25, 1396.00,1393.25,3558,49.08
13-Oct-2011,1330.00,1364.45,1323.00, 1363.65,1359.30,1152,15.55
12-Oct-2011,1317.00,1343.70,1317.00, 1343.70,1339.15,641,8.56
11-Oct-2011,1347.00,1347.00,1313.20, 1331.95,1329.90,731,9.75
10-Oct-2011,1308.00,1342.95,1308.00, 1325.05,1326.05,737,9.80
07-Oct-2011,1332.00,1356.00,1320.00, 1324.95,1321.40,2284,30.53
05-Oct-2011,1340.00,1345.95,1330.00, 1330.10,1336.95,1371,18.37
04-Oct-2011,1325.50,1340.90,1322.50, 1337.95,1335.00,1443,19.24
03-Oct-2011,1374.70,1374.70,1325.00, 1338.95,1334.25,3143,41.99
30-Sep-2011,1327.50,1370.00,1327.50, 1356.00,1350.60,2291,30.86
29-Sep-2011,1350.00,1350.00,1336.00, 1345.50,1338.75,479,6.43
28-Sep-2011,1355.00,1357.70,1337.95, 1344.95,1340.65,374,5.02
27-Sep-2011,1340.00,1357.00,1335.00, 1355.00,1354.40,1312,17.66
26-Sep-2011,1365.00,1365.00,1326.50, 1345.00,1339.65,1278,17.12
23-Sep-2011,1364.85,1364.95,1325.65, 1350.00,1349.00,2701,36.45
22-Sep-2011,1377.70,1438.90,1354.00, 1378.00,1364.85,1854,25.34
21-Sep-2011,1372.00,1396.95,1353.65, 1366.00,1365.75,2768,38.09
20-Sep-2011,1355.00,1396.00,1355.00, 1390.00,1388.65,1128,15.62
19-Sep-2011,1390.00,1390.00,1351.50, 1363.00,1364.55,1607,21.96
16-Sep-2011,1370.00,1399.00,1357.00, 1368.95,1363.25,2098,28.81
15-Sep-2011,1382.00,1399.95,1373.00, 1377.10,1377.55,840,11.62
