Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,353.80,355.30,352.00, 352.00,352.55,22942,81.22
29-Dec-2011,353.00,357.80,353.00, 353.50,353.75,26266,93.02
28-Dec-2011,355.00,358.75,353.00, 355.25,356.55,21598,76.76
27-Dec-2011,361.90,361.90,354.00, 356.50,355.80,29266,104.18
26-Dec-2011,356.00,359.95,351.40, 358.25,357.90,30382,108.46
23-Dec-2011,356.25,361.30,355.10, 355.10,356.50,28857,103.07
22-Dec-2011,354.25,364.00,350.35, 364.00,360.30,25794,91.72
21-Dec-2011,344.00,361.00,340.40, 361.00,354.70,25128,87.88
20-Dec-2011,368.50,370.00,342.00, 344.15,345.30,25089,90.71
19-Dec-2011,369.50,371.10,366.05, 369.95,368.20,31838,117.38
16-Dec-2011,368.15,372.50,368.15, 370.95,370.20,44874,166.37
15-Dec-2011,368.25,371.75,368.25, 371.75,371.25,42245,156.34
14-Dec-2011,369.75,372.95,369.75, 370.50,371.45,37781,140.14
13-Dec-2011,369.00,373.85,368.25, 373.45,371.90,35694,132.39
12-Dec-2011,371.25,374.00,369.00, 374.00,372.35,35308,130.91
09-Dec-2011,370.00,372.00,369.05, 372.00,370.85,37153,137.72
08-Dec-2011,373.00,373.00,370.00, 370.00,370.60,36109,133.92
07-Dec-2011,374.30,374.50,370.15, 374.15,373.75,33340,124.22
05-Dec-2011,374.90,375.75,370.20, 374.85,374.50,43946,164.28
02-Dec-2011,369.15,375.90,369.10, 374.00,374.90,49716,185.72
01-Dec-2011,377.00,377.95,370.00, 370.55,372.25,39508,146.93
30-Nov-2011,374.40,376.00,371.20, 374.70,374.35,40745,152.84
29-Nov-2011,376.00,376.00,372.50, 375.00,374.75,42076,157.75
28-Nov-2011,364.00,376.20,342.50, 375.00,375.10,109516,410.61
25-Nov-2011,370.95,371.90,369.35, 370.00,370.40,42301,156.54
24-Nov-2011,372.00,372.00,369.50, 370.00,371.40,44044,163.17
23-Nov-2011,371.00,373.80,370.25, 373.75,371.65,61768,229.48
22-Nov-2011,371.00,375.00,368.15, 374.90,374.65,51027,189.50
21-Nov-2011,373.00,374.50,370.00, 374.50,373.50,68456,254.70
18-Nov-2011,371.00,376.95,368.00, 374.90,374.95,69064,255.74
17-Nov-2011,373.45,382.80,370.30, 372.00,372.70,63677,236.62
16-Nov-2011,370.25,374.00,368.25, 373.00,372.00,69295,257.39
15-Nov-2011,372.05,376.50,371.00, 373.00,372.50,88470,330.24
14-Nov-2011,378.35,378.35,374.00, 375.10,375.10,68934,260.06
11-Nov-2011,379.80,380.00,376.05, 377.50,377.60,93517,353.83
09-Nov-2011,387.30,387.30,378.10, 380.00,379.55,124993,474.69
08-Nov-2011,386.35,386.35,377.05, 382.95,379.70,101010,383.44
04-Nov-2011,383.80,383.80,378.00, 378.30,379.50,56053,212.38
03-Nov-2011,377.00,383.00,377.00, 379.90,379.85,50125,190.50
02-Nov-2011,380.00,386.20,380.00, 381.40,381.50,52757,201.45
01-Nov-2011,388.50,389.00,382.10, 383.50,384.45,47120,180.69
31-Oct-2011,394.80,394.80,383.00, 385.00,385.50,53791,207.33
28-Oct-2011,392.50,392.50,383.25, 388.95,388.90,46063,177.80
26-Oct-2011,376.05,394.75,376.00, 394.00,381.05,8222,31.08
25-Oct-2011,371.50,384.00,369.10, 383.95,379.80,57635,213.97
24-Oct-2011,367.30,372.00,367.30, 372.00,371.00,55710,206.10
21-Oct-2011,367.05,373.00,367.05, 370.25,370.75,49430,182.79
20-Oct-2011,371.00,372.00,368.00, 372.00,370.35,50340,185.83
19-Oct-2011,371.00,371.00,368.30, 368.35,369.70,47291,174.82
18-Oct-2011,370.90,371.30,369.00, 371.00,370.00,53168,196.55
17-Oct-2011,369.50,372.95,369.00, 372.90,371.30,50842,188.15
14-Oct-2011,371.00,373.00,368.75, 373.00,370.70,44697,165.30
13-Oct-2011,367.50,372.20,367.50, 372.00,370.95,46857,173.51
12-Oct-2011,369.00,371.50,367.55, 370.00,370.50,56693,209.63
11-Oct-2011,370.00,372.80,368.05, 370.00,369.55,42572,157.54
