Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,23.80,24.00,23.55, 23.55,23.65,16578,3.93
29-Dec-2011,23.95,24.10,23.55, 23.85,23.75,17188,4.09
28-Dec-2011,24.80,25.05,23.50, 23.50,23.60,17173,4.07
27-Dec-2011,23.85,24.25,23.75, 23.75,23.75,12019,2.87
26-Dec-2011,23.60,24.55,23.60, 24.00,23.95,10392,2.50
23-Dec-2011,24.00,24.35,23.65, 23.80,23.90,15043,3.60
22-Dec-2011,23.55,24.05,23.30, 24.05,23.95,30584,7.25
21-Dec-2011,23.95,24.20,23.50, 23.90,23.90,34586,8.26
20-Dec-2011,23.30,23.95,23.30, 23.75,23.60,23759,5.60
19-Dec-2011,24.00,24.00,23.10, 23.60,23.50,53538,12.56
16-Dec-2011,24.00,24.95,23.60, 23.80,23.85,70720,17.21
15-Dec-2011,25.00,25.20,24.10, 24.10,24.25,79717,19.67
14-Dec-2011,24.05,24.65,24.00, 24.45,24.45,15652,3.80
13-Dec-2011,24.10,24.70,24.05, 24.15,24.20,26451,6.43
12-Dec-2011,24.25,25.25,24.15, 24.15,24.25,21595,5.29
09-Dec-2011,24.30,24.65,24.15, 24.35,24.35,39747,9.71
08-Dec-2011,24.90,25.25,24.55, 24.70,24.70,27378,6.79
07-Dec-2011,24.55,25.85,24.50, 25.20,24.95,54636,13.80
05-Dec-2011,25.05,25.45,24.55, 24.55,24.70,23798,5.93
02-Dec-2011,25.00,26.20,24.00, 25.05,25.15,230875,58.85
01-Dec-2011,24.05,25.05,23.55, 24.55,24.30,73545,18.01
30-Nov-2011,23.90,23.90,23.45, 23.75,23.70,17625,4.17
29-Nov-2011,24.00,24.00,23.60, 23.65,23.75,9616,2.28
28-Nov-2011,24.30,24.30,23.40, 23.90,23.85,85557,20.36
25-Nov-2011,23.10,24.80,23.00, 23.90,24.05,28905,6.86
24-Nov-2011,22.90,23.80,22.80, 23.25,23.20,34179,7.92
23-Nov-2011,23.05,23.45,23.00, 23.05,23.10,20795,4.81
22-Nov-2011,23.10,23.55,23.05, 23.30,23.20,28727,6.68
21-Nov-2011,23.60,24.05,23.15, 23.25,23.30,18346,4.34
18-Nov-2011,24.05,24.25,23.10, 23.65,23.55,232462,55.00
17-Nov-2011,24.10,26.50,23.90, 24.35,24.40,338953,85.39
16-Nov-2011,23.80,24.00,23.30, 23.90,23.65,30201,7.12
15-Nov-2011,24.55,24.55,23.55, 23.55,23.90,42616,10.20
14-Nov-2011,25.30,25.30,24.20, 24.35,24.25,30853,7.52
11-Nov-2011,24.80,24.80,24.25, 24.45,24.50,54825,13.41
09-Nov-2011,25.80,25.80,24.70, 24.75,24.80,41656,10.44
08-Nov-2011,26.00,26.00,25.10, 25.30,25.45,26145,6.67
04-Nov-2011,28.10,28.75,25.65, 25.95,26.00,372117,98.23
03-Nov-2011,24.35,29.40,24.20, 28.45,28.10,508680,142.79
02-Nov-2011,24.75,24.90,24.30, 24.50,24.50,17853,4.39
01-Nov-2011,24.30,24.80,24.15, 24.65,24.55,4620,1.13
31-Oct-2011,24.50,24.80,24.25, 24.80,24.70,42393,10.37
28-Oct-2011,25.00,25.00,24.30, 24.80,24.55,139232,34.16
26-Oct-2011,24.40,25.05,24.25, 24.75,24.90,20435,5.06
25-Oct-2011,24.55,24.60,24.05, 24.20,24.30,19838,4.82
24-Oct-2011,23.80,24.30,23.65, 24.05,23.90,18215,4.36
21-Oct-2011,24.30,24.30,23.95, 24.00,24.00,7981,1.92
20-Oct-2011,24.00,24.25,23.75, 23.90,24.00,15594,3.74
19-Oct-2011,23.75,24.20,23.75, 24.10,24.00,21182,5.08
18-Oct-2011,23.95,23.95,23.50, 23.70,23.65,5184,1.23
17-Oct-2011,23.80,24.05,23.80, 23.95,23.95,5032,1.20
14-Oct-2011,24.20,24.20,23.70, 23.70,23.90,11792,2.82
13-Oct-2011,24.05,24.40,23.55, 23.90,23.90,19398,4.68
12-Oct-2011,24.30,24.30,23.90, 24.05,24.10,17594,4.25
11-Oct-2011,24.50,24.50,23.90, 24.00,24.00,7936,1.91
10-Oct-2011,23.85,24.45,23.45, 24.40,24.20,29957,7.23
07-Oct-2011,23.60,24.45,23.60, 23.90,24.10,21618,5.17
05-Oct-2011,24.00,24.50,22.85, 24.05,23.80,150153,35.29
04-Oct-2011,23.75,25.05,23.60, 24.00,24.10,48840,11.90
03-Oct-2011,24.05,24.10,23.80, 24.10,24.05,38949,9.30
30-Sep-2011,24.30,24.65,23.80, 24.00,23.95,23492,5.67
29-Sep-2011,24.05,24.65,23.80, 24.50,24.50,16771,4.08
28-Sep-2011,23.65,24.50,23.65, 24.25,24.25,14650,3.55
27-Sep-2011,24.00,24.65,24.00, 24.20,24.20,19368,4.72
26-Sep-2011,24.00,24.30,24.00, 24.10,24.05,22560,5.42
23-Sep-2011,24.05,24.20,23.60, 24.00,24.00,16448,3.95
22-Sep-2011,24.50,24.55,24.15, 24.25,24.30,45693,11.12
21-Sep-2011,24.25,24.85,24.25, 24.60,24.50,9261,2.28
20-Sep-2011,24.45,24.45,24.15, 24.40,24.20,10724,2.60
19-Sep-2011,24.55,24.55,24.10, 24.25,24.15,6916,1.67
16-Sep-2011,24.05,24.50,24.00, 24.50,24.35,21759,5.30
15-Sep-2011,24.05,24.50,24.00, 24.05,24.15,8827,2.14
14-Sep-2011,24.00,24.45,23.80, 24.35,24.25,19042,4.60
13-Sep-2011,24.50,24.50,23.45, 24.10,24.05,22538,5.44
12-Sep-2011,24.05,24.55,23.80, 24.15,24.30,10384,2.51
09-Sep-2011,25.05,25.05,24.40, 24.70,24.60,22093,5.46
08-Sep-2011,24.05,24.90,24.00, 24.80,24.70,25092,6.20
07-Sep-2011,23.95,24.50,23.95, 24.25,24.25,21967,5.32
06-Sep-2011,23.25,24.25,23.15, 23.90,23.90,31644,7.58
05-Sep-2011,23.75,24.00,23.55, 23.80,23.65,15615,3.70
02-Sep-2011,23.80,24.05,23.55, 24.00,23.90,24543,5.85
30-Aug-2011,23.50,24.00,23.30, 23.50,23.55,63962,15.12
29-Aug-2011,23.55,23.95,22.85, 23.15,23.45,37677,8.85
26-Aug-2011,23.20,23.60,22.45, 22.80,22.75,143707,32.97
25-Aug-2011,23.25,23.75,23.15, 23.75,23.55,12152,2.84
24-Aug-2011,24.00,24.00,23.30, 23.90,23.55,27359,6.47
23-Aug-2011,24.45,24.45,23.50, 24.00,23.95,11007,2.62
22-Aug-2011,24.00,24.00,23.35, 23.70,23.70,16875,3.99
19-Aug-2011,23.15,24.00,23.00, 23.50,23.60,110519,25.67
18-Aug-2011,24.05,24.20,23.70, 24.20,23.90,57217,13.70
17-Aug-2011,24.30,24.50,24.00, 24.30,24.05,55745,13.40
16-Aug-2011,24.45,24.90,24.00, 24.00,24.00,22413,5.43
12-Aug-2011,25.00,25.50,24.30, 24.50,24.45,7554,1.85
11-Aug-2011,24.20,24.80,24.20, 24.30,24.35,40312,9.86
10-Aug-2011,24.20,25.00,24.20, 24.40,24.50,51497,12.61
09-Aug-2011,24.00,25.20,24.00, 24.15,24.35,131960,32.17
08-Aug-2011,24.20,24.50,24.00, 24.40,24.15,64707,15.63
05-Aug-2011,24.45,24.80,24.00, 24.60,24.45,108482,26.28
04-Aug-2011,25.65,25.80,25.25, 25.50,25.60,98641,25.21
03-Aug-2011,25.70,25.70,24.90, 25.15,25.15,37068,9.31
02-Aug-2011,25.70,25.70,24.80, 25.70,25.60,179634,45.26
01-Aug-2011,25.50,25.85,25.15, 25.45,25.60,36583,9.32
29-Jul-2011,26.45,26.45,25.25, 25.40,25.50,36791,9.38
28-Jul-2011,25.00,25.70,25.00, 25.70,25.60,38503,9.80
27-Jul-2011,24.75,25.70,24.70, 25.55,25.40,59875,15.09
26-Jul-2011,25.40,25.80,25.10, 25.40,25.30,50470,12.79
25-Jul-2011,25.10,26.30,25.00, 25.70,25.70,115183,29.75
22-Jul-2011,25.20,25.80,24.55, 25.20,25.20,144938,36.73
21-Jul-2011,24.65,24.90,24.65, 24.90,24.80,29566,7.32
20-Jul-2011,25.00,25.25,24.65, 24.75,24.80,55560,13.86
19-Jul-2011,24.70,25.25,24.70, 24.90,25.05,40843,10.23
18-Jul-2011,24.85,25.70,24.75, 25.05,25.10,53230,13.40
15-Jul-2011,25.85,25.85,24.65, 25.00,24.90,101106,25.36
14-Jul-2011,25.40,25.95,25.05, 25.45,25.35,102566,26.20
13-Jul-2011,26.90,27.30,25.65, 25.70,25.75,162388,42.78
12-Jul-2011,25.95,28.25,25.95, 26.60,26.75,1432797,392.78
11-Jul-2011,24.10,26.35,24.10, 25.95,26.05,523223,134.86
08-Jul-2011,25.00,25.10,24.25, 24.30,24.35,29198,7.14
07-Jul-2011,24.40,24.85,24.40, 24.60,24.65,22296,5.51
06-Jul-2011,25.10,25.10,24.45, 24.45,24.55,18608,4.60
05-Jul-2011,25.00,25.30,24.80, 24.85,24.95,21208,5.31
04-Jul-2011,24.90,25.60,24.60, 25.00,24.95,85634,21.42
01-Jul-2011,24.15,24.80,24.15, 24.50,24.45,17995,4.41
30-Jun-2011,24.85,24.85,24.25, 24.55,24.45,9721,2.38
