Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,2.70,2.75,2.65, 2.70,2.70,1105,0.03
29-Dec-2011,2.75,2.95,2.75, 2.85,2.85,1001,0.03
28-Dec-2011,2.85,2.85,2.75, 2.75,2.75,1460,0.04
27-Dec-2011,2.75,3.00,2.75, 3.00,3.00,400,0.01
26-Dec-2011,3.00,3.00,2.75, 2.75,2.75,4506,0.13
23-Dec-2011,3.00,3.00,2.75, 2.85,2.85,1956,0.05
22-Dec-2011,2.65,2.95,2.55, 2.85,2.75,4831,0.13
21-Dec-2011,3.15,3.15,2.50, 2.70,2.70,16077,0.43
20-Dec-2011,2.90,3.00,2.85, 3.00,3.00,1321,0.04
19-Dec-2011,2.80,3.40,2.80, 2.90,2.95,1624,0.05
16-Dec-2011,2.90,3.20,2.80, 2.95,2.95,15347,0.47
15-Dec-2011,3.00,3.30,2.90, 3.00,3.05,7722,0.23
14-Dec-2011,3.05,3.30,3.05, 3.30,3.20,266,0.01
13-Dec-2011,3.20,3.30,3.00, 3.10,3.10,4469,0.14
12-Dec-2011,3.25,3.25,3.10, 3.20,3.25,2904,0.09
09-Dec-2011,3.00,3.35,3.00, 3.05,3.25,4235,0.13
08-Dec-2011,3.20,3.20,3.05, 3.05,3.05,418,0.01
07-Dec-2011,3.10,3.30,3.10, 3.20,3.25,369,0.01
05-Dec-2011,3.15,3.35,3.05, 3.35,3.25,2682,0.09
02-Dec-2011,3.00,3.25,3.00, 3.15,3.15,4044,0.13
01-Dec-2011,3.30,3.30,3.15, 3.25,3.25,2520,0.08
30-Nov-2011,3.00,3.15,2.90, 3.00,3.00,744,0.02
29-Nov-2011,3.30,3.30,2.95, 3.05,3.05,8791,0.27
28-Nov-2011,3.25,3.25,3.05, 3.10,3.10,1216,0.04
25-Nov-2011,3.40,3.80,3.00, 3.00,3.00,5661,0.18
24-Nov-2011,3.10,3.20,3.10, 3.20,3.20,936,0.03
23-Nov-2011,3.25,3.50,2.90, 2.90,2.90,13682,0.42
22-Nov-2011,3.50,3.50,3.00, 3.10,3.05,2404,0.07
21-Nov-2011,3.15,3.40,3.00, 3.10,3.20,2435,0.08
18-Nov-2011,3.55,3.55,2.85, 3.35,3.35,7090,0.22
17-Nov-2011,3.55,3.75,3.30, 3.55,3.55,5100,0.18
16-Nov-2011,3.65,3.70,3.25, 3.30,3.30,5971,0.21
15-Nov-2011,3.95,3.95,3.60, 3.95,3.75,2730,0.10
14-Nov-2011,3.90,3.90,3.50, 3.80,3.55,10579,0.39
11-Nov-2011,3.80,3.90,3.80, 3.85,3.85,1448,0.06
09-Nov-2011,3.95,4.00,3.80, 3.80,3.80,3270,0.13
08-Nov-2011,3.80,4.00,3.70, 3.95,3.85,6703,0.26
04-Nov-2011,3.85,3.95,3.80, 3.80,3.85,8800,0.34
03-Nov-2011,3.90,4.00,3.80, 3.95,3.95,4250,0.16
02-Nov-2011,4.10,4.25,3.85, 4.25,4.10,8576,0.35
01-Nov-2011,4.10,4.10,3.90, 3.90,3.90,3242,0.13
31-Oct-2011,3.80,4.05,3.80, 4.05,4.00,12461,0.49
28-Oct-2011,3.90,3.95,3.75, 3.75,3.85,8379,0.33
26-Oct-2011,4.00,4.15,3.80, 3.95,3.95,6105,0.24
25-Oct-2011,4.00,4.10,3.75, 4.00,3.95,1393,0.06
24-Oct-2011,3.95,4.00,3.75, 3.75,3.75,6506,0.25
21-Oct-2011,3.70,4.15,3.70, 3.80,3.80,5395,0.21
20-Oct-2011,3.90,4.15,3.75, 3.80,3.85,8402,0.33
19-Oct-2011,3.70,3.95,3.70, 3.80,3.80,12583,0.49
18-Oct-2011,4.10,4.10,3.80, 3.80,3.80,6876,0.26
17-Oct-2011,3.95,4.00,3.95, 4.00,4.00,334,0.01
14-Oct-2011,4.15,4.15,3.85, 3.85,3.90,5320,0.21
13-Oct-2011,4.00,4.00,3.90, 4.00,4.00,4625,0.18
12-Oct-2011,4.15,4.15,4.00, 4.05,4.05,5392,0.22
11-Oct-2011,4.10,4.15,3.95, 4.15,4.15,2380,0.10
10-Oct-2011,3.85,4.00,3.80, 3.90,3.90,533,0.02
07-Oct-2011,3.85,4.35,3.80, 3.85,3.90,15435,0.62
05-Oct-2011,3.70,4.05,3.70, 4.00,4.00,14255,0.56
04-Oct-2011,4.05,4.05,3.70, 3.70,3.70,5754,0.22
03-Oct-2011,3.90,3.90,3.70, 3.85,3.85,785,0.03
30-Sep-2011,3.90,4.10,3.75, 3.95,3.95,5940,0.23
29-Sep-2011,3.70,4.00,3.65, 3.75,3.75,7186,0.27
28-Sep-2011,3.90,3.90,3.80, 3.80,3.85,1250,0.05
27-Sep-2011,3.95,4.10,3.85, 3.95,3.90,5721,0.23
26-Sep-2011,4.00,4.10,3.80, 4.05,4.05,3655,0.14
23-Sep-2011,4.00,4.10,3.90, 4.00,3.90,4836,0.19
22-Sep-2011,3.95,4.05,3.90, 3.95,3.95,18766,0.74
21-Sep-2011,4.00,4.15,3.80, 4.10,4.05,9986,0.40
20-Sep-2011,4.40,4.40,4.10, 4.20,4.20,8211,0.35
