Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,160.00,161.00,155.00, 155.00,156.15,34790,55.28
29-Dec-2011,157.20,158.50,155.20, 156.50,156.40,8610,13.53
28-Dec-2011,160.20,164.40,158.00, 158.50,158.90,5377,8.59
27-Dec-2011,166.00,168.50,162.00, 162.35,162.40,20846,34.53
26-Dec-2011,160.20,166.00,160.20, 165.00,164.80,17546,28.94
23-Dec-2011,154.00,165.05,154.00, 161.00,162.10,54320,86.85
22-Dec-2011,156.00,156.00,150.15, 154.25,154.00,13176,20.13
21-Dec-2011,157.25,157.90,150.00, 152.35,152.40,57792,87.96
20-Dec-2011,160.00,160.00,153.55, 155.70,154.45,32331,50.67
19-Dec-2011,161.30,161.30,155.10, 158.50,159.30,44536,69.98
16-Dec-2011,164.00,167.80,159.25, 160.00,161.05,20828,34.41
15-Dec-2011,162.00,164.55,161.10, 163.50,163.70,19043,30.98
14-Dec-2011,162.80,167.00,162.80, 163.00,163.55,15644,25.75
13-Dec-2011,167.60,170.00,162.30, 165.45,164.05,19557,32.27
12-Dec-2011,173.50,174.00,167.00, 167.20,167.60,15258,25.99
09-Dec-2011,172.20,172.40,169.35, 170.50,170.75,26756,45.60
08-Dec-2011,181.00,183.70,171.10, 175.00,174.30,104429,186.51
07-Dec-2011,178.00,178.45,174.15, 178.25,177.80,35267,62.61
05-Dec-2011,175.00,177.60,173.10, 176.45,176.30,12309,21.70
02-Dec-2011,174.00,177.90,173.25, 176.00,176.05,16169,28.39
01-Dec-2011,173.00,178.15,172.60, 175.50,177.10,59188,103.95
30-Nov-2011,170.00,172.00,168.30, 170.10,170.75,43643,74.24
29-Nov-2011,171.30,172.00,169.40, 170.00,169.90,22014,37.51
28-Nov-2011,169.00,173.60,169.00, 171.00,170.80,49352,84.48
25-Nov-2011,164.90,171.10,164.90, 167.00,167.35,31856,53.79
24-Nov-2011,163.90,163.90,162.20, 162.95,162.85,11507,18.73
23-Nov-2011,163.25,165.95,163.00, 163.00,163.90,30598,50.22
22-Nov-2011,165.00,165.90,163.95, 164.90,164.95,25969,42.82
21-Nov-2011,165.95,166.85,162.00, 164.65,164.70,22393,36.94
18-Nov-2011,166.10,169.00,164.10, 166.30,165.90,45630,75.48
17-Nov-2011,168.10,168.95,165.10, 167.80,168.00,29107,48.84
16-Nov-2011,170.25,170.25,167.10, 169.95,169.10,34464,58.01
15-Nov-2011,167.00,173.80,166.25, 170.45,170.20,65607,111.80
14-Nov-2011,172.55,172.55,166.35, 167.30,167.30,39229,66.28
11-Nov-2011,173.35,175.00,170.00, 172.75,171.95,24991,42.88
