Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,100.00,100.80,99.35, 100.10,100.10,1174376,1174.35
29-Dec-2011,100.00,100.50,99.20, 100.05,100.00,1645247,1644.76
28-Dec-2011,99.20,100.95,98.40, 100.55,100.20,1898837,1889.38
27-Dec-2011,100.75,100.80,97.15, 99.20,98.95,2355225,2321.03
26-Dec-2011,100.60,101.10,100.20, 100.35,100.85,716334,721.36
23-Dec-2011,100.50,101.95,99.55, 100.90,101.25,1827907,1847.85
22-Dec-2011,97.75,101.00,97.50, 100.85,100.65,1944227,1927.76
21-Dec-2011,98.50,98.85,97.00, 97.80,97.90,5771140,5661.50
20-Dec-2011,99.45,99.45,96.75, 97.30,97.55,3752246,3695.51
19-Dec-2011,96.60,99.85,96.25, 99.80,99.15,2711657,2653.94
16-Dec-2011,99.25,101.30,96.60, 97.70,98.10,7081831,7058.79
15-Dec-2011,94.95,100.35,94.90, 99.40,99.35,7297476,7157.54
14-Dec-2011,98.95,99.50,96.00, 96.10,96.35,3249185,3167.08
13-Dec-2011,96.40,99.90,95.60, 99.50,99.10,2239847,2198.24
12-Dec-2011,99.00,99.40,95.70, 96.75,96.60,4590341,4449.79
09-Dec-2011,97.55,98.75,97.10, 98.75,98.55,2417043,2371.94
08-Dec-2011,102.95,103.40,99.00, 99.40,99.40,3267678,3278.55
07-Dec-2011,102.05,104.55,101.85, 102.90,103.15,3361153,3463.87
05-Dec-2011,102.20,103.45,101.85, 102.45,102.65,1663858,1707.55
02-Dec-2011,100.05,104.00,99.90, 103.05,103.40,3210607,3289.72
01-Dec-2011,100.00,102.00,99.50, 99.95,100.00,2375148,2390.00
30-Nov-2011,95.45,99.90,95.30, 98.85,99.10,7657574,7495.04
29-Nov-2011,97.40,97.80,95.00, 95.00,95.20,3026208,2911.38
28-Nov-2011,97.10,97.75,96.20, 97.10,97.10,3057805,2969.20
25-Nov-2011,95.65,97.20,94.80, 96.25,96.40,4347034,4172.31
24-Nov-2011,95.90,96.50,94.65, 95.00,95.30,5696700,5433.43
23-Nov-2011,97.35,97.70,94.15, 95.50,95.05,2765398,2647.47
22-Nov-2011,99.50,99.50,97.10, 97.70,97.90,3230215,3168.32
21-Nov-2011,99.50,101.00,98.40, 99.00,99.05,3220543,3208.96
18-Nov-2011,103.00,103.50,98.35, 100.15,100.95,3921428,3952.58
17-Nov-2011,103.50,105.35,102.80, 103.00,103.15,2567433,2667.22
16-Nov-2011,102.70,105.35,102.70, 104.30,104.20,3127433,3245.75
15-Nov-2011,104.05,105.65,103.25, 103.50,103.60,1463874,1530.68
14-Nov-2011,105.80,107.00,104.55, 104.65,105.35,4576535,4848.10
11-Nov-2011,103.50,105.75,103.00, 105.10,105.45,4357866,4554.16
09-Nov-2011,104.00,104.65,103.40, 103.50,103.55,1880337,1954.82
08-Nov-2011,103.85,104.00,103.40, 103.65,103.85,519252,538.45
04-Nov-2011,105.00,105.00,103.40, 103.90,103.85,1164832,1212.87
03-Nov-2011,103.50,104.55,103.05, 104.25,104.10,1505678,1564.77
02-Nov-2011,103.00,103.95,102.40, 103.20,103.10,1366710,1409.90
01-Nov-2011,104.25,105.15,103.00, 103.20,103.65,1212433,1258.19
31-Oct-2011,105.00,105.60,103.40, 105.40,104.85,2565738,2683.34
28-Oct-2011,105.50,108.00,103.25, 104.95,105.00,4783829,4987.99
26-Oct-2011,103.40,104.90,103.40, 103.65,103.95,471362,490.87
25-Oct-2011,100.80,104.75,100.60, 103.90,103.90,4278299,4371.02
24-Oct-2011,100.25,101.25,100.10, 100.50,100.75,1875801,1892.03
21-Oct-2011,98.75,100.10,98.25, 99.50,99.00,1196816,1188.09
20-Oct-2011,99.10,99.90,98.70, 99.00,99.00,1620872,1605.28
