Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,32.00,33.50,30.45, 33.50,33.20,479251,158.02
29-Dec-2011,32.60,33.00,30.40, 31.00,31.60,28042,9.00
28-Dec-2011,32.50,33.40,32.05, 32.80,32.60,25628,8.38
27-Dec-2011,33.80,33.80,33.05, 33.10,33.15,18024,6.03
26-Dec-2011,31.25,33.40,31.25, 33.40,33.05,51403,16.82
23-Dec-2011,31.00,32.40,30.50, 31.90,31.70,42823,13.55
22-Dec-2011,30.00,31.40,29.10, 31.15,30.90,49011,14.92
21-Dec-2011,30.65,30.65,29.55, 30.15,30.00,63724,19.06
20-Dec-2011,31.20,32.50,28.50, 29.10,29.15,154789,47.06
19-Dec-2011,29.85,32.75,28.10, 32.50,31.65,135186,41.23
16-Dec-2011,35.00,36.00,28.80, 31.30,29.85,132628,41.09
15-Dec-2011,36.00,36.00,34.75, 35.50,35.20,24960,8.77
14-Dec-2011,36.30,37.00,35.55, 36.60,36.25,47859,17.31
13-Dec-2011,35.25,37.50,34.20, 36.00,36.00,112208,40.47
12-Dec-2011,38.90,39.00,35.40, 35.95,35.65,156317,57.53
09-Dec-2011,34.80,38.65,34.10, 37.80,37.25,465786,175.59
08-Dec-2011,36.60,36.60,35.10, 35.10,35.30,37830,13.44
07-Dec-2011,36.00,37.70,35.75, 36.60,36.50,236532,86.85
05-Dec-2011,35.00,36.20,34.25, 34.55,35.40,279857,98.62
02-Dec-2011,32.05,34.50,32.00, 34.45,34.25,116201,38.68
01-Dec-2011,33.50,33.50,31.85, 32.25,32.25,38727,12.61
30-Nov-2011,33.00,33.35,32.00, 32.45,32.35,9506,3.09
29-Nov-2011,34.40,34.40,32.50, 33.05,33.05,11778,3.95
28-Nov-2011,34.45,34.50,33.40, 33.60,33.55,46674,15.80
25-Nov-2011,32.10,33.95,32.05, 33.70,33.60,21681,7.24
24-Nov-2011,31.90,32.95,30.95, 32.90,32.65,39984,12.73
23-Nov-2011,34.00,34.50,31.45, 31.80,32.00,79519,25.31
