Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,12.70,13.00,12.55, 13.00,12.90,5914,0.76
29-Dec-2011,12.50,13.00,12.50, 12.90,12.95,5262,0.68
28-Dec-2011,13.05,13.10,12.90, 13.00,13.00,5076,0.66
27-Dec-2011,13.00,13.00,12.90, 13.00,13.00,2407,0.31
26-Dec-2011,13.00,13.50,12.75, 12.90,13.00,11174,1.45
23-Dec-2011,12.95,13.30,12.70, 12.95,13.00,7932,1.03
22-Dec-2011,12.85,13.30,12.85, 13.20,13.10,8031,1.05
21-Dec-2011,12.65,13.15,12.65, 13.15,13.05,6212,0.80
20-Dec-2011,12.65,12.95,12.60, 12.65,12.70,13328,1.71
19-Dec-2011,13.10,14.00,12.75, 12.75,12.85,66634,8.70
16-Dec-2011,13.50,14.00,13.40, 13.40,13.40,10675,1.45
15-Dec-2011,13.55,14.00,13.30, 13.60,13.50,11921,1.62
14-Dec-2011,14.00,14.40,13.80, 14.25,14.00,10502,1.47
13-Dec-2011,14.00,14.30,13.80, 14.30,14.15,115625,16.18
12-Dec-2011,14.75,14.80,13.95, 14.00,14.00,20993,2.99
09-Dec-2011,14.20,14.25,13.85, 14.00,14.00,15111,2.12
08-Dec-2011,14.05,14.70,13.85, 14.50,14.40,16381,2.33
07-Dec-2011,14.75,14.75,14.10, 14.45,14.35,14216,2.04
05-Dec-2011,14.05,14.90,14.05, 14.75,14.55,9354,1.36
02-Dec-2011,14.90,14.90,14.05, 14.50,14.45,9616,1.39
01-Dec-2011,14.50,15.20,14.50, 14.60,14.50,21913,3.19
30-Nov-2011,14.85,15.50,13.90, 14.50,14.40,27601,3.94
29-Nov-2011,14.45,14.80,14.25, 14.55,14.55,20416,2.96
28-Nov-2011,14.00,14.80,14.00, 14.80,14.70,23726,3.45
25-Nov-2011,14.40,14.50,14.05, 14.25,14.25,24050,3.43
24-Nov-2011,14.10,14.50,13.90, 14.30,14.05,10953,1.54
23-Nov-2011,14.00,14.45,13.90, 14.30,14.25,10779,1.52
22-Nov-2011,13.75,14.85,13.75, 14.25,14.20,9804,1.40
21-Nov-2011,13.75,14.05,13.75, 14.05,14.05,8657,1.21
18-Nov-2011,13.60,15.00,13.60, 14.10,14.15,32592,4.60
17-Nov-2011,14.05,14.50,14.05, 14.45,14.10,23137,3.28
16-Nov-2011,13.90,14.45,13.75, 14.45,14.35,12183,1.74
15-Nov-2011,14.05,14.50,14.05, 14.40,14.35,14995,2.16
14-Nov-2011,14.25,14.90,14.20, 14.40,14.50,15738,2.28
11-Nov-2011,14.45,15.00,14.10, 14.30,14.30,39655,5.70
09-Nov-2011,15.30,15.50,13.30, 14.00,14.05,100244,14.22
08-Nov-2011,15.50,15.60,15.15, 15.60,15.25,12613,1.93
04-Nov-2011,15.30,15.80,15.30, 15.50,15.55,6881,1.07
03-Nov-2011,15.45,15.70,15.25, 15.50,15.40,16502,2.53
02-Nov-2011,15.30,15.80,15.30, 15.55,15.50,5647,0.88
01-Nov-2011,15.75,15.85,15.25, 15.50,15.40,11122,1.73
31-Oct-2011,15.50,16.00,15.50, 15.85,15.75,5220,0.83
28-Oct-2011,15.25,15.85,15.00, 15.70,15.65,22672,3.49
26-Oct-2011,15.00,15.60,15.00, 15.25,15.50,6604,1.02
25-Oct-2011,15.00,15.80,15.00, 15.30,15.20,2410,0.37
24-Oct-2011,15.15,15.95,15.00, 15.00,15.10,35323,5.37
21-Oct-2011,15.80,15.80,15.05, 15.05,15.05,5130,0.79
20-Oct-2011,15.55,15.55,15.10, 15.20,15.25,9343,1.43
19-Oct-2011,15.10,15.80,15.10, 15.55,15.50,29729,4.54
18-Oct-2011,15.50,15.75,15.20, 15.20,15.30,14230,2.21
17-Oct-2011,16.10,16.10,15.65, 15.90,15.75,8996,1.43
14-Oct-2011,16.25,16.80,15.40, 15.65,15.70,18383,2.90
13-Oct-2011,15.30,16.30,15.25, 15.50,15.75,23130,3.63
12-Oct-2011,15.85,15.85,15.15, 15.15,15.30,11075,1.70
11-Oct-2011,15.10,15.65,15.10, 15.45,15.30,1772,0.27
10-Oct-2011,15.05,15.60,14.95, 15.60,15.35,8189,1.25
07-Oct-2011,14.80,15.65,14.80, 15.10,15.10,9485,1.44
05-Oct-2011,15.00,15.85,14.70, 15.20,15.00,30117,4.51
04-Oct-2011,15.35,15.70,14.80, 15.55,15.40,28088,4.29
03-Oct-2011,15.70,15.70,15.20, 15.30,15.30,12624,1.94
30-Sep-2011,15.60,16.10,15.60, 15.70,15.80,10197,1.61
29-Sep-2011,15.95,16.20,15.75, 16.00,15.90,13103,2.08
28-Sep-2011,15.70,16.10,15.70, 15.90,15.95,16193,2.58
27-Sep-2011,16.15,16.25,15.80, 16.10,16.00,25398,4.08
26-Sep-2011,15.65,16.50,15.25, 15.50,15.50,77976,12.16
23-Sep-2011,16.10,16.45,15.70, 16.20,16.05,52892,8.56
22-Sep-2011,15.65,16.55,15.65, 16.00,16.10,11830,1.90
21-Sep-2011,16.05,16.75,16.05, 16.30,16.20,22576,3.72
20-Sep-2011,16.05,16.30,16.05, 16.30,16.30,8946,1.45
19-Sep-2011,16.30,16.40,16.05, 16.05,16.15,4927,0.80
16-Sep-2011,16.50,16.55,16.05, 16.05,16.15,11438,1.85
15-Sep-2011,16.30,16.70,15.90, 16.35,16.20,17826,2.87
14-Sep-2011,16.30,16.75,16.20, 16.20,16.35,12025,1.97
13-Sep-2011,16.20,16.90,16.20, 16.30,16.30,13993,2.29
12-Sep-2011,16.60,16.80,16.25, 16.25,16.30,10165,1.66
09-Sep-2011,16.85,17.00,16.60, 16.60,16.75,8566,1.44
08-Sep-2011,16.75,17.00,16.60, 17.00,16.90,5519,0.93
07-Sep-2011,16.80,17.00,16.50, 16.50,16.75,39270,6.64
06-Sep-2011,16.10,16.70,16.10, 16.70,16.60,32344,5.35
05-Sep-2011,16.40,16.50,16.00, 16.50,16.30,35630,5.80
02-Sep-2011,16.40,16.70,16.10, 16.35,16.35,13947,2.28
30-Aug-2011,16.40,16.85,16.10, 16.10,16.15,30931,5.04
29-Aug-2011,16.10,16.85,16.10, 16.25,16.35,9614,1.58
26-Aug-2011,16.20,16.40,15.90, 16.10,16.00,17909,2.88
25-Aug-2011,16.40,16.70,16.00, 16.10,16.10,33465,5.39
24-Aug-2011,16.20,17.05,16.20, 16.40,16.55,47756,7.90
23-Aug-2011,16.80,17.00,16.00, 16.90,16.80,9947,1.64
22-Aug-2011,16.45,16.60,16.20, 16.55,16.60,19405,3.21
19-Aug-2011,16.40,19.00,15.55, 16.45,16.40,38286,6.41
18-Aug-2011,16.40,17.20,16.30, 16.30,16.40,18031,3.01
17-Aug-2011,18.80,18.80,16.50, 16.50,16.65,13977,2.37
16-Aug-2011,18.05,18.50,17.25, 17.60,17.50,17400,3.09
12-Aug-2011,18.00,18.50,17.70, 18.05,17.95,55043,9.93
11-Aug-2011,18.00,18.40,17.80, 17.95,18.00,15653,2.82
10-Aug-2011,18.20,18.90,18.20, 18.80,18.75,20508,3.82
09-Aug-2011,18.00,18.45,17.00, 18.00,18.20,28932,5.11
08-Aug-2011,18.05,18.40,14.75, 18.00,18.05,40629,7.13
05-Aug-2011,18.70,18.90,18.00, 18.45,18.40,34241,6.25
04-Aug-2011,19.45,19.45,19.00, 19.05,19.05,19175,3.68
03-Aug-2011,18.80,19.25,18.25, 18.85,18.90,25394,4.78
02-Aug-2011,18.85,19.30,18.50, 18.90,18.80,54221,10.21
01-Aug-2011,20.00,20.50,18.85, 19.15,19.15,126306,24.44
29-Jul-2011,21.00,21.00,19.75, 20.20,20.05,17741,3.57
28-Jul-2011,21.00,21.00,20.25, 20.35,20.65,23699,4.87
27-Jul-2011,20.20,20.75,20.20, 20.40,20.45,12818,2.62
26-Jul-2011,20.50,20.50,19.55, 20.05,20.20,52612,10.55
25-Jul-2011,20.20,21.30,20.20, 20.55,20.60,12352,2.56
22-Jul-2011,20.95,20.95,20.50, 20.60,20.75,18645,3.85
21-Jul-2011,20.85,20.90,20.40, 20.90,20.65,11052,2.27
20-Jul-2011,21.95,21.95,20.20, 20.70,20.70,65342,13.50
19-Jul-2011,20.35,20.85,20.30, 20.40,20.50,32060,6.59
18-Jul-2011,20.70,21.15,20.50, 20.90,20.90,15515,3.20
15-Jul-2011,20.25,21.10,20.25, 20.80,20.90,66328,13.86
14-Jul-2011,21.00,21.05,20.60, 20.60,20.75,20177,4.18
13-Jul-2011,20.90,21.40,20.05, 21.00,21.05,58401,12.21
12-Jul-2011,20.00,20.30,19.75, 20.30,20.05,26732,5.32
11-Jul-2011,20.80,20.80,19.90, 19.90,19.95,10906,2.19
08-Jul-2011,20.50,20.50,20.05, 20.10,20.20,42523,8.59
07-Jul-2011,20.25,21.00,20.25, 20.65,20.65,25488,5.31
06-Jul-2011,20.10,21.00,20.10, 20.60,20.65,17049,3.54
05-Jul-2011,21.00,21.70,20.30, 20.40,20.65,40613,8.34
04-Jul-2011,20.10,21.65,20.10, 21.50,21.35,70519,14.79
01-Jul-2011,19.35,20.50,19.35, 20.10,20.10,22929,4.59
30-Jun-2011,19.90,20.25,19.40, 19.55,19.65,38807,7.65
29-Jun-2011,19.15,19.75,19.15, 19.55,19.50,15124,2.95
28-Jun-2011,19.20,19.90,19.15, 19.50,19.55,15161,2.96
27-Jun-2011,18.80,19.50,18.80, 19.05,19.20,7795,1.50
24-Jun-2011,19.20,19.80,18.60, 19.15,19.15,19687,3.81
23-Jun-2011,19.25,19.45,19.00, 19.25,19.00,33324,6.35
22-Jun-2011,19.90,20.20,19.15, 19.30,19.35,57083,11.16
21-Jun-2011,16.30,20.40,16.30, 20.25,20.15,20293,4.08
20-Jun-2011,21.30,21.30,20.10, 20.40,20.30,49535,10.08
17-Jun-2011,21.00,21.40,20.60, 21.00,20.80,13856,2.89
16-Jun-2011,21.25,21.75,20.80, 21.25,21.05,30806,6.49
15-Jun-2011,21.75,22.10,21.15, 22.00,21.85,55730,12.14
14-Jun-2011,21.55,21.55,20.80, 21.20,21.10,63193,13.35
13-Jun-2011,20.05,21.80,20.00, 21.55,21.35,107887,22.52
10-Jun-2011,20.45,20.85,19.90, 20.50,20.40,61109,12.38
09-Jun-2011,19.85,21.00,19.55, 20.00,20.30,39522,7.87
08-Jun-2011,20.10,20.40,19.70, 20.10,20.05,25600,5.13
07-Jun-2011,19.20,20.30,19.20, 20.00,19.90,51168,10.11
06-Jun-2011,19.10,19.65,19.10, 19.50,19.40,9771,1.89
03-Jun-2011,19.85,19.90,19.35, 19.40,19.50,23298,4.57
02-Jun-2011,20.00,20.15,19.55, 19.65,19.70,40770,8.04
01-Jun-2011,19.00,20.45,18.75, 20.00,20.15,235195,46.84
31-May-2011,18.70,19.45,18.70, 19.25,19.20,31928,6.10
30-May-2011,18.65,19.50,18.65, 19.05,19.05,31995,6.16
27-May-2011,19.15,19.35,19.00, 19.30,19.20,15398,2.96
26-May-2011,18.85,19.45,18.85, 19.30,19.15,24391,4.65
25-May-2011,19.25,19.25,18.85, 18.95,18.90,37117,7.03
24-May-2011,19.45,19.45,19.10, 19.25,19.25,19661,3.78
23-May-2011,19.10,19.65,19.00, 19.10,19.10,31787,6.11
20-May-2011,19.10,19.70,19.00, 19.50,19.50,24088,4.67
19-May-2011,19.30,19.80,19.30, 19.70,19.55,30567,6.01
18-May-2011,19.05,20.45,19.00, 19.50,19.50,19697,3.83
17-May-2011,19.50,19.70,19.30, 19.50,19.45,29007,5.64
16-May-2011,20.40,20.40,19.25, 19.40,19.40,22659,4.46
13-May-2011,20.40,20.40,19.65, 19.70,19.85,51843,10.36
12-May-2011,18.50,20.50,17.10, 19.60,19.80,152518,29.66
11-May-2011,18.10,18.90,18.10, 18.40,18.55,32442,5.99
10-May-2011,18.20,18.85,18.05, 18.30,18.25,39598,7.26
09-May-2011,18.90,18.90,17.65, 18.45,18.35,33378,6.04
06-May-2011,18.00,18.95,18.00, 18.60,18.40,25890,4.77
05-May-2011,20.00,20.00,18.20, 18.20,18.45,23528,4.44
04-May-2011,18.60,18.95,18.15, 18.85,18.75,32818,6.08
03-May-2011,19.00,19.05,18.65, 18.70,18.70,41184,7.77
02-May-2011,19.10,19.50,18.55, 19.00,19.00,46484,8.87
29-Apr-2011,19.10,19.80,19.00, 19.45,19.35,30052,5.80
28-Apr-2011,19.70,19.75,19.20, 19.65,19.40,25231,4.91
27-Apr-2011,19.20,20.00,19.20, 19.85,19.80,28145,5.53
26-Apr-2011,19.65,19.95,19.05, 19.60,19.50,68598,13.29
25-Apr-2011,19.75,20.05,19.75, 19.80,19.80,12639,2.51
21-Apr-2011,19.70,20.25,19.70, 19.75,19.85,17448,3.47
20-Apr-2011,19.60,20.20,19.60, 19.60,19.80,24968,4.95
19-Apr-2011,19.95,20.45,19.70, 19.85,19.85,37680,7.53
18-Apr-2011,20.50,20.50,19.70, 20.10,19.80,43475,8.66
15-Apr-2011,19.10,20.75,19.10, 20.70,20.30,63509,12.62
13-Apr-2011,19.10,19.75,19.05, 19.20,19.30,33940,6.58
11-Apr-2011,19.05,19.95,19.05, 19.30,19.25,14982,2.91
08-Apr-2011,19.55,20.35,19.50, 19.50,19.65,26629,5.28
07-Apr-2011,19.50,20.55,19.50, 19.70,19.65,51450,10.31
06-Apr-2011,20.15,20.35,18.90, 19.70,19.65,58686,11.48
05-Apr-2011,21.00,21.10,20.00, 20.20,20.20,75234,15.33
04-Apr-2011,19.25,21.50,19.00, 20.50,20.80,575111,119.98
01-Apr-2011,16.50,19.50,16.25, 19.50,18.15,57421,10.17
