Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,13.00,13.00,11.00, 11.35,11.45,3909,0.46
29-Dec-2011,11.65,11.85,10.85, 11.00,11.35,8232,0.93
28-Dec-2011,11.50,11.90,11.50, 11.80,11.60,5157,0.60
27-Dec-2011,11.50,12.85,11.50, 12.00,11.90,14063,1.68
26-Dec-2011,11.85,12.90,11.40, 11.75,11.85,5833,0.70
23-Dec-2011,12.00,12.50,11.50, 12.00,12.10,3082,0.38
22-Dec-2011,11.50,13.50,11.00, 11.40,12.70,1929,0.24
21-Dec-2011,11.15,12.00,11.15, 11.15,11.35,4331,0.50
20-Dec-2011,11.75,12.25,11.05, 11.05,11.40,3836,0.44
19-Dec-2011,12.10,12.85,11.50, 12.35,11.75,10071,1.20
16-Dec-2011,14.50,14.50,12.80, 13.00,13.20,64736,8.64
15-Dec-2011,13.50,14.20,13.50, 13.80,13.85,4530,0.63
14-Dec-2011,14.50,14.50,13.85, 14.45,14.45,495,0.07
13-Dec-2011,13.30,14.45,13.30, 14.10,14.25,4925,0.69
12-Dec-2011,13.75,14.00,13.70, 13.70,14.00,1428,0.20
09-Dec-2011,13.50,14.15,13.50, 13.70,13.70,2237,0.31
08-Dec-2011,13.90,14.40,13.30, 14.35,14.25,4723,0.66
07-Dec-2011,14.15,14.30,13.70, 13.70,13.70,3033,0.42
05-Dec-2011,14.15,14.50,13.70, 13.80,14.00,2578,0.36
02-Dec-2011,13.85,14.30,13.70, 14.15,14.20,4537,0.64
01-Dec-2011,13.50,14.50,13.50, 14.00,13.95,5682,0.80
30-Nov-2011,13.55,14.50,13.55, 13.55,13.85,1353,0.19
29-Nov-2011,14.90,14.90,13.75, 13.80,14.05,6271,0.90
28-Nov-2011,14.85,14.85,13.95, 14.30,14.60,3113,0.44
25-Nov-2011,14.00,14.25,13.55, 14.15,13.90,5576,0.77
24-Nov-2011,13.60,16.50,13.20, 13.75,13.90,11888,1.66
23-Nov-2011,14.10,15.25,14.10, 14.55,14.30,1151,0.17
22-Nov-2011,15.00,15.40,14.50, 15.40,14.95,5520,0.81
21-Nov-2011,14.90,15.75,14.40, 14.50,14.95,2677,0.39
18-Nov-2011,14.50,15.85,14.20, 15.15,15.10,12917,1.91
17-Nov-2011,15.00,16.20,14.80, 15.75,15.45,14024,2.18
16-Nov-2011,16.00,17.25,14.55, 15.75,15.55,14484,2.22
