Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,51.00,52.35,50.35, 51.30,51.15,30176,15.46
29-Dec-2011,51.00,51.90,50.50, 51.15,50.85,32834,16.73
28-Dec-2011,51.95,52.65,51.00, 51.00,51.10,14795,7.61
27-Dec-2011,52.35,52.95,51.55, 51.60,51.95,11933,6.25
26-Dec-2011,52.05,53.00,51.50, 52.05,52.15,15391,8.06
23-Dec-2011,51.65,53.70,51.00, 52.00,52.25,22141,11.65
22-Dec-2011,51.50,52.50,50.90, 51.90,51.65,11904,6.14
21-Dec-2011,52.00,53.75,51.10, 51.60,51.65,37470,19.43
20-Dec-2011,53.05,53.90,50.10, 52.40,51.30,53655,27.83
19-Dec-2011,53.50,53.85,52.50, 53.15,53.00,38231,20.28
16-Dec-2011,55.20,55.90,54.25, 54.40,54.45,25597,14.02
15-Dec-2011,55.50,55.50,54.40, 55.15,55.10,71431,38.98
14-Dec-2011,56.30,56.75,55.25, 55.50,55.40,38480,21.57
13-Dec-2011,57.30,57.30,56.05, 56.30,56.20,24504,13.82
12-Dec-2011,57.05,57.95,56.20, 56.40,56.65,18733,10.65
09-Dec-2011,56.05,57.40,56.05, 57.25,57.15,27632,15.71
08-Dec-2011,56.75,57.20,56.25, 57.00,56.85,29814,16.94
07-Dec-2011,57.00,58.00,56.60, 56.90,56.80,33616,19.26
05-Dec-2011,57.00,57.45,56.55, 56.85,56.90,28939,16.49
02-Dec-2011,56.50,57.40,56.05, 56.85,56.90,48652,27.65
01-Dec-2011,58.00,58.00,56.30, 56.65,56.55,59546,33.87
30-Nov-2011,56.50,56.80,56.00, 56.25,56.05,14934,8.40
29-Nov-2011,57.00,57.40,56.35, 56.50,56.45,17152,9.74
28-Nov-2011,57.00,58.00,56.65, 56.90,56.90,66388,37.89
25-Nov-2011,56.05,58.65,55.50, 56.50,56.55,26910,15.26
24-Nov-2011,56.10,56.85,55.05, 56.85,56.65,28883,16.15
23-Nov-2011,57.00,57.15,55.75, 56.00,56.05,34660,19.52
22-Nov-2011,56.30,57.80,56.30, 57.70,57.35,19134,10.95
21-Nov-2011,57.05,58.35,55.90, 57.00,56.75,56801,32.35
18-Nov-2011,59.30,59.30,56.90, 57.40,57.50,53757,30.86
17-Nov-2011,58.65,59.30,58.00, 58.65,58.35,43659,25.57
16-Nov-2011,58.00,60.45,58.00, 58.85,58.70,44631,26.27
15-Nov-2011,61.15,61.25,59.25, 59.75,59.65,36583,22.01
14-Nov-2011,62.00,62.05,60.90, 61.50,61.15,39151,24.01
11-Nov-2011,62.00,62.55,61.50, 61.90,61.75,15714,9.71
09-Nov-2011,63.90,64.00,62.05, 62.05,62.40,18733,11.74
08-Nov-2011,63.00,64.00,61.75, 62.95,62.95,24374,15.37
04-Nov-2011,63.00,65.45,62.60, 64.00,64.15,66336,42.63
03-Nov-2011,63.00,63.75,62.35, 62.70,62.85,39484,24.83
02-Nov-2011,62.10,63.60,62.10, 63.35,63.35,35750,22.56
01-Nov-2011,64.00,64.00,62.00, 62.90,62.60,26625,16.66
31-Oct-2011,64.00,64.00,55.00, 62.50,62.35,88817,55.38
28-Oct-2011,63.50,64.10,62.70, 63.55,63.70,70237,44.67
26-Oct-2011,61.45,62.95,61.25, 62.90,62.75,24707,15.41
25-Oct-2011,62.05,62.55,59.85, 60.95,60.70,116608,70.62
24-Oct-2011,64.00,64.00,61.80, 61.85,62.05,51145,32.00
21-Oct-2011,62.50,64.00,62.50, 63.25,63.20,44544,28.21
20-Oct-2011,62.75,63.40,61.50, 63.35,63.15,57599,36.05
19-Oct-2011,63.40,63.40,62.20, 62.95,62.60,25416,15.95
18-Oct-2011,62.60,62.85,62.00, 62.60,62.40,23809,14.86
17-Oct-2011,62.50,63.30,62.50, 63.20,63.05,24751,15.59
14-Oct-2011,63.90,63.90,62.10, 62.60,62.60,32330,20.32
13-Oct-2011,65.55,65.55,63.00, 63.50,63.25,41158,26.31
12-Oct-2011,64.90,65.90,63.50, 64.80,64.55,119013,77.08
11-Oct-2011,62.85,63.95,62.30, 63.80,63.40,66257,41.96
10-Oct-2011,62.00,62.95,61.50, 62.25,62.15,31399,19.55
07-Oct-2011,64.90,64.90,61.75, 61.75,62.10,65214,40.80
05-Oct-2011,64.05,64.30,61.20, 61.50,61.50,100584,62.92
04-Oct-2011,59.85,66.90,59.35, 63.85,63.40,1050040,666.16
03-Oct-2011,58.00,59.80,57.55, 59.40,59.10,57412,33.65
30-Sep-2011,59.50,60.15,57.75, 57.90,58.15,58594,34.46
29-Sep-2011,59.90,65.00,59.15, 60.10,59.90,56372,33.98
28-Sep-2011,61.00,61.50,59.75, 59.85,59.90,40165,24.22
27-Sep-2011,60.00,61.50,59.65, 60.75,60.80,48234,29.34
26-Sep-2011,60.05,60.85,58.65, 59.10,59.25,78269,46.47
23-Sep-2011,61.50,62.50,59.75, 60.15,60.05,134308,81.20
22-Sep-2011,63.50,64.90,62.20, 63.00,62.70,61182,38.67
21-Sep-2011,66.45,66.60,64.35, 64.70,64.65,68344,44.67
20-Sep-2011,66.00,66.95,64.30, 65.55,65.85,294252,193.87
19-Sep-2011,62.05,67.20,62.00, 65.15,65.80,738864,486.05
16-Sep-2011,61.25,63.30,61.25, 62.70,62.40,24279,15.23
15-Sep-2011,64.20,64.40,62.80, 63.45,63.10,46202,29.28
14-Sep-2011,64.50,65.40,64.15, 65.10,64.90,43597,28.24
13-Sep-2011,63.25,65.50,63.25, 65.00,64.80,71055,45.93
12-Sep-2011,63.20,64.70,62.45, 63.60,63.55,68487,43.63
09-Sep-2011,64.55,64.80,63.10, 63.40,63.45,45621,29.14
08-Sep-2011,62.50,64.80,62.50, 64.50,64.25,40258,25.81
07-Sep-2011,62.00,64.15,62.00, 63.00,63.30,72809,46.21
06-Sep-2011,60.30,61.90,60.30, 61.60,61.60,58132,35.45
05-Sep-2011,61.00,61.30,60.10, 60.90,60.85,48047,29.20
02-Sep-2011,60.00,62.25,60.00, 61.10,61.20,143640,88.09
30-Aug-2011,58.60,59.80,58.50, 59.65,59.35,51364,30.28
29-Aug-2011,57.20,58.85,54.25, 58.00,58.10,200471,115.88
26-Aug-2011,59.90,59.90,56.30, 57.00,56.95,90362,51.91
25-Aug-2011,59.75,59.90,58.55, 58.85,58.75,32481,19.18
24-Aug-2011,59.10,60.50,58.85, 59.10,59.35,57381,34.26
23-Aug-2011,58.75,59.85,57.75, 59.10,59.05,43284,25.50
22-Aug-2011,57.30,58.75,56.05, 58.60,58.60,46024,26.51
19-Aug-2011,57.20,58.60,55.00, 56.35,56.35,616174,342.92
18-Aug-2011,62.00,62.00,58.80, 59.35,59.10,98527,59.04
17-Aug-2011,62.85,63.15,61.25, 61.80,61.60,36277,22.50
16-Aug-2011,66.00,66.40,62.00, 62.65,62.70,81148,51.60
12-Aug-2011,65.70,66.00,64.75, 65.30,65.10,31780,20.83
11-Aug-2011,65.05,65.80,64.80, 65.20,65.00,42429,27.61
10-Aug-2011,66.80,66.80,65.00, 65.45,65.50,55361,36.39
09-Aug-2011,63.30,66.90,63.30, 64.00,64.10,105080,68.11
08-Aug-2011,66.00,67.00,65.30, 65.80,65.70,81343,53.66
05-Aug-2011,67.50,68.00,66.00, 67.60,67.45,137728,92.43
04-Aug-2011,69.90,70.70,69.20, 69.60,69.65,58330,40.88
03-Aug-2011,69.25,69.75,68.50, 69.25,69.15,49846,34.38
02-Aug-2011,70.80,71.00,69.00, 70.15,70.05,77959,54.20
01-Aug-2011,72.20,72.25,70.20, 70.40,70.55,55677,39.45
29-Jul-2011,72.05,72.65,70.55, 70.85,70.75,57762,41.34
28-Jul-2011,73.40,73.40,71.90, 72.30,72.30,43665,31.71
27-Jul-2011,73.60,75.75,73.40, 73.55,73.65,69094,51.27
26-Jul-2011,76.00,76.00,73.50, 74.30,73.85,78605,58.54
25-Jul-2011,76.00,78.80,75.15, 75.65,75.50,169450,129.45
22-Jul-2011,74.15,74.75,73.40, 74.50,74.05,58304,43.20
21-Jul-2011,75.00,75.90,73.40, 73.60,73.60,93726,70.07
20-Jul-2011,73.65,77.40,73.05, 74.90,74.85,417930,316.30
19-Jul-2011,73.75,74.30,72.25, 73.10,73.15,100999,73.72
18-Jul-2011,72.95,74.50,72.35, 73.50,73.35,205562,150.96
15-Jul-2011,69.90,74.90,69.50, 72.35,72.35,824086,604.25
14-Jul-2011,69.70,70.00,68.65, 70.00,69.65,73016,50.79
13-Jul-2011,70.40,70.40,69.20, 69.45,69.40,70220,48.78
12-Jul-2011,69.30,69.80,68.70, 69.15,69.00,82267,56.76
11-Jul-2011,71.50,71.50,70.00, 70.25,70.10,87991,61.83
08-Jul-2011,71.90,72.30,71.00, 71.10,71.05,81579,58.40
07-Jul-2011,70.30,72.30,70.30, 71.50,71.40,83362,59.68
06-Jul-2011,72.35,72.70,70.70, 71.05,70.95,117084,83.72
