Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,4.35,4.65,4.35, 4.45,4.45,24109,1.07
29-Dec-2011,4.30,4.70,4.25, 4.65,4.55,71488,3.25
28-Dec-2011,4.70,4.70,4.30, 4.50,4.50,20712,0.92
27-Dec-2011,4.45,4.75,4.30, 4.60,4.55,28439,1.29
26-Dec-2011,4.30,4.80,4.20, 4.60,4.45,19121,0.87
23-Dec-2011,4.50,4.65,4.15, 4.40,4.50,30233,1.35
22-Dec-2011,4.00,4.50,4.00, 4.35,4.40,81439,3.52
21-Dec-2011,4.25,4.40,4.15, 4.30,4.30,47358,2.02
20-Dec-2011,4.50,4.60,4.25, 4.25,4.25,40216,1.74
19-Dec-2011,4.50,4.60,4.20, 4.55,4.50,70446,3.11
16-Dec-2011,4.60,4.65,4.40, 4.40,4.45,47734,2.16
15-Dec-2011,4.50,4.75,4.50, 4.55,4.55,28784,1.31
14-Dec-2011,4.85,4.85,4.50, 4.60,4.65,62109,2.84
13-Dec-2011,4.70,4.95,4.60, 4.65,4.65,27292,1.28
12-Dec-2011,5.00,5.20,4.70, 4.70,4.75,19497,0.93
09-Dec-2011,5.00,5.00,4.75, 4.85,4.80,42392,2.05
08-Dec-2011,5.00,5.20,4.85, 4.90,4.90,32725,1.60
07-Dec-2011,5.25,5.25,4.70, 5.05,5.05,64753,3.24
05-Dec-2011,4.90,5.25,4.90, 5.10,5.15,12757,0.65
02-Dec-2011,5.05,5.25,4.90, 4.90,5.00,52259,2.63
01-Dec-2011,5.25,5.35,5.10, 5.20,5.10,126687,6.56
30-Nov-2011,4.95,5.20,4.95, 5.05,5.05,12063,0.61
29-Nov-2011,5.20,5.20,5.00, 5.20,5.20,49374,2.51
28-Nov-2011,5.05,5.20,4.85, 5.00,5.00,79387,3.96
25-Nov-2011,5.00,5.25,4.50, 5.05,5.05,62654,3.14
24-Nov-2011,5.00,5.05,4.80, 5.00,4.95,26727,1.31
23-Nov-2011,4.70,5.00,4.70, 5.00,4.95,88089,4.29
22-Nov-2011,4.85,4.95,4.65, 4.80,4.75,64044,3.07
21-Nov-2011,5.05,5.05,4.55, 4.70,4.70,48161,2.29
18-Nov-2011,4.80,5.25,4.80, 4.80,4.90,57791,2.88
17-Nov-2011,5.15,5.45,5.00, 5.20,5.05,80341,4.19
16-Nov-2011,5.25,5.40,4.75, 5.20,5.10,164328,8.23
15-Nov-2011,5.60,5.60,5.00, 5.00,5.00,53358,2.75
14-Nov-2011,5.70,5.70,5.20, 5.40,5.40,44560,2.44
11-Nov-2011,5.80,5.90,5.40, 5.50,5.50,46736,2.65
09-Nov-2011,6.55,6.70,5.85, 6.00,5.90,70481,4.40
08-Nov-2011,7.00,7.15,6.20, 6.35,6.40,122882,8.05
04-Nov-2011,6.40,7.10,6.20, 6.90,6.80,476365,32.11
03-Nov-2011,5.50,5.90,4.90, 5.90,5.90,291746,16.52
02-Nov-2011,5.00,5.20,4.90, 4.90,4.90,33747,1.68
01-Nov-2011,5.05,5.20,4.90, 5.05,5.10,24329,1.22
31-Oct-2011,5.15,5.15,5.00, 5.00,5.05,20221,1.02
28-Oct-2011,4.90,5.25,4.90, 5.15,5.05,67708,3.47
26-Oct-2011,4.80,5.15,4.80, 5.00,5.00,36761,1.84
25-Oct-2011,4.50,4.90,4.50, 4.90,4.80,30422,1.44
24-Oct-2011,4.75,4.90,4.50, 4.50,4.60,82192,3.78
21-Oct-2011,4.70,4.80,4.70, 4.70,4.70,12950,0.61
20-Oct-2011,4.80,4.85,4.55, 4.70,4.75,12558,0.60
19-Oct-2011,4.80,4.95,4.75, 4.90,4.85,10608,0.51
18-Oct-2011,4.90,4.95,4.70, 4.90,4.90,26652,1.29
17-Oct-2011,5.00,5.10,4.60, 4.95,4.90,19268,0.94
14-Oct-2011,5.00,5.00,4.60, 4.80,4.80,15540,0.75
13-Oct-2011,4.50,5.00,4.25, 4.95,4.90,55711,2.70
12-Oct-2011,4.50,4.65,4.35, 4.60,4.55,34297,1.54
11-Oct-2011,4.65,4.75,4.35, 4.40,4.45,71833,3.28
10-Oct-2011,4.70,4.70,4.25, 4.50,4.50,119505,5.30
07-Oct-2011,4.70,4.85,4.45, 4.65,4.65,96736,4.51
05-Oct-2011,4.95,4.95,4.50, 4.55,4.65,75519,3.54
04-Oct-2011,4.85,5.00,4.05, 4.80,4.80,89535,4.13
03-Oct-2011,5.00,5.10,4.85, 4.90,4.90,52298,2.57
30-Sep-2011,5.40,5.40,4.95, 5.00,5.00,106006,5.33
29-Sep-2011,5.20,5.30,4.90, 5.10,5.05,36779,1.88
28-Sep-2011,5.40,5.40,5.10, 5.10,5.20,44239,2.31
27-Sep-2011,5.55,5.55,5.30, 5.35,5.40,68271,3.72
26-Sep-2011,5.60,5.70,5.30, 5.35,5.40,35901,1.97
23-Sep-2011,5.85,6.15,5.50, 5.50,5.55,48898,2.75
22-Sep-2011,6.60,6.60,5.80, 5.80,5.85,68395,4.14
21-Sep-2011,6.10,7.30,5.80, 6.15,6.60,192693,12.57
20-Sep-2011,6.00,6.30,5.75, 6.30,6.05,15102,0.91
19-Sep-2011,6.00,6.00,5.70, 5.85,5.90,17663,1.03
16-Sep-2011,6.00,6.00,5.75, 6.00,5.95,9522,0.56
15-Sep-2011,5.80,6.05,5.65, 5.80,5.95,30401,1.80
14-Sep-2011,5.60,5.90,5.40, 5.80,5.80,15089,0.86
13-Sep-2011,6.00,6.00,5.60, 5.65,5.70,21252,1.23
12-Sep-2011,6.00,6.00,5.50, 5.85,5.90,30940,1.83
09-Sep-2011,6.25,6.25,5.85, 5.85,5.90,27623,1.65
08-Sep-2011,6.45,6.50,5.90, 5.90,6.00,43733,2.65
07-Sep-2011,6.40,6.40,6.15, 6.25,6.20,26828,1.67
06-Sep-2011,6.00,6.25,5.85, 6.10,6.10,87575,5.28
05-Sep-2011,5.60,6.00,5.10, 6.00,5.90,51081,2.86
02-Sep-2011,5.40,5.75,5.35, 5.50,5.50,25323,1.38
30-Aug-2011,5.45,5.90,5.35, 5.60,5.50,61411,3.40
29-Aug-2011,5.15,5.50,5.00, 5.50,5.45,60805,3.24
26-Aug-2011,5.20,5.25,5.00, 5.00,5.05,58313,2.97
25-Aug-2011,5.15,5.35,5.00, 5.05,5.05,95746,4.87
24-Aug-2011,5.55,6.25,4.80, 5.05,5.15,193675,10.36
23-Aug-2011,5.40,5.80,5.15, 5.50,5.55,84396,4.64
22-Aug-2011,5.95,5.95,4.95, 5.20,5.20,243219,12.56
19-Aug-2011,7.00,7.00,5.35, 5.50,5.60,190048,11.02
18-Aug-2011,6.50,6.55,5.95, 6.10,6.20,95599,5.87
17-Aug-2011,7.25,7.25,6.50, 6.65,6.55,31436,2.09
16-Aug-2011,7.30,7.30,6.85, 7.00,7.00,30352,2.12
12-Aug-2011,7.00,7.15,6.90, 6.90,6.90,27899,1.95
11-Aug-2011,7.10,7.30,7.00, 7.00,7.05,47500,3.36
10-Aug-2011,7.45,7.50,6.75, 7.30,7.25,79285,5.76
09-Aug-2011,6.05,7.30,5.60, 6.95,6.75,115883,7.91
08-Aug-2011,7.40,7.65,6.90, 6.90,6.90,139954,9.95
05-Aug-2011,7.40,7.75,7.15, 7.75,7.55,110158,8.16
04-Aug-2011,7.65,8.00,7.60, 7.85,7.75,38753,3.01
03-Aug-2011,7.80,8.00,7.50, 7.80,7.75,51824,3.99
