Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,2.40,2.40,1.95, 2.10,2.00,5343,0.11
29-Dec-2011,2.00,2.25,2.00, 2.25,2.15,1676,0.04
28-Dec-2011,2.30,2.30,2.05, 2.10,2.10,3006,0.06
27-Dec-2011,1.80,2.20,1.80, 2.10,2.10,1856,0.04
26-Dec-2011,2.20,2.20,2.00, 2.00,2.00,300,0.01
23-Dec-2011,1.85,2.15,1.85, 2.15,2.10,9760,0.20
22-Dec-2011,2.05,2.05,1.90, 2.00,2.00,9594,0.19
21-Dec-2011,2.00,2.00,1.80, 1.90,1.90,18877,0.36
20-Dec-2011,2.15,2.15,1.90, 2.00,2.00,9829,0.20
19-Dec-2011,2.10,2.10,1.75, 2.05,2.00,14462,0.29
16-Dec-2011,2.30,2.30,2.00, 2.05,2.05,2431,0.05
15-Dec-2011,2.20,2.25,2.10, 2.20,2.15,14401,0.31
14-Dec-2011,2.20,2.40,2.10, 2.40,2.40,4754,0.10
13-Dec-2011,2.25,2.45,2.25, 2.35,2.30,13071,0.30
12-Dec-2011,2.50,2.50,2.35, 2.35,2.35,4043,0.10
09-Dec-2011,2.35,2.65,2.35, 2.60,2.60,5707,0.14
08-Dec-2011,2.60,2.80,2.35, 2.55,2.45,7826,0.19
07-Dec-2011,2.35,2.80,2.35, 2.65,2.70,14128,0.37
05-Dec-2011,2.30,2.55,2.25, 2.40,2.40,908,0.02
02-Dec-2011,2.20,2.55,2.20, 2.40,2.40,2436,0.06
01-Dec-2011,2.40,2.75,2.10, 2.30,2.30,61668,1.44
30-Nov-2011,2.25,2.50,2.25, 2.50,2.50,8781,0.21
29-Nov-2011,2.50,2.50,2.35, 2.40,2.40,576,0.01
28-Nov-2011,2.25,2.75,2.25, 2.50,2.45,11137,0.27
25-Nov-2011,2.20,2.45,2.20, 2.40,2.40,7100,0.17
24-Nov-2011,2.30,2.55,2.10, 2.20,2.30,8825,0.20
23-Nov-2011,2.30,2.45,2.10, 2.45,2.40,2416,0.06
22-Nov-2011,2.35,2.65,2.20, 2.20,2.35,18372,0.44
21-Nov-2011,2.30,2.55,2.15, 2.30,2.40,8670,0.21
18-Nov-2011,2.30,2.60,2.30, 2.45,2.45,9588,0.23
17-Nov-2011,2.35,2.95,2.20, 2.50,2.50,21499,0.52
16-Nov-2011,2.60,2.85,2.30, 2.85,2.60,14819,0.37
15-Nov-2011,2.70,2.85,2.50, 2.50,2.50,19760,0.51
14-Nov-2011,2.90,3.10,2.70, 2.85,2.85,22656,0.63
11-Nov-2011,3.00,3.05,2.90, 2.90,2.95,20269,0.60
09-Nov-2011,3.15,3.20,2.95, 3.00,3.00,33841,1.01
08-Nov-2011,3.05,3.35,2.90, 2.95,2.95,100114,3.08
04-Nov-2011,3.05,3.05,2.75, 2.90,2.90,17263,0.49
03-Nov-2011,3.10,3.25,2.90, 3.00,2.95,17228,0.53
02-Nov-2011,2.80,3.00,2.80, 3.00,3.00,3717,0.11
01-Nov-2011,2.90,2.90,2.90, 2.90,2.90,1874,0.05
31-Oct-2011,2.80,3.00,2.70, 3.00,2.90,18819,0.52
28-Oct-2011,2.85,2.95,2.70, 2.80,2.85,12927,0.37
26-Oct-2011,2.95,3.00,2.80, 2.80,2.90,3901,0.12
25-Oct-2011,2.80,2.80,2.75, 2.75,2.75,616,0.02
24-Oct-2011,2.95,3.00,2.90, 3.00,3.00,935,0.03
21-Oct-2011,3.05,3.10,2.95, 3.10,3.10,2754,0.08
20-Oct-2011,3.25,3.40,2.80, 3.40,3.15,12792,0.39
19-Oct-2011,3.20,3.20,3.00, 3.15,3.10,2739,0.08
18-Oct-2011,3.05,3.15,2.90, 3.00,3.00,5512,0.17
17-Oct-2011,3.00,3.05,3.00, 3.00,3.00,452,0.01
14-Oct-2011,3.20,3.20,3.00, 3.10,3.10,2901,0.09
13-Oct-2011,3.30,3.30,3.00, 3.00,3.05,6852,0.22
12-Oct-2011,3.05,3.15,3.05, 3.15,3.15,8625,0.27
11-Oct-2011,3.00,3.10,2.85, 3.05,2.85,3767,0.11
10-Oct-2011,2.90,3.20,2.75, 2.85,2.90,10031,0.30
07-Oct-2011,3.00,3.20,2.90, 2.95,3.00,2413,0.07
05-Oct-2011,3.00,3.20,2.95, 3.00,3.05,13190,0.40
04-Oct-2011,2.95,3.20,2.95, 3.10,3.10,1588562,47.01
03-Oct-2011,2.75,3.00,2.70, 3.00,2.90,4054,0.12
30-Sep-2011,2.95,3.00,2.65, 3.00,3.00,3301,0.09
29-Sep-2011,2.80,3.00,2.75, 2.90,2.85,1036,0.03
28-Sep-2011,2.90,3.00,2.85, 3.00,2.90,2742,0.08
27-Sep-2011,2.75,3.00,2.70, 3.00,3.00,16042,0.46
26-Sep-2011,3.00,3.00,2.70, 2.75,2.70,34674,0.95
23-Sep-2011,2.95,3.25,2.95, 3.00,3.00,45152,1.37
22-Sep-2011,3.00,3.35,2.85, 2.95,2.95,19034,0.59
21-Sep-2011,3.50,3.50,3.10, 3.35,3.15,15015,0.48
20-Sep-2011,3.35,3.50,3.30, 3.35,3.40,10617,0.36
19-Sep-2011,3.25,3.30,3.15, 3.30,3.25,3702,0.12
16-Sep-2011,3.00,3.30,3.00, 3.20,3.15,6258,0.20
15-Sep-2011,3.00,3.30,3.00, 3.15,3.15,5449,0.17
14-Sep-2011,3.00,3.10,2.70, 3.00,3.00,5132,0.15
13-Sep-2011,3.00,3.40,3.00, 3.00,3.00,9629,0.29
12-Sep-2011,3.10,3.15,3.00, 3.10,3.10,7712,0.24
09-Sep-2011,2.90,3.35,2.90, 3.25,3.10,30400,0.96
08-Sep-2011,3.15,3.15,2.95, 3.10,3.05,7158,0.22
07-Sep-2011,3.00,3.10,2.85, 2.85,2.90,25335,0.77
06-Sep-2011,3.10,3.10,2.95, 2.95,2.95,21554,0.64
05-Sep-2011,3.20,3.20,3.05, 3.10,3.10,8135,0.26
02-Sep-2011,3.10,3.10,3.00, 3.10,3.10,3400,0.10
30-Aug-2011,3.00,3.05,2.95, 3.00,2.95,7804,0.23
29-Aug-2011,3.00,3.15,2.95, 3.15,3.10,7320,0.22
26-Aug-2011,3.20,3.30,3.10, 3.10,3.10,7429,0.24
25-Aug-2011,3.20,3.25,3.05, 3.25,3.25,4642,0.15
24-Aug-2011,3.20,3.20,3.10, 3.20,3.10,9482,0.30
23-Aug-2011,2.90,3.20,2.90, 3.00,3.05,16012,0.50
22-Aug-2011,2.80,3.05,2.80, 2.95,3.05,7490,0.23
19-Aug-2011,2.90,3.15,2.90, 2.90,2.90,25816,0.78
18-Aug-2011,3.00,3.10,2.95, 3.10,3.05,10929,0.33
17-Aug-2011,3.00,3.05,3.00, 3.00,3.00,18057,0.54
16-Aug-2011,3.30,3.30,3.10, 3.25,3.15,20619,0.66
12-Aug-2011,3.20,3.25,3.10, 3.10,3.10,5084,0.16
11-Aug-2011,3.25,3.50,3.25, 3.25,3.25,5644,0.18
10-Aug-2011,3.35,3.40,3.20, 3.40,3.40,18549,0.63
09-Aug-2011,3.20,3.25,3.15, 3.25,3.20,7999,0.25
08-Aug-2011,3.10,3.40,3.10, 3.25,3.30,16281,0.53
05-Aug-2011,3.25,3.35,3.15, 3.35,3.20,8885,0.29
04-Aug-2011,3.50,3.50,3.25, 3.25,3.30,44455,1.48
03-Aug-2011,3.50,3.65,3.35, 3.35,3.40,15170,0.53
02-Aug-2011,3.55,3.65,3.50, 3.50,3.50,4700,0.17
01-Aug-2011,3.65,3.65,3.60, 3.60,3.60,15832,0.57
29-Jul-2011,3.90,3.90,3.60, 3.80,3.75,7355,0.27
28-Jul-2011,3.70,3.85,3.65, 3.65,3.75,22119,0.82
27-Jul-2011,4.00,4.00,3.80, 3.80,3.80,6185,0.24
26-Jul-2011,3.85,4.00,3.85, 3.95,3.95,8896,0.35
25-Jul-2011,4.00,4.05,3.85, 4.00,3.90,19806,0.79
22-Jul-2011,3.90,3.95,3.80, 3.95,3.95,58756,2.31
21-Jul-2011,3.50,3.75,3.40, 3.75,3.75,61624,2.19
20-Jul-2011,3.55,3.75,3.50, 3.50,3.55,31329,1.12
19-Jul-2011,3.85,3.85,3.65, 3.65,3.65,5751,0.21
18-Jul-2011,3.95,4.00,3.70, 3.75,3.75,38495,1.47
15-Jul-2011,3.90,3.95,3.75, 3.75,3.90,8805,0.34
14-Jul-2011,3.80,3.85,3.65, 3.85,3.85,5968,0.22
13-Jul-2011,3.95,3.95,3.80, 3.80,3.80,16163,0.62
12-Jul-2011,4.10,4.10,3.80, 4.05,4.00,13391,0.53
11-Jul-2011,3.75,3.95,3.70, 3.95,3.95,10181,0.40
08-Jul-2011,3.85,3.90,3.80, 3.90,3.90,15865,0.61
07-Jul-2011,4.05,4.05,3.90, 4.00,4.00,11710,0.47
06-Jul-2011,3.90,4.00,3.90, 3.90,3.95,16241,0.65
05-Jul-2011,4.10,4.10,3.90, 3.90,3.90,16082,0.64
