Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,129.95,131.05,124.10, 124.60,125.30,90046,115.60
29-Dec-2011,133.00,133.05,128.00, 128.55,129.85,78615,103.46
28-Dec-2011,136.70,138.00,132.10, 132.25,132.75,98811,132.70
27-Dec-2011,138.80,138.80,125.10, 135.80,135.75,93710,126.82
26-Dec-2011,135.80,135.80,131.35, 134.95,135.55,235601,317.93
23-Dec-2011,130.80,133.95,128.80, 133.75,132.30,261536,342.62
22-Dec-2011,130.45,130.45,127.10, 128.55,128.95,140015,179.76
21-Dec-2011,129.40,130.45,126.05, 128.00,128.40,380379,486.93
20-Dec-2011,129.40,130.00,124.15, 125.45,125.55,240234,303.33
19-Dec-2011,129.30,129.30,121.50, 126.15,125.65,386499,485.74
16-Dec-2011,132.80,133.05,124.25, 126.35,127.10,298948,386.58
15-Dec-2011,132.00,133.20,125.05, 131.25,129.60,479174,619.93
14-Dec-2011,133.50,136.05,130.40, 133.15,133.05,612211,822.75
13-Dec-2011,133.30,135.40,132.00, 133.25,133.00,269529,360.81
12-Dec-2011,138.65,141.50,130.30, 134.35,133.35,230938,317.87
09-Dec-2011,140.00,140.35,137.00, 137.55,138.40,220050,305.99
08-Dec-2011,142.60,144.65,139.35, 141.70,141.50,406221,578.93
07-Dec-2011,139.80,144.95,139.80, 142.30,142.35,630672,903.27
05-Dec-2011,135.50,140.50,134.50, 139.80,139.60,549815,763.05
02-Dec-2011,135.00,136.75,133.00, 135.25,135.40,252512,342.24
01-Dec-2011,133.50,135.85,131.50, 134.15,134.45,412210,552.85
30-Nov-2011,130.40,131.80,128.75, 131.45,131.40,493074,643.69
29-Nov-2011,130.30,130.60,128.30, 129.30,129.90,199021,258.46
28-Nov-2011,131.00,131.25,128.95, 128.95,129.40,160354,209.40
25-Nov-2011,129.10,130.50,127.40, 128.85,128.90,174786,225.81
24-Nov-2011,129.00,133.45,127.50, 128.90,128.70,272742,352.98
23-Nov-2011,133.55,134.60,126.65, 127.95,129.65,503434,668.51
22-Nov-2011,133.20,135.50,132.75, 134.00,134.10,435138,584.04
21-Nov-2011,134.00,135.40,128.00, 129.50,132.50,568524,756.25
18-Nov-2011,131.15,135.70,131.15, 134.05,134.20,218926,294.39
17-Nov-2011,135.00,136.30,132.60, 134.60,135.10,365567,493.90
