Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,13.70,13.70,11.65, 11.80,11.90,10101,1.24
29-Dec-2011,13.75,13.85,12.15, 12.15,12.35,19135,2.51
28-Dec-2011,11.05,14.00,11.05, 13.00,13.55,12366,1.60
27-Dec-2011,12.00,12.90,12.00, 12.65,12.65,27688,3.53
26-Dec-2011,11.65,12.40,11.65, 12.40,12.30,5299,0.63
23-Dec-2011,13.25,13.25,11.15, 11.50,11.55,6503,0.75
22-Dec-2011,11.75,12.00,10.50, 11.50,11.35,17515,2.06
21-Dec-2011,11.95,11.95,10.75, 10.90,10.85,6539,0.72
20-Dec-2011,12.60,12.60,10.50, 10.70,10.80,18072,1.98
19-Dec-2011,12.00,13.45,10.30, 11.25,11.10,30034,3.40
16-Dec-2011,12.80,12.95,12.25, 12.50,12.50,2465,0.31
15-Dec-2011,13.70,13.70,12.50, 12.75,12.80,3748,0.48
14-Dec-2011,12.00,13.30,12.00, 13.10,13.10,4254,0.55
13-Dec-2011,13.10,14.75,12.00, 12.50,12.55,44776,5.71
12-Dec-2011,14.00,14.80,13.95, 13.95,13.95,7691,1.09
09-Dec-2011,14.00,14.70,14.00, 14.25,14.25,8150,1.17
08-Dec-2011,14.70,15.35,14.50, 15.00,15.05,9844,1.46
07-Dec-2011,14.15,15.70,14.10, 15.70,15.50,17199,2.59
05-Dec-2011,13.55,14.95,13.50, 14.50,14.60,50743,7.15
02-Dec-2011,13.65,13.95,13.20, 13.95,13.90,6978,0.96
01-Dec-2011,13.85,13.90,13.30, 13.70,13.30,4463,0.60
30-Nov-2011,12.75,13.50,12.75, 12.80,12.90,23955,3.11
29-Nov-2011,13.00,13.05,12.75, 12.80,12.80,12557,1.63
28-Nov-2011,13.00,13.80,13.00, 13.20,13.15,2538,0.34
25-Nov-2011,13.00,13.35,12.70, 13.35,13.35,5368,0.70
24-Nov-2011,12.50,13.45,12.50, 13.35,13.35,15650,2.01
23-Nov-2011,12.70,13.30,12.70, 12.80,12.80,10982,1.43
22-Nov-2011,12.25,13.30,12.25, 13.05,13.05,4389,0.57
21-Nov-2011,13.00,13.65,12.60, 12.70,12.80,21974,2.82
