Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,37.00,37.95,36.05, 37.50,37.50,149,0.06
29-Dec-2011,36.50,36.50,36.25, 36.25,36.25,399,0.14
28-Dec-2011,36.40,37.70,34.10, 35.90,35.00,3083,1.13
27-Dec-2011,34.30,35.90,33.60, 35.90,35.90,16710,5.96
26-Dec-2011,33.60,34.20,33.60, 34.20,34.20,505,0.17
23-Dec-2011,30.00,32.85,30.00, 31.15,32.60,3798,1.21
22-Dec-2011,30.00,31.50,30.00, 31.50,31.30,275,0.09
21-Dec-2011,30.00,30.60,29.00, 30.50,30.10,568,0.17
20-Dec-2011,29.50,29.60,28.95, 29.60,29.60,620,0.18
19-Dec-2011,30.20,30.20,28.65, 29.50,29.00,173,0.05
16-Dec-2011,29.00,29.60,27.65, 27.65,29.45,405,0.12
15-Dec-2011,28.10,29.00,26.75, 28.25,28.25,20764,5.79
14-Dec-2011,30.50,30.50,27.75, 28.10,28.10,1529,0.43
13-Dec-2011,29.75,29.75,28.60, 29.70,29.20,690,0.20
12-Dec-2011,28.65,28.65,28.50, 28.50,28.50,2101,0.60
