Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,240.00,242.90,232.80, 234.85,235.00,1710828,4074.48
29-Dec-2011,244.80,246.00,236.65, 237.00,237.70,1984130,4788.42
28-Dec-2011,251.60,251.60,244.10, 245.00,247.20,1638714,4052.18
27-Dec-2011,254.90,259.90,247.80, 253.00,252.20,2576620,6568.69
26-Dec-2011,247.80,253.70,245.00, 251.25,250.95,1468123,3679.15
23-Dec-2011,251.00,255.35,243.10, 244.00,246.00,2686791,6692.89
22-Dec-2011,239.00,251.40,232.00, 248.00,247.75,2632879,6317.28
21-Dec-2011,241.00,242.90,232.20, 242.00,240.65,1961969,4648.64
20-Dec-2011,241.70,244.65,230.00, 232.70,232.70,2815681,6687.48
19-Dec-2011,244.70,244.70,232.70, 236.90,238.15,2246948,5352.29
16-Dec-2011,264.00,268.85,242.10, 242.95,247.05,2698999,6993.19
15-Dec-2011,263.60,267.85,259.10, 262.00,262.80,2510264,6606.94
14-Dec-2011,283.05,283.65,269.70, 271.20,271.30,2564659,7062.79
13-Dec-2011,278.70,285.55,275.00, 285.00,282.85,2128685,5961.09
12-Dec-2011,296.60,299.30,278.80, 279.60,281.50,2443355,7042.04
09-Dec-2011,285.00,299.75,284.00, 294.65,294.10,3161922,9282.01
08-Dec-2011,308.20,308.70,290.00, 290.50,291.70,2907648,8584.55
07-Dec-2011,307.10,315.00,307.10, 308.00,309.75,2174568,6773.48
05-Dec-2011,303.00,309.75,302.00, 306.40,307.10,1939299,5945.10
02-Dec-2011,292.30,303.00,290.55, 302.60,302.10,3102580,9228.07
01-Dec-2011,293.80,296.10,286.35, 289.35,289.85,2569453,7499.36
30-Nov-2011,285.80,289.10,277.30, 281.50,281.70,2271121,6444.77
29-Nov-2011,289.40,295.60,282.10, 285.75,286.70,3044454,8802.23
28-Nov-2011,282.10,288.35,278.50, 286.00,286.35,2840449,8053.68
25-Nov-2011,285.00,289.25,274.15, 275.95,276.00,3528559,9969.69
24-Nov-2011,291.00,291.70,281.50, 286.50,287.65,2554399,7306.34
23-Nov-2011,292.75,299.50,288.00, 288.20,290.50,3663494,10739.98
22-Nov-2011,292.00,302.90,289.25, 296.05,295.90,2142431,6336.57
21-Nov-2011,303.40,303.50,286.60, 288.05,291.95,2261533,6738.96
18-Nov-2011,312.00,315.80,299.15, 307.05,306.40,2628881,8037.64
17-Nov-2011,324.00,326.50,314.10, 314.50,315.85,1940910,6233.80
16-Nov-2011,322.00,327.70,313.45, 326.00,321.50,2369260,7609.61
15-Nov-2011,331.60,336.40,318.60, 322.00,322.25,2525092,8246.47
14-Nov-2011,351.90,355.45,328.00, 330.45,332.00,2900114,10004.98
11-Nov-2011,353.90,364.40,352.15, 360.00,359.30,2152072,7717.18
09-Nov-2011,378.40,381.85,355.35, 356.10,359.55,2574733,9524.42
08-Nov-2011,376.60,377.55,364.00, 376.00,375.75,2087980,7762.47
04-Nov-2011,378.00,381.45,370.30, 373.20,373.85,2244917,8442.10
03-Nov-2011,366.50,376.80,363.05, 373.20,373.55,3431131,12711.80
02-Nov-2011,355.00,372.85,355.00, 365.45,366.20,2303313,8449.61
01-Nov-2011,363.65,373.55,353.30, 363.30,360.80,2244198,8166.63
31-Oct-2011,369.20,376.45,364.25, 368.50,370.15,2292708,8507.44
28-Oct-2011,357.00,376.00,355.00, 370.00,372.05,3177728,11613.78
26-Oct-2011,346.55,348.50,345.00, 345.10,346.30,474483,1643.58
25-Oct-2011,334.50,345.35,332.10, 344.45,344.15,1964068,6635.77
24-Oct-2011,338.50,343.00,330.25, 333.65,334.20,2073417,6989.61
21-Oct-2011,338.60,342.00,332.05, 333.95,333.85,1765032,5943.94
20-Oct-2011,329.50,339.40,326.00, 337.00,337.45,2557427,8555.21
19-Oct-2011,327.90,335.55,325.00, 332.20,333.65,2039718,6760.08
18-Oct-2011,332.00,332.00,320.75, 322.20,322.40,2014926,6517.90
17-Oct-2011,351.70,352.90,332.00, 336.20,336.35,2703884,9176.48
14-Oct-2011,341.25,353.60,339.15, 347.00,349.35,2330499,8070.02
13-Oct-2011,353.90,355.45,340.05, 341.75,345.75,2920169,10212.30
12-Oct-2011,342.60,354.00,337.30, 352.00,352.15,3663593,12642.78
11-Oct-2011,339.90,344.80,332.25, 341.10,341.15,3781392,12803.08
10-Oct-2011,323.00,337.90,322.75, 334.70,336.00,4671947,15519.90
07-Oct-2011,326.20,328.20,320.00, 320.05,321.55,3352488,10823.80
05-Oct-2011,327.90,327.90,312.50, 316.00,315.95,3911264,12466.62
04-Oct-2011,319.90,328.00,315.15, 322.05,323.10,5075630,16409.68
03-Oct-2011,318.55,326.95,309.70, 321.50,320.05,7526173,24138.59
30-Sep-2011,347.00,347.00,311.50, 312.20,315.15,14290129,46375.04
29-Sep-2011,365.60,368.15,353.60, 361.25,359.55,5632841,20326.40
28-Sep-2011,398.00,400.00,366.30, 366.30,368.95,5883292,22469.94
27-Sep-2011,400.00,411.85,391.00, 394.40,394.80,7424340,29802.37
26-Sep-2011,403.00,404.95,383.25, 385.20,389.45,2852562,11287.68
23-Sep-2011,391.00,409.00,389.30, 404.00,402.10,3332557,13343.77
22-Sep-2011,414.65,417.90,395.00, 395.25,397.60,2457090,10018.35
21-Sep-2011,419.00,427.25,412.50, 420.80,422.55,1883429,7878.58
20-Sep-2011,397.20,420.70,397.20, 420.50,418.95,2034810,8381.22
19-Sep-2011,402.25,404.70,395.30, 401.10,399.45,1800998,7194.89
16-Sep-2011,418.05,419.75,402.75, 404.00,406.25,2018557,8314.14
15-Sep-2011,414.80,420.90,407.55, 414.00,415.15,2581333,10689.89
14-Sep-2011,405.00,417.70,400.00, 415.00,413.70,3062314,12577.33
13-Sep-2011,397.25,414.90,396.55, 401.70,401.55,3057070,12399.13
12-Sep-2011,397.90,402.70,390.00, 395.60,395.25,2088653,8270.21
09-Sep-2011,426.20,432.00,404.15, 405.85,409.50,2366170,9930.88
08-Sep-2011,430.00,433.25,420.35, 427.15,428.20,2090636,8936.21
07-Sep-2011,427.40,436.40,424.35, 426.40,428.10,2513453,10792.54
06-Sep-2011,426.10,432.80,411.25, 421.55,423.15,3635838,15286.07
05-Sep-2011,400.05,433.50,397.00, 428.00,429.55,6243360,26153.35
02-Sep-2011,395.70,413.70,381.25, 413.00,407.60,3987195,15746.18
30-Aug-2011,390.00,396.50,371.45, 385.80,384.20,5254545,20198.82
29-Aug-2011,350.00,390.00,349.35, 389.70,377.25,5479267,20123.69
26-Aug-2011,387.40,388.00,340.10, 343.00,344.20,4755497,17109.04
25-Aug-2011,398.00,399.70,385.50, 392.00,391.25,1771297,6940.94
24-Aug-2011,404.95,423.80,391.00, 392.05,394.35,2697525,11055.68
23-Aug-2011,406.25,410.70,399.00, 402.65,403.50,1075869,4357.94
22-Aug-2011,388.40,403.70,387.00, 401.75,401.75,1337532,5297.92
19-Aug-2011,385.00,393.90,378.55, 387.00,387.45,1526385,5883.88
18-Aug-2011,416.20,420.00,390.15, 390.15,395.30,1902340,7697.40
17-Aug-2011,411.25,423.15,404.50, 415.10,413.15,1936667,7999.87
16-Aug-2011,436.55,438.00,406.60, 406.65,411.00,1902709,8051.97
12-Aug-2011,467.00,468.15,435.15, 436.90,437.40,1463340,6582.46
11-Aug-2011,446.10,463.80,445.80, 459.70,458.65,1141856,5205.29
10-Aug-2011,463.70,466.30,446.05, 446.15,448.85,1708587,7774.46
09-Aug-2011,435.00,463.60,430.00, 450.80,447.15,2065415,9184.34
08-Aug-2011,484.00,484.00,454.00, 455.45,457.35,1966585,9203.40
05-Aug-2011,501.00,502.60,479.00, 493.55,493.35,1303549,6405.80
04-Aug-2011,535.70,540.55,514.05, 514.75,516.70,1300330,6830.19
03-Aug-2011,530.00,539.45,522.00, 535.70,536.20,1173437,6228.72
02-Aug-2011,550.00,550.00,534.60, 536.00,538.30,1272642,6862.06
01-Aug-2011,582.00,585.90,550.00, 552.00,553.40,1487876,8371.14
29-Jul-2011,570.90,587.70,564.20, 575.30,575.55,964500,5573.35
28-Jul-2011,584.90,585.40,570.00, 570.70,573.25,619125,3572.76
27-Jul-2011,590.20,595.35,581.10, 589.00,589.05,605286,3562.76
26-Jul-2011,601.50,609.00,587.05, 588.85,589.35,923052,5504.76
25-Jul-2011,595.00,604.40,593.60, 599.75,600.80,942989,5669.10
22-Jul-2011,592.40,599.75,588.25, 598.00,598.25,702079,4179.86
21-Jul-2011,596.00,597.50,585.05, 585.05,586.70,553963,3272.94
20-Jul-2011,600.15,604.50,588.00, 588.05,590.80,826443,4935.82
19-Jul-2011,588.25,599.00,586.45, 595.70,596.15,637190,3780.37
18-Jul-2011,592.80,599.25,588.00, 590.50,594.10,689617,4093.84
15-Jul-2011,596.05,602.85,586.75, 592.75,593.45,827954,4918.15
14-Jul-2011,586.00,601.00,583.10, 594.75,593.75,912033,5399.75
13-Jul-2011,575.90,593.00,575.90, 592.00,590.40,714489,4190.57
12-Jul-2011,581.40,583.90,569.65, 573.80,574.75,641864,3702.20
11-Jul-2011,585.10,592.80,582.00, 584.50,585.10,612804,3595.05
08-Jul-2011,605.20,605.70,588.00, 588.25,589.85,1010752,6044.83
07-Jul-2011,596.60,606.95,595.05, 601.35,603.05,988715,5937.98
06-Jul-2011,608.05,610.90,590.10, 593.20,594.05,1297666,7784.80
05-Jul-2011,590.00,613.00,581.80, 606.95,609.20,1674721,10038.41
04-Jul-2011,586.30,594.40,578.20, 592.00,592.40,969699,5712.44
01-Jul-2011,582.70,586.30,572.60, 584.00,582.45,718844,4165.31
30-Jun-2011,571.90,581.45,559.60, 580.90,578.45,1327191,7584.83
29-Jun-2011,563.70,570.80,556.00, 570.50,567.85,709903,4000.75
28-Jun-2011,559.40,567.00,558.50, 560.50,563.40,873604,4922.38
27-Jun-2011,536.35,560.95,535.15, 560.20,556.25,909855,5005.37
24-Jun-2011,533.00,545.50,524.10, 543.00,540.90,1161951,6188.80
23-Jun-2011,514.70,530.85,512.10, 529.00,528.25,992302,5190.20
22-Jun-2011,520.15,522.35,512.50, 516.50,515.40,800319,4134.89
21-Jun-2011,521.30,529.15,512.05, 515.75,515.40,808133,4200.62
20-Jun-2011,544.00,544.45,516.95, 518.35,520.90,860739,4545.50
17-Jun-2011,558.20,559.90,542.00, 543.90,545.95,824572,4531.34
16-Jun-2011,542.10,560.90,542.10, 558.45,555.65,1373577,7611.90
15-Jun-2011,552.80,553.90,541.30, 549.35,549.90,1381291,7563.75
14-Jun-2011,542.40,552.70,539.35, 548.00,548.90,1250778,6862.02
13-Jun-2011,529.90,540.90,525.95, 539.90,537.50,806003,4303.02
10-Jun-2011,534.90,538.40,527.80, 531.05,532.60,889864,4739.18
09-Jun-2011,546.00,547.00,536.50, 542.00,541.35,971059,5248.72
08-Jun-2011,537.00,545.90,533.35, 543.80,543.50,1295818,7017.06
07-Jun-2011,527.00,540.00,525.30, 539.00,538.40,1312586,7011.37
06-Jun-2011,525.00,532.00,515.75, 529.40,529.20,1538606,8092.45
03-Jun-2011,535.20,549.20,521.65, 523.55,524.10,3205014,17156.53
02-Jun-2011,517.45,543.65,505.75, 511.50,510.75,4842300,25372.02
01-Jun-2011,502.00,526.95,501.00, 525.00,524.75,2181951,11253.40
31-May-2011,494.00,504.00,486.25, 501.00,501.35,2089397,10376.90
30-May-2011,490.15,506.70,483.50, 498.05,500.60,1856990,9229.17
27-May-2011,472.00,491.70,472.00, 485.10,487.70,1242110,6022.73
26-May-2011,486.00,488.20,468.40, 470.00,471.90,1521031,7267.11
25-May-2011,493.50,493.50,481.15, 484.35,484.95,1145333,5550.84
24-May-2011,495.00,499.90,484.20, 496.00,494.25,944863,4641.82
23-May-2011,504.25,506.65,492.20, 494.05,496.35,669303,3337.61
20-May-2011,505.20,514.85,503.00, 509.00,509.10,691124,3523.57
19-May-2011,509.10,516.30,499.30, 502.05,502.90,875377,4438.59
18-May-2011,520.15,521.70,504.10, 508.00,508.40,805351,4107.91
17-May-2011,513.00,522.00,511.00, 519.70,519.25,826695,4268.91
16-May-2011,523.90,524.95,513.20, 515.00,515.70,631032,3263.10
13-May-2011,512.10,537.30,510.10, 527.30,526.65,1103574,5799.99
12-May-2011,519.00,523.95,513.10, 514.00,515.70,612678,3172.77
11-May-2011,523.00,524.50,518.00, 520.00,521.95,528354,2755.95
10-May-2011,519.00,529.50,515.00, 517.55,519.40,924931,4826.68
09-May-2011,528.95,529.80,512.70, 519.00,519.30,1020608,5312.37
06-May-2011,524.00,531.65,503.20, 525.00,527.55,1431061,7406.05
05-May-2011,525.85,537.80,516.05, 516.50,519.10,1248190,6572.10
04-May-2011,531.15,536.00,524.10, 529.50,529.70,799378,4233.98
03-May-2011,556.00,561.00,534.15, 536.00,537.65,899825,4924.07
02-May-2011,565.10,566.00,552.00, 557.00,557.30,592166,3298.80
29-Apr-2011,569.90,571.35,557.50, 561.00,562.80,876449,4944.67
28-Apr-2011,584.90,586.65,570.10, 571.00,572.00,766397,4398.23
27-Apr-2011,593.00,595.25,580.00, 580.00,582.00,925675,5411.46
26-Apr-2011,603.20,604.90,581.00, 587.55,590.00,1371314,8089.41
25-Apr-2011,607.00,610.80,597.65, 600.80,599.80,693807,4184.74
21-Apr-2011,605.00,612.50,603.00, 609.10,609.60,755895,4597.89
20-Apr-2011,609.15,609.70,586.20, 602.00,602.05,1316614,7884.34
19-Apr-2011,590.20,604.50,586.80, 603.15,600.10,960752,5713.86
18-Apr-2011,608.00,617.00,590.15, 592.00,592.10,1010682,6086.35
15-Apr-2011,613.70,620.90,607.00, 607.00,608.35,870925,5349.92
13-Apr-2011,602.50,616.75,601.30, 613.50,614.45,967994,5917.29
11-Apr-2011,607.20,616.00,598.75, 607.10,608.85,1413079,8591.81
08-Apr-2011,626.00,629.50,602.40, 603.95,606.10,1395511,8556.35
07-Apr-2011,632.00,633.30,622.50, 623.80,624.50,1116583,7004.83
06-Apr-2011,624.55,634.70,619.00, 630.05,630.10,1707446,10718.52
05-Apr-2011,622.00,630.90,618.35, 621.90,625.80,1718849,10745.72
04-Apr-2011,612.40,628.60,607.20, 621.50,622.35,2093466,12946.45
01-Apr-2011,586.90,616.00,586.90, 614.40,614.25,3808739,23119.63
31-Mar-2011,582.00,590.00,571.30, 586.00,583.15,2046162,11862.06
30-Mar-2011,585.10,589.15,577.00, 579.00,580.05,1202849,7017.18
29-Mar-2011,587.80,595.80,580.00, 580.05,582.20,1599353,9407.16
28-Mar-2011,580.00,591.75,580.00, 585.95,586.50,1889206,11077.55
25-Mar-2011,575.10,585.00,571.50, 581.35,582.90,1741191,10081.46
24-Mar-2011,575.05,576.50,566.10, 570.70,571.70,1246598,7122.91
23-Mar-2011,571.30,579.85,562.30, 574.25,571.00,3399071,19362.25
22-Mar-2011,577.25,580.90,572.00, 573.10,573.30,1445612,8327.46
21-Mar-2011,582.00,584.45,566.05, 576.00,572.80,2390488,13706.93
18-Mar-2011,589.00,593.40,573.65, 573.65,576.15,3535213,20607.58
