Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,24.90,26.00,24.75, 25.15,25.10,6240191,1578.75
29-Dec-2011,23.65,25.15,23.65, 24.95,24.75,5523262,1365.58
28-Dec-2011,27.00,27.00,24.45, 25.15,25.15,7363895,1835.59
27-Dec-2011,26.00,26.35,24.80, 25.10,25.15,7340963,1873.69
26-Dec-2011,26.10,26.75,25.30, 25.75,25.85,7946021,2067.48
23-Dec-2011,26.50,27.40,26.00, 26.15,26.15,10942519,2922.50
22-Dec-2011,25.05,26.50,24.95, 26.50,26.30,11839384,3081.21
21-Dec-2011,25.00,25.90,24.30, 25.05,25.00,5935599,1473.36
20-Dec-2011,25.20,25.70,23.95, 24.00,24.05,8218858,2014.17
19-Dec-2011,23.65,25.50,22.70, 25.25,25.25,19559299,4745.53
16-Dec-2011,26.40,26.40,23.60, 24.10,23.90,18442087,4611.83
15-Dec-2011,27.00,27.20,25.50, 25.75,26.05,10561396,2776.68
14-Dec-2011,27.35,28.70,27.10, 27.25,27.35,8034109,2232.20
13-Dec-2011,28.30,29.00,27.95, 28.55,28.40,10763046,3060.65
12-Dec-2011,29.45,29.45,28.40, 28.65,28.60,7413603,2134.63
09-Dec-2011,29.00,29.50,28.10, 28.70,28.55,8037286,2308.75
08-Dec-2011,31.20,31.20,29.00, 29.10,29.10,14273530,4229.70
07-Dec-2011,31.95,32.15,30.45, 30.65,30.65,11049385,3436.74
05-Dec-2011,33.00,33.00,31.65, 31.95,31.85,7196669,2310.40
02-Dec-2011,31.85,33.10,31.10, 32.95,32.95,10670633,3460.61
01-Dec-2011,31.50,32.35,30.80, 32.00,31.95,12260744,3911.47
30-Nov-2011,30.10,30.90,29.40, 30.35,30.30,10775849,3248.65
29-Nov-2011,32.25,32.50,30.20, 30.50,30.50,11866807,3693.55
28-Nov-2011,32.00,35.65,31.30, 32.10,32.20,8789596,2815.88
25-Nov-2011,31.20,31.95,30.30, 30.95,30.90,12119843,3781.33
24-Nov-2011,31.65,31.90,29.40, 31.70,31.20,28640830,8720.07
23-Nov-2011,33.80,34.80,30.50, 31.15,30.95,21458401,6984.00
22-Nov-2011,33.50,34.50,33.20, 33.70,33.45,10203445,3447.28
21-Nov-2011,35.00,35.90,32.90, 33.50,33.25,19073302,6505.24
18-Nov-2011,32.25,35.35,32.25, 35.30,35.10,24399657,8272.44
17-Nov-2011,32.70,34.50,31.80, 32.30,32.10,23935277,7974.17
16-Nov-2011,34.55,35.10,31.65, 33.15,32.65,36000328,11911.62
15-Nov-2011,38.25,38.80,33.85, 34.10,34.30,41139539,14723.13
14-Nov-2011,51.65,51.65,36.15, 38.05,38.35,89096407,35356.88
11-Nov-2011,54.45,54.75,50.90, 51.60,51.55,10085758,5265.53
09-Nov-2011,57.50,57.80,53.45, 53.65,54.25,5456491,3033.67
08-Nov-2011,57.05,57.50,55.60, 57.10,57.00,3590361,2037.59
04-Nov-2011,57.10,58.20,56.25, 56.80,56.75,5790134,3305.94
03-Nov-2011,58.00,58.50,55.70, 56.75,56.80,4447602,2528.76
02-Nov-2011,57.00,58.60,56.05, 57.80,57.85,4157635,2396.68
01-Nov-2011,57.00,57.80,56.10, 57.10,56.95,3257622,1853.32
31-Oct-2011,57.95,58.85,57.00, 57.10,57.20,4304691,2484.67
28-Oct-2011,55.90,58.10,55.80, 57.90,57.95,7010405,4002.54
26-Oct-2011,55.00,55.50,54.40, 54.70,54.75,738942,404.58
25-Oct-2011,54.00,54.80,53.35, 54.35,54.25,4329440,2339.85
24-Oct-2011,55.10,56.15,53.00, 53.50,53.55,4357672,2372.90
21-Oct-2011,57.30,57.30,54.55, 54.65,54.75,3824041,2118.75
20-Oct-2011,57.70,57.70,55.45, 56.30,56.30,4008811,2252.71
19-Oct-2011,56.70,58.50,56.70, 58.10,57.95,3931324,2267.08
18-Oct-2011,57.90,57.90,54.45, 56.50,56.15,5236927,2918.70
17-Oct-2011,58.45,59.00,57.65, 58.10,58.15,2997774,1747.52
14-Oct-2011,56.00,57.95,55.20, 57.80,57.70,6184444,3532.39
13-Oct-2011,56.05,56.75,55.00, 55.30,55.50,3109977,1734.04
12-Oct-2011,54.75,56.05,54.20, 56.00,55.85,3191289,1762.74
