Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,330.00,330.00,305.45, 305.45,313.90,326,1.00
29-Dec-2011,316.40,324.95,302.10, 304.95,306.30,111,0.35
28-Dec-2011,312.05,328.00,312.05, 312.50,327.05,175,0.57
26-Dec-2011,315.70,320.00,315.70, 320.00,320.00,11,0.04
23-Dec-2011,316.65,319.00,312.65, 319.00,318.20,30,0.10
22-Dec-2011,355.00,355.00,306.55, 320.00,320.00,354,1.16
21-Dec-2011,340.00,340.00,313.80, 319.95,319.95,22,0.07
20-Dec-2011,309.90,330.00,307.10, 312.00,310.40,178,0.55
19-Dec-2011,311.00,320.00,311.00, 316.70,319.45,52,0.16
16-Dec-2011,326.05,326.05,326.05, 326.05,326.05,2,0.01
15-Dec-2011,341.00,341.00,335.00, 335.00,335.00,151,0.51
14-Dec-2011,325.00,341.95,324.80, 326.10,326.10,607,1.98
13-Dec-2011,340.00,350.00,340.00, 340.00,340.60,70,0.24
12-Dec-2011,354.50,354.50,340.00, 340.00,340.00,57,0.20
09-Dec-2011,333.70,333.80,333.70, 333.80,333.80,3,0.01
08-Dec-2011,349.50,349.50,349.50, 349.50,349.50,146,0.51
07-Dec-2011,340.00,345.00,332.85, 332.85,333.15,368,1.25
05-Dec-2011,354.90,354.90,345.00, 346.00,346.00,65,0.23
02-Dec-2011,340.00,344.00,340.00, 344.00,342.00,20,0.07
01-Dec-2011,339.95,339.95,328.60, 338.00,338.00,45,0.15
29-Nov-2011,339.00,347.95,330.10, 330.10,332.00,91,0.30
28-Nov-2011,358.50,358.50,347.80, 347.80,347.80,141,0.50
25-Nov-2011,330.00,349.55,330.00, 342.00,342.00,157,0.54
24-Nov-2011,331.30,334.95,327.00, 327.00,327.05,242,0.80
23-Nov-2011,344.95,344.95,330.00, 330.00,330.00,3,0.01
22-Nov-2011,340.00,395.00,329.95, 329.95,329.95,59,0.20
21-Nov-2011,331.20,341.85,331.20, 338.00,338.00,55,0.18
18-Nov-2011,356.50,358.50,335.05, 340.00,340.00,262,0.91
17-Nov-2011,340.00,340.00,340.00, 340.00,340.00,1,0.00
16-Nov-2011,346.55,357.00,335.25, 340.00,340.20,259,0.88
