Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,61.15,62.55,61.00, 61.75,61.30,8721,5.36
29-Dec-2011,62.45,62.45,57.25, 61.00,60.30,43833,26.58
28-Dec-2011,61.60,61.95,60.00, 60.00,60.20,31938,19.48
27-Dec-2011,60.00,60.90,59.55, 60.80,60.55,49218,29.66
26-Dec-2011,59.25,61.65,59.25, 59.35,60.00,36512,21.93
23-Dec-2011,57.70,59.80,57.70, 59.00,59.00,6850,4.02
22-Dec-2011,57.00,58.10,56.50, 57.90,57.90,12479,7.18
21-Dec-2011,59.00,59.50,57.00, 58.60,58.30,10857,6.28
20-Dec-2011,61.00,61.00,57.80, 57.80,58.55,13901,8.23
19-Dec-2011,59.90,62.25,56.35, 62.25,59.05,19801,11.32
16-Dec-2011,61.35,62.20,59.15, 59.15,59.30,10599,6.46
15-Dec-2011,61.55,65.00,61.50, 61.60,62.25,34000,21.08
14-Dec-2011,65.00,68.95,64.60, 64.60,64.70,7859,5.23
13-Dec-2011,68.20,70.35,66.25, 68.00,68.00,10356,7.07
12-Dec-2011,67.50,69.50,67.50, 68.80,69.00,4676,3.20
09-Dec-2011,69.55,72.80,69.40, 69.40,70.20,5533,3.94
08-Dec-2011,74.00,74.00,71.20, 73.00,73.00,4202,3.04
07-Dec-2011,73.30,74.25,71.00, 73.00,73.85,10840,7.86
05-Dec-2011,74.40,75.00,72.25, 72.25,73.40,17542,13.10
02-Dec-2011,74.90,75.00,73.00, 74.05,74.25,20467,15.25
01-Dec-2011,74.00,74.95,73.50, 74.00,74.40,21470,15.99
30-Nov-2011,71.70,75.00,71.70, 73.00,74.05,23807,17.64
29-Nov-2011,74.95,75.00,72.40, 74.50,74.65,5559,4.13
28-Nov-2011,71.95,74.00,70.45, 73.90,73.80,2753,2.01
25-Nov-2011,69.20,71.95,69.20, 71.95,70.45,765,0.54
24-Nov-2011,68.00,70.90,68.00, 70.00,70.15,5175,3.59
23-Nov-2011,68.00,69.90,67.80, 69.90,69.90,2088,1.45
22-Nov-2011,73.90,73.90,70.00, 71.35,71.35,34932,24.78
21-Nov-2011,74.00,74.15,72.00, 72.00,72.00,2083,1.54
18-Nov-2011,74.90,74.90,72.00, 72.00,72.00,5027,3.63
17-Nov-2011,75.10,75.95,72.55, 75.00,75.70,12186,9.20
16-Nov-2011,75.60,77.00,75.00, 75.00,76.35,12923,9.81
15-Nov-2011,76.25,79.95,76.25, 77.10,77.75,37710,29.43
14-Nov-2011,79.60,80.00,78.50, 79.50,79.10,10899,8.62
11-Nov-2011,80.00,81.55,79.50, 80.50,80.00,6010,4.81
09-Nov-2011,84.45,85.00,79.60, 81.55,81.55,9433,7.68
08-Nov-2011,79.50,83.35,79.50, 81.00,82.60,22090,18.12
04-Nov-2011,78.00,81.35,78.00, 80.20,80.95,46292,37.44
03-Nov-2011,81.90,82.00,80.50, 81.90,81.55,4191,3.41
02-Nov-2011,81.00,82.00,81.00, 81.50,81.50,9823,8.03
01-Nov-2011,82.20,82.75,82.00, 82.00,82.45,19296,15.90
31-Oct-2011,83.00,84.00,82.25, 82.40,83.50,51681,43.15
28-Oct-2011,82.50,84.00,82.50, 83.50,83.95,8091,6.76
