Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,80.90,82.25,80.25, 81.30,81.50,3942384,3204.54
29-Dec-2011,79.80,81.50,78.50, 80.75,80.55,4881814,3909.02
28-Dec-2011,80.35,80.70,79.00, 79.80,80.00,2131230,1701.05
27-Dec-2011,81.20,81.50,79.50, 80.25,80.10,2813866,2259.22
26-Dec-2011,80.45,81.70,80.25, 80.55,80.65,1696561,1372.10
23-Dec-2011,80.20,82.50,79.75, 80.05,80.05,4156266,3364.68
22-Dec-2011,80.00,80.50,77.40, 79.80,80.00,3617044,2862.97
21-Dec-2011,79.65,80.95,78.50, 80.75,80.60,4120401,3284.54
20-Dec-2011,77.20,79.10,76.15, 77.25,77.05,6179233,4773.66
19-Dec-2011,74.50,77.80,73.20, 77.35,76.65,5140692,3874.41
16-Dec-2011,77.70,79.20,73.50, 74.75,74.75,4742513,3645.08
15-Dec-2011,77.25,78.00,75.75, 77.25,77.15,3684189,2831.41
14-Dec-2011,80.50,81.15,77.50, 77.90,78.00,5714763,4552.77
13-Dec-2011,78.20,81.90,76.65, 81.70,80.90,6174350,4910.11
12-Dec-2011,84.00,84.00,77.60, 78.00,78.55,7639987,6147.78
09-Dec-2011,86.00,86.10,82.40, 82.70,83.00,8519007,7181.37
08-Dec-2011,86.60,88.40,83.80, 87.30,87.65,14614439,12676.18
07-Dec-2011,85.75,88.45,85.30, 86.40,86.75,9074965,7913.30
05-Dec-2011,87.50,88.40,85.00, 85.05,85.30,6924720,5989.18
02-Dec-2011,86.00,87.95,84.75, 86.95,87.15,6492576,5629.70
01-Dec-2011,84.00,86.40,83.60, 85.60,85.50,11111175,9456.13
30-Nov-2011,82.90,83.40,79.90, 80.50,80.20,33204150,26845.18
29-Nov-2011,86.45,86.45,82.45, 84.00,83.80,10183839,8574.60
28-Nov-2011,84.00,86.00,83.00, 85.50,85.40,5786884,4906.30
25-Nov-2011,85.40,85.40,81.55, 82.00,82.10,5600768,4664.29
24-Nov-2011,87.80,87.95,83.15, 85.05,84.85,6975556,5899.26
23-Nov-2011,90.00,90.00,86.65, 88.00,87.85,3473460,3057.90
22-Nov-2011,89.80,91.25,88.65, 90.15,90.25,3613002,3258.50
21-Nov-2011,93.70,93.90,88.00, 88.10,88.40,4485380,4045.52
18-Nov-2011,88.95,100.60,88.15, 97.50,94.30,5962198,5431.40
17-Nov-2011,93.65,93.65,89.10, 91.00,90.45,6189603,5632.89
16-Nov-2011,98.70,98.80,92.75, 93.65,93.80,5352857,5039.11
15-Nov-2011,102.00,103.25,98.00, 99.00,99.00,2554516,2562.68
14-Nov-2011,106.40,107.20,102.00, 102.05,102.25,2048432,2127.17
11-Nov-2011,106.00,107.10,103.00, 105.50,105.20,2535020,2665.17
09-Nov-2011,110.00,110.85,106.25, 106.60,107.00,2678639,2900.27
08-Nov-2011,111.75,112.35,109.10, 109.80,109.90,1965457,2168.25
04-Nov-2011,110.25,111.65,109.55, 110.95,111.00,2334236,2586.60
03-Nov-2011,113.00,113.00,107.30, 109.75,109.15,6586566,7211.79
02-Nov-2011,109.50,114.40,109.05, 112.30,112.75,2710343,3047.67
01-Nov-2011,111.65,112.90,109.60, 110.75,110.70,1813560,2016.26
31-Oct-2011,116.00,116.25,111.65, 112.10,112.20,1944105,2216.13
28-Oct-2011,112.10,117.00,111.10, 115.85,116.05,3734257,4297.29
26-Oct-2011,110.00,110.80,108.80, 108.80,109.30,355685,389.38
25-Oct-2011,107.40,110.50,105.70, 109.95,109.20,2071638,2233.79
24-Oct-2011,107.00,107.60,105.40, 105.85,106.15,1398343,1489.66
21-Oct-2011,106.90,107.20,105.15, 105.80,105.50,1689691,1798.81
20-Oct-2011,105.00,107.65,104.10, 106.80,106.95,2150331,2269.90
19-Oct-2011,104.70,107.00,104.10, 106.85,106.70,1999881,2116.76
18-Oct-2011,103.90,104.40,102.80, 103.45,103.40,1908938,1972.53
17-Oct-2011,108.45,108.85,104.80, 104.85,105.65,2094679,2227.95
14-Oct-2011,107.20,109.20,105.75, 107.25,108.05,3080361,3301.56
13-Oct-2011,110.40,111.35,106.35, 107.20,108.10,5165092,5605.05
12-Oct-2011,108.00,110.50,105.30, 109.80,109.80,4282720,4622.88
11-Oct-2011,105.50,108.15,104.20, 106.45,107.40,5025020,5340.53
10-Oct-2011,102.05,105.45,102.05, 103.70,103.95,4228309,4394.95
07-Oct-2011,101.00,104.25,101.00, 102.75,103.50,3524558,3629.39
05-Oct-2011,101.50,102.00,98.35, 98.75,98.85,3743343,3728.71
04-Oct-2011,99.00,101.80,98.05, 100.00,100.10,5433907,5436.32
03-Oct-2011,104.10,104.95,99.20, 100.70,100.40,4225764,4306.06
30-Sep-2011,109.50,109.50,103.15, 106.45,105.65,3494107,3704.37
29-Sep-2011,106.10,111.00,104.75, 109.75,109.65,2745084,2950.19
28-Sep-2011,109.90,109.90,104.60, 107.05,107.25,2870756,3067.44
27-Sep-2011,106.00,109.60,105.65, 108.70,108.85,2137237,2307.36
26-Sep-2011,105.10,106.00,101.65, 103.75,104.00,2312422,2400.49
23-Sep-2011,106.00,107.35,102.60, 104.00,104.50,3829770,4003.80
22-Sep-2011,111.00,111.00,106.20, 108.15,107.75,3061556,3319.18
21-Sep-2011,111.95,114.10,110.10, 112.60,113.60,3212919,3606.42
20-Sep-2011,107.50,112.00,107.10, 112.00,111.65,2623196,2891.80
19-Sep-2011,110.00,110.00,107.10, 107.65,107.70,2134648,2304.71
16-Sep-2011,113.35,113.35,108.40, 109.05,109.25,2789640,3100.32
15-Sep-2011,110.90,113.30,108.25, 113.00,112.00,2764555,3048.33
14-Sep-2011,107.45,110.50,106.50, 109.60,109.45,3284443,3571.23
13-Sep-2011,109.00,110.75,105.10, 107.00,106.40,3063156,3300.61
12-Sep-2011,111.00,111.60,107.10, 107.25,107.95,1830237,2000.63
09-Sep-2011,117.50,118.00,111.10, 111.90,112.10,3729368,4257.84
08-Sep-2011,122.85,122.85,117.55, 118.00,118.40,3689095,4386.42
07-Sep-2011,117.15,123.00,117.15, 122.50,121.45,3867981,4622.46
06-Sep-2011,113.40,117.45,110.25, 117.05,116.70,5600085,6398.81
05-Sep-2011,108.50,113.80,107.65, 113.55,113.00,3060162,3407.16
02-Sep-2011,109.80,110.50,108.00, 110.00,109.55,3411246,3733.38
30-Aug-2011,108.00,109.80,104.20, 107.95,107.90,4303402,4596.49
29-Aug-2011,104.70,107.50,102.90, 107.10,106.90,1710336,1806.39
26-Aug-2011,106.00,106.70,101.05, 102.15,102.45,2216837,2302.32
25-Aug-2011,110.65,111.20,105.00, 105.30,106.50,2729101,2947.73
24-Aug-2011,109.60,112.50,108.60, 109.40,109.60,3234077,3573.69
23-Aug-2011,112.90,113.15,108.85, 110.10,110.70,2714696,3006.91
22-Aug-2011,104.80,112.80,103.25, 112.65,111.30,3401038,3664.23
19-Aug-2011,103.00,106.00,101.95, 104.20,104.80,2165211,2246.37
18-Aug-2011,107.20,108.00,103.50, 104.00,104.40,2185598,2304.71
17-Aug-2011,106.00,108.00,105.25, 106.40,106.55,1767271,1884.04
16-Aug-2011,110.20,112.50,103.40, 105.30,105.05,1987532,2135.83
12-Aug-2011,113.50,114.35,108.40, 109.65,110.45,2571485,2851.04
11-Aug-2011,112.50,112.75,110.00, 112.45,111.75,2472495,2756.29
10-Aug-2011,109.65,113.85,108.50, 112.25,112.50,6863638,7707.46
09-Aug-2011,105.00,109.60,103.00, 107.35,107.30,4255886,4532.86
08-Aug-2011,112.90,112.90,106.40, 107.70,107.80,3622820,3997.05
05-Aug-2011,115.80,116.20,110.10, 115.95,114.65,3771949,4304.83
04-Aug-2011,121.90,122.50,118.05, 118.30,119.10,2118976,2549.27
03-Aug-2011,117.40,122.00,115.50, 121.75,121.05,2751757,3286.40
02-Aug-2011,119.95,120.30,116.35, 118.00,118.00,3402164,4007.58
01-Aug-2011,127.45,127.45,118.80, 119.90,119.95,6115115,7402.58
29-Jul-2011,127.50,127.50,125.80, 126.40,126.35,1554799,1969.49
28-Jul-2011,130.00,130.40,127.00, 127.65,127.70,3272611,4199.61
27-Jul-2011,132.25,132.80,130.20, 131.40,131.20,1145671,1505.01
26-Jul-2011,134.00,135.25,131.15, 131.50,131.55,1557498,2061.71
25-Jul-2011,131.85,134.65,131.30, 134.05,133.95,2145026,2857.50
22-Jul-2011,130.55,132.15,129.10, 131.85,131.65,2304070,3021.06
21-Jul-2011,131.70,131.80,128.60, 128.75,129.15,1340983,1743.55
20-Jul-2011,133.35,133.40,130.55, 130.90,131.10,1307650,1720.57
19-Jul-2011,131.30,133.40,130.90, 132.35,132.45,2130608,2817.66
18-Jul-2011,131.70,132.25,130.70, 131.45,131.45,1414509,1861.74
15-Jul-2011,132.15,132.90,130.15, 130.85,130.80,2354260,3092.92
14-Jul-2011,131.40,133.25,130.50, 130.95,131.35,4409267,5808.42
13-Jul-2011,131.40,132.45,130.60, 131.95,131.65,2645214,3481.99
12-Jul-2011,131.75,131.75,129.25, 129.90,129.85,3118063,4063.62
11-Jul-2011,136.20,136.70,131.30, 132.20,131.95,4305652,5718.68
08-Jul-2011,141.05,141.95,136.10, 136.20,136.45,2666033,3670.76
07-Jul-2011,141.50,142.90,140.10, 141.90,142.00,2712012,3849.50
06-Jul-2011,142.60,143.70,140.70, 141.10,141.50,1651627,2349.22
05-Jul-2011,138.60,143.15,137.35, 142.00,142.25,3630368,5152.74
04-Jul-2011,138.80,139.30,137.15, 138.70,138.75,1227467,1697.01
01-Jul-2011,137.90,139.35,136.50, 137.40,137.65,1280901,1765.49
30-Jun-2011,137.00,140.20,136.75, 137.05,137.50,3750916,5193.21
29-Jun-2011,137.70,138.25,135.80, 136.75,136.45,3205015,4384.07
28-Jun-2011,138.00,139.70,135.75, 136.40,136.35,3531921,4844.56
27-Jun-2011,135.90,140.90,134.25, 137.50,137.75,4441987,6171.42
24-Jun-2011,132.90,136.90,131.90, 136.70,136.10,2550193,3424.49
23-Jun-2011,129.95,133.10,128.75, 131.50,131.60,1829937,2400.66
22-Jun-2011,132.50,133.50,129.10, 130.00,129.95,1981265,2576.67
21-Jun-2011,134.00,135.25,130.25, 131.40,131.30,1632548,2165.41
20-Jun-2011,137.00,137.45,132.10, 134.00,133.40,2324209,3111.14
17-Jun-2011,136.00,137.90,136.00, 136.15,136.35,2101683,2872.85
16-Jun-2011,139.85,139.85,136.00, 136.25,136.75,2960115,4093.03
15-Jun-2011,144.95,145.00,139.50, 139.90,140.15,3152137,4453.40
14-Jun-2011,144.00,145.40,143.10, 145.00,144.95,1001843,1448.09
13-Jun-2011,144.00,145.45,141.30, 144.00,143.85,1364684,1954.78
10-Jun-2011,146.90,146.90,143.55, 144.50,144.65,1284842,1858.93
09-Jun-2011,144.00,148.20,144.00, 146.95,146.80,2199836,3224.24
08-Jun-2011,145.45,145.75,143.05, 143.95,144.15,1611381,2324.87
07-Jun-2011,145.75,146.50,144.00, 145.30,145.80,1675092,2433.33
06-Jun-2011,145.80,147.20,144.50, 146.25,146.20,1072247,1563.34
03-Jun-2011,149.40,150.95,145.40, 146.00,145.95,2208427,3266.79
02-Jun-2011,143.90,150.40,143.00, 148.80,149.40,4400302,6509.87
01-Jun-2011,141.20,145.85,141.20, 144.90,144.95,4164473,6020.84
31-May-2011,142.95,142.95,140.00, 141.25,140.60,5251498,7410.81
30-May-2011,144.15,145.50,141.00, 141.20,141.60,1875293,2665.83
27-May-2011,143.80,144.35,142.00, 143.00,143.50,1930365,2765.24
26-May-2011,140.45,144.00,140.45, 142.80,143.30,3922634,5596.33
25-May-2011,140.30,141.25,138.40, 139.70,139.50,2089403,2909.90
24-May-2011,142.40,143.90,140.20, 140.80,141.00,1869934,2655.03
23-May-2011,141.10,144.10,139.05, 142.40,142.20,2809911,3983.82
20-May-2011,140.95,145.80,139.50, 142.65,142.60,2737323,3894.73
19-May-2011,142.70,143.80,140.10, 140.25,140.30,1663119,2345.09
