Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,12.45,12.50,12.05, 12.35,12.35,880,0.11
29-Dec-2011,12.25,12.25,12.15, 12.15,12.15,185,0.02
28-Dec-2011,12.50,12.60,12.50, 12.60,12.60,189,0.02
27-Dec-2011,13.00,13.00,12.65, 12.65,12.65,377,0.05
26-Dec-2011,12.55,12.65,12.55, 12.60,12.60,2974,0.37
23-Dec-2011,11.95,12.45,11.95, 12.25,12.25,2201,0.27
22-Dec-2011,12.40,12.40,12.10, 12.35,12.10,295,0.04
21-Dec-2011,12.15,13.50,11.65, 12.10,12.10,1841,0.22
20-Dec-2011,11.70,11.85,11.05, 11.50,11.65,1503,0.17
19-Dec-2011,11.85,12.90,11.85, 12.00,12.00,1202,0.14
16-Dec-2011,12.25,12.80,12.15, 12.50,12.50,1622,0.20
15-Dec-2011,12.60,13.30,12.60, 13.30,12.75,238,0.03
14-Dec-2011,12.50,13.10,12.50, 12.70,12.80,2396,0.31
13-Dec-2011,12.65,13.45,12.65, 12.80,12.80,124,0.02
12-Dec-2011,13.00,13.55,13.00, 13.50,13.25,792,0.10
09-Dec-2011,12.75,13.25,12.70, 13.25,13.25,85,0.01
08-Dec-2011,12.95,12.95,12.95, 12.95,12.95,568,0.07
07-Dec-2011,13.00,13.35,12.80, 12.85,12.85,381,0.05
05-Dec-2011,13.20,13.20,13.00, 13.00,13.00,799,0.11
02-Dec-2011,12.75,13.00,12.70, 13.00,13.00,318,0.04
01-Dec-2011,13.15,14.60,13.05, 13.10,13.10,2368,0.31
30-Nov-2011,13.85,13.90,13.15, 13.15,13.15,1358,0.18
28-Nov-2011,14.45,14.45,13.10, 14.00,14.00,201,0.03
25-Nov-2011,12.20,14.65,12.20, 13.80,13.80,971,0.13
24-Nov-2011,12.20,12.95,12.15, 12.50,12.65,468,0.06
23-Nov-2011,13.00,13.00,12.45, 12.85,12.80,961,0.12
22-Nov-2011,12.65,13.40,12.60, 12.85,13.25,529,0.07
21-Nov-2011,13.90,15.35,12.65, 12.65,13.00,3770,0.52
18-Nov-2011,12.60,13.20,12.50, 12.55,12.95,180,0.02
17-Nov-2011,13.00,13.50,13.00, 13.00,13.05,792,0.10
16-Nov-2011,13.00,13.55,13.00, 13.20,13.20,1004,0.13
15-Nov-2011,13.05,13.65,13.00, 13.45,13.45,3906,0.52
14-Nov-2011,13.00,13.85,13.00, 13.70,13.75,1585,0.21
11-Nov-2011,13.00,13.75,13.00, 13.75,13.50,1105,0.15
09-Nov-2011,13.15,13.70,13.15, 13.55,13.25,828,0.11
08-Nov-2011,13.00,13.45,13.00, 13.45,13.45,654,0.09
04-Nov-2011,13.80,16.10,13.20, 13.35,13.45,935,0.14
03-Nov-2011,13.40,13.85,13.40, 13.40,13.40,1333,0.18
02-Nov-2011,13.15,13.40,13.15, 13.40,13.40,141,0.02
01-Nov-2011,13.20,13.45,13.20, 13.25,13.25,454,0.06
31-Oct-2011,13.65,14.80,13.45, 13.45,13.90,175,0.02
28-Oct-2011,12.90,13.35,12.60, 13.05,13.05,3811,0.49
25-Oct-2011,12.65,13.25,12.65, 13.00,13.00,215,0.03
24-Oct-2011,13.00,13.00,13.00, 13.00,13.00,43,0.01
21-Oct-2011,12.80,13.50,12.80, 13.10,13.10,538,0.07
20-Oct-2011,13.30,13.30,12.90, 13.10,13.10,1702,0.22
19-Oct-2011,13.85,13.85,13.10, 13.35,13.20,2571,0.35
18-Oct-2011,13.30,13.70,13.30, 13.70,13.70,906,0.12
17-Oct-2011,13.30,13.70,13.30, 13.65,13.65,642,0.09
14-Oct-2011,13.10,13.65,13.10, 13.35,13.35,10,0.00
13-Oct-2011,13.15,13.25,13.10, 13.10,13.10,901,0.12
12-Oct-2011,13.65,13.65,13.05, 13.25,13.25,40930,5.58
11-Oct-2011,13.50,13.90,13.30, 13.30,13.30,220,0.03
10-Oct-2011,13.90,13.90,13.15, 13.25,13.25,7839,1.06
07-Oct-2011,13.90,13.90,12.80, 13.45,13.10,1356,0.18
05-Oct-2011,12.75,15.30,12.75, 13.30,13.40,10681,1.45
04-Oct-2011,13.00,13.40,12.70, 13.40,13.15,34,0.00
03-Oct-2011,13.05,13.30,13.05, 13.10,13.10,1331,0.17
30-Sep-2011,12.70,13.90,12.65, 13.10,13.05,381,0.05
29-Sep-2011,13.35,13.80,13.05, 13.15,13.15,1017,0.13
28-Sep-2011,13.40,13.75,12.90, 12.95,13.05,2104,0.28
27-Sep-2011,13.25,14.30,13.10, 13.45,13.10,1283,0.17
26-Sep-2011,13.05,13.20,12.35, 12.90,12.95,495,0.06
23-Sep-2011,13.65,13.65,13.05, 13.25,13.25,2103,0.28
22-Sep-2011,14.45,14.75,13.60, 13.65,13.65,2418,0.34
21-Sep-2011,14.45,15.10,13.55, 13.75,13.80,404,0.06
20-Sep-2011,13.15,15.20,13.15, 13.80,13.80,3606,0.50
19-Sep-2011,14.45,14.45,13.50, 13.50,13.55,2225,0.31
16-Sep-2011,13.55,13.65,13.55, 13.60,13.60,146,0.02
15-Sep-2011,13.60,14.20,13.55, 13.75,13.75,598,0.08
14-Sep-2011,14.00,14.30,13.50, 13.50,13.50,837,0.12
13-Sep-2011,13.25,14.15,13.20, 14.00,14.00,1494,0.20
12-Sep-2011,15.45,15.45,13.50, 13.60,13.60,550,0.08
09-Sep-2011,14.00,14.05,14.00, 14.00,14.00,229,0.03
08-Sep-2011,13.15,14.60,13.15, 14.30,14.30,4639,0.66
07-Sep-2011,13.15,15.10,13.10, 14.00,14.00,1217,0.17
06-Sep-2011,13.15,14.30,13.10, 13.75,13.90,723,0.10
05-Sep-2011,13.50,14.10,13.50, 14.05,14.00,2619,0.36
02-Sep-2011,14.00,14.40,13.10, 13.55,13.80,1488,0.21
30-Aug-2011,13.05,14.10,13.00, 13.75,13.75,2287,0.31
29-Aug-2011,13.00,14.10,13.00, 14.00,13.90,1992,0.27
26-Aug-2011,12.70,13.35,12.70, 13.10,13.10,12623,1.67
25-Aug-2011,13.05,13.80,13.00, 13.25,13.05,11219,1.49
24-Aug-2011,13.05,14.35,12.95, 13.35,13.75,1642,0.22
23-Aug-2011,13.50,15.40,13.00, 13.35,13.40,8302,1.12
22-Aug-2011,13.00,14.45,12.80, 12.80,13.10,2859,0.37
19-Aug-2011,13.30,13.70,12.60, 13.10,13.10,5440,0.71
18-Aug-2011,13.30,13.95,13.00, 13.00,13.40,13188,1.77
17-Aug-2011,13.30,13.95,13.20, 13.30,13.30,12090,1.63
16-Aug-2011,14.25,14.75,13.60, 13.65,13.80,12769,1.80
12-Aug-2011,14.10,17.30,14.10, 15.15,14.45,3400,0.52
11-Aug-2011,14.00,15.00,14.00, 14.55,14.60,2472,0.35
10-Aug-2011,14.05,15.45,14.00, 14.60,14.60,5392,0.78
09-Aug-2011,14.00,15.60,14.00, 14.70,14.70,21142,3.09
08-Aug-2011,15.15,16.20,15.00, 15.10,15.10,9974,1.55
05-Aug-2011,16.30,16.30,15.30, 16.30,16.25,5500,0.87
04-Aug-2011,16.00,17.35,16.00, 17.25,17.00,1605,0.27
03-Aug-2011,17.00,17.00,16.80, 17.00,16.95,6814,1.16
02-Aug-2011,17.00,17.30,17.00, 17.20,17.30,931,0.16
01-Aug-2011,17.00,17.80,17.00, 17.75,17.70,4902,0.85
29-Jul-2011,17.00,18.00,17.00, 18.00,18.00,4510,0.80
28-Jul-2011,17.15,17.55,16.45, 17.55,17.40,3221,0.55
27-Jul-2011,17.10,18.10,17.10, 17.90,17.55,1020,0.18
26-Jul-2011,18.10,18.10,16.65, 16.85,16.85,2503,0.42
25-Jul-2011,17.05,17.35,17.05, 17.15,17.15,611,0.11
22-Jul-2011,17.05,18.10,16.55, 17.05,17.05,11215,1.91
21-Jul-2011,17.65,18.70,17.60, 18.70,17.85,8113,1.45
20-Jul-2011,19.00,20.20,18.10, 18.75,18.65,24331,4.70
19-Jul-2011,18.90,21.35,17.90, 19.60,20.05,267478,54.42
18-Jul-2011,15.10,17.90,14.55, 17.90,17.90,86303,14.98
15-Jul-2011,15.00,15.25,14.90, 14.90,14.90,1827,0.27
14-Jul-2011,14.70,15.00,14.70, 14.75,14.75,600,0.09
13-Jul-2011,14.70,15.00,14.70, 15.00,15.00,621,0.09
12-Jul-2011,14.80,14.80,14.80, 14.80,14.80,140,0.02
08-Jul-2011,14.85,15.00,14.85, 15.00,15.00,2425,0.36
07-Jul-2011,14.70,14.95,14.35, 14.65,14.60,2942,0.43
06-Jul-2011,14.70,15.00,14.60, 14.80,14.80,3461,0.51
05-Jul-2011,14.85,15.10,14.85, 14.85,14.85,8000,1.19
04-Jul-2011,15.00,15.20,14.85, 15.10,15.10,9196,1.38
01-Jul-2011,14.95,15.50,14.95, 15.10,15.10,3635,0.56
30-Jun-2011,14.75,15.00,14.50, 15.00,15.00,1918,0.28
29-Jun-2011,14.80,15.05,14.55, 15.05,14.80,683,0.10
