Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,4.50,4.80,4.40, 4.70,4.70,24688,1.15
29-Dec-2011,4.30,4.75,4.30, 4.50,4.55,5550,0.25
28-Dec-2011,4.50,4.70,4.50, 4.60,4.60,4425,0.20
27-Dec-2011,4.60,4.65,4.45, 4.50,4.50,8033,0.37
26-Dec-2011,4.25,4.60,4.25, 4.50,4.50,8764,0.40
23-Dec-2011,4.30,4.80,4.30, 4.40,4.40,23831,1.09
22-Dec-2011,4.20,4.50,4.20, 4.50,4.45,11405,0.50
21-Dec-2011,4.40,4.50,4.00, 4.50,4.35,19405,0.86
20-Dec-2011,4.50,4.50,4.15, 4.35,4.35,5241,0.23
19-Dec-2011,4.55,4.65,4.30, 4.35,4.40,35761,1.57
16-Dec-2011,4.85,4.85,4.60, 4.65,4.65,13647,0.64
15-Dec-2011,4.75,4.85,4.60, 4.85,4.80,9556,0.45
14-Dec-2011,5.00,5.15,4.90, 5.00,4.95,13047,0.65
13-Dec-2011,5.00,5.25,4.95, 5.05,5.05,6334,0.32
12-Dec-2011,5.05,5.20,5.00, 5.05,5.05,8288,0.42
09-Dec-2011,4.95,5.20,4.90, 5.10,5.20,8382,0.43
08-Dec-2011,5.00,5.05,5.00, 5.00,5.00,6079,0.31
07-Dec-2011,5.40,5.40,5.00, 5.00,5.05,39626,2.03
05-Dec-2011,4.90,5.30,4.90, 5.15,5.15,4765,0.24
02-Dec-2011,5.10,5.45,5.10, 5.20,5.20,6737,0.35
01-Dec-2011,5.30,5.55,5.20, 5.30,5.25,31036,1.65
30-Nov-2011,5.50,5.60,5.30, 5.40,5.40,7573,0.42
29-Nov-2011,5.20,5.60,5.20, 5.60,5.55,5586,0.31
28-Nov-2011,5.60,5.65,5.30, 5.65,5.60,9736,0.53
25-Nov-2011,5.20,5.60,5.20, 5.45,5.30,2902,0.16
24-Nov-2011,5.25,5.40,5.20, 5.40,5.35,24283,1.30
23-Nov-2011,5.10,5.40,5.10, 5.40,5.40,17494,0.93
22-Nov-2011,5.10,5.50,5.05, 5.35,5.25,13742,0.73
21-Nov-2011,5.20,5.50,5.05, 5.15,5.10,18758,0.97
18-Nov-2011,5.35,5.80,5.30, 5.35,5.40,48341,2.63
17-Nov-2011,5.45,5.95,5.45, 5.50,5.55,5466,0.31
16-Nov-2011,5.40,5.70,5.40, 5.70,5.70,6450,0.36
15-Nov-2011,5.70,6.20,5.70, 5.70,5.75,49717,2.91
14-Nov-2011,6.00,6.05,5.65, 5.70,5.70,59325,3.46
11-Nov-2011,6.00,6.15,5.90, 6.00,6.10,38632,2.33
09-Nov-2011,6.00,6.10,5.95, 5.95,5.95,7857,0.47
08-Nov-2011,5.85,6.35,5.85, 6.10,6.10,17595,1.07
04-Nov-2011,6.00,6.25,6.00, 6.20,6.15,22551,1.38
03-Nov-2011,6.00,6.25,6.00, 6.25,6.15,11715,0.73
02-Nov-2011,6.00,6.30,6.00, 6.15,6.15,31915,1.96
01-Nov-2011,6.00,6.30,6.00, 6.10,6.20,11432,0.70
31-Oct-2011,6.25,6.40,5.80, 6.05,6.10,20358,1.25
28-Oct-2011,5.90,6.20,5.60, 6.20,6.15,37219,2.25
26-Oct-2011,5.55,5.95,5.55, 5.95,5.85,5074,0.29
25-Oct-2011,5.65,5.80,5.65, 5.65,5.65,12048,0.68
24-Oct-2011,5.55,5.90,5.55, 5.85,5.85,4514,0.26
21-Oct-2011,5.40,5.80,5.40, 5.65,5.65,11563,0.65
20-Oct-2011,5.40,6.45,5.35, 5.70,5.75,160376,9.50
19-Oct-2011,5.35,5.55,5.35, 5.45,5.45,10353,0.57
18-Oct-2011,5.30,5.45,5.30, 5.45,5.45,10448,0.56
17-Oct-2011,5.35,5.60,5.30, 5.45,5.45,27358,1.48
14-Oct-2011,5.35,5.50,5.35, 5.40,5.40,7900,0.43
13-Oct-2011,5.25,5.60,5.25, 5.40,5.40,21523,1.18
12-Oct-2011,5.20,5.50,5.20, 5.50,5.45,24333,1.30
11-Oct-2011,5.25,5.40,5.25, 5.25,5.30,20516,1.08
10-Oct-2011,5.30,5.50,5.25, 5.40,5.40,15821,0.84
07-Oct-2011,5.35,5.65,5.35, 5.35,5.45,13823,0.75
05-Oct-2011,5.20,5.50,5.20, 5.40,5.45,17829,0.97
04-Oct-2011,5.30,5.45,5.30, 5.30,5.30,5433,0.29
03-Oct-2011,5.30,5.45,5.20, 5.45,5.35,12394,0.66
30-Sep-2011,5.40,5.50,5.35, 5.50,5.45,5167,0.28
29-Sep-2011,5.35,5.55,5.35, 5.55,5.45,5060,0.27
28-Sep-2011,5.35,5.55,5.30, 5.55,5.50,11937,0.65
27-Sep-2011,5.25,5.60,5.25, 5.40,5.45,13994,0.76
26-Sep-2011,5.25,5.60,5.25, 5.35,5.40,15215,0.81
23-Sep-2011,5.20,5.60,5.10, 5.55,5.50,15745,0.85
22-Sep-2011,5.80,5.80,5.10, 5.20,5.30,45701,2.49
21-Sep-2011,6.80,6.80,5.60, 5.75,5.80,12593,0.74
20-Sep-2011,5.85,5.95,5.65, 5.90,5.90,20850,1.21
19-Sep-2011,5.50,5.90,5.40, 5.90,5.85,58540,3.32
16-Sep-2011,5.50,5.75,5.45, 5.65,5.65,29684,1.67
15-Sep-2011,5.50,5.70,5.25, 5.70,5.65,24944,1.40
14-Sep-2011,5.40,5.50,5.30, 5.50,5.45,15713,0.85
13-Sep-2011,5.35,5.70,5.25, 5.60,5.50,8930,0.49
12-Sep-2011,5.60,5.60,5.25, 5.45,5.45,13882,0.74
09-Sep-2011,5.80,5.80,5.50, 5.55,5.55,24803,1.40
08-Sep-2011,5.50,5.75,5.40, 5.70,5.65,22091,1.24
07-Sep-2011,5.55,5.70,5.35, 5.40,5.50,30768,1.72
06-Sep-2011,5.25,5.70,5.25, 5.70,5.65,11639,0.63
05-Sep-2011,5.40,5.65,5.10, 5.60,5.50,21453,1.17
02-Sep-2011,5.60,5.60,5.15, 5.35,5.45,12902,0.70
30-Aug-2011,5.50,5.55,5.20, 5.30,5.30,14790,0.79
29-Aug-2011,5.10,5.45,5.00, 5.35,5.40,7996,0.42
