Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,34.30,34.65,32.65, 33.40,33.15,7692,2.60
29-Dec-2011,35.15,35.15,34.35, 35.00,34.75,3447,1.20
28-Dec-2011,35.70,35.95,35.00, 35.40,35.25,32777,11.54
27-Dec-2011,35.15,35.90,34.80, 35.50,35.55,38639,13.62
26-Dec-2011,34.50,35.20,33.70, 34.50,34.15,4970,1.71
23-Dec-2011,34.85,35.90,34.60, 34.65,34.70,6266,2.19
22-Dec-2011,33.80,37.00,33.25, 35.00,34.75,58513,21.11
21-Dec-2011,35.75,35.95,34.05, 34.05,34.45,8609,3.01
20-Dec-2011,35.10,36.40,34.55, 35.05,35.25,30810,10.94
19-Dec-2011,37.00,37.40,35.35, 36.50,36.05,16563,6.06
16-Dec-2011,37.25,38.70,37.00, 37.50,37.65,9965,3.74
15-Dec-2011,38.50,39.15,37.10, 37.75,37.65,10656,4.00
14-Dec-2011,41.70,42.50,38.00, 38.10,39.20,138988,55.62
13-Dec-2011,35.25,41.95,35.25, 41.95,40.25,164842,65.07
12-Dec-2011,37.90,37.90,35.60, 35.65,35.80,12729,4.62
09-Dec-2011,37.50,38.85,36.80, 37.20,37.30,50339,19.14
08-Dec-2011,34.50,41.20,34.50, 37.10,37.60,102529,39.29
07-Dec-2011,34.00,35.75,33.90, 35.70,35.40,11787,4.13
05-Dec-2011,34.30,34.50,33.55, 34.00,34.15,8828,3.00
02-Dec-2011,34.80,36.60,33.70, 34.75,34.80,40934,14.18
01-Dec-2011,35.70,36.65,34.00, 34.70,35.00,105593,37.19
30-Nov-2011,28.75,34.40,28.15, 34.40,33.70,251360,82.65
29-Nov-2011,28.55,29.20,28.55, 28.60,28.70,1379,0.40
28-Nov-2011,27.60,29.65,27.60, 29.55,29.30,7896,2.29
25-Nov-2011,27.70,28.50,27.35, 27.90,27.75,11657,3.23
24-Nov-2011,27.30,28.00,26.60, 26.90,27.05,21191,5.86
23-Nov-2011,28.00,28.50,26.80, 28.50,28.15,5657,1.57
22-Nov-2011,28.20,28.75,27.95, 28.75,28.60,2052,0.59
21-Nov-2011,26.75,28.40,26.65, 28.40,27.95,10325,2.82
18-Nov-2011,27.20,28.05,26.25, 26.90,26.95,9993,2.73
17-Nov-2011,28.10,28.90,27.75, 28.05,28.00,3821,1.08
16-Nov-2011,29.35,30.00,28.50, 28.75,29.10,9313,2.71
15-Nov-2011,30.50,31.55,29.50, 30.20,29.85,13736,4.27
14-Nov-2011,31.50,32.25,30.40, 31.20,31.30,8780,2.78
11-Nov-2011,30.50,31.45,29.75, 30.80,30.65,4485,1.37
09-Nov-2011,31.50,31.50,30.25, 30.50,30.45,2435,0.75
08-Nov-2011,30.85,31.40,30.80, 31.40,31.35,916,0.29
04-Nov-2011,30.50,32.60,30.50, 31.30,31.15,13450,4.32
03-Nov-2011,31.90,32.00,31.25, 31.35,31.50,3676,1.16
02-Nov-2011,31.30,31.95,31.15, 31.15,31.15,1612,0.51
01-Nov-2011,32.00,32.00,31.20, 31.65,31.75,3998,1.27
31-Oct-2011,31.80,32.05,31.55, 31.55,31.55,469,0.15
28-Oct-2011,31.30,32.00,31.30, 31.55,31.80,2083,0.66
26-Oct-2011,32.00,32.65,31.30, 32.20,31.80,8872,2.83
25-Oct-2011,30.50,31.40,30.25, 30.80,30.80,12324,3.83
24-Oct-2011,30.35,31.20,30.15, 31.20,31.00,18519,5.69
21-Oct-2011,29.10,30.20,29.10, 30.00,29.80,450,0.13
20-Oct-2011,30.65,30.65,29.50, 29.50,29.85,2242,0.67
