Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,90.50,90.50,86.10, 86.15,87.20,2378,2.08
29-Dec-2011,90.00,92.70,86.50, 88.00,91.50,2430,2.19
28-Dec-2011,89.00,90.00,86.05, 86.75,87.55,652,0.57
27-Dec-2011,88.65,91.00,86.70, 88.45,88.50,7351,6.54
26-Dec-2011,95.00,95.05,88.50, 88.95,89.65,2800,2.53
23-Dec-2011,85.35,91.00,85.00, 91.00,89.50,27025,23.05
22-Dec-2011,88.05,88.90,85.50, 85.50,86.10,30441,26.45
21-Dec-2011,90.40,90.40,87.05, 88.90,88.95,8676,7.71
20-Dec-2011,88.55,90.00,88.55, 89.25,89.30,8330,7.47
19-Dec-2011,93.00,93.00,86.30, 89.20,89.45,57748,51.83
16-Dec-2011,97.70,97.70,92.65, 93.05,93.35,11524,10.94
15-Dec-2011,95.00,99.00,91.35, 93.60,92.75,180995,177.48
14-Dec-2011,98.00,98.00,94.60, 95.90,95.75,262076,253.47
13-Dec-2011,98.05,98.50,96.50, 97.75,96.90,10965,10.65
12-Dec-2011,106.00,106.00,98.05, 99.00,99.20,6063,6.13
09-Dec-2011,107.85,108.50,103.05, 103.15,103.15,203266,220.39
08-Dec-2011,91.25,105.00,91.25, 102.15,104.85,29072,30.38
07-Dec-2011,106.50,111.45,102.60, 102.65,104.00,229894,253.95
05-Dec-2011,102.50,108.00,100.20, 102.10,107.85,219168,236.19
02-Dec-2011,100.75,104.75,100.00, 101.05,101.35,11342,11.47
01-Dec-2011,104.00,104.00,100.30, 100.60,100.60,3566,3.63
30-Nov-2011,104.00,105.65,99.00, 101.20,100.80,14886,15.01
29-Nov-2011,105.30,105.30,102.00, 102.10,102.20,10758,11.03
28-Nov-2011,109.00,109.00,105.20, 105.20,106.35,4765,5.15
25-Nov-2011,106.00,108.00,105.40, 107.00,107.65,1183,1.26
24-Nov-2011,103.90,105.00,102.45, 105.00,104.90,2697,2.81
23-Nov-2011,105.50,106.00,102.00, 103.00,103.60,5281,5.51
22-Nov-2011,109.95,109.95,105.40, 105.95,105.55,21503,22.80
21-Nov-2011,111.00,111.90,106.25, 106.35,107.05,14859,16.07
18-Nov-2011,115.00,115.00,109.00, 110.00,109.80,14637,16.25
17-Nov-2011,110.60,115.45,109.90, 114.00,114.05,5292,6.02
16-Nov-2011,108.50,114.00,104.10, 112.00,112.00,5583,6.07
15-Nov-2011,115.00,116.00,109.25, 109.90,109.55,14583,16.46
14-Nov-2011,123.00,123.00,111.05, 115.50,115.55,10249,11.90
11-Nov-2011,125.00,125.00,118.50, 119.10,119.65,3876,4.69
09-Nov-2011,122.00,123.95,121.70, 122.05,122.05,2939,3.59
08-Nov-2011,125.50,125.50,122.25, 122.50,122.85,1525,1.88
04-Nov-2011,122.00,125.05,121.05, 124.10,124.10,2232,2.75
03-Nov-2011,122.00,122.00,120.55, 121.05,121.75,885,1.07
02-Nov-2011,121.00,122.90,121.00, 122.90,122.50,1655,2.02
01-Nov-2011,122.85,122.90,120.60, 121.75,121.50,2322,2.82
31-Oct-2011,119.95,126.50,119.05, 121.00,121.00,19899,24.06
28-Oct-2011,120.00,121.90,117.50, 118.00,118.50,9423,11.24
26-Oct-2011,118.00,118.60,116.15, 117.50,117.70,1110,1.31
25-Oct-2011,119.00,119.00,116.55, 116.65,116.75,3391,3.97
24-Oct-2011,119.05,121.00,117.05, 117.25,117.75,5696,6.78
21-Oct-2011,122.00,122.00,118.30, 119.00,119.95,1773,2.11
20-Oct-2011,118.00,122.95,117.50, 120.00,120.10,1988,2.39
19-Oct-2011,116.60,122.00,116.60, 119.50,118.65,5868,7.00
18-Oct-2011,117.10,117.45,116.00, 116.10,116.10,4556,5.30
17-Oct-2011,119.80,119.80,116.00, 117.90,117.50,8094,9.50
14-Oct-2011,122.75,122.75,119.00, 119.30,119.50,6170,7.38
13-Oct-2011,120.55,124.50,119.35, 119.70,120.30,13897,16.92
12-Oct-2011,121.00,121.40,119.85, 120.75,120.10,411,0.49
11-Oct-2011,118.45,124.50,117.30, 122.50,122.05,3189,3.87
10-Oct-2011,117.00,118.00,116.15, 116.60,117.10,4015,4.69
07-Oct-2011,119.00,119.90,117.00, 117.00,117.00,8768,10.29
05-Oct-2011,119.90,119.90,117.00, 117.25,117.25,5767,6.80
04-Oct-2011,118.55,120.00,118.00, 118.00,118.35,3817,4.53
03-Oct-2011,122.00,122.95,117.65, 119.00,119.00,12254,14.49
30-Sep-2011,122.30,122.30,118.50, 118.60,118.65,2612,3.14
29-Sep-2011,122.00,123.00,119.05, 119.75,119.70,9296,11.24
28-Sep-2011,125.95,125.95,121.50, 123.20,123.00,1497,1.84
27-Sep-2011,124.05,126.00,122.00, 122.10,123.35,2494,3.09
26-Sep-2011,124.00,125.00,118.00, 122.55,123.75,4384,5.36
23-Sep-2011,126.00,126.95,120.00, 124.30,125.15,24856,30.96
22-Sep-2011,127.50,129.90,121.50, 128.00,125.75,18994,23.71
21-Sep-2011,125.50,129.40,124.90, 127.50,128.70,10597,13.40
20-Sep-2011,127.00,127.00,122.45, 123.70,123.30,3998,4.94
19-Sep-2011,123.95,125.50,123.25, 123.60,124.15,23797,29.67
16-Sep-2011,125.00,125.95,123.05, 125.90,125.00,6663,8.26
15-Sep-2011,122.50,127.20,121.00, 127.00,125.65,7607,9.45
14-Sep-2011,122.10,124.00,119.50, 123.00,122.05,2778,3.38
13-Sep-2011,123.90,125.00,122.00, 122.20,122.40,3016,3.73
12-Sep-2011,120.60,124.90,120.60, 121.10,121.95,2696,3.28
09-Sep-2011,123.10,125.45,119.20, 120.05,120.50,12013,14.65
08-Sep-2011,125.00,125.50,122.10, 123.60,123.50,5129,6.36
07-Sep-2011,125.10,126.50,123.10, 123.20,124.45,11396,14.24
06-Sep-2011,128.00,128.00,123.00, 124.05,124.30,2545,3.18
05-Sep-2011,124.85,125.00,121.55, 125.00,124.35,6023,7.47
02-Sep-2011,128.00,128.00,121.50, 125.00,123.60,8925,11.02
30-Aug-2011,124.95,124.95,121.60, 123.50,123.45,9521,11.68
29-Aug-2011,118.50,123.40,118.50, 122.50,121.85,3338,4.06
26-Aug-2011,121.00,124.00,120.75, 122.65,121.55,4974,6.06
25-Aug-2011,124.75,124.75,121.00, 121.00,121.15,7623,9.31
24-Aug-2011,122.80,124.00,120.10, 122.05,122.80,1915,2.34
23-Aug-2011,120.00,124.00,118.50, 118.50,119.55,10466,12.60
22-Aug-2011,118.00,123.00,115.00, 120.05,120.95,8439,10.04
19-Aug-2011,117.50,119.70,116.15, 118.05,118.85,12078,14.21
18-Aug-2011,118.05,124.50,117.05, 121.00,120.55,14307,17.03
17-Aug-2011,125.90,127.90,121.00, 122.45,121.45,8986,11.07
16-Aug-2011,130.00,131.00,123.75, 123.75,124.65,9734,12.22
12-Aug-2011,129.45,131.75,123.15, 125.00,125.00,26483,33.83
11-Aug-2011,128.50,130.00,126.05, 130.00,128.95,15687,20.13
10-Aug-2011,124.60,135.00,122.40, 124.95,124.60,52830,67.07
09-Aug-2011,120.25,124.85,117.25, 124.75,123.25,12308,15.01
08-Aug-2011,118.00,127.00,118.00, 124.00,124.15,17110,21.00
