Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,11.45,11.45,9.95, 10.10,10.10,47692,4.83
29-Dec-2011,9.85,10.10,9.85, 10.05,10.00,31065,3.11
28-Dec-2011,10.10,10.10,9.85, 9.90,9.90,33215,3.31
27-Dec-2011,10.20,10.20,9.95, 10.00,10.00,38264,3.86
26-Dec-2011,9.95,10.20,9.90, 10.10,10.05,31451,3.15
23-Dec-2011,10.25,10.25,9.85, 9.90,9.95,64721,6.50
22-Dec-2011,10.00,10.25,9.90, 9.95,9.95,65918,6.59
21-Dec-2011,10.10,10.35,10.00, 10.25,10.25,67413,6.89
20-Dec-2011,10.50,10.50,9.90, 9.95,9.95,58721,5.89
19-Dec-2011,10.50,10.50,9.90, 10.15,10.10,81498,8.23
16-Dec-2011,11.30,11.65,10.90, 11.10,10.95,65607,7.33
15-Dec-2011,10.80,12.40,9.75, 11.15,11.25,109289,12.31
14-Dec-2011,12.10,12.50,12.05, 12.05,12.15,81105,9.87
13-Dec-2011,12.45,12.50,12.05, 12.35,12.25,59349,7.25
12-Dec-2011,12.85,12.85,12.25, 12.45,12.40,63719,7.99
09-Dec-2011,12.80,12.85,12.10, 12.65,12.60,97362,12.32
08-Dec-2011,13.00,13.10,12.90, 13.00,12.90,49495,6.42
07-Dec-2011,13.15,13.30,13.00, 13.00,13.05,62121,8.15
05-Dec-2011,12.85,13.45,12.85, 13.20,13.15,102198,13.50
02-Dec-2011,12.95,13.15,12.85, 12.95,13.05,54101,7.04
01-Dec-2011,13.20,13.50,12.50, 12.95,12.95,100144,13.08
30-Nov-2011,13.00,13.10,12.80, 12.80,12.90,116881,15.11
29-Nov-2011,13.10,13.30,12.75, 12.90,12.90,178262,23.22
28-Nov-2011,13.35,13.55,12.80, 13.05,13.10,321456,42.31
25-Nov-2011,13.90,13.90,13.00, 13.05,13.10,336460,44.48
24-Nov-2011,13.75,14.30,12.95, 13.55,13.60,272052,36.47
23-Nov-2011,13.60,14.25,12.70, 14.20,13.95,458126,61.26
22-Nov-2011,13.65,14.00,13.25, 13.60,13.50,162203,22.03
21-Nov-2011,14.10,14.20,13.05, 13.65,13.55,127162,17.42
18-Nov-2011,14.90,14.90,14.00, 14.20,14.10,137696,19.56
17-Nov-2011,14.00,15.15,13.25, 14.95,14.75,365891,53.64
16-Nov-2011,15.70,15.70,13.40, 14.15,14.00,284407,39.80
15-Nov-2011,17.75,17.80,14.45, 14.80,14.85,639005,101.37
14-Nov-2011,17.25,18.60,16.80, 17.40,17.25,1335196,238.27
11-Nov-2011,17.60,18.60,16.30, 17.35,16.95,1061738,184.88
09-Nov-2011,16.05,18.30,15.80, 17.65,17.35,1994303,347.24
08-Nov-2011,13.00,15.30,12.55, 15.30,15.25,1301166,185.14
04-Nov-2011,13.15,13.30,12.60, 12.65,12.75,262859,33.74
03-Nov-2011,13.10,13.45,12.80, 13.00,13.00,164292,21.37
02-Nov-2011,13.00,13.30,12.80, 13.00,13.05,251253,32.77
01-Nov-2011,13.60,14.00,12.95, 13.05,13.10,352498,46.73
31-Oct-2011,14.45,14.45,13.75, 13.85,13.90,131693,18.39
28-Oct-2011,13.95,14.40,13.60, 14.25,14.15,196370,27.48
26-Oct-2011,13.45,13.75,13.20, 13.55,13.60,72926,9.89
25-Oct-2011,14.20,14.20,12.80, 13.15,13.05,609722,80.57
24-Oct-2011,14.00,14.45,13.35, 13.50,13.55,422316,58.82
21-Oct-2011,15.05,15.85,13.65, 13.85,13.80,500370,72.56
20-Oct-2011,16.00,16.25,14.80, 15.15,15.15,399514,60.94
19-Oct-2011,16.00,16.40,15.35, 15.80,15.85,329887,52.51
18-Oct-2011,15.50,16.40,14.65, 15.70,15.85,416061,65.63
17-Oct-2011,13.70,15.05,13.55, 15.05,15.05,212180,30.77
14-Oct-2011,13.80,13.90,13.20, 13.70,13.65,192556,25.98
13-Oct-2011,14.55,14.55,13.55, 13.75,13.75,376350,52.48
12-Oct-2011,14.20,14.45,13.65, 14.45,14.35,181101,25.66
11-Oct-2011,14.75,14.80,13.95, 14.25,14.10,340629,48.58
10-Oct-2011,14.75,14.85,13.95, 14.35,14.45,232448,33.38
07-Oct-2011,15.35,15.80,13.90, 14.45,14.40,397291,58.67
05-Oct-2011,15.40,15.75,14.35, 14.55,14.65,412074,62.34
04-Oct-2011,16.45,16.85,14.90, 15.00,15.35,461152,72.28
03-Oct-2011,17.70,17.85,15.95, 16.20,16.10,511298,84.26
30-Sep-2011,17.85,18.50,17.00, 18.25,18.05,243281,43.11
29-Sep-2011,18.30,18.75,16.75, 17.60,17.20,583371,101.71
28-Sep-2011,21.50,21.75,17.35, 18.10,17.70,852043,157.34
27-Sep-2011,21.50,22.75,20.50, 21.00,21.05,339940,73.22
26-Sep-2011,17.60,20.40,17.60, 20.15,20.00,168765,31.91
23-Sep-2011,20.80,22.00,17.05, 17.65,17.65,444751,81.56
22-Sep-2011,21.70,21.70,20.60, 21.20,20.95,100673,21.12
