Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,93.00,94.85,92.95, 93.05,93.40,7619,7.13
29-Dec-2011,94.00,95.35,92.20, 92.80,92.95,3608,3.38
28-Dec-2011,97.25,97.25,93.75, 93.95,94.55,3579,3.39
27-Dec-2011,95.00,96.85,94.05, 95.45,95.05,5623,5.36
26-Dec-2011,95.00,97.00,94.65, 96.10,95.95,6796,6.51
23-Dec-2011,93.00,96.00,92.00, 95.90,94.95,9371,8.86
22-Dec-2011,94.95,94.95,91.60, 93.95,93.10,3551,3.31
21-Dec-2011,95.90,95.90,91.10, 93.75,93.05,19507,18.26
20-Dec-2011,94.00,94.20,92.60, 93.10,93.20,21587,20.23
19-Dec-2011,97.00,98.00,92.10, 93.55,93.95,30808,29.16
16-Dec-2011,98.05,102.30,97.00, 98.00,97.80,11898,11.85
15-Dec-2011,100.00,100.00,97.15, 98.00,98.20,12090,11.85
14-Dec-2011,101.20,101.85,99.15, 99.20,99.70,9650,9.70
13-Dec-2011,103.00,104.65,99.20, 101.00,101.15,10622,10.73
12-Dec-2011,105.25,107.75,101.55, 101.55,102.70,9504,9.87
09-Dec-2011,106.00,107.40,104.70, 105.30,105.85,10097,10.71
08-Dec-2011,107.20,107.70,106.00, 107.00,106.95,14236,15.22
07-Dec-2011,109.90,109.90,106.85, 108.10,108.05,17883,19.30
05-Dec-2011,108.00,111.00,107.30, 108.00,108.10,20426,22.25
02-Dec-2011,109.80,109.90,106.30, 107.80,107.60,11810,12.74
01-Dec-2011,109.90,109.90,107.00, 108.50,108.30,12439,13.45
30-Nov-2011,106.50,108.65,103.00, 108.35,107.40,17032,18.10
29-Nov-2011,104.25,106.85,103.50, 104.75,105.05,18310,19.21
28-Nov-2011,102.50,104.70,101.60, 103.75,103.75,14344,14.87
25-Nov-2011,104.75,106.60,101.25, 101.65,102.40,29407,30.48
24-Nov-2011,105.00,106.80,103.00, 105.90,104.75,10580,11.05
23-Nov-2011,108.50,109.90,105.00, 107.20,106.40,36261,38.71
22-Nov-2011,99.00,110.80,99.00, 107.80,106.75,90440,96.71
21-Nov-2011,101.25,102.50,98.00, 99.60,100.00,35198,35.22
18-Nov-2011,103.95,103.95,98.35, 100.65,101.25,23557,23.65
17-Nov-2011,103.00,104.75,102.50, 103.95,103.25,10519,10.90
16-Nov-2011,104.00,105.10,102.00, 104.70,104.35,19033,19.80
15-Nov-2011,105.55,106.30,103.20, 104.25,105.20,25439,26.85
14-Nov-2011,108.25,108.85,104.25, 104.55,105.95,20236,21.61
11-Nov-2011,108.00,110.70,106.00, 107.30,106.80,13738,14.72
09-Nov-2011,110.30,110.85,108.35, 108.80,109.15,19804,21.76
08-Nov-2011,110.05,110.50,109.00, 109.00,109.25,13182,14.45
04-Nov-2011,110.95,112.05,109.75, 109.80,110.05,30597,33.91
03-Nov-2011,110.00,112.50,109.60, 112.00,111.85,32562,36.42
02-Nov-2011,109.10,111.10,108.20, 110.50,110.60,22319,24.67
01-Nov-2011,109.50,111.00,108.70, 109.80,109.85,43759,48.14
31-Oct-2011,111.25,111.90,109.35, 110.80,110.50,28543,31.53
28-Oct-2011,110.00,112.90,110.00, 111.90,111.25,37159,41.29
26-Oct-2011,112.25,112.80,110.50, 110.50,110.95,9113,10.14
25-Oct-2011,111.90,112.80,110.25, 111.00,111.00,36432,40.54
24-Oct-2011,110.75,111.50,108.50, 109.95,109.60,24172,26.56
21-Oct-2011,109.90,111.95,108.30, 108.40,108.75,30524,33.57
20-Oct-2011,108.30,108.90,107.10, 107.50,107.95,19108,20.63
