Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,204.00,204.00,192.00, 196.00,195.25,12485,24.28
29-Dec-2011,203.00,203.00,192.00, 195.00,195.50,11727,22.87
28-Dec-2011,200.00,200.00,191.70, 196.00,194.45,7205,14.00
27-Dec-2011,191.80,191.80,176.10, 191.70,190.85,18832,35.61
26-Dec-2011,178.00,182.70,178.00, 182.70,182.70,2518,4.59
23-Dec-2011,179.75,179.75,167.05, 175.00,174.00,6339,11.01
22-Dec-2011,176.30,176.30,172.00, 173.10,173.25,3571,6.19
21-Dec-2011,167.00,173.45,165.10, 171.00,171.00,19451,32.91
20-Dec-2011,158.30,168.00,158.30, 165.65,165.20,9684,15.87
19-Dec-2011,158.30,165.00,158.30, 163.10,163.55,17425,28.33
16-Dec-2011,168.85,168.85,162.00, 165.60,164.30,5182,8.54
15-Dec-2011,166.00,166.90,160.00, 166.00,164.25,14060,23.01
14-Dec-2011,164.90,168.00,164.50, 168.00,167.00,6309,10.46
13-Dec-2011,164.00,166.80,163.35, 166.80,165.35,3277,5.41
12-Dec-2011,165.00,168.00,162.55, 163.10,163.50,3815,6.25
09-Dec-2011,166.90,166.90,162.35, 164.00,164.00,4609,7.55
08-Dec-2011,164.95,171.90,164.75, 166.00,167.45,5320,8.88
07-Dec-2011,155.45,165.45,155.45, 165.45,164.05,8766,14.30
05-Dec-2011,158.50,160.50,157.00, 160.50,159.25,5298,8.45
02-Dec-2011,162.25,162.25,155.10, 159.00,158.10,4304,6.79
01-Dec-2011,153.25,157.50,153.25, 157.50,156.45,7469,11.61
30-Nov-2011,153.05,154.50,150.00, 153.05,151.95,173427,264.32
29-Nov-2011,159.00,161.00,156.25, 159.00,157.90,8578,13.54
28-Nov-2011,169.00,169.00,162.85, 163.50,164.45,2832,4.68
25-Nov-2011,161.05,168.00,161.05, 166.00,164.15,8196,13.49
24-Nov-2011,159.50,167.00,159.00, 163.00,164.85,10684,17.37
23-Nov-2011,157.00,162.00,157.00, 162.00,160.55,17028,27.18
22-Nov-2011,158.80,158.80,154.50, 157.00,156.25,210703,328.98
21-Nov-2011,159.00,160.00,153.45, 156.40,155.45,191456,297.45
18-Nov-2011,160.00,160.00,154.00, 156.30,155.60,191393,299.53
17-Nov-2011,149.25,158.00,149.25, 155.75,155.45,187329,287.41
16-Nov-2011,149.95,152.90,147.00, 152.50,151.90,186430,279.69
15-Nov-2011,149.95,152.00,149.00, 150.90,150.30,14153,21.26
14-Nov-2011,147.00,150.85,145.50, 150.80,149.30,13128,19.53
11-Nov-2011,149.00,149.00,141.00, 148.00,147.45,21812,31.51
09-Nov-2011,151.50,151.50,146.05, 147.25,147.75,42741,63.30
08-Nov-2011,144.25,144.25,131.10, 144.25,144.25,12488,17.97
04-Nov-2011,137.35,137.35,137.35, 137.35,137.35,6719,9.23
03-Nov-2011,125.30,130.80,125.30, 130.80,130.80,6443,8.34
02-Nov-2011,116.25,124.55,116.25, 124.55,124.55,29587,36.55
01-Nov-2011,112.50,119.95,112.50, 119.00,118.60,9400,10.97
31-Oct-2011,118.50,118.50,109.05, 117.50,116.85,11371,13.18
28-Oct-2011,106.30,113.70,106.30, 113.70,112.95,9158,10.24
26-Oct-2011,106.90,109.60,103.05, 108.50,108.50,4474,4.83
25-Oct-2011,104.90,105.00,100.55, 105.00,104.45,5158,5.31
24-Oct-2011,101.05,104.95,101.05, 104.95,103.65,5998,6.20
21-Oct-2011,98.00,102.75,97.80, 102.25,102.20,10769,10.83
20-Oct-2011,95.00,98.50,91.10, 98.00,97.90,6812,6.59
19-Oct-2011,94.20,97.00,89.20, 95.05,95.20,14719,13.71
18-Oct-2011,100.95,100.95,91.60, 93.70,93.85,12843,11.93
17-Oct-2011,106.05,106.05,95.95, 98.00,96.40,7740,7.54
