Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,13.00,16.00,13.00, 15.10,14.45,4914,0.72
29-Dec-2011,14.00,15.80,13.80, 13.80,13.85,2335,0.33
28-Dec-2011,14.00,15.00,13.15, 15.00,15.00,811,0.12
27-Dec-2011,13.75,14.00,13.75, 14.00,14.00,3,0.00
26-Dec-2011,14.85,15.90,13.50, 14.00,14.00,13482,2.00
23-Dec-2011,15.00,15.75,14.50, 15.00,14.80,3378,0.50
22-Dec-2011,14.00,14.00,13.50, 14.00,14.00,1628,0.23
21-Dec-2011,13.10,13.90,13.00, 13.00,13.00,455,0.06
20-Dec-2011,12.10,13.70,12.10, 13.70,13.05,1825,0.24
19-Dec-2011,12.75,13.50,12.50, 12.80,12.60,2263,0.28
16-Dec-2011,14.00,15.95,13.50, 14.45,14.45,1904,0.27
15-Dec-2011,14.50,15.15,13.60, 13.60,15.05,3670,0.54
14-Dec-2011,15.00,15.85,14.10, 15.00,15.40,1805,0.28
13-Dec-2011,15.00,17.00,15.00, 15.85,15.60,986,0.15
12-Dec-2011,16.50,16.60,15.85, 15.90,16.20,3421,0.55
09-Dec-2011,14.25,17.80,14.25, 16.50,16.70,8172,1.28
08-Dec-2011,16.50,16.60,15.50, 15.60,15.60,4697,0.77
07-Dec-2011,19.45,19.45,16.50, 16.70,16.65,4879,0.81
05-Dec-2011,16.60,17.50,16.55, 16.55,16.55,880,0.15
02-Dec-2011,16.55,17.50,16.55, 16.70,17.00,6097,1.04
01-Dec-2011,16.10,19.75,16.10, 16.50,16.65,4698,0.81
30-Nov-2011,16.00,18.90,16.00, 16.55,16.55,381,0.06
29-Nov-2011,17.00,20.50,16.60, 16.80,16.80,6620,1.13
28-Nov-2011,16.00,18.70,16.00, 18.50,17.85,8143,1.39
25-Nov-2011,14.50,17.40,14.50, 16.80,16.80,3938,0.65
24-Nov-2011,14.15,17.40,14.15, 17.40,16.60,7013,1.10
23-Nov-2011,16.75,18.95,16.35, 17.50,16.95,33527,5.66
22-Nov-2011,27.95,28.00,20.40, 20.40,20.40,16102,3.68
