Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
21-Dec-2011,3.20,3.20,3.20, 3.20,3.20,1,0.00
16-Dec-2011,3.15,3.15,3.05, 3.15,3.15,22,0.00
15-Dec-2011,3.20,3.20,3.00, 3.00,3.00,164,0.00
14-Dec-2011,2.95,3.25,2.95, 2.95,3.05,1001,0.03
13-Dec-2011,3.00,3.15,2.95, 3.15,3.10,4,0.00
09-Dec-2011,3.30,3.30,3.10, 3.10,3.10,179,0.01
05-Dec-2011,3.00,3.25,3.00, 3.25,3.25,110,0.00
02-Dec-2011,3.15,3.15,3.00, 3.15,3.15,1101,0.03
01-Dec-2011,3.25,3.25,3.15, 3.15,3.15,1601,0.05
30-Nov-2011,3.25,3.25,3.15, 3.15,3.15,150,0.00
29-Nov-2011,3.25,3.30,3.25, 3.30,3.30,210,0.01
28-Nov-2011,3.40,3.40,3.40, 3.40,3.40,5100,0.17
25-Nov-2011,3.70,3.70,3.55, 3.55,3.55,5097,0.18
24-Nov-2011,3.70,3.70,3.70, 3.70,3.70,1505,0.06
23-Nov-2011,4.00,4.20,3.90, 3.90,3.90,651,0.03
22-Nov-2011,3.70,4.10,3.70, 4.10,4.10,17713,0.72
09-Nov-2011,4.40,4.40,4.00, 4.40,4.40,1003,0.04
08-Nov-2011,4.05,4.15,4.05, 4.15,4.15,50,0.00
04-Nov-2011,3.95,3.95,3.95, 3.95,3.95,1000,0.04
03-Nov-2011,4.05,4.05,4.05, 4.05,4.05,100,0.00
02-Nov-2011,4.00,4.25,3.95, 4.25,4.25,2043,0.09
01-Nov-2011,4.05,4.05,4.05, 4.05,4.05,100,0.00
31-Oct-2011,4.20,4.25,4.00, 4.00,4.20,2190,0.09
28-Oct-2011,4.15,4.40,4.05, 4.10,4.10,1898,0.08
25-Oct-2011,4.15,4.15,4.15, 4.15,4.15,1526,0.06
24-Oct-2011,4.15,4.15,4.15, 4.15,4.15,300,0.01
21-Oct-2011,4.35,4.35,4.35, 4.35,4.35,2002,0.09
19-Oct-2011,4.80,4.80,4.55, 4.55,4.55,354,0.02
17-Oct-2011,4.55,4.55,4.55, 4.55,4.55,36,0.00
14-Oct-2011,4.75,4.75,4.75, 4.75,4.75,42,0.00
11-Oct-2011,4.95,4.95,4.95, 4.95,4.95,40,0.00
10-Oct-2011,4.70,5.10,4.70, 5.10,4.95,147,0.01
07-Oct-2011,4.85,4.85,4.85, 4.85,4.85,2,0.00
05-Oct-2011,5.10,5.10,5.10, 5.10,5.10,100,0.01
03-Oct-2011,5.05,5.05,5.05, 5.05,5.05,500,0.03
28-Sep-2011,4.80,4.85,4.80, 4.80,4.80,1400,0.07
26-Sep-2011,5.05,5.05,5.05, 5.05,5.05,100,0.01
21-Sep-2011,4.45,4.80,4.45, 4.80,4.80,120,0.01
13-Sep-2011,5.10,5.10,4.65, 4.65,4.65,101,0.00
12-Sep-2011,4.75,4.85,4.75, 4.85,4.85,200,0.01
08-Sep-2011,4.15,4.60,4.15, 4.60,4.60,411,0.02
07-Sep-2011,4.35,4.35,4.35, 4.35,4.35,1400,0.06
05-Sep-2011,4.35,4.35,4.35, 4.35,4.35,1000,0.04
02-Sep-2011,4.55,4.55,4.55, 4.55,4.55,500,0.02
30-Aug-2011,4.30,4.30,4.30, 4.30,4.30,1,0.00
29-Aug-2011,4.30,4.30,4.30, 4.30,4.30,2,0.00
26-Aug-2011,4.45,4.45,4.45, 4.45,4.45,4,0.00
25-Aug-2011,4.45,4.45,4.45, 4.45,4.45,51,0.00
24-Aug-2011,4.60,4.65,4.50, 4.65,4.65,280,0.01
23-Aug-2011,4.20,4.40,4.20, 4.40,4.40,350,0.01
12-Aug-2011,5.75,5.75,5.75, 5.75,5.75,20,0.00
11-Aug-2011,5.25,5.95,5.20, 5.85,5.20,3203,0.17
10-Aug-2011,5.10,5.75,5.10, 5.75,5.75,300,0.02
09-Aug-2011,5.25,5.65,5.25, 5.65,5.65,510,0.03
08-Aug-2011,5.00,6.05,4.95, 4.95,5.80,2321,0.13
05-Aug-2011,5.00,5.60,5.00, 5.60,5.50,380,0.02
04-Aug-2011,5.00,5.90,5.00, 5.50,5.50,3097,0.17
03-Aug-2011,4.90,5.90,4.90, 5.35,5.35,2102,0.11
02-Aug-2011,5.40,6.35,5.35, 5.35,5.35,405,0.02
29-Jul-2011,5.80,5.80,5.80, 5.80,5.80,200,0.01
28-Jul-2011,5.35,5.80,5.35, 5.80,5.80,1335,0.08
27-Jul-2011,6.30,6.30,5.80, 5.85,5.85,371,0.02
26-Jul-2011,5.75,5.75,5.75, 5.75,5.75,1,0.00
25-Jul-2011,5.55,6.30,5.55, 5.70,5.70,176,0.01
22-Jul-2011,6.00,6.00,5.75, 5.75,5.75,867,0.05
21-Jul-2011,5.70,6.05,5.70, 5.90,5.90,806,0.05
20-Jul-2011,6.30,6.30,6.30, 6.30,6.30,1000,0.06
19-Jul-2011,7.00,7.00,7.00, 7.00,7.00,526,0.04
18-Jul-2011,6.95,6.95,6.95, 6.95,6.95,509,0.04
15-Jul-2011,6.30,7.50,6.30, 6.30,6.30,1110,0.08
14-Jul-2011,6.00,7.00,6.00, 7.00,7.00,209,0.01
13-Jul-2011,5.70,6.55,5.70, 6.55,6.55,300,0.02
12-Jul-2011,5.95,5.95,5.95, 5.95,5.95,28,0.00
08-Jul-2011,6.50,6.50,6.40, 6.40,6.40,2,0.00
07-Jul-2011,7.35,7.35,6.20, 6.80,6.80,241,0.02
06-Jul-2011,6.05,6.65,6.05, 6.65,6.65,315,0.02
05-Jul-2011,6.30,6.30,6.30, 6.30,6.30,1556,0.10
04-Jul-2011,5.70,6.00,5.65, 6.00,6.00,578,0.03
01-Jul-2011,5.90,5.90,5.90, 5.90,5.90,200,0.01
29-Jun-2011,5.95,6.00,5.95, 6.00,6.00,70,0.00
28-Jun-2011,5.60,5.90,5.60, 5.90,5.90,451,0.03
24-Jun-2011,5.70,5.85,5.70, 5.85,5.85,4,0.00
23-Jun-2011,5.60,6.05,5.60, 5.60,5.60,117,0.01
21-Jun-2011,6.00,6.00,5.80, 5.80,5.80,16,0.00
20-Jun-2011,6.00,6.10,5.75, 6.10,6.10,3685,0.22
17-Jun-2011,5.80,5.80,5.80, 5.80,5.80,65,0.00
16-Jun-2011,6.50,6.50,6.05, 6.05,6.05,2352,0.14
15-Jun-2011,5.85,6.35,5.85, 6.35,6.35,320,0.02
13-Jun-2011,6.05,6.05,6.05, 6.05,6.05,602,0.04
08-Jun-2011,6.55,6.55,6.20, 6.20,6.20,1135,0.07
07-Jun-2011,6.20,6.20,6.20, 6.20,6.20,300,0.02
03-Jun-2011,6.15,6.15,6.15, 6.15,6.15,25,0.00
02-Jun-2011,5.65,5.65,5.65, 5.65,5.65,10,0.00
31-May-2011,5.10,5.10,5.10, 5.10,5.10,500,0.03
30-May-2011,5.10,5.10,5.10, 5.10,5.10,27,0.00
27-May-2011,5.15,5.15,5.15, 5.15,5.15,1,0.00
26-May-2011,5.15,5.15,5.15, 5.15,5.15,1,0.00
