Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,296.00,301.00,293.10, 299.00,296.65,11156,32.92
29-Dec-2011,294.55,294.90,292.20, 294.90,294.00,10420,30.68
28-Dec-2011,294.95,298.00,292.80, 296.00,295.70,11393,33.55
27-Dec-2011,295.00,297.80,290.50, 296.00,295.25,15815,46.61
26-Dec-2011,295.00,298.50,294.10, 294.10,295.10,15777,46.54
23-Dec-2011,295.00,296.00,293.00, 296.00,295.00,16158,47.70
22-Dec-2011,295.95,296.00,291.05, 294.60,292.95,24403,71.68
21-Dec-2011,295.95,295.95,292.95, 294.90,294.90,10287,30.40
20-Dec-2011,295.95,296.95,290.00, 296.00,295.10,17915,52.86
19-Dec-2011,295.75,296.00,292.00, 295.00,295.00,10702,31.55
16-Dec-2011,295.00,297.00,294.50, 297.00,296.70,15714,46.45
15-Dec-2011,295.00,298.00,293.35, 298.00,294.55,15514,45.71
14-Dec-2011,295.60,297.70,295.00, 295.00,295.70,10233,30.25
13-Dec-2011,296.50,298.00,296.00, 296.00,296.20,25391,75.44
12-Dec-2011,298.05,299.30,294.50, 295.00,296.05,21519,63.97
09-Dec-2011,290.00,298.00,290.00, 297.00,296.00,18650,55.02
08-Dec-2011,298.00,299.40,294.00, 298.00,295.10,23466,69.76
07-Dec-2011,329.90,329.90,271.25, 290.00,291.85,22243,66.34
