Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,46.15,47.65,45.60, 47.00,47.45,25309,11.98
29-Dec-2011,47.90,48.50,45.50, 45.95,45.85,6225,2.89
28-Dec-2011,47.80,50.30,45.60, 47.95,47.90,32776,15.70
27-Dec-2011,50.90,51.00,44.80, 49.75,47.75,38609,18.20
26-Dec-2011,45.65,49.75,45.65, 49.30,49.15,54310,26.06
23-Dec-2011,40.50,48.10,39.45, 45.70,45.50,129383,55.31
22-Dec-2011,39.55,41.60,39.45, 41.00,40.20,70224,28.33
21-Dec-2011,41.50,42.00,38.60, 40.00,40.30,165305,66.76
20-Dec-2011,41.10,41.10,39.15, 39.35,39.85,16927,6.77
19-Dec-2011,44.00,44.00,39.00, 40.20,40.85,90152,37.09
16-Dec-2011,49.10,49.10,40.30, 41.25,44.40,158508,69.22
15-Dec-2011,46.05,50.50,42.00, 50.00,46.40,76769,34.62
14-Dec-2011,50.00,50.90,44.50, 45.00,45.05,91230,42.19
13-Dec-2011,50.60,52.30,48.20, 50.00,49.05,14750,7.38
12-Dec-2011,53.00,53.70,50.15, 51.20,50.90,6456,3.32
09-Dec-2011,53.50,53.50,52.10, 53.25,53.15,4425,2.33
08-Dec-2011,54.75,55.95,52.00, 53.30,52.65,9532,5.04
07-Dec-2011,54.55,55.75,53.85, 53.90,54.30,9931,5.43
05-Dec-2011,52.80,54.40,52.80, 53.50,53.90,3485,1.87
02-Dec-2011,52.00,53.80,51.65, 53.80,53.05,21579,11.35
01-Dec-2011,54.40,54.40,52.20, 53.40,52.55,13988,7.40
30-Nov-2011,51.70,53.10,51.35, 52.00,52.65,15905,8.34
29-Nov-2011,52.25,53.50,52.00, 52.80,52.10,10520,5.49
28-Nov-2011,51.95,53.45,51.50, 52.90,52.30,17228,8.98
25-Nov-2011,50.55,52.35,49.55, 49.55,50.05,10295,5.21
24-Nov-2011,52.05,53.10,50.55, 50.55,50.90,17831,9.11
23-Nov-2011,54.50,54.50,51.55, 52.35,52.00,16094,8.38
22-Nov-2011,54.90,54.90,52.50, 53.20,53.60,7582,4.06
21-Nov-2011,55.00,56.80,52.80, 53.20,53.00,21959,11.89
18-Nov-2011,54.80,56.00,53.00, 55.90,55.50,18374,10.04
17-Nov-2011,58.00,58.10,52.60, 55.60,55.40,108510,59.16
16-Nov-2011,60.00,60.05,55.00, 57.75,57.10,58597,33.69
15-Nov-2011,63.35,65.40,58.30, 58.50,58.90,84941,51.66
14-Nov-2011,67.70,67.70,62.75, 64.95,64.20,25340,16.39
11-Nov-2011,64.35,66.90,63.70, 66.90,66.10,55189,36.29
09-Nov-2011,67.00,67.95,62.60, 65.40,63.85,75990,49.03
08-Nov-2011,67.90,69.00,65.00, 67.50,67.05,60945,40.75
04-Nov-2011,65.05,67.95,64.10, 67.90,67.55,56576,37.96
03-Nov-2011,63.75,66.15,63.75, 65.15,65.45,42472,27.64
02-Nov-2011,63.50,65.85,62.80, 63.65,63.75,52913,33.85
01-Nov-2011,63.25,63.95,63.05, 63.05,63.10,15413,9.77
31-Oct-2011,63.90,63.90,62.60, 63.35,63.45,27544,17.46
28-Oct-2011,62.00,63.90,61.30, 62.35,62.80,43511,27.34
26-Oct-2011,61.80,62.00,61.00, 61.05,61.65,15504,9.54
25-Oct-2011,60.90,61.70,60.05, 61.05,61.00,7711,4.71
24-Oct-2011,63.25,64.40,60.70, 60.70,60.95,34616,21.51
21-Oct-2011,60.80,62.50,59.00, 61.95,61.80,29306,18.03
20-Oct-2011,60.20,62.50,60.10, 60.90,61.45,12746,7.74
19-Oct-2011,62.35,62.75,60.15, 60.75,60.70,17744,10.79
18-Oct-2011,62.00,64.35,60.30, 61.00,60.90,61100,38.36
17-Oct-2011,65.00,65.00,62.05, 62.65,62.75,12023,7.57
14-Oct-2011,62.90,64.65,60.50, 62.00,63.30,313012,191.02
13-Oct-2011,62.20,63.95,62.10, 62.10,62.35,10029,6.27
12-Oct-2011,60.40,63.95,60.10, 62.80,62.20,38686,24.08
11-Oct-2011,58.90,61.50,58.60, 60.65,59.65,322653,191.85
10-Oct-2011,59.90,60.05,58.45, 58.50,58.90,20248,12.00
07-Oct-2011,62.85,63.00,57.50, 58.30,58.60,89006,52.59
05-Oct-2011,64.10,65.00,58.25, 60.05,60.00,59419,35.95
04-Oct-2011,64.05,67.95,63.20, 63.20,64.20,63068,41.81
03-Oct-2011,65.10,65.75,63.35, 64.55,64.75,16989,11.02
30-Sep-2011,66.20,67.50,64.00, 65.10,65.60,25039,16.49
29-Sep-2011,67.10,68.00,66.25, 66.65,66.70,8055,5.41
28-Sep-2011,69.50,70.00,67.25, 68.40,67.75,19400,13.27
27-Sep-2011,68.65,68.90,67.15, 67.30,67.50,3480,2.35
26-Sep-2011,69.50,69.50,65.50, 67.35,67.00,13126,8.79
23-Sep-2011,68.00,69.00,65.40, 67.75,67.65,20046,13.54
22-Sep-2011,71.00,71.00,68.75, 68.80,69.10,9913,6.89
21-Sep-2011,70.10,72.50,70.00, 72.00,72.25,16592,11.85
20-Sep-2011,69.00,71.70,69.00, 70.90,71.00,20761,14.65
19-Sep-2011,69.10,69.70,68.10, 68.75,69.15,6651,4.58
16-Sep-2011,68.00,69.70,67.60, 69.50,69.50,28779,19.91
15-Sep-2011,67.80,68.70,67.25, 68.50,68.30,22826,15.54
14-Sep-2011,66.15,67.60,65.25, 67.60,67.20,13128,8.75
13-Sep-2011,65.60,67.45,65.60, 66.60,66.90,15378,10.29
12-Sep-2011,67.10,68.45,65.60, 65.85,65.75,18519,12.28
09-Sep-2011,69.95,70.30,66.50, 67.65,68.00,64326,43.75
08-Sep-2011,70.40,71.00,68.10, 69.70,69.40,21923,15.24
07-Sep-2011,67.20,70.85,67.20, 69.50,69.55,20235,14.00
06-Sep-2011,68.70,70.00,65.75, 68.50,66.40,107206,71.35
05-Sep-2011,69.50,69.50,67.50, 67.50,67.70,7845,5.32
02-Sep-2011,68.60,70.80,68.00, 68.90,69.50,23314,16.15
30-Aug-2011,70.90,70.90,67.70, 68.20,68.55,16353,11.31
29-Aug-2011,69.40,72.35,68.25, 69.00,69.70,25370,17.92
26-Aug-2011,71.50,71.50,66.00, 70.70,69.25,36091,24.82
25-Aug-2011,69.50,73.50,69.20, 69.20,69.55,36443,26.10
24-Aug-2011,69.75,70.50,68.80, 69.70,69.95,17895,12.53
23-Aug-2011,70.90,70.90,66.60, 68.40,68.85,19059,13.21
22-Aug-2011,68.80,69.00,64.50, 69.00,67.60,42587,28.26
19-Aug-2011,67.00,69.90,62.85, 69.90,67.05,78502,52.09
18-Aug-2011,69.00,70.00,65.00, 69.10,67.00,68612,45.86
17-Aug-2011,70.50,70.95,65.15, 70.50,68.90,29067,19.91
16-Aug-2011,72.00,72.80,69.05, 69.05,70.50,43459,30.92
12-Aug-2011,72.00,72.00,67.80, 70.80,70.05,32887,23.00
11-Aug-2011,67.00,69.00,66.80, 67.00,67.15,9533,6.45
10-Aug-2011,71.00,71.00,66.80, 69.00,68.45,30404,20.73
09-Aug-2011,68.00,68.70,64.05, 66.50,65.75,40564,26.91
08-Aug-2011,69.90,69.90,64.75, 68.15,69.30,22905,15.72
05-Aug-2011,70.00,72.40,66.10, 72.00,70.95,95072,66.40
04-Aug-2011,75.05,75.95,73.00, 73.00,73.25,17550,13.04
03-Aug-2011,76.00,76.00,73.50, 75.20,75.25,30004,22.40
02-Aug-2011,75.00,77.50,73.35, 77.30,76.70,55731,42.45
01-Aug-2011,76.00,76.65,73.75, 74.00,74.45,24583,18.47
29-Jul-2011,78.50,81.00,75.00, 75.50,75.60,219272,170.64
28-Jul-2011,77.10,79.50,75.20, 77.35,77.05,19055,14.82
27-Jul-2011,79.50,79.50,77.20, 77.35,77.75,14119,11.05
26-Jul-2011,81.00,81.00,73.50, 78.00,78.40,68526,53.26
25-Jul-2011,79.80,82.00,79.00, 79.00,79.35,27566,22.24
22-Jul-2011,78.75,81.45,78.20, 80.80,80.40,51054,40.97
21-Jul-2011,78.00,79.35,76.50, 77.20,77.05,15287,11.84
20-Jul-2011,81.00,81.40,78.10, 78.20,78.65,45307,36.16
19-Jul-2011,77.00,82.90,77.00, 80.10,80.05,126422,102.35
18-Jul-2011,76.10,78.90,75.35, 78.75,77.90,50385,38.73
15-Jul-2011,75.00,76.30,75.00, 76.10,75.70,22613,17.11
14-Jul-2011,73.50,75.70,72.80, 75.10,75.00,59882,44.63
13-Jul-2011,75.95,75.95,72.40, 73.00,73.15,17115,12.67
12-Jul-2011,73.00,74.70,73.00, 73.55,73.60,10034,7.44
11-Jul-2011,75.00,75.65,68.10, 74.30,74.75,12499,9.29
08-Jul-2011,75.65,76.25,74.35, 76.25,75.40,17628,13.30
07-Jul-2011,75.70,79.00,75.05, 75.10,75.80,103690,79.21
06-Jul-2011,77.30,77.90,75.60, 75.95,76.00,7301,5.59
05-Jul-2011,76.50,79.35,75.25, 77.70,77.80,16596,12.90
04-Jul-2011,76.90,77.55,76.25, 76.60,76.85,17630,13.57
01-Jul-2011,77.00,78.00,75.10, 77.00,76.90,18832,14.45
30-Jun-2011,75.50,77.40,74.00, 77.25,76.10,43006,32.49
29-Jun-2011,75.05,75.50,73.65, 73.80,73.95,16259,12.11
28-Jun-2011,76.80,76.80,72.50, 75.50,74.95,27909,20.72
27-Jun-2011,73.05,75.20,73.05, 74.00,74.00,19247,14.26
24-Jun-2011,73.80,75.25,72.00, 75.25,74.55,36481,26.88
23-Jun-2011,74.00,74.00,71.05, 71.35,71.65,10845,7.84
22-Jun-2011,75.50,75.50,70.20, 74.95,72.85,48546,35.08
21-Jun-2011,73.30,75.00,70.15, 75.00,73.80,18202,13.32
20-Jun-2011,76.00,76.00,72.45, 73.30,73.45,23429,17.19
17-Jun-2011,75.05,77.85,75.00, 75.95,75.85,13520,10.30
16-Jun-2011,80.30,80.30,76.30, 76.30,76.70,28994,22.77
15-Jun-2011,75.00,78.90,75.00, 78.90,78.90,50571,39.57
14-Jun-2011,75.20,75.90,73.20, 74.20,75.10,16234,12.16
13-Jun-2011,78.50,78.50,74.50, 75.60,75.45,20402,15.52
10-Jun-2011,77.30,78.90,74.75, 78.90,77.45,44484,34.10
09-Jun-2011,76.00,76.90,74.40, 76.50,76.50,14699,11.17
08-Jun-2011,74.35,76.00,74.35, 75.00,75.20,9911,7.45
07-Jun-2011,76.70,76.70,73.80, 75.80,75.50,21501,16.12
06-Jun-2011,78.80,78.80,74.10, 74.50,74.65,11264,8.45
03-Jun-2011,78.50,79.80,75.10, 77.00,75.75,18275,14.15
02-Jun-2011,78.00,78.95,76.75, 77.00,77.25,9087,7.03
01-Jun-2011,81.00,81.00,77.55, 78.20,78.35,26699,21.07
31-May-2011,78.05,80.35,75.00, 79.00,79.20,88696,70.24
30-May-2011,77.00,77.35,75.00, 76.80,76.50,24283,18.40
27-May-2011,76.10,78.00,74.15, 75.90,75.65,24523,18.66
26-May-2011,74.20,80.15,74.20, 76.00,75.90,29941,23.25
25-May-2011,80.75,81.00,76.75, 76.75,76.75,40573,31.67
24-May-2011,85.30,89.10,80.75, 80.75,80.75,92759,77.09
23-May-2011,81.30,85.30,81.05, 85.30,85.00,157929,132.53
20-May-2011,78.00,81.60,77.50, 81.20,81.20,27033,21.66
19-May-2011,77.00,83.00,77.00, 78.00,78.05,32247,25.34
18-May-2011,80.10,82.00,79.50, 79.90,79.85,31245,24.99
17-May-2011,80.85,82.90,79.75, 81.05,81.70,40573,32.83
16-May-2011,75.15,82.60,74.80, 80.25,80.85,73291,59.48
13-May-2011,79.55,80.90,77.40, 78.15,78.65,37592,29.55
12-May-2011,79.00,85.00,78.20, 81.00,81.45,421796,344.99
11-May-2011,70.20,77.25,70.20, 77.25,77.25,213164,159.95
10-May-2011,68.90,74.50,68.90, 70.00,70.20,56607,40.17
09-May-2011,72.55,74.70,69.05, 70.05,70.15,107225,77.09
06-May-2011,71.60,73.00,68.50, 69.50,70.25,135787,95.77
05-May-2011,75.40,77.00,69.50, 71.45,70.55,112841,81.89
04-May-2011,77.90,79.90,74.30, 75.25,74.70,179514,137.07
03-May-2011,81.10,83.00,74.50, 76.30,75.90,278550,216.58
02-May-2011,79.10,84.40,75.95, 82.20,82.40,357393,294.31
29-Apr-2011,81.05,84.30,79.15, 82.50,81.80,627409,514.23
28-Apr-2011,81.80,84.40,78.00, 82.00,80.10,1697022,1377.18
27-Apr-2011,65.50,78.55,57.35, 78.55,78.50,2509569,1914.42
26-Apr-2011,58.80,66.40,57.20, 65.35,65.45,539083,336.87
25-Apr-2011,59.05,60.15,57.75, 58.25,58.20,133120,78.25
