Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,88.05,97.75,85.05, 88.75,88.75,502,0.45
29-Dec-2011,90.00,94.00,83.00, 90.00,90.00,1481,1.36
28-Dec-2011,87.25,90.00,85.15, 90.00,90.00,175,0.15
27-Dec-2011,86.80,87.25,86.65, 87.25,87.25,23,0.02
26-Dec-2011,88.40,89.00,85.05, 89.00,88.05,778,0.68
23-Dec-2011,88.50,89.00,85.90, 87.10,87.10,275,0.24
22-Dec-2011,88.00,89.80,85.25, 88.90,86.70,265,0.23
21-Dec-2011,87.00,88.60,85.05, 88.10,86.30,321,0.28
20-Dec-2011,89.20,89.20,85.20, 87.80,88.00,167,0.14
19-Dec-2011,88.55,91.75,85.05, 85.05,85.15,1459,1.28
16-Dec-2011,90.05,94.00,89.05, 89.05,90.00,3688,3.35
15-Dec-2011,91.00,92.50,90.05, 90.55,90.70,500,0.45
14-Dec-2011,93.00,94.50,92.50, 94.45,94.45,448,0.42
13-Dec-2011,92.15,95.00,92.15, 95.00,93.40,1607,1.49
12-Dec-2011,96.95,97.00,93.60, 93.60,93.60,1091,1.03
09-Dec-2011,92.30,98.00,92.30, 95.05,96.80,2233,2.14
08-Dec-2011,99.00,99.00,93.80, 96.00,94.70,1720,1.64
07-Dec-2011,98.00,98.00,95.60, 96.70,96.00,1042,1.00
05-Dec-2011,101.00,101.00,96.00, 96.00,96.00,462,0.45
02-Dec-2011,94.20,98.80,94.05, 97.95,95.80,6035,5.76
01-Dec-2011,94.05,98.00,94.00, 95.40,95.25,1944,1.85
30-Nov-2011,99.00,102.00,93.00, 93.20,94.25,3471,3.28
29-Nov-2011,94.00,99.70,92.00, 94.25,94.95,2570,2.45
28-Nov-2011,97.50,98.50,95.00, 96.65,95.45,3749,3.61
25-Nov-2011,99.90,101.70,94.10, 94.35,95.85,28698,27.96
24-Nov-2011,98.00,109.80,96.20, 98.30,101.35,212443,220.45
23-Nov-2011,94.50,95.00,91.60, 94.90,93.50,1745,1.64
