Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,80.10,82.00,78.20, 80.10,80.30,1026,0.83
29-Dec-2011,80.15,81.75,77.30, 81.00,80.10,1884,1.50
28-Dec-2011,83.45,83.45,80.10, 80.20,81.45,1099,0.90
27-Dec-2011,86.00,86.50,81.50, 81.50,82.15,1935,1.61
26-Dec-2011,87.25,87.25,84.50, 84.65,85.10,1879,1.60
23-Dec-2011,95.20,95.20,82.00, 82.00,83.70,1630,1.38
22-Dec-2011,94.90,94.90,82.10, 84.50,84.75,1341,1.14
21-Dec-2011,84.00,85.00,80.30, 84.00,82.50,2365,1.95
20-Dec-2011,88.50,88.50,82.55, 83.40,84.40,968,0.82
19-Dec-2011,92.20,93.05,88.00, 88.00,88.25,5213,4.70
16-Dec-2011,93.05,93.05,90.00, 90.30,90.35,509,0.46
15-Dec-2011,97.00,97.00,90.50, 90.70,91.50,4103,3.81
14-Dec-2011,93.65,96.80,92.20, 92.35,93.40,1342,1.27
13-Dec-2011,99.50,100.85,92.50, 94.50,94.30,7355,6.96
12-Dec-2011,100.50,101.80,98.25, 98.25,98.25,5135,5.06
09-Dec-2011,100.00,103.90,97.50, 99.85,100.05,1876,1.87
08-Dec-2011,102.50,103.60,101.25, 101.35,101.65,819,0.83
07-Dec-2011,112.00,112.00,102.10, 102.10,102.90,1488,1.54
05-Dec-2011,107.00,109.80,103.00, 103.80,104.35,2889,3.04
02-Dec-2011,103.00,106.95,101.25, 106.45,105.95,628,0.66
01-Dec-2011,109.75,109.80,104.00, 105.00,104.65,1303,1.37
30-Nov-2011,104.00,108.85,102.45, 103.00,104.15,508,0.53
29-Nov-2011,109.85,109.85,105.00, 105.00,105.85,744,0.79
28-Nov-2011,103.75,111.00,103.75, 108.70,107.15,1763,1.88
25-Nov-2011,105.00,108.50,101.40, 105.00,103.65,1943,2.02
24-Nov-2011,107.90,108.90,103.25, 108.90,106.85,1588,1.68
23-Nov-2011,108.00,108.80,103.00, 105.90,106.00,2637,2.82
22-Nov-2011,104.00,112.70,101.95, 110.90,107.85,14682,15.48
21-Nov-2011,110.00,113.00,101.00, 104.00,103.45,4098,4.35
18-Nov-2011,110.00,112.85,105.50, 106.10,107.05,2945,3.21
17-Nov-2011,112.00,115.00,110.00, 112.85,112.25,1561,1.75
16-Nov-2011,122.60,122.60,110.05, 114.00,112.55,1025,1.16
15-Nov-2011,115.15,118.25,110.45, 114.00,112.50,2883,3.28
14-Nov-2011,121.00,121.00,114.25, 114.25,116.20,3945,4.63
11-Nov-2011,120.00,120.00,117.00, 119.00,118.90,2866,3.40
09-Nov-2011,124.75,125.40,120.50, 123.80,121.45,4262,5.22
08-Nov-2011,125.00,125.00,118.00, 119.00,120.50,3059,3.70
04-Nov-2011,122.50,125.45,121.65, 121.65,122.45,3786,4.68
03-Nov-2011,124.45,124.45,121.60, 123.00,122.60,1877,2.31
02-Nov-2011,128.50,128.50,121.45, 122.00,122.30,2997,3.69
01-Nov-2011,122.00,124.45,119.00, 122.50,122.45,2308,2.83
31-Oct-2011,119.10,132.00,118.45, 121.00,121.30,6391,7.82
28-Oct-2011,120.00,120.50,116.40, 117.90,117.70,130287,154.08
26-Oct-2011,117.00,118.80,112.05, 117.50,116.70,3141,3.60
25-Oct-2011,119.00,119.65,115.05, 115.30,116.05,3595,4.21
24-Oct-2011,119.05,120.00,119.05, 119.40,119.60,586,0.70
21-Oct-2011,117.20,121.90,117.20, 121.90,119.60,2651,3.18
20-Oct-2011,119.70,119.70,117.00, 117.55,118.35,56745,67.15
19-Oct-2011,117.30,121.85,117.30, 119.00,118.00,2840,3.36
18-Oct-2011,119.00,120.30,117.00, 118.00,118.35,1441,1.70
17-Oct-2011,120.90,120.90,117.65, 117.65,119.10,1192,1.42
14-Oct-2011,122.00,122.00,118.25, 120.35,119.20,3960,4.73
13-Oct-2011,119.50,121.90,119.10, 121.00,120.80,1197,1.44
12-Oct-2011,118.15,122.00,118.05, 120.95,120.85,1748,2.10
11-Oct-2011,125.00,125.00,118.60, 123.50,120.15,2546,3.09
10-Oct-2011,119.00,123.95,118.55, 120.30,119.40,1303,1.56
07-Oct-2011,117.00,123.00,116.05, 116.05,118.35,3989,4.74
05-Oct-2011,118.00,121.90,113.30, 119.80,117.60,2896,3.41
04-Oct-2011,121.00,126.00,117.30, 118.80,118.55,3455,4.13
03-Oct-2011,128.00,128.00,120.10, 124.00,123.25,1261,1.55
30-Sep-2011,120.00,125.85,117.15, 125.00,124.55,7397,9.15
29-Sep-2011,117.20,124.50,115.70, 124.50,121.25,1620,1.93
28-Sep-2011,118.00,119.80,116.50, 119.60,117.85,2250,2.65
27-Sep-2011,118.10,121.00,116.10, 116.10,118.50,3044,3.63
26-Sep-2011,119.00,120.00,116.10, 116.90,116.50,4719,5.52
23-Sep-2011,120.00,122.50,117.25, 121.00,120.85,3147,3.77
22-Sep-2011,124.00,125.85,122.75, 124.45,122.95,5590,6.93
21-Sep-2011,121.95,126.00,120.00, 125.00,125.05,7132,8.71
20-Sep-2011,121.90,121.90,119.55, 121.80,120.55,2884,3.48
19-Sep-2011,119.00,121.60,117.05, 119.35,119.40,2151,2.58
16-Sep-2011,118.85,121.75,117.05, 117.15,118.60,1836,2.20
15-Sep-2011,120.00,122.75,118.00, 118.00,119.00,2596,3.11
14-Sep-2011,120.50,120.85,117.55, 118.00,118.20,3418,4.06
13-Sep-2011,122.50,124.00,120.35, 122.00,121.05,6916,8.47
12-Sep-2011,124.00,127.70,120.60, 125.00,122.95,3571,4.41
09-Sep-2011,127.15,128.95,126.50, 126.50,126.70,1300,1.66
08-Sep-2011,128.00,130.90,126.45, 129.50,128.05,4965,6.39
07-Sep-2011,125.10,128.95,125.10, 125.50,126.05,2797,3.54
06-Sep-2011,130.00,130.00,125.00, 125.55,127.30,1586,2.02
05-Sep-2011,125.35,138.00,121.65, 126.50,125.50,3085,3.89
02-Sep-2011,126.00,128.95,124.00, 124.05,125.60,4734,5.98
30-Aug-2011,123.90,130.95,120.10, 130.35,127.35,12816,16.07
29-Aug-2011,120.00,124.65,117.35, 122.00,121.30,3883,4.70
26-Aug-2011,124.00,131.00,117.00, 121.50,119.70,7852,9.70
25-Aug-2011,130.20,131.45,124.15, 127.40,125.85,12772,16.27
24-Aug-2011,127.30,140.00,125.00, 127.50,129.50,161869,212.24
23-Aug-2011,120.00,122.95,118.25, 122.75,121.25,6905,8.39
22-Aug-2011,125.00,125.00,114.00, 119.75,118.95,3426,4.05
19-Aug-2011,117.40,119.10,112.35, 116.00,114.30,121279,142.38
18-Aug-2011,126.50,126.60,116.80, 122.40,119.40,7344,8.94
17-Aug-2011,126.00,128.00,124.70, 127.00,126.60,2239,2.82
16-Aug-2011,126.20,130.00,125.05, 125.20,125.55,3811,4.86
12-Aug-2011,129.00,129.80,126.00, 128.00,127.85,2948,3.78
11-Aug-2011,130.00,130.00,127.25, 127.85,127.35,2921,3.73
