Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,14.60,14.65,13.85, 13.85,13.90,3791,0.54
29-Dec-2011,14.70,14.70,14.10, 14.50,14.35,1669,0.24
28-Dec-2011,14.75,14.75,14.20, 14.30,14.30,534,0.08
27-Dec-2011,14.50,14.55,14.05, 14.05,14.05,5450,0.77
26-Dec-2011,14.05,14.85,14.05, 14.15,14.15,5328,0.76
23-Dec-2011,14.80,14.80,13.40, 14.15,14.30,7402,1.05
22-Dec-2011,14.45,14.80,13.45, 14.50,14.60,11751,1.66
21-Dec-2011,14.40,14.95,13.10, 14.50,14.30,15105,2.12
20-Dec-2011,15.00,15.00,14.35, 14.40,14.45,8883,1.29
19-Dec-2011,16.00,16.20,14.05, 14.80,14.85,22488,3.51
16-Dec-2011,16.25,16.90,15.50, 16.00,15.90,11898,1.91
15-Dec-2011,16.65,16.90,16.00, 16.10,16.10,10640,1.73
14-Dec-2011,16.70,17.60,16.60, 16.75,16.70,8036,1.37
13-Dec-2011,17.25,17.85,16.50, 16.70,16.75,22946,3.88
12-Dec-2011,18.70,18.70,17.60, 18.00,17.85,271718,48.52
09-Dec-2011,16.60,17.75,16.60, 17.55,17.55,394129,67.42
08-Dec-2011,16.60,18.00,16.60, 17.00,17.05,18606,3.25
07-Dec-2011,17.25,17.50,17.05, 17.05,17.25,26170,4.51
05-Dec-2011,17.00,17.10,16.65, 16.75,16.85,4336,0.73
02-Dec-2011,17.00,17.05,16.65, 16.95,16.95,4870,0.82
01-Dec-2011,17.15,17.20,16.85, 16.85,16.85,16906,2.87
30-Nov-2011,16.90,17.00,16.50, 16.95,16.95,2078,0.35
29-Nov-2011,17.55,17.60,16.60, 17.00,16.95,10663,1.80
28-Nov-2011,16.75,17.00,16.45, 16.80,16.80,12701,2.14
25-Nov-2011,17.00,17.20,16.25, 16.40,16.45,5982,0.99
24-Nov-2011,16.65,16.70,16.20, 16.50,16.40,10052,1.65
23-Nov-2011,16.80,17.00,16.45, 16.65,16.65,18570,3.11
22-Nov-2011,17.60,17.60,16.80, 16.90,17.00,9233,1.58
21-Nov-2011,17.10,17.40,16.80, 17.35,17.15,8079,1.38
18-Nov-2011,17.70,17.70,16.70, 17.05,17.05,4159,0.71
17-Nov-2011,17.70,18.90,17.00, 17.00,17.15,15817,2.74
16-Nov-2011,17.25,17.90,17.05, 17.25,17.25,22719,3.96
15-Nov-2011,17.70,18.00,17.00, 17.70,17.60,37632,6.66
14-Nov-2011,19.05,19.30,17.10, 17.75,17.85,65757,12.04
11-Nov-2011,19.60,19.60,18.90, 19.10,19.00,10011,1.92
09-Nov-2011,19.65,20.25,19.20, 19.20,19.55,3665,0.72
08-Nov-2011,19.90,20.65,19.40, 19.95,20.00,27067,5.44
04-Nov-2011,19.75,19.75,19.20, 19.40,19.40,7664,1.49
03-Nov-2011,18.85,19.45,18.85, 19.45,19.30,3466,0.67
02-Nov-2011,18.80,19.35,18.75, 19.00,19.00,4411,0.84
01-Nov-2011,19.25,19.50,18.90, 19.15,19.15,6252,1.20
31-Oct-2011,19.70,19.75,19.40, 19.40,19.65,5661,1.11
28-Oct-2011,19.35,19.60,19.10, 19.20,19.30,6581,1.27
26-Oct-2011,19.15,19.45,19.10, 19.45,19.25,2584,0.50
25-Oct-2011,19.75,19.75,18.90, 19.15,19.00,12990,2.49
24-Oct-2011,18.90,20.00,18.85, 19.70,19.25,21021,4.09
21-Oct-2011,19.40,19.65,18.55, 19.05,19.15,7136,1.36
20-Oct-2011,19.90,19.90,18.50, 19.35,19.00,15152,2.86
19-Oct-2011,20.00,20.00,19.00, 19.50,19.45,7665,1.50
18-Oct-2011,19.10,19.80,18.90, 19.50,19.15,13967,2.69
17-Oct-2011,19.15,19.95,19.15, 19.75,19.60,4543,0.89
14-Oct-2011,19.55,19.75,18.85, 19.75,19.40,7669,1.47
13-Oct-2011,19.90,19.90,18.70, 18.85,18.85,8997,1.70
12-Oct-2011,18.70,19.80,18.70, 19.30,19.05,5015,0.96
11-Oct-2011,19.80,19.80,19.00, 19.35,19.20,9500,1.84
10-Oct-2011,19.60,19.60,18.60, 18.75,18.80,3924,0.74
07-Oct-2011,20.35,20.35,18.40, 19.00,18.95,11511,2.16
05-Oct-2011,19.95,19.95,18.40, 18.60,18.55,6272,1.16
04-Oct-2011,18.45,19.20,18.45, 19.20,18.80,7111,1.34
03-Oct-2011,18.00,19.00,18.00, 19.00,18.90,10909,2.03
30-Sep-2011,18.45,18.70,18.10, 18.15,18.25,7717,1.42
29-Sep-2011,18.80,19.00,18.30, 18.95,18.80,3223,0.60
28-Sep-2011,18.80,18.80,17.95, 18.80,18.80,7048,1.30
27-Sep-2011,18.70,19.40,18.20, 18.20,18.40,13687,2.58
26-Sep-2011,19.20,19.20,18.15, 18.20,18.40,7524,1.38
23-Sep-2011,18.00,19.00,18.00, 18.70,18.85,12074,2.25
22-Sep-2011,19.55,19.80,18.50, 19.10,18.85,18671,3.58
21-Sep-2011,19.50,20.00,19.25, 19.80,19.70,24617,4.87
20-Sep-2011,20.40,20.50,19.00, 19.35,19.35,19133,3.73
