Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,165.00,184.00,161.35, 179.50,179.05,7377,13.12
29-Dec-2011,175.95,176.00,163.50, 166.15,168.65,1470,2.49
28-Dec-2011,172.15,178.90,170.00, 170.15,172.15,268,0.46
27-Dec-2011,178.00,178.00,174.00, 174.05,174.10,342,0.61
26-Dec-2011,184.15,184.15,170.50, 175.00,174.15,580,1.01
23-Dec-2011,166.25,179.95,166.10, 175.45,172.40,2119,3.61
22-Dec-2011,168.80,168.80,162.00, 162.05,163.15,398,0.66
21-Dec-2011,164.05,169.90,160.75, 161.00,162.60,1784,2.90
20-Dec-2011,177.00,180.95,160.00, 160.00,162.40,2381,4.02
19-Dec-2011,183.00,186.00,176.05, 177.00,176.95,1017,1.83
16-Dec-2011,190.00,195.00,186.00, 186.00,188.30,897,1.72
15-Dec-2011,196.00,196.00,186.60, 189.00,190.75,1973,3.77
14-Dec-2011,212.45,212.45,195.00, 195.20,196.50,151670,315.32
13-Dec-2011,206.00,212.40,202.10, 209.90,210.00,1257,2.62
12-Dec-2011,209.85,216.00,201.05, 214.95,210.10,332,0.69
09-Dec-2011,211.00,211.00,198.50, 209.00,206.45,2132,4.38
08-Dec-2011,201.00,227.80,199.85, 210.00,211.20,7235,15.72
07-Dec-2011,218.00,218.00,198.20, 206.00,203.55,1816,3.68
05-Dec-2011,201.00,208.85,200.00, 205.00,205.00,3879,7.91
02-Dec-2011,194.00,211.00,192.00, 200.90,200.35,1178,2.35
01-Dec-2011,200.00,205.70,199.00, 200.10,200.55,381,0.77
30-Nov-2011,191.20,204.85,191.20, 204.00,203.40,3473,6.92
29-Nov-2011,194.85,199.90,188.00, 199.35,194.70,3631,7.04
28-Nov-2011,191.00,204.90,186.15, 190.55,193.70,4331,8.34
25-Nov-2011,188.00,191.00,180.00, 188.50,188.80,1572,2.95
24-Nov-2011,195.10,197.95,187.00, 187.15,190.80,1425,2.74
23-Nov-2011,197.50,205.95,191.30, 194.45,192.90,1244,2.44
22-Nov-2011,200.00,208.90,196.20, 197.50,197.45,1320,2.63
21-Nov-2011,201.00,201.00,195.00, 195.00,195.00,420,0.82
18-Nov-2011,196.00,198.10,191.50, 198.00,198.00,503,0.99
17-Nov-2011,210.75,215.00,195.25, 195.50,199.40,1737,3.55
16-Nov-2011,202.50,218.40,194.00, 206.00,210.75,2320,4.80
15-Nov-2011,200.00,203.00,191.50, 203.00,202.10,2044,4.08
14-Nov-2011,209.00,214.00,200.10, 201.00,202.50,1118,2.31
11-Nov-2011,206.00,219.85,206.00, 213.00,211.95,685,1.43
09-Nov-2011,210.10,214.00,208.00, 208.00,208.10,451,0.94
08-Nov-2011,213.90,213.90,208.00, 210.05,212.65,300,0.63
04-Nov-2011,210.10,214.00,209.00, 210.00,210.00,1358,2.85
03-Nov-2011,208.95,210.00,205.15, 208.00,208.55,226542,473.46
02-Nov-2011,209.00,209.90,202.60, 209.40,209.40,5297,10.85
01-Nov-2011,205.50,210.10,204.75, 210.00,209.45,5894,12.20
31-Oct-2011,209.00,209.80,200.10, 204.95,206.70,1517,3.14
28-Oct-2011,220.15,220.15,202.05, 207.00,208.05,2567,5.39
26-Oct-2011,209.95,209.95,192.15, 209.90,206.20,392,0.78
25-Oct-2011,204.65,209.90,201.10, 208.90,206.10,372,0.76
24-Oct-2011,205.05,208.85,201.15, 201.15,202.80,1861,3.81
21-Oct-2011,211.00,213.95,203.00, 203.05,204.70,1988,4.13
20-Oct-2011,215.95,218.95,208.20, 210.00,209.40,2468,5.20
19-Oct-2011,218.00,223.00,212.05, 216.30,214.65,244981,531.63
18-Oct-2011,221.15,223.95,217.00, 220.00,217.50,1925,4.23
17-Oct-2011,229.00,231.00,224.90, 225.10,225.15,418,0.96
