Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,573.00,588.85,571.00, 580.00,582.40,11334,65.85
29-Dec-2011,555.50,584.80,547.60, 580.05,579.10,7244,41.55
28-Dec-2011,550.00,571.00,538.25, 560.15,561.55,6439,35.69
27-Dec-2011,547.95,553.00,531.80, 545.50,550.35,2709,14.67
26-Dec-2011,550.00,557.90,541.50, 543.00,545.70,14076,77.68
23-Dec-2011,550.00,557.95,545.05, 552.95,550.25,2570,14.15
22-Dec-2011,556.00,558.00,550.05, 550.10,553.95,93169,516.93
21-Dec-2011,560.00,561.95,551.05, 555.00,558.70,4555,25.38
20-Dec-2011,560.00,560.00,549.00, 557.95,554.50,5964,33.07
19-Dec-2011,552.00,556.80,552.00, 554.95,555.80,3257,18.08
16-Dec-2011,555.00,564.90,550.15, 556.00,555.05,7006,38.94
15-Dec-2011,559.90,559.90,543.40, 558.00,556.20,4855,26.72
14-Dec-2011,568.00,569.00,552.00, 552.00,557.30,3502,19.62
13-Dec-2011,565.00,584.00,561.30, 567.25,569.85,5868,33.50
12-Dec-2011,578.00,579.00,564.05, 575.00,575.20,10107,57.81
09-Dec-2011,589.00,598.40,572.15, 575.55,578.55,2240,13.07
08-Dec-2011,580.00,583.35,571.20, 576.15,579.50,4298,24.75
07-Dec-2011,598.00,598.00,581.80, 581.80,584.50,2389,14.04
05-Dec-2011,598.75,598.75,592.50, 594.00,594.20,802,4.77
02-Dec-2011,649.90,649.90,588.00, 590.55,593.05,7284,43.41
01-Dec-2011,602.55,611.95,591.00, 593.55,596.65,6486,38.79
30-Nov-2011,590.10,611.70,587.00, 595.10,601.75,5161,31.01
29-Nov-2011,609.85,612.00,588.15, 593.00,595.95,6215,37.02
28-Nov-2011,600.00,606.75,592.30, 600.25,603.05,1377,8.29
25-Nov-2011,603.50,613.00,592.00, 592.00,599.05,2702,16.22
24-Nov-2011,590.00,609.95,588.10, 606.35,603.15,4513,27.03
23-Nov-2011,610.00,610.00,591.00, 599.95,599.65,13806,82.78
22-Nov-2011,630.00,634.75,606.10, 607.95,613.50,9694,59.69
21-Nov-2011,632.00,632.00,605.60, 621.00,621.35,15995,99.10
18-Nov-2011,636.30,640.00,620.00, 630.00,632.70,47383,299.59
17-Nov-2011,641.00,652.00,635.50, 645.00,649.75,10431,67.61
16-Nov-2011,654.00,654.00,625.90, 646.10,646.90,23505,149.67
15-Nov-2011,658.00,663.95,640.00, 640.00,645.20,10270,66.96
14-Nov-2011,665.00,669.00,655.05, 666.00,664.65,7181,47.61
11-Nov-2011,656.05,668.75,656.00, 668.75,665.45,11281,74.93
09-Nov-2011,651.00,668.00,649.10, 662.15,663.05,7204,47.49
08-Nov-2011,652.00,660.00,650.00, 659.00,655.90,6834,44.79
04-Nov-2011,657.05,667.40,650.15, 650.60,653.85,7512,49.20
03-Nov-2011,659.30,664.00,653.00, 657.00,659.45,5758,37.89
02-Nov-2011,654.80,672.70,654.00, 655.00,656.00,24661,163.13
01-Nov-2011,670.00,670.00,650.60, 652.00,653.80,3375,22.17
31-Oct-2011,662.00,665.00,652.00, 660.00,660.00,14593,96.26
28-Oct-2011,660.00,668.75,653.25, 660.10,665.80,8932,59.02
26-Oct-2011,657.00,659.00,651.10, 652.10,653.90,706,4.62
25-Oct-2011,651.35,659.20,649.90, 652.40,656.30,3838,25.14
24-Oct-2011,645.50,662.00,631.30, 650.00,657.10,22108,144.98
21-Oct-2011,638.00,662.00,627.40, 657.70,656.55,12408,80.71
20-Oct-2011,652.00,655.00,635.00, 640.00,641.35,12145,78.20
19-Oct-2011,660.00,665.00,652.80, 654.05,655.75,16025,105.09
18-Oct-2011,665.00,665.00,646.10, 663.95,660.80,16312,106.52
17-Oct-2011,654.00,665.95,644.00, 662.90,662.80,11741,76.62
14-Oct-2011,653.30,660.00,652.50, 654.00,655.45,1687,11.07
13-Oct-2011,655.10,663.25,652.50, 652.50,654.35,4653,30.52
12-Oct-2011,661.05,665.45,653.50, 655.00,655.75,3999,26.27
11-Oct-2011,670.00,670.00,660.20, 660.20,660.95,2193,14.58
10-Oct-2011,666.45,669.70,658.50, 660.25,666.50,9425,62.63
07-Oct-2011,675.00,675.00,664.05, 664.25,665.65,4763,31.88
05-Oct-2011,662.00,668.00,647.40, 665.00,665.20,10846,71.58
04-Oct-2011,671.00,673.75,658.50, 660.00,660.20,25977,172.55
03-Oct-2011,668.05,678.00,661.05, 678.00,671.45,33014,221.46
30-Sep-2011,680.00,680.00,665.00, 672.00,673.00,24408,164.32
29-Sep-2011,674.95,691.50,667.15, 681.20,682.15,13191,90.40
28-Sep-2011,689.35,699.00,670.00, 670.10,674.00,5559,37.93
27-Sep-2011,675.15,694.00,675.15, 693.00,689.35,53237,365.25
26-Sep-2011,543.00,689.10,543.00, 679.00,682.00,37464,247.64
23-Sep-2011,673.20,675.50,655.05, 675.00,673.65,16163,108.29
22-Sep-2011,679.90,679.90,661.95, 670.00,673.20,16029,107.29
21-Sep-2011,675.05,681.85,667.00, 678.50,680.50,5089,34.51
20-Sep-2011,671.00,677.00,664.10, 675.00,675.05,20714,139.10
19-Sep-2011,650.00,673.80,645.30, 673.80,661.30,122018,806.80
16-Sep-2011,656.00,665.50,646.05, 659.00,659.20,15466,101.69
15-Sep-2011,650.30,659.45,641.50, 659.00,652.35,19962,129.63
14-Sep-2011,645.00,657.00,641.05, 645.15,648.75,10034,64.92
13-Sep-2011,643.00,658.90,635.05, 645.00,650.75,15888,103.16
12-Sep-2011,645.00,648.00,635.15, 635.30,641.65,1764,11.33
09-Sep-2011,652.45,665.00,640.50, 648.85,653.05,11386,74.14
08-Sep-2011,652.00,652.00,642.00, 646.95,644.40,32463,210.90
07-Sep-2011,650.00,653.95,640.00, 645.00,649.45,9357,60.62
06-Sep-2011,651.00,657.00,645.25, 645.25,649.75,48569,316.12
05-Sep-2011,650.00,663.00,645.00, 661.90,659.90,8219,53.84
02-Sep-2011,631.35,663.80,630.60, 660.90,659.95,8440,55.13
30-Aug-2011,635.00,642.70,634.00, 640.00,639.85,2077,13.26
29-Aug-2011,635.30,645.00,632.00, 632.00,636.70,2330,14.90
26-Aug-2011,631.00,639.00,616.00, 635.00,633.20,24532,154.97
25-Aug-2011,636.50,643.90,629.50, 640.00,640.15,2157,13.79
24-Aug-2011,626.00,640.00,626.00, 635.00,635.10,8568,54.34
23-Aug-2011,632.00,642.75,618.00, 640.35,629.75,20923,131.71
22-Aug-2011,618.00,645.00,602.45, 640.00,641.20,40744,252.26
19-Aug-2011,640.00,640.00,607.00, 613.00,621.40,28476,178.66
18-Aug-2011,655.00,659.95,642.00, 649.00,650.40,18819,121.94
17-Aug-2011,657.00,664.85,652.15, 652.20,655.55,14589,95.73
16-Aug-2011,673.85,673.85,652.80, 655.55,658.40,18656,123.05
12-Aug-2011,658.90,667.00,640.35, 661.50,664.10,21000,137.83
11-Aug-2011,652.00,657.90,643.35, 649.80,648.60,8413,54.88
10-Aug-2011,653.00,665.00,648.50, 664.30,659.00,11021,72.41
09-Aug-2011,630.00,649.00,630.00, 641.50,643.45,21604,137.96
08-Aug-2011,643.00,654.00,629.00, 649.00,652.80,13036,84.05
05-Aug-2011,647.00,662.00,622.00, 654.00,653.55,23027,147.31
04-Aug-2011,659.00,664.00,650.00, 657.00,657.10,13364,87.72
03-Aug-2011,649.95,660.00,647.00, 655.35,658.85,35257,229.89
02-Aug-2011,655.00,664.00,642.00, 650.00,653.75,39372,256.04
01-Aug-2011,660.00,668.90,653.15, 660.00,664.35,22835,151.00
29-Jul-2011,657.05,670.05,652.10, 656.95,660.15,9398,61.85
28-Jul-2011,663.00,664.90,653.00, 662.15,663.80,20080,133.06
27-Jul-2011,660.00,674.50,640.10, 669.75,664.10,29813,195.07
26-Jul-2011,678.80,686.00,652.10, 654.85,659.50,45072,299.26
25-Jul-2011,658.00,684.00,656.00, 681.90,680.05,46618,314.63
22-Jul-2011,668.00,672.00,648.25, 662.80,664.20,27680,183.54
21-Jul-2011,639.00,662.00,625.00, 653.50,655.75,19288,124.71
20-Jul-2011,650.00,650.05,627.00, 633.70,632.10,59068,375.11
19-Jul-2011,677.45,683.00,647.10, 648.00,655.10,68209,454.52
18-Jul-2011,673.00,685.00,670.00, 683.00,680.85,23984,163.02
15-Jul-2011,674.00,677.00,666.00, 670.00,670.40,12173,81.61
14-Jul-2011,677.00,692.00,665.45, 669.90,668.95,47565,323.60
13-Jul-2011,665.00,679.85,658.10, 675.55,677.35,67129,447.41
12-Jul-2011,670.00,674.40,650.30, 666.00,664.75,29186,191.98
11-Jul-2011,653.00,678.75,650.00, 672.80,671.40,28140,187.70
08-Jul-2011,660.00,663.60,652.00, 653.70,654.00,12231,80.38
07-Jul-2011,668.00,678.30,656.00, 656.00,659.20,23170,153.98
06-Jul-2011,666.00,686.00,662.05, 663.00,666.25,17301,116.42
05-Jul-2011,660.00,678.00,658.50, 666.65,670.95,34574,232.09
04-Jul-2011,674.00,676.00,655.55, 662.75,665.70,16037,106.93
01-Jul-2011,685.00,694.00,665.25, 666.10,670.40,40022,272.25
30-Jun-2011,668.00,688.50,653.00, 683.00,681.70,167237,1139.20
29-Jun-2011,651.00,673.50,647.00, 667.00,665.75,90884,603.99
28-Jun-2011,661.00,661.00,640.25, 644.80,646.15,5643,36.61
27-Jun-2011,644.00,664.95,640.00, 656.00,656.05,47363,312.21
24-Jun-2011,638.00,645.00,634.00, 640.00,641.50,7630,48.85
23-Jun-2011,635.00,639.95,624.00, 639.95,635.00,4842,30.67
22-Jun-2011,637.85,643.70,615.55, 634.00,630.70,5719,36.03
21-Jun-2011,622.00,640.90,610.45, 628.40,628.55,7629,47.91
20-Jun-2011,633.75,636.95,610.25, 625.10,621.55,19019,118.04
17-Jun-2011,644.00,644.00,632.50, 634.00,635.60,6166,39.27
16-Jun-2011,637.60,648.00,631.00, 643.95,640.50,14008,89.49
15-Jun-2011,645.00,647.95,630.00, 647.00,637.60,28013,178.30
14-Jun-2011,658.00,658.00,642.00, 643.20,644.25,13738,89.02
13-Jun-2011,645.00,665.00,643.95, 647.00,650.20,26253,172.20
10-Jun-2011,633.00,654.00,629.10, 653.80,646.30,42384,272.04
09-Jun-2011,618.00,634.00,617.30, 630.00,631.90,8060,50.52
08-Jun-2011,615.05,630.25,615.00, 622.00,624.30,13981,87.36
07-Jun-2011,623.85,626.75,615.00, 621.00,623.75,6625,41.25
06-Jun-2011,614.90,629.90,607.30, 618.10,625.05,10229,63.35
03-Jun-2011,624.00,624.00,610.00, 610.20,613.95,14280,87.68
02-Jun-2011,616.00,629.00,601.20, 622.70,622.00,13046,80.29
01-Jun-2011,622.75,623.00,611.00, 612.00,613.80,4816,29.64
31-May-2011,618.00,626.00,608.10, 625.00,615.15,13675,84.26
30-May-2011,616.50,627.00,610.65, 611.05,613.10,6280,38.88
27-May-2011,621.00,626.00,610.15, 612.00,615.30,5803,35.91
26-May-2011,620.30,628.85,615.00, 615.00,617.90,4245,26.33
25-May-2011,630.00,632.00,606.20, 628.90,617.10,41132,252.96
24-May-2011,630.00,632.90,615.00, 616.00,622.00,8730,54.50
23-May-2011,632.00,636.95,615.30, 636.00,633.55,12517,78.26
20-May-2011,629.75,632.00,620.00, 627.00,627.60,9752,61.30
19-May-2011,634.95,638.40,622.00, 622.05,623.50,22745,142.29
18-May-2011,621.00,633.90,621.00, 630.00,629.45,9571,60.13
17-May-2011,629.40,638.90,625.55, 628.00,629.35,9172,57.80
16-May-2011,641.20,643.95,626.00, 631.00,634.85,10889,69.01
13-May-2011,615.15,649.00,615.15, 646.95,640.20,29787,189.39
12-May-2011,612.10,622.00,605.00, 620.00,616.40,11870,72.70
11-May-2011,623.15,628.80,610.60, 616.25,618.65,24511,151.50
10-May-2011,624.60,636.55,624.00, 627.10,630.25,14442,91.01
09-May-2011,625.00,637.90,610.85, 630.00,631.15,26586,165.39
06-May-2011,608.95,627.80,602.00, 615.00,619.10,28059,171.81
05-May-2011,604.50,614.90,588.90, 602.00,603.40,53889,323.26
04-May-2011,619.80,624.70,583.00, 601.00,603.85,113318,676.50
03-May-2011,636.90,647.00,594.00, 608.00,610.20,163380,1007.25
02-May-2011,638.00,643.90,621.00, 633.50,630.70,82690,518.26
29-Apr-2011,633.00,654.90,630.15, 637.00,636.30,95888,615.77
28-Apr-2011,618.70,634.90,611.00, 633.40,630.00,54262,340.48
27-Apr-2011,615.00,632.00,611.10, 612.00,615.50,65528,406.27
26-Apr-2011,630.05,639.30,605.25, 615.35,617.85,89228,550.93
25-Apr-2011,610.25,649.00,606.25, 631.00,632.15,172666,1097.37
21-Apr-2011,596.80,621.00,588.05, 620.00,611.35,55484,334.92
20-Apr-2011,590.00,602.00,586.50, 588.20,594.30,28203,167.52
19-Apr-2011,590.50,595.50,580.75, 583.50,589.75,21216,124.83
18-Apr-2011,600.00,614.00,587.05, 590.00,590.15,53939,322.62
15-Apr-2011,590.00,603.00,584.00, 592.50,594.25,36481,216.79
13-Apr-2011,569.00,599.00,564.80, 589.80,590.70,35703,211.02
11-Apr-2011,583.95,585.00,575.15, 577.00,579.75,6419,37.25
08-Apr-2011,594.40,603.40,581.50, 583.00,584.10,35335,207.98
07-Apr-2011,572.00,607.70,570.05, 588.20,591.80,103497,607.80
06-Apr-2011,566.50,578.70,565.25, 572.00,572.25,12818,73.23
05-Apr-2011,571.00,574.50,566.50, 567.00,569.25,5704,32.47
04-Apr-2011,568.00,573.90,567.00, 567.00,570.30,2944,16.80
01-Apr-2011,575.00,578.00,561.60, 570.00,566.00,45649,258.78
31-Mar-2011,579.00,583.00,566.80, 577.90,575.95,7059,40.52
30-Mar-2011,584.40,584.40,571.20, 573.50,574.85,22779,131.66
29-Mar-2011,574.10,581.50,565.35, 580.00,571.45,30767,175.86
28-Mar-2011,568.00,587.90,561.00, 578.30,581.55,32928,190.45
25-Mar-2011,570.00,574.00,558.55, 572.95,571.95,5175,29.38
24-Mar-2011,545.00,568.00,545.00, 565.05,563.25,11186,62.08
23-Mar-2011,553.00,553.00,543.10, 545.00,546.50,11671,63.80
22-Mar-2011,542.20,558.00,542.20, 547.00,549.55,6370,35.01
21-Mar-2011,560.00,562.75,537.60, 560.00,553.40,5659,31.22
18-Mar-2011,570.00,570.00,543.95, 566.00,552.50,15394,84.97
17-Mar-2011,556.25,564.90,556.25, 558.20,560.35,1663,9.33
16-Mar-2011,556.00,577.00,556.00, 560.05,564.35,9063,51.62
15-Mar-2011,540.55,574.90,540.50, 569.00,564.50,26666,150.16
14-Mar-2011,541.00,560.40,540.30, 560.40,560.05,10900,60.61
11-Mar-2011,549.10,556.00,534.80, 551.90,551.45,14323,78.09
10-Mar-2011,540.00,558.00,533.60, 558.00,556.75,8668,47.84
09-Mar-2011,536.85,550.00,530.05, 549.95,542.75,6451,34.91
08-Mar-2011,530.25,539.65,523.25, 529.00,535.45,8701,46.30
07-Mar-2011,546.00,546.00,528.00, 530.30,534.00,6170,32.98
04-Mar-2011,543.35,548.00,535.15, 548.00,545.65,3982,21.54
03-Mar-2011,540.00,545.00,530.55, 544.95,543.35,5482,29.66
01-Mar-2011,530.00,546.00,513.10, 546.00,544.10,173595,920.39
