Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,21.30,21.60,21.00, 21.00,21.15,49489,10.50
29-Dec-2011,21.35,21.40,21.00, 21.30,21.25,47493,10.09
28-Dec-2011,21.70,21.80,21.15, 21.30,21.35,31107,6.67
27-Dec-2011,21.60,21.95,21.15, 21.90,21.65,35828,7.76
26-Dec-2011,21.50,22.40,21.05, 21.60,21.60,65911,14.17
23-Dec-2011,21.80,22.25,21.50, 21.60,21.65,63757,13.94
22-Dec-2011,21.80,22.00,21.00, 21.85,21.95,84208,18.22
21-Dec-2011,22.00,22.45,21.10, 22.00,21.80,105325,22.80
20-Dec-2011,22.70,23.10,20.75, 21.20,21.15,93644,20.33
19-Dec-2011,22.50,23.20,22.20, 22.60,22.65,115198,26.26
16-Dec-2011,23.40,24.10,23.00, 23.15,23.05,147783,34.35
15-Dec-2011,23.00,25.25,23.00, 23.00,23.45,565544,136.07
14-Dec-2011,23.30,23.60,23.00, 23.00,23.00,105716,24.36
13-Dec-2011,23.10,23.35,23.00, 23.00,23.05,88604,20.45
12-Dec-2011,23.40,23.95,23.00, 23.00,23.00,55925,12.95
09-Dec-2011,23.40,23.80,22.85, 23.45,23.40,58222,13.59
08-Dec-2011,24.40,24.50,22.50, 23.65,23.60,92281,21.78
07-Dec-2011,25.20,25.45,24.30, 24.80,24.65,69653,17.24
05-Dec-2011,25.25,25.65,25.25, 25.45,25.25,52223,13.22
02-Dec-2011,25.65,25.85,24.65, 25.20,25.25,100789,25.43
01-Dec-2011,25.70,26.60,25.10, 25.50,25.40,436952,113.64
30-Nov-2011,25.05,25.75,24.75, 24.80,25.10,81335,20.58
29-Nov-2011,25.80,25.80,24.05, 25.60,25.40,139562,34.78
28-Nov-2011,24.05,25.00,23.05, 25.00,24.75,124431,30.07
25-Nov-2011,23.35,23.70,23.10, 23.60,23.45,43960,10.31
24-Nov-2011,23.00,24.05,23.00, 23.70,23.55,95956,22.33
23-Nov-2011,23.40,23.45,23.00, 23.00,23.00,95780,22.10
22-Nov-2011,23.00,23.70,22.80, 23.10,23.40,92681,21.47
21-Nov-2011,22.80,23.25,22.50, 22.50,22.60,214744,49.19
18-Nov-2011,23.10,23.10,22.50, 22.80,22.70,233409,53.27
17-Nov-2011,23.50,24.10,22.75, 23.10,22.95,139200,32.45
16-Nov-2011,24.70,24.85,23.35, 23.85,23.70,154410,37.15
15-Nov-2011,26.00,26.00,24.45, 24.50,24.60,159866,39.76
14-Nov-2011,27.20,27.40,25.25, 25.25,25.45,361766,95.84
11-Nov-2011,26.90,27.30,26.90, 27.00,27.05,145299,39.26
09-Nov-2011,26.85,27.25,26.45, 27.15,27.00,165512,44.68
08-Nov-2011,27.25,27.70,26.00, 26.75,26.65,404160,107.59
04-Nov-2011,28.30,28.85,27.25, 27.40,27.40,534858,147.86
03-Nov-2011,29.60,30.10,28.55, 28.60,28.75,423220,123.48
02-Nov-2011,29.35,29.35,28.25, 28.60,28.55,184030,52.93
01-Nov-2011,29.80,34.00,28.45, 29.00,28.85,148356,42.63
31-Oct-2011,28.20,28.60,28.00, 28.50,28.45,91757,26.11
28-Oct-2011,28.70,29.00,28.15, 28.20,28.20,198826,56.39
26-Oct-2011,28.00,28.70,27.80, 28.50,28.55,64903,18.43
25-Oct-2011,28.00,28.05,27.45, 27.60,27.70,77838,21.57
24-Oct-2011,28.70,28.70,27.65, 27.65,27.85,111790,31.44
21-Oct-2011,27.15,28.30,27.10, 28.00,27.90,69469,19.43
20-Oct-2011,28.30,28.85,27.90, 28.20,28.10,215058,61.13
19-Oct-2011,27.90,28.10,27.65, 28.05,27.85,124108,34.63
18-Oct-2011,27.75,27.80,27.50, 27.65,27.60,103219,28.54
17-Oct-2011,28.50,28.70,27.75, 27.95,27.90,181020,50.99
14-Oct-2011,28.70,28.90,28.10, 28.40,28.35,123895,35.34
13-Oct-2011,29.95,29.95,28.50, 28.60,28.55,293726,84.97
12-Oct-2011,29.00,29.65,28.40, 28.60,28.80,234522,67.66
11-Oct-2011,29.60,29.95,28.55, 28.60,28.70,120306,35.13
10-Oct-2011,29.00,29.75,28.50, 29.00,29.10,124659,36.23
07-Oct-2011,28.40,29.40,28.00, 29.10,29.10,497226,143.58
05-Oct-2011,28.00,28.25,27.60, 27.85,27.80,69838,19.49
04-Oct-2011,27.65,28.80,27.25, 27.80,27.75,193361,54.21
03-Oct-2011,27.20,27.50,26.00, 27.20,27.25,64202,17.39
30-Sep-2011,27.40,28.35,27.40, 27.50,27.60,99043,27.51
29-Sep-2011,27.45,27.70,27.00, 27.65,27.50,106960,29.39
28-Sep-2011,29.00,29.45,27.10, 27.10,27.15,240030,66.96
27-Sep-2011,29.45,30.40,28.60, 28.95,28.85,118201,34.46
