Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,77.00,82.00,70.55, 74.80,74.50,2388,1.79
29-Dec-2011,79.95,79.95,76.05, 76.05,77.35,15895,12.55
28-Dec-2011,87.80,87.80,79.00, 80.00,79.70,3390,2.79
27-Dec-2011,78.65,86.00,75.05, 79.10,80.00,10332,8.32
26-Dec-2011,82.95,82.95,73.30, 74.00,74.65,21523,16.55
23-Dec-2011,73.00,81.00,71.00, 75.05,73.95,11669,9.02
22-Dec-2011,71.00,74.00,67.00, 71.05,72.50,10616,7.39
21-Dec-2011,73.00,73.00,68.00, 68.30,71.80,31421,22.77
20-Dec-2011,76.10,76.10,68.05, 73.15,74.25,44931,33.23
19-Dec-2011,75.00,75.10,69.95, 72.00,72.05,1934,1.41
16-Dec-2011,78.00,79.00,75.25, 77.90,76.75,1501,1.16
15-Dec-2011,78.00,89.00,70.00, 75.75,75.10,9745,7.31
14-Dec-2011,77.00,83.00,75.60, 79.95,79.95,963,0.78
13-Dec-2011,75.00,80.00,73.00, 79.05,77.95,331,0.25
12-Dec-2011,78.00,78.05,75.00, 77.00,76.65,590,0.45
09-Dec-2011,80.00,83.00,78.00, 80.95,79.70,659,0.52
08-Dec-2011,93.00,93.00,79.00, 83.00,82.20,2586,2.12
07-Dec-2011,84.00,85.00,82.00, 84.25,83.40,450,0.38
05-Dec-2011,84.75,84.75,80.35, 82.00,81.55,3871,3.15
02-Dec-2011,87.00,87.00,84.00, 86.00,85.65,594,0.51
01-Dec-2011,88.00,88.60,86.00, 86.10,86.15,1295,1.14
30-Nov-2011,86.60,90.00,84.00, 85.00,85.60,2626,2.27
29-Nov-2011,91.10,95.85,83.50, 88.00,87.75,4199,3.69
28-Nov-2011,95.00,95.00,89.00, 92.50,93.10,1910,1.73
25-Nov-2011,95.00,95.00,87.90, 88.60,88.75,428,0.38
24-Nov-2011,87.00,91.20,84.00, 88.05,88.40,612,0.54
23-Nov-2011,95.75,95.75,86.00, 87.95,88.80,1752,1.54
22-Nov-2011,90.80,98.00,90.00, 90.05,90.75,3993,3.71
21-Nov-2011,97.90,97.90,86.35, 90.05,90.15,2909,2.64
18-Nov-2011,98.80,98.80,93.15, 93.15,93.80,471,0.44
17-Nov-2011,99.00,99.95,94.55, 95.55,95.60,2663,2.56
16-Nov-2011,103.00,104.95,95.65, 100.00,99.60,13939,13.94
15-Nov-2011,109.00,112.00,105.00, 105.00,105.00,1733,1.88
14-Nov-2011,113.95,113.95,108.20, 110.25,110.20,397,0.44
11-Nov-2011,112.00,114.80,102.20, 109.95,109.75,3510,3.80
09-Nov-2011,115.10,116.00,110.90, 111.00,113.05,2800,3.22
08-Nov-2011,119.95,119.95,114.25, 115.00,114.85,3918,4.56
04-Nov-2011,121.80,121.90,115.75, 116.00,116.25,3592,4.26
03-Nov-2011,120.90,120.90,116.00, 117.00,116.70,1884,2.21
02-Nov-2011,122.50,122.50,116.10, 118.50,118.55,2571,3.06
01-Nov-2011,118.45,118.45,114.80, 115.05,115.95,2531,2.94
31-Oct-2011,118.50,120.00,115.15, 115.15,116.15,2331,2.74
28-Oct-2011,119.00,126.85,119.00, 119.20,120.10,3185,3.89
26-Oct-2011,119.00,119.00,115.05, 119.00,118.90,147,0.17
25-Oct-2011,121.80,121.80,115.85, 116.90,116.75,602,0.71
24-Oct-2011,119.40,120.80,117.55, 117.75,118.05,1306,1.57
21-Oct-2011,129.00,129.00,114.10, 116.65,116.75,5757,6.78
20-Oct-2011,120.00,123.50,120.00, 122.90,122.90,226,0.28
19-Oct-2011,126.00,126.00,120.35, 124.00,122.90,1124,1.39
18-Oct-2011,125.00,125.00,116.80, 117.50,117.35,1780,2.12
17-Oct-2011,123.10,123.10,119.00, 120.00,119.90,3859,4.64
14-Oct-2011,129.00,129.00,121.20, 125.00,124.45,2013,2.52
13-Oct-2011,123.40,129.40,122.60, 125.05,125.10,1567,1.96
12-Oct-2011,123.00,123.90,121.00, 122.00,122.00,837,1.02
11-Oct-2011,123.90,124.80,120.05, 120.05,120.45,1363,1.66
10-Oct-2011,120.15,124.70,120.10, 122.00,123.20,4422,5.46
07-Oct-2011,120.45,127.90,120.45, 121.25,120.80,1322,1.61
05-Oct-2011,121.50,124.85,121.00, 121.00,121.00,376,0.46
04-Oct-2011,121.00,125.85,120.50, 125.50,122.40,1271,1.55
03-Oct-2011,122.00,127.90,120.60, 124.50,124.15,409,0.50
30-Sep-2011,128.00,128.00,123.50, 124.00,124.15,628,0.79
29-Sep-2011,126.00,127.95,125.35, 125.35,126.50,871,1.10
28-Sep-2011,135.60,135.75,124.00, 127.00,125.90,1524,1.96
27-Sep-2011,134.80,134.80,130.00, 130.00,131.40,1587,2.08
26-Sep-2011,130.40,130.40,126.10, 127.05,127.75,598,0.76
23-Sep-2011,126.00,131.70,125.15, 127.45,128.60,1359,1.75
22-Sep-2011,136.00,137.90,130.10, 130.15,131.00,904,1.21
21-Sep-2011,142.00,142.00,136.10, 140.00,137.95,4014,5.62
20-Sep-2011,138.00,144.75,136.00, 142.95,141.75,6668,9.46
19-Sep-2011,132.00,141.90,129.25, 140.00,139.90,6952,9.60
16-Sep-2011,131.00,137.50,131.00, 131.40,132.90,1779,2.39
15-Sep-2011,137.25,137.25,131.50, 131.50,131.60,241,0.32
14-Sep-2011,130.00,141.00,129.95, 133.00,133.65,14561,19.77
13-Sep-2011,128.95,131.95,125.10, 128.80,126.50,4195,5.36
12-Sep-2011,129.05,130.00,122.00, 122.55,123.40,3078,3.86
09-Sep-2011,128.05,138.00,128.05, 128.20,128.95,5352,7.19
08-Sep-2011,129.15,142.00,128.40, 130.20,131.35,20855,28.15
07-Sep-2011,124.50,134.00,124.50, 132.50,132.15,15014,19.52
06-Sep-2011,129.80,130.00,123.50, 126.00,125.70,5558,7.09
05-Sep-2011,125.30,129.90,125.30, 126.00,126.00,600,0.76
02-Sep-2011,139.00,139.00,128.00, 128.90,129.35,2747,3.59
30-Aug-2011,127.10,134.00,126.00, 128.20,130.00,2317,2.99
29-Aug-2011,116.00,130.95,116.00, 126.50,128.00,22930,29.03
26-Aug-2011,122.05,129.00,116.00, 117.85,118.00,2194,2.66
25-Aug-2011,126.15,132.25,125.00, 125.20,125.75,1727,2.20
24-Aug-2011,130.55,136.65,126.20, 127.00,127.85,2051,2.72
23-Aug-2011,131.00,141.55,128.00, 133.05,133.25,4795,6.61
22-Aug-2011,126.00,139.90,121.05, 134.95,134.90,11184,14.85
19-Aug-2011,123.00,137.55,118.40, 129.00,126.35,3206,3.98
18-Aug-2011,142.00,142.00,123.05, 129.40,127.30,4086,5.23
17-Aug-2011,142.00,142.00,130.00, 132.00,131.25,8850,11.88
16-Aug-2011,153.45,153.45,133.25, 139.40,136.00,7437,10.48
12-Aug-2011,152.05,156.90,147.00, 147.00,148.20,6274,9.49
11-Aug-2011,164.80,164.80,148.05, 150.00,150.05,3757,5.70
10-Aug-2011,150.15,163.90,150.15, 155.00,155.80,2348,3.70
09-Aug-2011,142.20,157.85,140.00, 155.30,153.20,5230,7.95
08-Aug-2011,145.00,151.90,142.50, 146.05,148.10,5469,8.06
05-Aug-2011,150.00,158.00,144.00, 151.00,151.95,8535,12.60
04-Aug-2011,156.10,159.60,155.20, 155.20,155.40,852,1.33
03-Aug-2011,159.85,162.90,155.10, 158.70,158.70,1920,3.02
02-Aug-2011,168.50,168.50,156.10, 159.85,159.25,5191,8.33
01-Aug-2011,176.45,176.45,157.30, 163.05,163.05,6722,11.08
29-Jul-2011,169.00,190.00,167.00, 171.95,171.65,3966,6.85
28-Jul-2011,171.10,178.00,171.10, 173.00,172.45,899,1.57
27-Jul-2011,174.10,180.90,173.20, 173.50,174.00,1454,2.56
26-Jul-2011,177.00,183.90,174.15, 176.15,177.35,2300,4.08
25-Jul-2011,174.00,184.00,172.20, 180.15,180.00,13551,24.42
22-Jul-2011,171.00,185.50,171.00, 175.00,175.80,3739,6.65
21-Jul-2011,176.50,176.50,170.10, 170.10,171.65,835,1.45
20-Jul-2011,173.10,181.70,173.10, 173.90,174.20,848,1.49
19-Jul-2011,170.50,181.95,170.50, 176.00,177.25,2111,3.74
18-Jul-2011,180.00,180.00,172.00, 173.00,173.00,962,1.67
15-Jul-2011,173.10,175.90,173.05, 173.50,173.50,2056,3.57
14-Jul-2011,167.00,176.00,167.00, 173.30,173.75,575,1.00
13-Jul-2011,173.60,178.00,172.10, 174.20,174.00,3674,6.40
12-Jul-2011,181.95,181.95,168.60, 173.60,171.50,2847,4.87
11-Jul-2011,183.00,189.45,176.25, 179.00,178.15,11098,20.30
08-Jul-2011,174.00,203.55,168.50, 183.00,184.05,132429,253.15
07-Jul-2011,159.60,177.00,159.25, 170.00,169.60,21027,34.95
06-Jul-2011,158.00,163.00,158.00, 159.40,159.70,761,1.21
05-Jul-2011,168.00,169.00,158.10, 160.90,160.25,970,1.57
04-Jul-2011,160.10,170.00,160.10, 162.00,162.45,16406,27.02
01-Jul-2011,164.90,164.90,157.70, 158.80,160.00,5813,9.30
30-Jun-2011,158.00,162.00,157.00, 159.70,157.80,16004,25.57
29-Jun-2011,169.00,169.00,156.00, 158.80,159.00,4948,8.03
28-Jun-2011,164.00,164.00,155.10, 156.80,157.10,843,1.33
27-Jun-2011,148.10,161.00,148.10, 158.05,158.40,1596,2.52
24-Jun-2011,149.00,165.50,148.55, 155.00,157.70,4462,6.93
23-Jun-2011,154.00,159.00,148.10, 148.95,148.50,24963,37.96
22-Jun-2011,169.80,169.80,148.00, 154.00,153.90,6521,10.09
21-Jun-2011,168.00,168.00,161.40, 164.80,164.05,729,1.20
20-Jun-2011,169.30,169.30,157.20, 163.50,165.15,1359,2.22
17-Jun-2011,175.10,177.70,165.20, 167.00,166.50,14067,23.91
16-Jun-2011,173.50,179.85,173.50, 175.15,175.20,3541,6.28
15-Jun-2011,179.95,179.95,175.10, 178.95,177.30,1842,3.28
14-Jun-2011,178.00,183.00,177.50, 177.50,177.95,1464,2.63
