Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,23.05,23.20,23.00, 23.00,23.00,1668,0.38
29-Dec-2011,26.20,26.25,24.20, 24.20,24.20,109427,28.64
28-Dec-2011,25.95,26.55,25.15, 25.20,25.45,1746,0.46
27-Dec-2011,23.75,25.90,23.75, 25.90,25.90,6697,1.69
26-Dec-2011,24.75,24.75,24.00, 24.70,24.70,1045,0.25
23-Dec-2011,23.00,23.60,23.00, 23.60,23.60,4789,1.13
22-Dec-2011,23.90,23.90,22.05, 22.50,22.50,2836,0.64
21-Dec-2011,22.05,23.30,22.05, 23.00,22.80,526,0.12
20-Dec-2011,23.00,24.30,22.25, 22.25,22.25,1352,0.31
19-Dec-2011,23.80,23.80,23.00, 23.00,23.25,1045,0.24
16-Dec-2011,24.65,24.65,23.35, 24.65,24.20,915,0.22
15-Dec-2011,23.20,24.00,23.20, 23.50,23.50,5160,1.22
14-Dec-2011,24.00,25.90,24.00, 24.05,24.05,300,0.07
13-Dec-2011,25.50,26.50,24.80, 25.35,24.85,4492,1.13
12-Dec-2011,26.65,26.80,25.75, 25.90,26.05,299,0.08
09-Dec-2011,26.20,26.55,25.40, 25.55,25.55,1508,0.39
08-Dec-2011,27.50,27.50,26.10, 26.75,26.70,846,0.22
07-Dec-2011,26.05,28.40,26.05, 27.00,27.45,2502,0.70
05-Dec-2011,25.50,27.20,25.00, 27.15,27.10,378,0.10
02-Dec-2011,26.05,27.70,26.00, 26.95,26.05,378,0.10
01-Dec-2011,26.75,26.75,25.50, 26.65,26.60,3727,0.98
30-Nov-2011,25.00,25.90,24.60, 25.50,25.50,2483,0.62
29-Nov-2011,24.75,26.25,24.75, 25.55,25.55,2897,0.75
28-Nov-2011,23.90,25.10,23.90, 25.10,25.10,2504,0.62
25-Nov-2011,24.90,24.95,23.80, 23.80,23.90,5811,1.40
24-Nov-2011,24.00,25.30,24.00, 24.85,24.90,6768,1.66
23-Nov-2011,24.50,25.00,23.90, 24.80,24.80,5895,1.44
22-Nov-2011,25.50,25.50,23.20, 25.20,24.80,1940,0.48
21-Nov-2011,24.05,25.20,24.05, 24.30,24.30,1165,0.29
18-Nov-2011,25.15,26.00,25.00, 25.10,25.10,2920,0.74
17-Nov-2011,28.45,28.45,26.20, 26.30,26.30,10728,2.85
16-Nov-2011,27.00,29.30,26.65, 27.50,27.55,7517,2.11
15-Nov-2011,28.90,29.20,27.80, 29.10,27.90,4929,1.42
14-Nov-2011,29.00,29.60,27.00, 27.00,27.80,9509,2.74
11-Nov-2011,30.10,30.10,28.30, 28.90,28.90,5010,1.45
09-Nov-2011,30.15,31.50,30.15, 30.50,30.75,7800,2.39
08-Nov-2011,29.50,31.90,29.40, 30.50,30.40,22090,6.80
04-Nov-2011,37.40,37.40,32.60, 32.60,32.60,57407,19.04
03-Nov-2011,38.40,38.40,36.00, 36.00,36.20,24850,9.18
02-Nov-2011,35.45,37.50,35.45, 36.00,36.25,21804,8.02
01-Nov-2011,33.55,36.40,33.50, 35.50,35.25,38513,13.58
31-Oct-2011,32.80,34.50,30.00, 33.50,33.20,21783,7.00
28-Oct-2011,26.25,32.00,26.25, 31.15,30.80,16762,5.13
26-Oct-2011,25.90,29.80,25.90, 29.00,28.45,14301,4.02
25-Oct-2011,24.55,25.25,24.55, 25.20,25.15,5536,1.39
24-Oct-2011,24.85,24.95,24.60, 24.60,24.70,4932,1.22
21-Oct-2011,23.50,24.40,23.50, 23.80,23.80,4464,1.08
20-Oct-2011,23.00,24.00,23.00, 24.00,24.00,2635,0.62
19-Oct-2011,23.00,23.50,23.00, 23.50,23.50,4555,1.06
18-Oct-2011,23.55,24.45,23.55, 23.75,23.75,1250,0.30
17-Oct-2011,25.65,25.65,22.55, 23.30,24.45,1985,0.46
14-Oct-2011,22.60,24.45,22.60, 23.55,23.55,1303,0.30
13-Oct-2011,22.25,23.90,22.25, 23.85,23.70,2269,0.53
12-Oct-2011,23.00,23.10,23.00, 23.00,23.00,1037,0.24
11-Oct-2011,23.45,23.50,22.55, 23.30,22.85,3172,0.73
10-Oct-2011,21.25,23.00,21.25, 23.00,22.60,9486,2.13
07-Oct-2011,21.00,22.90,21.00, 21.15,21.15,927,0.20
05-Oct-2011,20.85,22.15,20.85, 20.90,21.45,818,0.17
04-Oct-2011,21.35,22.00,21.35, 21.40,21.40,477,0.10
03-Oct-2011,22.10,23.50,21.20, 22.95,22.50,3615,0.82
30-Sep-2011,22.05,23.75,22.05, 22.10,22.10,717,0.16
29-Sep-2011,21.60,23.20,21.60, 23.15,23.15,1587,0.36
28-Sep-2011,21.65,23.45,21.60, 22.20,22.20,505036,113.62
27-Sep-2011,20.10,23.00,20.10, 23.00,22.95,3289,0.74
26-Sep-2011,21.70,22.00,20.25, 20.30,20.40,1189,0.25
23-Sep-2011,20.20,22.00,20.20, 21.40,21.25,5881,1.24
22-Sep-2011,21.55,23.00,21.50, 22.40,22.60,3194,0.72
21-Sep-2011,22.60,22.80,22.60, 22.75,22.75,1044,0.24
20-Sep-2011,22.05,23.30,22.00, 23.30,23.05,2205,0.50
19-Sep-2011,20.65,23.40,20.65, 23.05,22.85,658,0.15
