Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,0.40,0.45,0.40, 0.40,0.40,11556,0.05
29-Dec-2011,0.35,0.45,0.35, 0.45,0.45,11023,0.04
28-Dec-2011,0.40,0.45,0.40, 0.40,0.40,15203,0.06
27-Dec-2011,0.45,0.45,0.40, 0.45,0.45,1081,0.00
26-Dec-2011,0.45,0.45,0.40, 0.45,0.40,11081,0.04
23-Dec-2011,0.45,0.45,0.40, 0.45,0.40,4852,0.02
22-Dec-2011,0.40,0.45,0.40, 0.40,0.40,3631,0.01
21-Dec-2011,0.40,0.45,0.40, 0.45,0.40,8426,0.04
20-Dec-2011,0.45,0.45,0.40, 0.45,0.40,11001,0.05
19-Dec-2011,0.40,0.45,0.40, 0.45,0.45,21206,0.08
16-Dec-2011,0.40,0.45,0.40, 0.40,0.40,5288,0.02
15-Dec-2011,0.40,0.45,0.40, 0.45,0.45,653,0.00
14-Dec-2011,0.40,0.45,0.40, 0.40,0.45,1692,0.01
13-Dec-2011,0.40,0.45,0.40, 0.45,0.45,5550,0.02
12-Dec-2011,0.40,0.45,0.40, 0.45,0.45,13153,0.06
09-Dec-2011,0.40,0.40,0.35, 0.40,0.40,16096,0.06
08-Dec-2011,0.40,0.40,0.35, 0.35,0.35,2925,0.01
07-Dec-2011,0.35,0.40,0.35, 0.35,0.35,4557,0.02
05-Dec-2011,0.35,0.45,0.35, 0.40,0.40,3862,0.02
02-Dec-2011,0.35,0.40,0.35, 0.40,0.40,16775,0.07
01-Dec-2011,0.35,0.40,0.35, 0.40,0.40,13425,0.05
30-Nov-2011,0.35,0.35,0.35, 0.35,0.35,646,0.00
29-Nov-2011,0.40,0.45,0.40, 0.40,0.40,11010,0.04
28-Nov-2011,0.45,0.45,0.35, 0.45,0.45,1906,0.01
25-Nov-2011,0.45,0.45,0.40, 0.40,0.40,5854,0.02
24-Nov-2011,0.35,0.45,0.35, 0.45,0.45,2705,0.01
23-Nov-2011,0.35,0.45,0.35, 0.40,0.40,7964,0.03
22-Nov-2011,0.40,0.45,0.35, 0.45,0.40,12815,0.05
21-Nov-2011,0.40,0.45,0.40, 0.40,0.40,21543,0.09
18-Nov-2011,0.40,0.45,0.40, 0.40,0.40,18558,0.07
17-Nov-2011,0.45,0.45,0.40, 0.40,0.40,10446,0.04
16-Nov-2011,0.45,0.50,0.40, 0.40,0.40,47336,0.21
15-Nov-2011,0.40,0.50,0.40, 0.45,0.40,6447,0.03
14-Nov-2011,0.40,0.50,0.40, 0.50,0.50,21595,0.10
11-Nov-2011,0.45,0.50,0.40, 0.40,0.40,3661,0.02
09-Nov-2011,0.45,0.50,0.45, 0.45,0.45,4263,0.02
08-Nov-2011,0.50,0.50,0.45, 0.45,0.45,6184,0.03
04-Nov-2011,0.45,0.45,0.45, 0.45,0.45,4981,0.02
03-Nov-2011,0.45,0.45,0.45, 0.45,0.45,15617,0.07
02-Nov-2011,0.45,0.50,0.45, 0.45,0.45,3109,0.01
01-Nov-2011,0.45,0.50,0.45, 0.50,0.45,2835,0.01
31-Oct-2011,0.45,0.50,0.45, 0.50,0.50,3937,0.02
28-Oct-2011,0.45,0.50,0.45, 0.45,0.45,2107,0.01
26-Oct-2011,0.50,0.50,0.50, 0.50,0.50,500,0.00
25-Oct-2011,0.45,0.50,0.45, 0.50,0.50,779,0.00
24-Oct-2011,0.45,0.55,0.45, 0.50,0.50,4731,0.02
21-Oct-2011,0.45,0.50,0.45, 0.45,0.45,4676,0.02
20-Oct-2011,0.45,0.50,0.45, 0.50,0.45,4609,0.02
19-Oct-2011,0.45,0.50,0.45, 0.45,0.45,29874,0.14
18-Oct-2011,0.45,0.50,0.45, 0.45,0.45,2168,0.01
17-Oct-2011,0.50,0.50,0.45, 0.50,0.50,2868,0.01
14-Oct-2011,0.50,0.50,0.45, 0.50,0.50,26048,0.13
13-Oct-2011,0.50,0.55,0.45, 0.50,0.45,15650,0.08
12-Oct-2011,0.55,0.55,0.50, 0.50,0.50,2680,0.01
11-Oct-2011,0.45,0.55,0.45, 0.55,0.55,5462,0.03
10-Oct-2011,0.45,0.50,0.45, 0.50,0.50,3352,0.02
07-Oct-2011,0.45,0.50,0.45, 0.45,0.45,6061,0.03
05-Oct-2011,0.45,0.50,0.45, 0.50,0.50,6393,0.03
04-Oct-2011,0.45,0.50,0.45, 0.50,0.45,29288,0.14
03-Oct-2011,0.45,0.50,0.45, 0.45,0.45,1173,0.01
30-Sep-2011,0.45,0.50,0.45, 0.50,0.50,3740,0.02
29-Sep-2011,0.45,0.50,0.45, 0.50,0.50,13448,0.06
28-Sep-2011,0.50,0.50,0.45, 0.50,0.45,27311,0.13
27-Sep-2011,0.50,0.55,0.50, 0.50,0.50,50049,0.25
26-Sep-2011,0.45,0.50,0.45, 0.50,0.45,133867,0.65
23-Sep-2011,0.45,0.50,0.45, 0.50,0.50,16512,0.08
22-Sep-2011,0.50,0.50,0.45, 0.50,0.45,30498,0.15
21-Sep-2011,0.50,0.55,0.50, 0.50,0.50,1610,0.01
20-Sep-2011,0.45,0.55,0.45, 0.50,0.50,78451,0.40
19-Sep-2011,0.45,0.50,0.45, 0.50,0.50,5789,0.03
16-Sep-2011,0.45,0.50,0.45, 0.45,0.45,26415,0.12
15-Sep-2011,0.45,0.50,0.45, 0.45,0.45,1200,0.01
14-Sep-2011,0.45,0.50,0.45, 0.45,0.50,32612,0.16
13-Sep-2011,0.45,0.50,0.45, 0.50,0.45,84995,0.40
12-Sep-2011,0.45,0.45,0.45, 0.45,0.45,39708,0.18
09-Sep-2011,0.50,0.50,0.45, 0.45,0.45,224,0.00
08-Sep-2011,0.50,0.50,0.45, 0.45,0.45,11243,0.06
07-Sep-2011,0.45,0.50,0.45, 0.45,0.45,8581,0.04
06-Sep-2011,0.45,0.50,0.45, 0.50,0.50,8907,0.04
05-Sep-2011,0.45,0.45,0.45, 0.45,0.45,6778,0.03
02-Sep-2011,0.50,0.50,0.45, 0.45,0.45,31106,0.15
30-Aug-2011,0.45,0.50,0.45, 0.45,0.45,19544,0.09
29-Aug-2011,0.45,0.50,0.45, 0.50,0.50,8045,0.04
26-Aug-2011,0.45,0.50,0.45, 0.50,0.45,4537,0.02
25-Aug-2011,0.45,0.45,0.45, 0.45,0.45,181,0.00
24-Aug-2011,0.45,0.50,0.45, 0.45,0.45,12378,0.06
23-Aug-2011,0.45,0.50,0.45, 0.45,0.45,17807,0.09
22-Aug-2011,0.45,0.50,0.45, 0.45,0.45,7830,0.04
19-Aug-2011,0.50,0.50,0.45, 0.45,0.45,15483,0.07
18-Aug-2011,0.45,0.50,0.45, 0.50,0.45,25683,0.12
17-Aug-2011,0.45,0.55,0.45, 0.50,0.45,15010,0.07
16-Aug-2011,0.50,0.55,0.45, 0.50,0.45,86182,0.42
12-Aug-2011,0.50,0.55,0.50, 0.50,0.50,24160,0.12
11-Aug-2011,0.50,0.60,0.50, 0.50,0.50,18040,0.09
10-Aug-2011,0.50,0.55,0.50, 0.50,0.50,13487,0.07
09-Aug-2011,0.45,0.55,0.45, 0.55,0.50,41160,0.20
08-Aug-2011,0.50,0.55,0.50, 0.50,0.50,6705,0.03
05-Aug-2011,0.50,0.60,0.50, 0.55,0.55,20729,0.11
04-Aug-2011,0.60,0.60,0.50, 0.55,0.55,9358,0.05
03-Aug-2011,0.50,0.60,0.50, 0.60,0.60,14681,0.08
02-Aug-2011,0.50,0.60,0.50, 0.50,0.50,9348,0.05
01-Aug-2011,0.50,0.60,0.50, 0.50,0.50,10126,0.05
29-Jul-2011,0.50,0.55,0.50, 0.50,0.50,6215,0.03
28-Jul-2011,0.55,0.55,0.50, 0.50,0.50,1901,0.01
27-Jul-2011,0.50,0.60,0.50, 0.50,0.55,12644,0.07
26-Jul-2011,0.50,0.60,0.50, 0.60,0.50,5679,0.03
25-Jul-2011,0.55,0.55,0.55, 0.55,0.55,35500,0.20
