Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,89.00,91.60,87.30, 89.70,89.70,4396669,3941.54
29-Dec-2011,89.45,91.85,88.60, 90.50,90.35,4460223,4025.54
28-Dec-2011,92.20,92.20,88.85, 89.75,89.75,3889690,3493.25
27-Dec-2011,92.10,94.30,90.45, 91.95,91.55,2426389,2249.36
26-Dec-2011,92.40,93.70,92.00, 92.95,93.05,2115407,1967.34
23-Dec-2011,93.20,94.40,91.00, 92.00,91.55,4173798,3882.19
22-Dec-2011,90.40,92.85,89.65, 91.80,91.90,4625571,4218.90
21-Dec-2011,91.10,91.90,88.85, 91.60,91.25,4300809,3884.41
20-Dec-2011,91.50,91.50,87.35, 88.65,88.10,5293564,4711.14
19-Dec-2011,88.05,90.35,86.15, 90.30,89.95,5251214,4635.91
16-Dec-2011,94.00,95.50,88.10, 89.20,89.20,13074290,12012.08
15-Dec-2011,95.25,96.05,92.90, 93.45,93.35,7680477,7232.70
14-Dec-2011,99.20,99.85,96.85, 97.00,97.25,4682230,4607.38
13-Dec-2011,97.20,100.45,96.50, 100.35,99.30,6294632,6211.74
12-Dec-2011,103.00,103.30,97.80, 98.25,98.15,7484372,7470.26
09-Dec-2011,101.65,102.95,100.00, 101.05,101.30,10168956,10311.63
08-Dec-2011,109.00,109.00,104.10, 104.55,104.75,6170674,6506.21
07-Dec-2011,107.50,111.15,106.25, 108.75,109.55,6531454,7142.18
05-Dec-2011,108.15,109.00,107.20, 107.75,107.90,4193973,4534.90
02-Dec-2011,106.00,110.65,103.55, 109.35,109.45,7880654,8510.10
01-Dec-2011,105.00,109.60,104.20, 105.60,105.65,10342371,11030.54
30-Nov-2011,101.80,102.25,98.00, 99.30,99.30,9433425,9415.44
29-Nov-2011,105.85,105.85,101.70, 102.00,102.40,4740444,4915.63
28-Nov-2011,102.80,105.40,102.15, 105.00,105.00,5912996,6147.86
25-Nov-2011,102.80,104.45,99.15, 99.80,100.05,4250029,4319.43
24-Nov-2011,104.00,105.00,101.50, 103.65,103.50,6218608,6422.12
23-Nov-2011,103.90,105.20,101.30, 104.75,104.20,3009401,3099.46
22-Nov-2011,104.40,107.20,102.35, 104.80,104.85,5081366,5329.84
21-Nov-2011,107.40,107.45,102.10, 103.60,102.75,5120689,5351.96
18-Nov-2011,107.20,109.50,105.50, 108.60,108.20,4587149,4937.46
17-Nov-2011,113.95,113.95,107.10, 108.00,108.55,2734597,3032.73
16-Nov-2011,113.45,114.90,110.85, 113.95,113.10,4416282,4971.13
15-Nov-2011,115.50,116.05,112.05, 113.50,113.35,3699435,4221.24
14-Nov-2011,119.80,120.35,115.00, 115.60,115.70,3200117,3742.90
11-Nov-2011,119.00,119.90,116.70, 117.25,117.20,3866121,4565.44
09-Nov-2011,124.50,125.30,119.00, 119.85,120.00,3865307,4737.83
08-Nov-2011,124.75,124.75,122.00, 123.85,123.85,2396531,2955.38
04-Nov-2011,123.90,125.70,122.05, 123.30,122.75,10194302,12601.04
03-Nov-2011,122.75,123.30,119.50, 121.35,120.95,4425285,5352.21
02-Nov-2011,121.00,124.50,120.60, 123.30,123.05,5028384,6190.98
01-Nov-2011,125.00,125.00,121.55, 123.15,123.30,10193868,12531.19
31-Oct-2011,132.45,132.45,126.90, 127.45,127.35,4783090,6177.54
28-Oct-2011,126.00,136.75,125.50, 132.00,132.80,14336884,19079.01
26-Oct-2011,122.00,123.00,121.50, 122.05,122.20,705498,862.27
25-Oct-2011,118.40,121.85,117.40, 121.70,120.75,8279067,9893.41
24-Oct-2011,118.00,119.95,109.85, 116.35,115.85,9063924,10498.39
21-Oct-2011,117.35,117.50,114.20, 115.60,115.00,3221628,3735.04
20-Oct-2011,117.10,119.10,114.30, 116.10,116.30,4006547,4651.84
19-Oct-2011,118.00,120.80,117.35, 118.75,119.20,3395548,4048.74
18-Oct-2011,117.65,118.90,115.10, 117.35,116.70,4891496,5692.56
17-Oct-2011,120.50,122.40,119.30, 121.25,120.90,3747647,4534.38
14-Oct-2011,118.50,120.90,116.80, 119.00,119.10,4784916,5691.51
13-Oct-2011,121.70,123.60,119.05, 119.95,120.30,5811658,7042.26
12-Oct-2011,117.35,120.75,116.10, 120.20,120.15,6184684,7309.02
11-Oct-2011,119.80,120.80,115.20, 115.50,115.80,6876647,8048.23
10-Oct-2011,115.00,118.00,113.50, 117.95,117.55,7028256,8164.14
07-Oct-2011,110.05,114.00,110.05, 113.35,113.50,10305918,11607.04
05-Oct-2011,107.00,109.20,103.65, 104.25,104.50,10393127,11038.99
04-Oct-2011,108.80,110.75,103.65, 105.00,105.15,8301900,8924.24
03-Oct-2011,112.00,112.15,108.10, 109.20,108.75,7066641,7775.63
30-Sep-2011,118.10,118.90,112.75, 113.00,113.70,5583828,6478.51
29-Sep-2011,117.85,119.85,116.70, 118.50,118.60,6071749,7170.99
28-Sep-2011,122.10,122.70,117.50, 120.00,120.20,4797810,5723.38
27-Sep-2011,121.00,122.70,120.00, 122.35,122.00,4521641,5486.95
26-Sep-2011,121.60,122.15,114.60, 117.05,117.40,9924443,11630.73
23-Sep-2011,123.00,124.20,117.60, 123.45,122.65,9386928,11376.54
22-Sep-2011,130.55,131.10,124.00, 124.35,124.85,7063473,8960.41
21-Sep-2011,135.70,136.75,132.70, 134.20,134.10,5520674,7441.18
20-Sep-2011,130.70,134.45,129.15, 134.30,133.80,3649386,4832.32
19-Sep-2011,134.15,134.15,129.05, 129.10,130.00,3129187,4101.88
16-Sep-2011,132.40,135.60,131.55, 134.45,134.85,8461851,11339.59
15-Sep-2011,128.95,131.60,126.15, 131.55,129.85,3989035,5114.72
14-Sep-2011,126.00,127.65,124.30, 127.55,126.65,5795230,7307.35
13-Sep-2011,126.55,129.70,123.30, 124.75,124.85,4596583,5813.34
12-Sep-2011,128.50,129.00,125.00, 125.30,125.25,4283877,5401.83
09-Sep-2011,137.45,138.40,129.85, 130.50,130.65,5938562,7952.48
08-Sep-2011,138.10,141.45,136.85, 138.05,138.25,6486673,9014.48
07-Sep-2011,134.45,138.55,133.65, 136.90,137.20,8465253,11562.76
06-Sep-2011,131.00,134.75,127.80, 134.15,134.20,7174820,9409.01
05-Sep-2011,131.80,133.30,130.05, 131.40,131.35,6493757,8542.27
02-Sep-2011,131.70,136.75,128.00, 134.10,134.10,11279144,15114.54
30-Aug-2011,128.30,130.75,125.50, 129.70,128.65,9182323,11761.61
29-Aug-2011,124.05,127.35,122.25, 126.60,126.60,5514509,6876.60
26-Aug-2011,125.55,126.25,120.75, 122.00,122.10,4395721,5399.72
25-Aug-2011,127.65,127.65,123.10, 125.00,124.75,7635310,9534.18
24-Aug-2011,127.00,129.50,124.10, 125.20,125.40,5379368,6864.76
23-Aug-2011,129.00,129.00,125.15, 127.05,127.20,4445311,5636.00
22-Aug-2011,125.10,128.15,123.15, 127.50,127.05,4546159,5720.28
19-Aug-2011,126.80,127.15,121.30, 126.30,125.45,6016456,7483.75
18-Aug-2011,135.00,135.30,127.25, 128.55,128.45,4945269,6472.41
17-Aug-2011,132.60,135.50,131.30, 135.00,134.55,2747897,3668.16
16-Aug-2011,135.20,136.90,131.50, 133.70,132.45,5040201,6788.36
12-Aug-2011,138.90,139.45,132.35, 133.00,133.45,4591599,6253.10
11-Aug-2011,135.10,138.55,134.85, 135.45,136.00,5283695,7241.89
10-Aug-2011,140.00,141.60,135.40, 137.00,136.30,5671821,7824.76
09-Aug-2011,130.10,142.00,129.60, 135.50,134.95,9663825,13161.31
08-Aug-2011,136.50,141.50,133.45, 135.60,136.60,8908404,12214.21
05-Aug-2011,145.10,146.00,137.50, 142.25,141.45,14339532,20214.11
04-Aug-2011,153.20,155.10,150.10, 150.60,151.00,4852556,7389.14
03-Aug-2011,152.75,153.55,150.50, 152.95,152.85,5735512,8719.11
02-Aug-2011,157.00,157.80,153.10, 153.75,154.00,4841700,7472.95
01-Aug-2011,161.35,162.55,155.65, 157.60,157.95,5313256,8399.34
29-Jul-2011,163.95,165.45,159.30, 160.00,159.75,3751617,6086.60
28-Jul-2011,163.05,165.40,162.50, 163.80,163.15,5663366,9259.91
27-Jul-2011,169.30,169.95,166.35, 167.80,167.70,2180468,3661.70
26-Jul-2011,175.00,176.40,167.55, 167.55,168.05,5469423,9340.58
25-Jul-2011,170.00,173.45,169.55, 173.00,172.80,4010543,6902.63
22-Jul-2011,168.10,169.25,167.10, 169.00,168.85,2517984,4236.12
21-Jul-2011,165.50,167.00,165.15, 165.85,166.30,1413970,2349.00
20-Jul-2011,168.10,168.25,165.80, 166.55,166.65,3570089,5976.18
19-Jul-2011,164.70,167.85,163.80, 166.95,166.95,2580311,4291.02
18-Jul-2011,162.50,164.75,162.50, 163.45,163.65,1232584,2021.92
15-Jul-2011,165.25,166.45,162.50, 163.00,163.00,2235524,3662.13
14-Jul-2011,164.20,168.55,164.15, 165.60,166.65,3164968,5277.09
13-Jul-2011,163.80,166.65,163.55, 165.50,165.35,3265242,5377.81
12-Jul-2011,162.00,165.75,160.40, 162.80,162.85,6775539,11060.60
11-Jul-2011,163.00,165.00,162.10, 163.25,163.65,2482212,4060.95
08-Jul-2011,169.70,169.95,161.00, 163.65,163.40,6449473,10550.03
07-Jul-2011,171.05,172.00,168.80, 170.20,170.20,4165714,7084.07
06-Jul-2011,172.90,173.35,170.85, 171.20,171.55,1917688,3297.93
05-Jul-2011,171.80,174.50,169.85, 173.00,173.00,3899534,6742.27
04-Jul-2011,173.00,174.80,171.10, 171.45,171.55,2738624,4727.62
01-Jul-2011,170.70,172.40,168.90, 170.10,170.10,3078666,5260.77
30-Jun-2011,168.25,170.00,166.75, 167.00,168.25,5670892,9552.99
29-Jun-2011,164.50,168.55,164.30, 168.30,168.15,5906227,9854.88
28-Jun-2011,164.35,165.60,161.60, 162.50,162.40,3944714,6430.44
27-Jun-2011,160.55,161.80,157.60, 160.95,160.85,3337004,5364.16
24-Jun-2011,156.50,161.00,156.25, 160.55,160.50,4828682,7652.44
23-Jun-2011,153.65,157.60,152.20, 156.25,156.50,3421307,5325.55
22-Jun-2011,154.50,159.00,154.05, 154.55,154.60,4640626,7247.96
21-Jun-2011,154.10,154.60,151.40, 153.95,153.70,5799518,8886.21
20-Jun-2011,158.00,159.30,150.00, 153.50,152.60,4092507,6306.01
17-Jun-2011,160.85,160.85,157.35, 158.80,157.85,2785712,4420.45
16-Jun-2011,161.50,161.95,157.75, 158.70,158.80,6076917,9690.23
15-Jun-2011,166.00,166.80,161.50, 162.60,162.50,4759722,7756.58
14-Jun-2011,164.50,167.50,164.50, 165.65,165.75,2935199,4879.25
