Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,21.40,21.40,21.40, 21.40,21.40,6573,1.41
29-Dec-2011,22.50,22.50,22.50, 22.50,22.50,9839,2.21
28-Dec-2011,23.65,23.65,23.65, 23.65,23.65,11990,2.84
27-Dec-2011,24.85,24.85,24.85, 24.85,24.85,11279,2.80
26-Dec-2011,26.15,26.15,26.15, 26.15,26.15,24448,6.39
23-Dec-2011,27.50,27.50,27.50, 27.50,27.50,24955,6.86
22-Dec-2011,30.55,30.55,30.55, 30.55,30.55,18123,5.54
21-Dec-2011,33.90,33.90,33.90, 33.90,33.90,36773,12.47
20-Dec-2011,41.50,55.00,37.65, 37.65,37.65,1986827,988.63
19-Dec-2011,57.00,57.00,45.55, 45.55,47.05,183872,94.74
16-Dec-2011,59.10,59.45,56.20, 56.50,56.90,585912,337.50
15-Dec-2011,57.95,60.50,55.15, 57.95,57.75,328420,192.12
14-Dec-2011,59.70,59.80,55.20, 57.45,57.35,578794,332.60
13-Dec-2011,59.90,63.60,58.90, 59.50,59.70,537690,321.31
12-Dec-2011,62.90,62.90,59.30, 59.50,60.30,182289,112.38
09-Dec-2011,62.50,62.65,60.75, 62.00,61.80,214860,133.32
08-Dec-2011,60.50,63.90,60.50, 62.30,62.15,318689,201.34
07-Dec-2011,66.80,66.80,61.60, 61.60,63.70,553678,356.66
05-Dec-2011,66.25,67.90,64.80, 65.25,65.50,348206,229.60
02-Dec-2011,66.25,66.50,65.85, 66.25,66.15,331124,219.13
01-Dec-2011,67.90,69.80,65.85, 66.25,66.15,136499,91.13
30-Nov-2011,66.80,67.40,65.90, 66.45,66.45,49895,33.18
29-Nov-2011,66.80,67.55,66.10, 66.90,66.40,317280,212.26
28-Nov-2011,68.25,69.25,65.90, 66.40,66.70,416777,281.97
25-Nov-2011,68.05,69.65,66.90, 67.75,68.00,493063,336.34
24-Nov-2011,68.25,68.25,67.40, 67.75,67.80,371062,251.49
23-Nov-2011,69.00,69.00,66.80, 67.50,67.20,770471,518.24
