Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,47.35,51.55,47.35, 48.00,48.00,57780,28.40
29-Dec-2011,47.90,49.50,43.00, 48.65,48.00,170202,80.03
28-Dec-2011,50.70,52.50,48.00, 49.00,48.80,63862,31.63
27-Dec-2011,52.10,53.75,50.55, 50.55,51.20,42267,22.25
26-Dec-2011,51.55,52.90,51.30, 51.70,51.85,131358,68.28
23-Dec-2011,52.80,53.95,50.10, 50.60,51.00,110226,56.62
22-Dec-2011,48.00,52.20,47.00, 52.00,51.10,47643,23.93
21-Dec-2011,48.10,54.00,45.00, 48.40,49.50,249549,123.82
20-Dec-2011,49.70,50.80,46.00, 46.40,46.15,223790,105.17
19-Dec-2011,52.80,55.45,48.00, 49.45,49.25,210951,104.40
16-Dec-2011,56.60,57.60,50.00, 51.50,52.90,206912,111.03
15-Dec-2011,58.00,58.50,55.40, 55.70,55.90,31379,17.65
14-Dec-2011,56.40,60.00,56.40, 58.00,58.30,86762,50.70
13-Dec-2011,57.50,58.50,56.55, 56.75,56.95,11994,6.89
12-Dec-2011,58.70,60.95,56.55, 57.75,58.25,178295,104.38
09-Dec-2011,58.00,59.90,56.80, 57.50,57.30,38323,22.24
08-Dec-2011,60.40,62.25,58.50, 58.80,58.80,143649,85.94
07-Dec-2011,62.40,65.00,61.50, 62.65,62.20,294710,187.41
05-Dec-2011,60.10,65.55,58.10, 61.35,61.10,253679,157.47
02-Dec-2011,60.70,60.95,58.70, 59.50,59.65,163419,97.95
01-Dec-2011,64.00,64.95,59.50, 60.15,60.10,91938,56.10
30-Nov-2011,63.10,64.80,61.50, 61.95,62.80,141720,89.23
29-Nov-2011,63.25,66.40,62.20, 62.50,62.85,75946,48.62
28-Nov-2011,71.30,74.00,63.60, 63.60,64.00,368893,243.03
25-Nov-2011,61.45,73.20,60.50, 68.90,70.30,726755,508.77
24-Nov-2011,59.10,63.70,56.65, 60.00,61.00,204617,123.28
23-Nov-2011,60.90,60.90,57.40, 58.10,58.00,40814,24.10
22-Nov-2011,61.80,62.25,59.00, 59.85,59.95,48702,29.45
21-Nov-2011,63.40,63.50,57.35, 60.50,61.00,64795,39.55
18-Nov-2011,67.70,68.25,60.50, 61.45,62.45,124853,78.75
17-Nov-2011,70.40,70.50,63.15, 66.95,66.30,228532,152.71
16-Nov-2011,70.50,71.75,68.75, 68.75,69.55,377670,264.30
15-Nov-2011,71.10,75.80,70.70, 71.50,72.10,121207,89.31
14-Nov-2011,71.70,72.80,69.85, 72.45,70.25,37370,26.35
11-Nov-2011,72.40,74.90,69.00, 69.35,70.75,87647,62.66
09-Nov-2011,67.70,76.60,67.00, 72.70,71.25,353269,256.19
08-Nov-2011,68.10,68.50,66.10, 66.50,66.80,17997,12.10
04-Nov-2011,68.30,68.95,66.15, 66.80,66.70,115154,78.19
03-Nov-2011,69.10,69.80,67.15, 67.70,67.55,17597,11.97
02-Nov-2011,69.60,70.70,68.00, 68.05,68.50,38767,26.90
01-Nov-2011,67.50,72.95,66.60, 69.50,69.50,149809,104.84
31-Oct-2011,70.50,72.50,67.20, 67.50,68.00,39798,27.74
28-Oct-2011,77.40,78.40,68.20, 69.35,69.65,224069,159.68
26-Oct-2011,61.50,72.50,61.00, 72.50,71.45,257997,179.35
25-Oct-2011,60.80,61.40,59.75, 60.25,60.40,11671,7.04
24-Oct-2011,61.00,62.50,57.75, 61.00,60.60,130805,78.61
21-Oct-2011,63.10,63.45,59.00, 59.20,60.20,37818,23.07
20-Oct-2011,61.10,63.00,60.00, 62.00,62.85,93278,57.36
19-Oct-2011,64.90,64.90,58.55, 62.85,62.55,137697,86.04
18-Oct-2011,65.10,65.50,62.65, 64.00,63.85,54242,34.84
17-Oct-2011,65.90,65.90,64.20, 65.50,64.90,24311,15.79
14-Oct-2011,65.70,66.50,64.55, 64.65,65.00,48903,31.98
13-Oct-2011,68.40,68.70,65.10, 65.30,65.70,74264,49.69
12-Oct-2011,66.10,68.45,64.45, 67.00,67.45,336962,224.63
11-Oct-2011,67.00,67.35,64.00, 65.20,65.45,298326,195.58
10-Oct-2011,67.90,69.50,64.60, 65.00,65.65,385015,257.94
07-Oct-2011,70.50,71.50,66.15, 67.85,66.95,143799,99.66
05-Oct-2011,69.00,73.80,68.10, 68.45,68.95,695097,490.43
04-Oct-2011,72.10,73.00,66.25, 67.90,67.85,469362,319.38
03-Oct-2011,72.00,76.50,70.30, 71.00,71.60,399002,291.60
30-Sep-2011,68.00,78.00,66.60, 74.00,73.25,756768,555.35
29-Sep-2011,71.10,72.00,65.05, 67.30,67.60,39515,27.16
28-Sep-2011,70.95,75.65,62.95, 68.90,70.30,189640,135.19
27-Sep-2011,69.30,71.40,67.40, 70.00,69.80,134557,93.57
26-Sep-2011,71.40,71.40,67.50, 67.75,68.60,81806,56.89
23-Sep-2011,74.10,76.90,70.65, 72.00,71.75,224736,162.58
22-Sep-2011,79.50,80.90,75.25, 75.80,75.95,252478,195.47
21-Sep-2011,82.65,84.40,80.00, 80.50,80.95,117148,95.74
20-Sep-2011,80.20,88.70,80.05, 81.30,82.20,559592,472.96
19-Sep-2011,80.65,81.80,79.00, 79.00,79.50,39438,31.79
16-Sep-2011,81.00,82.35,76.30, 80.00,79.65,82326,65.97
15-Sep-2011,82.35,82.60,78.75, 81.00,81.05,93852,75.95
14-Sep-2011,80.60,90.00,75.60, 80.15,80.85,601070,500.56
13-Sep-2011,80.80,81.45,78.05, 78.40,79.05,159708,127.63
12-Sep-2011,78.55,82.45,76.65, 80.00,79.95,193529,155.43
09-Sep-2011,83.90,85.30,80.05, 80.40,81.05,193631,161.40
08-Sep-2011,79.40,84.70,79.30, 83.00,83.05,133281,109.44
07-Sep-2011,80.70,81.35,77.20, 78.00,78.25,84216,67.16
06-Sep-2011,80.10,81.80,79.15, 79.85,80.00,69294,55.90
05-Sep-2011,80.65,82.80,77.50, 80.30,79.95,380097,304.39
02-Sep-2011,82.00,83.00,80.75, 81.00,81.40,137810,112.85
30-Aug-2011,83.90,86.00,81.10, 81.55,82.05,75355,62.93
29-Aug-2011,82.10,85.80,81.80, 82.40,82.95,88294,73.89
26-Aug-2011,86.50,87.50,78.55, 79.65,80.95,155751,129.96
25-Aug-2011,89.85,94.70,85.10, 86.05,85.70,341555,303.99
24-Aug-2011,96.55,102.70,88.25, 90.00,90.30,740965,724.48
23-Aug-2011,77.70,91.10,76.15, 91.10,91.10,173880,152.79
22-Aug-2011,81.00,81.05,75.00, 76.05,75.90,73700,56.33
19-Aug-2011,82.05,85.40,80.00, 80.60,80.40,342561,277.52
18-Aug-2011,92.60,93.00,84.15, 85.00,85.20,104179,91.51
17-Aug-2011,94.30,96.00,90.15, 91.20,91.30,33611,30.98
16-Aug-2011,96.65,98.65,93.35, 94.50,94.30,45420,43.78
12-Aug-2011,102.95,102.95,95.05, 95.85,97.05,100442,99.21
11-Aug-2011,96.85,100.60,96.00, 99.20,99.55,83987,83.03
10-Aug-2011,96.50,100.55,95.50, 95.50,96.85,76817,75.04
09-Aug-2011,95.00,98.85,93.75, 94.50,95.10,75150,72.04
08-Aug-2011,94.20,101.40,94.20, 97.05,97.45,93878,92.41
05-Aug-2011,101.00,101.75,95.10, 97.00,96.65,137148,135.14
04-Aug-2011,106.40,108.20,103.00, 104.90,103.90,220555,232.64
03-Aug-2011,110.35,112.25,104.30, 104.50,105.80,328117,355.47
02-Aug-2011,114.00,114.25,109.50, 110.00,110.85,548581,613.86
01-Aug-2011,115.10,116.65,113.30, 113.30,113.50,227865,259.22
29-Jul-2011,112.10,115.50,111.30, 113.50,115.00,324017,371.13
28-Jul-2011,109.00,112.70,109.00, 112.70,111.70,128367,142.33
27-Jul-2011,107.00,109.60,106.65, 108.85,107.95,47838,51.74
26-Jul-2011,106.00,108.90,104.60, 107.00,107.30,53882,57.67
25-Jul-2011,106.55,107.70,105.65, 106.35,106.35,59992,64.22
22-Jul-2011,106.70,108.50,105.50, 105.95,105.90,80334,85.86
21-Jul-2011,108.80,113.70,104.15, 105.00,105.50,260908,284.81
20-Jul-2011,105.90,116.80,105.00, 107.55,108.65,578046,642.71
19-Jul-2011,107.25,108.10,104.60, 104.60,105.45,17254,18.32
18-Jul-2011,109.25,109.50,106.50, 107.50,107.30,45476,49.09
15-Jul-2011,106.50,109.80,106.10, 107.70,107.80,156113,168.67
14-Jul-2011,103.00,107.25,101.50, 104.85,105.45,660409,693.18
13-Jul-2011,103.00,104.40,102.50, 102.50,103.00,7887,8.17
12-Jul-2011,103.25,105.35,103.20, 104.00,104.00,206633,215.32
11-Jul-2011,105.65,106.70,103.65, 104.85,104.40,20117,21.13
08-Jul-2011,107.10,108.00,104.50, 107.00,105.65,21768,23.16
07-Jul-2011,109.40,110.00,105.40, 106.25,106.30,31393,33.84
06-Jul-2011,108.95,112.50,107.00, 109.00,108.85,49739,54.48
05-Jul-2011,111.10,111.60,108.25, 108.40,109.25,21132,23.25
04-Jul-2011,109.75,113.00,109.50, 110.40,110.40,45160,50.23
01-Jul-2011,104.80,109.50,103.50, 108.50,109.00,126717,136.52
30-Jun-2011,101.60,106.50,101.50, 103.00,103.30,93603,97.24
29-Jun-2011,102.00,102.90,101.30, 101.90,102.65,104390,106.96
28-Jun-2011,103.70,103.70,100.40, 100.55,101.75,159148,161.99
27-Jun-2011,102.00,103.40,101.00, 102.45,103.05,183813,189.16
24-Jun-2011,104.20,104.20,100.50, 101.50,102.85,221570,227.66
23-Jun-2011,104.00,104.80,101.30, 102.50,104.05,157061,162.62
22-Jun-2011,106.05,106.80,101.10, 101.60,104.40,140884,146.87
21-Jun-2011,104.75,106.80,102.35, 104.25,105.55,163301,172.03
20-Jun-2011,109.70,109.90,100.00, 103.10,103.60,39228,41.50
17-Jun-2011,109.10,110.35,103.50, 108.05,109.50,207580,226.50
16-Jun-2011,111.10,111.40,107.80, 108.70,108.95,53463,58.80
15-Jun-2011,113.10,113.10,109.75, 110.10,111.55,175543,195.55
14-Jun-2011,112.40,112.95,108.55, 110.05,112.35,345673,387.15
13-Jun-2011,114.50,117.15,99.50, 112.00,112.40,768764,854.05
10-Jun-2011,106.90,114.65,106.20, 113.95,113.80,713048,800.35
09-Jun-2011,106.80,106.80,104.10, 105.45,106.35,147908,156.92
08-Jun-2011,105.10,106.00,103.80, 105.70,105.20,69716,73.23
07-Jun-2011,106.50,108.40,104.00, 104.00,105.05,72231,76.80
06-Jun-2011,103.50,106.90,97.30, 106.70,106.05,161251,169.72
03-Jun-2011,106.00,108.60,104.10, 104.75,104.65,171897,181.88
02-Jun-2011,106.05,112.80,103.40, 103.80,105.05,244044,263.88
01-Jun-2011,107.40,109.90,105.55, 107.50,107.55,104711,113.11
31-May-2011,110.10,111.00,106.35, 106.60,107.15,76374,82.90
30-May-2011,113.35,113.95,109.00, 109.50,109.95,143754,160.22
