Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,560.00,574.90,560.00, 560.00,563.65,205,1.16
29-Dec-2011,542.00,542.00,542.00, 542.00,542.00,2,0.01
28-Dec-2011,560.00,570.00,560.00, 570.00,570.00,22,0.12
27-Dec-2011,517.05,567.95,517.05, 558.00,556.50,888,4.87
23-Dec-2011,527.00,535.00,525.00, 525.00,525.00,215,1.13
22-Dec-2011,525.00,540.00,525.00, 540.00,540.00,1302,7.03
21-Dec-2011,527.00,527.00,525.00, 525.00,525.00,69,0.36
20-Dec-2011,567.30,567.30,510.00, 511.10,511.00,128,0.66
19-Dec-2011,525.00,560.00,482.55, 560.00,544.40,1191,6.31
16-Dec-2011,525.00,530.00,525.00, 525.00,525.00,909,4.78
15-Dec-2011,515.00,515.00,515.00, 515.00,515.00,101,0.52
14-Dec-2011,525.05,525.05,525.00, 525.00,525.00,398,2.09
13-Dec-2011,528.00,539.00,527.00, 527.00,527.00,38,0.20
12-Dec-2011,527.80,527.80,525.05, 525.05,527.40,13,0.07
09-Dec-2011,545.00,545.00,525.05, 525.05,525.05,352,1.85
08-Dec-2011,535.55,536.00,522.10, 522.10,522.10,187,1.00
07-Dec-2011,525.00,574.00,513.00, 574.00,563.10,2118,11.81
05-Dec-2011,559.00,559.00,509.00, 533.70,533.70,414,2.20
02-Dec-2011,520.00,587.00,509.00, 529.00,532.70,620,3.31
01-Dec-2011,536.00,544.95,535.00, 544.95,544.95,109,0.59
30-Nov-2011,520.00,520.00,520.00, 520.00,520.00,27,0.14
29-Nov-2011,536.00,536.40,536.00, 536.40,536.20,2,0.01
28-Nov-2011,540.00,540.00,505.00, 538.00,505.50,217,1.12
25-Nov-2011,490.00,570.00,490.00, 501.15,503.10,319,1.60
24-Nov-2011,550.00,550.00,480.00, 490.00,490.05,550,2.67
23-Nov-2011,526.10,560.00,503.00, 507.00,509.65,474,2.42
22-Nov-2011,550.00,550.00,534.20, 534.20,534.20,475,2.61
21-Nov-2011,580.00,587.00,550.00, 550.00,550.00,355,2.02
17-Nov-2011,575.60,612.00,575.60, 612.00,603.55,517,3.10
16-Nov-2011,601.20,601.20,591.00, 591.00,597.75,136,0.82
15-Nov-2011,642.00,650.00,615.00, 619.00,619.00,553,3.51
14-Nov-2011,641.60,650.00,641.60, 645.00,645.00,293,1.89
11-Nov-2011,662.05,662.05,653.00, 653.20,653.20,244,1.60
09-Nov-2011,673.00,673.00,673.00, 673.00,673.00,67,0.45
08-Nov-2011,684.00,684.00,660.00, 665.05,667.50,129,0.86
04-Nov-2011,680.35,689.00,680.35, 683.05,683.05,22,0.15
03-Nov-2011,695.00,695.00,695.00, 695.00,695.00,20,0.14
01-Nov-2011,702.00,702.00,702.00, 702.00,702.00,4,0.03
31-Oct-2011,702.00,702.05,702.00, 702.00,702.00,251,1.76
28-Oct-2011,686.05,686.05,686.05, 686.05,686.05,1,0.01
25-Oct-2011,681.55,682.05,681.55, 682.05,682.05,26,0.18
24-Oct-2011,700.00,725.00,700.00, 700.00,700.00,99,0.70
20-Oct-2011,701.00,701.00,700.00, 700.00,700.00,131,0.92
19-Oct-2011,701.00,701.00,700.00, 700.10,700.70,1702,11.93
18-Oct-2011,717.00,717.00,702.00, 717.00,717.00,4,0.03
17-Oct-2011,709.00,717.00,709.00, 717.00,717.00,12,0.09
14-Oct-2011,724.00,724.00,700.00, 705.00,705.00,174,1.23
13-Oct-2011,700.00,710.00,700.00, 710.00,710.00,43,0.30
12-Oct-2011,700.00,700.00,700.00, 700.00,700.00,95,0.66
11-Oct-2011,700.00,700.50,700.00, 700.00,700.00,923,6.46
10-Oct-2011,700.00,700.00,700.00, 700.00,700.00,203,1.42
07-Oct-2011,700.00,710.00,700.00, 705.00,705.00,673,4.71
05-Oct-2011,700.00,700.00,700.00, 700.00,700.00,141,0.99
04-Oct-2011,679.00,699.00,679.00, 699.00,689.40,5,0.03
03-Oct-2011,700.00,720.00,700.00, 700.00,700.00,225,1.58
30-Sep-2011,650.35,710.00,650.35, 710.00,710.00,1698,11.99
29-Sep-2011,682.05,682.05,681.00, 681.00,681.00,200,1.36
28-Sep-2011,687.00,698.95,687.00, 687.00,687.00,220,1.51
27-Sep-2011,680.00,700.20,680.00, 700.00,699.95,155,1.08
26-Sep-2011,701.00,701.00,700.00, 700.00,700.00,1864,13.05
23-Sep-2011,700.00,700.00,700.00, 700.00,700.00,151,1.06
22-Sep-2011,707.00,707.00,707.00, 707.00,707.00,5,0.04
21-Sep-2011,700.05,720.00,700.05, 720.00,706.95,54,0.38
20-Sep-2011,711.05,719.95,700.00, 710.00,710.00,133,0.94
19-Sep-2011,755.00,755.00,710.00, 710.00,716.35,352,2.55
16-Sep-2011,701.00,710.00,700.00, 710.00,710.00,2848,19.97
15-Sep-2011,690.00,719.45,690.00, 700.00,700.00,154,1.08
14-Sep-2011,700.00,719.95,700.00, 701.50,701.50,6053,42.43
13-Sep-2011,700.00,705.00,700.00, 705.00,705.00,388,2.72
12-Sep-2011,695.00,696.00,690.00, 695.05,695.05,55,0.38
09-Sep-2011,702.50,710.00,702.00, 710.00,709.65,171,1.21
08-Sep-2011,700.25,719.95,700.00, 700.05,700.35,572,4.02
07-Sep-2011,729.00,729.00,700.00, 726.95,726.95,369,2.65
06-Sep-2011,700.00,705.00,690.05, 690.05,693.15,122,0.85
05-Sep-2011,700.00,719.95,695.00, 695.00,702.50,174,1.23
02-Sep-2011,725.00,725.00,702.00, 712.00,714.35,54,0.38
30-Aug-2011,697.00,725.00,697.00, 725.00,718.80,443,3.17
29-Aug-2011,701.65,710.00,700.00, 700.00,700.95,383,2.69
26-Aug-2011,700.05,700.05,700.05, 700.05,700.05,71,0.50
25-Aug-2011,729.95,729.95,700.25, 701.10,701.10,547,3.83
24-Aug-2011,729.95,729.95,701.00, 701.00,722.65,63,0.46
23-Aug-2011,700.00,734.00,690.55, 709.00,708.95,690,4.95
22-Aug-2011,710.00,740.00,687.25, 740.00,715.00,1060,7.46
19-Aug-2011,668.00,712.00,668.00, 710.00,710.00,1156,8.08
18-Aug-2011,690.55,703.90,690.05, 695.00,695.00,348,2.41
17-Aug-2011,702.60,702.60,702.60, 702.60,702.60,220,1.55
16-Aug-2011,700.00,710.00,700.00, 710.00,710.00,245,1.74
12-Aug-2011,740.00,740.00,702.00, 702.50,703.10,71,0.50
11-Aug-2011,694.05,709.00,694.05, 695.15,698.00,31,0.22
10-Aug-2011,700.00,715.00,693.55, 703.00,704.00,48,0.34
09-Aug-2011,700.00,700.10,651.15, 700.10,700.10,597,4.16
08-Aug-2011,700.00,705.00,700.00, 701.00,701.00,199,1.39
05-Aug-2011,700.00,700.00,700.00, 700.00,700.00,81,0.57
04-Aug-2011,725.00,725.00,710.00, 710.00,710.00,31,0.22
03-Aug-2011,731.95,731.95,720.00, 720.00,720.00,4,0.03
02-Aug-2011,715.10,717.00,715.10, 715.10,715.10,165,1.18
01-Aug-2011,747.95,748.00,712.00, 715.00,719.20,792,5.77
29-Jul-2011,720.05,720.05,720.00, 720.00,720.00,49,0.35
28-Jul-2011,734.95,734.95,722.35, 724.45,724.45,134,0.98
27-Jul-2011,736.50,750.00,730.00, 735.00,735.00,1007,7.39
26-Jul-2011,716.00,757.95,716.00, 750.00,752.70,5056,38.15
25-Jul-2011,760.00,760.00,750.00, 750.00,750.00,1760,13.36
