Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,3.00,3.00,2.65, 2.95,2.95,36817,1.05
29-Dec-2011,2.80,3.00,2.80, 3.00,2.95,3310,0.10
28-Dec-2011,2.90,3.05,2.90, 2.90,2.90,14585,0.43
27-Dec-2011,2.80,3.05,2.80, 2.95,3.00,14884,0.45
26-Dec-2011,2.95,3.05,2.90, 2.90,2.95,12771,0.38
23-Dec-2011,2.95,3.15,2.80, 2.80,2.95,27972,0.82
22-Dec-2011,2.60,3.00,2.55, 3.00,2.90,25106,0.70
21-Dec-2011,2.70,2.75,2.65, 2.70,2.70,12569,0.34
20-Dec-2011,2.65,2.80,2.60, 2.65,2.65,11356,0.31
19-Dec-2011,2.70,2.80,2.60, 2.80,2.75,25170,0.68
16-Dec-2011,3.00,3.00,2.70, 2.85,2.80,25136,0.71
15-Dec-2011,2.90,2.90,2.65, 2.70,2.80,20127,0.55
14-Dec-2011,2.90,2.95,2.70, 2.85,2.85,34937,0.98
13-Dec-2011,2.80,2.95,2.80, 2.85,2.85,10723,0.31
12-Dec-2011,3.00,3.15,2.75, 2.75,2.80,16963,0.49
09-Dec-2011,3.00,3.00,2.90, 3.00,2.95,36737,1.08
08-Dec-2011,3.25,3.25,2.95, 2.95,3.05,13447,0.41
07-Dec-2011,3.10,3.15,3.05, 3.10,3.10,15737,0.48
05-Dec-2011,3.00,3.20,3.00, 3.05,3.05,16390,0.51
02-Dec-2011,3.20,3.20,3.00, 3.10,3.15,27204,0.85
01-Dec-2011,3.30,3.30,3.10, 3.15,3.15,36428,1.17
30-Nov-2011,3.20,3.20,3.10, 3.15,3.15,21583,0.68
29-Nov-2011,3.05,3.25,3.05, 3.25,3.20,48254,1.52
28-Nov-2011,3.00,3.25,3.00, 3.05,3.10,36252,1.12
25-Nov-2011,2.80,3.05,2.80, 3.00,2.95,82056,2.45
24-Nov-2011,2.90,3.10,2.80, 2.90,2.90,106841,3.10
23-Nov-2011,2.85,2.90,2.65, 2.85,2.80,242071,6.60
22-Nov-2011,2.80,2.95,2.70, 2.95,2.80,108137,3.10
21-Nov-2011,2.95,3.10,2.65, 2.85,2.80,160696,4.67
18-Nov-2011,3.25,3.25,2.60, 2.90,2.90,445677,12.27
17-Nov-2011,3.35,3.50,3.25, 3.35,3.25,84351,2.83
16-Nov-2011,3.50,3.60,3.15, 3.35,3.45,131599,4.47
15-Nov-2011,3.90,3.95,3.40, 3.40,3.45,77008,2.74
14-Nov-2011,4.00,4.00,3.75, 3.75,3.75,75508,2.95
11-Nov-2011,4.00,4.10,3.90, 3.90,3.95,53495,2.11
09-Nov-2011,4.05,4.20,3.95, 4.20,4.00,66803,2.67
08-Nov-2011,4.15,4.20,3.95, 3.95,4.00,149034,5.99
04-Nov-2011,4.10,4.20,4.00, 4.05,4.10,59829,2.46
03-Nov-2011,4.10,4.20,4.05, 4.20,4.10,28592,1.18
02-Nov-2011,4.10,4.35,4.10, 4.20,4.20,91774,3.85
01-Nov-2011,4.15,4.45,4.15, 4.15,4.20,101116,4.31
31-Oct-2011,4.50,4.55,4.20, 4.30,4.30,65306,2.87
28-Oct-2011,4.60,4.60,4.40, 4.45,4.45,40399,1.80
26-Oct-2011,4.25,4.60,4.25, 4.45,4.50,20671,0.93
25-Oct-2011,4.30,4.40,4.20, 4.25,4.25,49869,2.14
24-Oct-2011,4.50,4.60,4.35, 4.35,4.40,35164,1.57
21-Oct-2011,4.50,4.60,4.35, 4.45,4.45,13459,0.60
20-Oct-2011,4.45,4.55,4.25, 4.35,4.50,44033,1.93
19-Oct-2011,4.50,4.60,4.40, 4.45,4.45,20000,0.90
18-Oct-2011,4.50,4.50,4.30, 4.45,4.45,29843,1.33
17-Oct-2011,4.60,4.60,4.50, 4.50,4.50,34200,1.55
14-Oct-2011,4.65,4.70,4.50, 4.60,4.50,49083,2.24
13-Oct-2011,4.50,4.60,4.45, 4.50,4.55,30374,1.38
12-Oct-2011,4.40,4.60,4.40, 4.55,4.55,37310,1.69
11-Oct-2011,4.50,4.50,4.45, 4.50,4.45,61235,2.74
10-Oct-2011,4.30,4.55,4.30, 4.45,4.45,56101,2.51
07-Oct-2011,4.25,4.55,4.25, 4.45,4.45,71281,3.16
05-Oct-2011,4.65,4.65,4.25, 4.25,4.30,86259,3.76
04-Oct-2011,4.50,4.55,4.30, 4.40,4.40,35279,1.56
03-Oct-2011,4.50,4.80,4.25, 4.25,4.30,70383,3.12
30-Sep-2011,4.90,4.95,4.50, 4.70,4.65,57315,2.68
29-Sep-2011,4.55,5.00,4.55, 4.90,4.85,36718,1.79
28-Sep-2011,4.70,5.10,4.70, 4.70,4.70,73024,3.53
27-Sep-2011,5.00,5.05,4.85, 4.95,4.95,38892,1.93
26-Sep-2011,4.80,4.95,4.70, 4.80,4.80,41145,1.97
23-Sep-2011,4.75,4.80,4.50, 4.65,4.65,67925,3.14
22-Sep-2011,5.00,5.05,4.85, 4.85,4.85,22664,1.12
21-Sep-2011,5.20,5.25,5.00, 5.00,5.05,44107,2.24
20-Sep-2011,5.30,5.35,5.00, 5.10,5.05,47454,2.43
19-Sep-2011,5.35,5.35,5.00, 5.05,5.05,68228,3.49
16-Sep-2011,5.05,5.25,5.00, 5.05,5.00,28601,1.46
15-Sep-2011,4.90,5.25,4.90, 5.05,5.05,12068,0.63
14-Sep-2011,5.25,5.30,4.90, 5.10,5.00,38349,1.95
13-Sep-2011,5.00,5.30,5.00, 5.00,5.00,67161,3.45
12-Sep-2011,5.05,5.30,5.00, 5.00,5.10,39164,2.01
09-Sep-2011,5.35,5.60,5.05, 5.20,5.25,82414,4.38
08-Sep-2011,5.50,5.50,5.10, 5.30,5.25,41914,2.20
07-Sep-2011,5.30,5.40,5.05, 5.30,5.15,56986,2.99
06-Sep-2011,5.25,5.30,5.00, 5.15,5.10,53367,2.74
05-Sep-2011,4.55,5.20,4.55, 5.00,4.95,48729,2.42
02-Sep-2011,5.05,5.15,4.90, 4.90,4.95,68569,3.41
30-Aug-2011,4.75,5.20,4.60, 4.95,5.00,127375,6.30
29-Aug-2011,4.55,4.75,4.55, 4.60,4.65,6508,0.30
26-Aug-2011,4.30,4.60,4.30, 4.50,4.50,11513,0.52
25-Aug-2011,4.45,4.75,4.40, 4.50,4.50,27168,1.24
24-Aug-2011,4.20,4.85,4.20, 4.85,4.75,26922,1.27
23-Aug-2011,4.50,4.70,4.40, 4.55,4.55,31917,1.45
22-Aug-2011,4.15,4.50,4.15, 4.50,4.40,35677,1.57
19-Aug-2011,4.25,4.50,4.00, 4.30,4.20,60948,2.54
18-Aug-2011,4.30,4.45,4.20, 4.20,4.20,39681,1.69
17-Aug-2011,4.50,4.80,4.40, 4.40,4.45,44224,2.02
16-Aug-2011,4.60,4.90,4.50, 4.50,4.50,14515,0.67
12-Aug-2011,4.85,4.90,4.65, 4.80,4.75,58247,2.80
