Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,47.40,47.40,45.50, 46.15,45.95,54059,24.87
29-Dec-2011,46.75,46.75,45.70, 46.45,45.95,59864,27.56
28-Dec-2011,46.80,46.80,45.90, 45.95,46.05,66468,30.67
27-Dec-2011,47.00,47.75,45.50, 46.00,46.00,104734,48.20
26-Dec-2011,50.90,50.90,45.95, 46.45,46.30,22903,10.57
23-Dec-2011,46.95,46.95,45.65, 46.80,46.00,102258,47.29
22-Dec-2011,47.45,47.45,45.65, 46.35,46.20,38507,17.78
21-Dec-2011,46.90,47.20,45.60, 45.60,45.85,121389,55.81
20-Dec-2011,46.65,46.95,45.40, 46.05,45.90,24613,11.31
19-Dec-2011,47.50,49.85,45.40, 46.00,46.05,200763,92.64
16-Dec-2011,47.95,47.95,46.25, 46.50,46.80,27106,12.70
15-Dec-2011,46.50,48.00,45.45, 46.85,46.25,26894,12.42
14-Dec-2011,47.60,47.60,44.35, 46.80,45.80,329890,150.76
13-Dec-2011,48.90,48.90,46.25, 46.30,46.40,16116,7.60
12-Dec-2011,48.65,48.65,46.05, 47.50,46.60,56257,26.56
09-Dec-2011,49.50,49.50,46.70, 48.30,47.55,75209,35.95
08-Dec-2011,49.80,50.95,48.60, 49.00,48.90,89808,44.02
07-Dec-2011,49.30,50.40,48.15, 49.25,48.95,46351,22.68
05-Dec-2011,49.30,51.95,46.55, 47.70,47.40,26284,12.68
02-Dec-2011,48.10,48.60,47.80, 47.95,47.95,118937,57.14
01-Dec-2011,48.45,49.00,47.60, 48.20,47.95,114009,54.84
30-Nov-2011,47.15,47.35,44.25, 47.25,46.80,275284,127.33
29-Nov-2011,47.95,47.95,46.75, 47.00,46.95,205772,96.98
28-Nov-2011,48.85,48.85,47.05, 47.50,47.45,334625,159.44
25-Nov-2011,47.20,47.95,46.50, 47.20,46.90,84481,39.77
24-Nov-2011,50.00,50.00,46.80, 47.20,46.90,170434,80.27
23-Nov-2011,48.40,49.00,46.95, 47.15,47.30,154717,73.63
22-Nov-2011,49.35,49.35,47.00, 47.00,47.40,61687,29.57
21-Nov-2011,49.00,49.25,47.55, 48.00,47.80,68891,33.33
18-Nov-2011,49.50,49.50,48.50, 49.00,48.75,184655,90.40
17-Nov-2011,49.75,49.75,48.25, 49.50,49.45,286320,140.35
16-Nov-2011,49.00,49.45,47.75, 49.00,48.65,88666,43.19
15-Nov-2011,50.00,50.00,48.50, 48.55,48.55,67089,32.90
14-Nov-2011,51.40,51.40,49.00, 49.70,49.20,50567,24.97
11-Nov-2011,49.70,49.75,49.00, 49.05,49.30,143075,70.44
09-Nov-2011,49.25,49.95,48.10, 49.25,49.25,91336,44.96
08-Nov-2011,51.00,51.00,48.75, 48.75,49.05,65685,32.43
04-Nov-2011,48.75,49.95,47.90, 49.75,49.30,60785,29.79
03-Nov-2011,49.05,50.25,48.05, 48.05,48.75,113580,56.08
02-Nov-2011,48.50,50.50,48.00, 48.70,48.30,25514,12.39
01-Nov-2011,50.10,51.55,46.95, 48.75,48.55,29827,14.39
31-Oct-2011,49.00,49.00,45.25, 47.45,47.25,52775,24.69
28-Oct-2011,51.00,51.00,46.00, 46.50,46.45,50588,23.70
26-Oct-2011,48.90,48.95,46.25, 46.55,47.30,29302,14.03
25-Oct-2011,46.00,49.40,46.00, 47.50,47.70,179471,86.25
24-Oct-2011,46.30,46.30,44.35, 45.95,45.75,61931,28.07
21-Oct-2011,44.00,44.75,43.70, 44.50,44.15,47189,20.76
20-Oct-2011,43.25,45.00,43.10, 43.95,43.80,25185,11.07
19-Oct-2011,42.60,45.00,42.35, 43.50,43.50,287935,123.99
18-Oct-2011,42.65,43.50,42.35, 42.45,42.60,15254,6.50
17-Oct-2011,42.60,43.90,42.25, 42.50,42.50,47069,20.14
14-Oct-2011,43.00,43.00,42.40, 42.65,42.60,51516,21.98
13-Oct-2011,45.00,45.00,42.45, 42.90,42.65,29608,12.68
12-Oct-2011,42.40,42.90,42.35, 42.75,42.55,151110,64.32
11-Oct-2011,42.90,42.90,42.20, 42.40,42.30,61424,26.14
10-Oct-2011,42.30,43.70,42.10, 42.45,42.35,42672,18.10
07-Oct-2011,42.25,42.95,42.05, 42.20,42.25,135440,57.22
05-Oct-2011,44.00,44.00,42.15, 42.25,42.25,124648,52.71
04-Oct-2011,42.25,43.25,42.10, 42.25,42.20,66390,28.09
03-Oct-2011,42.95,42.95,42.00, 42.20,42.15,20372,8.61
30-Sep-2011,50.00,50.00,42.10, 42.20,42.20,34723,14.74
29-Sep-2011,42.25,42.70,41.80, 42.00,42.15,195318,82.31
28-Sep-2011,42.50,42.90,41.95, 41.95,42.00,32974,13.89
27-Sep-2011,42.25,42.40,41.95, 42.05,42.05,89123,37.51
26-Sep-2011,42.50,42.55,42.05, 42.20,42.20,66550,28.12
23-Sep-2011,43.00,45.00,42.05, 42.15,42.25,118377,50.11
22-Sep-2011,42.50,46.95,42.05, 42.40,42.20,97169,41.07
21-Sep-2011,42.55,42.70,42.30, 42.70,42.50,30775,13.07
20-Sep-2011,42.65,42.75,42.00, 42.50,42.35,54855,23.24
19-Sep-2011,43.50,43.50,42.35, 42.50,42.50,30549,13.01
16-Sep-2011,48.00,48.00,42.50, 42.50,42.50,783,0.33
15-Sep-2011,42.65,42.65,42.35, 42.50,42.45,6400,2.72
14-Sep-2011,42.50,42.90,42.20, 42.50,42.50,42562,18.07
13-Sep-2011,42.60,43.50,41.95, 41.95,42.10,56753,24.11
12-Sep-2011,42.60,43.00,42.25, 42.30,42.45,21011,8.92
09-Sep-2011,42.60,42.70,42.30, 42.45,42.45,7153,3.04
08-Sep-2011,43.00,43.25,42.25, 42.60,42.50,99838,42.46
07-Sep-2011,42.50,42.85,42.20, 42.60,42.45,73484,31.18
06-Sep-2011,42.60,42.85,42.30, 42.35,42.60,33147,14.11
05-Sep-2011,43.25,43.25,42.25, 42.50,42.30,27810,11.88
02-Sep-2011,44.00,44.00,42.70, 43.25,43.00,133158,57.37
30-Aug-2011,43.25,43.45,42.60, 43.30,42.80,123445,53.06
29-Aug-2011,43.25,43.40,42.60, 42.60,42.85,46257,19.96
26-Aug-2011,44.25,44.70,41.20, 43.00,42.75,169537,72.91
25-Aug-2011,43.00,44.50,42.95, 44.00,43.70,473720,207.36
24-Aug-2011,42.25,43.50,42.15, 43.00,43.00,102451,43.71
23-Aug-2011,42.90,42.90,42.00, 42.50,42.40,61859,26.25
22-Aug-2011,42.45,46.00,42.05, 42.35,42.15,65938,27.94
19-Aug-2011,43.00,44.85,41.80, 42.20,42.10,579206,249.41
18-Aug-2011,42.05,42.95,42.05, 42.50,42.35,85122,36.06
17-Aug-2011,42.90,42.90,42.25, 42.60,42.60,55210,23.52
16-Aug-2011,42.60,42.75,42.00, 42.50,42.10,32226,13.59
12-Aug-2011,42.80,42.80,42.00, 42.00,42.00,64597,27.16
11-Aug-2011,42.50,42.80,42.00, 42.75,42.40,30422,12.83
10-Aug-2011,42.50,42.90,42.00, 42.00,42.25,147230,62.55
09-Aug-2011,43.65,43.65,42.00, 42.45,42.45,183142,77.40
08-Aug-2011,42.35,42.40,41.95, 42.40,42.10,121041,50.96
05-Aug-2011,42.60,43.00,42.00, 42.15,42.05,116475,49.15
04-Aug-2011,42.70,42.80,41.55, 42.00,42.20,304164,129.59
03-Aug-2011,49.70,49.70,42.30, 42.30,42.35,42963,18.28
02-Aug-2011,42.75,42.75,42.30, 42.50,42.50,334100,141.99
01-Aug-2011,42.80,42.80,42.40, 42.40,42.50,123349,52.56
29-Jul-2011,42.65,43.00,42.20, 42.45,42.55,226156,96.61
28-Jul-2011,42.70,42.80,42.50, 42.75,42.75,18962,8.11
27-Jul-2011,42.70,42.95,42.50, 42.95,42.70,30902,13.21
26-Jul-2011,43.00,43.00,42.45, 42.60,42.60,83030,35.50
25-Jul-2011,42.50,43.00,42.50, 43.00,42.75,72180,30.88
22-Jul-2011,42.70,43.00,42.45, 42.60,42.55,133907,57.17
21-Jul-2011,42.85,43.20,42.05, 42.70,42.65,88602,37.67
20-Jul-2011,42.90,43.00,42.20, 42.80,42.85,235905,100.97
19-Jul-2011,44.95,45.00,40.00, 43.00,42.20,190690,81.47
18-Jul-2011,42.80,43.00,42.40, 42.50,42.65,194498,83.20
15-Jul-2011,42.00,43.00,42.00, 42.95,42.80,241823,103.58
14-Jul-2011,42.60,43.00,42.55, 43.00,43.00,65400,27.94
13-Jul-2011,42.80,43.20,42.10, 42.70,42.50,188614,80.96
12-Jul-2011,42.95,43.40,42.25, 42.50,42.45,70497,30.26
11-Jul-2011,43.50,43.50,42.80, 42.90,43.05,220942,95.03
08-Jul-2011,42.90,43.20,42.55, 42.55,42.90,155349,66.80
07-Jul-2011,42.70,43.20,42.70, 42.90,42.90,94619,40.62
06-Jul-2011,43.00,43.00,42.45, 42.60,42.75,40714,17.38
05-Jul-2011,42.75,43.50,42.20, 43.30,42.80,144389,61.88
04-Jul-2011,42.75,42.75,42.50, 42.55,42.55,33942,14.49
01-Jul-2011,42.75,42.95,42.50, 42.75,42.75,92754,39.71
30-Jun-2011,42.95,42.95,42.70, 42.80,42.75,176519,75.52
29-Jun-2011,43.00,43.25,42.05, 42.50,42.75,191669,81.82
28-Jun-2011,42.50,43.20,42.45, 42.70,42.90,400860,171.62
27-Jun-2011,42.25,42.85,41.95, 42.50,42.50,344080,145.87
24-Jun-2011,42.50,43.35,41.90, 41.90,42.10,448075,190.92
23-Jun-2011,43.00,43.60,41.80, 42.50,42.55,127613,53.97
