Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,509.00,509.00,498.05, 504.50,503.25,3000,15.01
29-Dec-2011,505.00,515.00,495.65, 505.00,502.10,959,4.82
28-Dec-2011,500.20,508.00,500.20, 504.00,504.20,884,4.46
27-Dec-2011,500.25,510.00,500.00, 503.00,503.45,340,1.72
26-Dec-2011,500.00,512.20,496.60, 500.00,500.70,1295,6.50
23-Dec-2011,507.05,512.95,496.60, 503.00,500.90,1698,8.55
22-Dec-2011,503.75,515.00,495.00, 510.00,513.95,11818,59.37
21-Dec-2011,504.20,517.20,495.10, 499.95,498.95,7590,38.14
20-Dec-2011,508.00,508.00,502.00, 503.00,503.70,3569,17.98
19-Dec-2011,500.00,505.00,500.00, 505.00,504.50,3592,18.04
16-Dec-2011,517.20,519.05,503.05, 505.00,504.85,28071,142.80
15-Dec-2011,520.00,520.00,500.00, 509.50,511.20,10164,51.58
14-Dec-2011,525.00,537.90,520.00, 520.00,523.20,1946,10.24
13-Dec-2011,529.00,537.85,525.00, 525.00,528.90,3676,19.63
12-Dec-2011,524.00,540.00,524.00, 540.00,536.60,24395,130.38
09-Dec-2011,533.45,545.05,533.00, 535.05,535.60,2276,12.31
08-Dec-2011,544.50,544.50,535.05, 535.10,535.20,1055,5.66
07-Dec-2011,531.00,555.00,531.00, 540.30,544.25,9797,53.76
05-Dec-2011,534.00,553.00,530.30, 545.10,548.40,7076,38.48
02-Dec-2011,543.00,543.00,529.15, 529.15,533.45,1539,8.24
01-Dec-2011,522.20,544.50,522.20, 535.95,535.15,16302,87.19
30-Nov-2011,529.00,533.75,513.20, 520.00,519.90,2976,15.60
29-Nov-2011,521.00,529.85,512.55, 515.00,517.80,1396,7.27
28-Nov-2011,529.90,529.90,519.50, 529.00,525.45,1984,10.40
25-Nov-2011,519.90,533.00,514.05, 520.00,520.30,2112,11.07
24-Nov-2011,509.00,519.10,509.00, 518.00,517.60,1530,7.87
23-Nov-2011,537.00,537.00,509.00, 512.00,513.00,32448,165.55
22-Nov-2011,487.00,515.00,487.00, 512.00,510.05,1279,6.53
21-Nov-2011,524.90,524.90,505.00, 507.00,509.40,4346,22.19
18-Nov-2011,510.55,517.00,510.55, 515.00,515.25,1942,9.98
17-Nov-2011,525.95,525.95,510.25, 512.50,515.65,1882,9.72
16-Nov-2011,520.00,526.00,510.00, 526.00,518.00,21762,112.33
15-Nov-2011,533.00,538.00,520.00, 520.50,520.70,1851,9.75
14-Nov-2011,538.95,539.00,526.00, 526.50,527.00,1033,5.52
11-Nov-2011,549.95,549.95,528.85, 529.10,532.05,3707,19.79
09-Nov-2011,552.55,559.95,536.00, 536.00,543.05,4527,24.91
08-Nov-2011,570.00,573.40,553.50, 561.00,559.35,1534,8.68
04-Nov-2011,539.75,572.70,539.75, 572.65,567.75,13205,74.05
03-Nov-2011,515.00,562.05,514.20, 555.00,546.70,17897,97.03
02-Nov-2011,510.00,525.00,510.00, 524.90,520.30,7789,40.11
01-Nov-2011,502.85,517.00,495.00, 513.00,514.65,23956,122.84
31-Oct-2011,522.60,525.00,502.00, 504.05,507.90,11802,60.95
28-Oct-2011,509.90,522.00,505.55, 520.00,519.70,103863,536.07
26-Oct-2011,513.85,513.85,502.15, 509.90,508.35,245,1.24
25-Oct-2011,486.00,512.50,486.00, 512.50,506.30,2756,13.86
24-Oct-2011,501.10,509.80,495.00, 495.00,497.00,3039,15.22
