Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,134.00,138.95,126.30, 136.90,126.35,2098,2.66
29-Dec-2011,132.00,138.00,131.10, 138.00,137.80,314,0.43
28-Dec-2011,130.10,131.15,130.10, 131.15,131.15,103,0.13
27-Dec-2011,132.00,135.00,129.00, 132.15,134.65,91,0.12
26-Dec-2011,125.00,125.05,125.00, 125.00,125.00,75,0.09
23-Dec-2011,134.90,135.00,128.00, 128.00,128.00,362,0.48
22-Dec-2011,123.05,123.05,123.00, 123.05,123.05,262,0.32
21-Dec-2011,123.00,123.15,123.00, 123.15,123.15,16,0.02
20-Dec-2011,128.00,128.00,125.00, 125.00,125.40,110,0.14
19-Dec-2011,130.00,137.95,128.10, 128.10,128.10,217,0.28
16-Dec-2011,145.50,145.50,130.10, 130.10,131.15,102,0.14
15-Dec-2011,133.05,136.00,130.05, 131.15,131.15,488,0.65
14-Dec-2011,136.05,136.05,136.00, 136.00,136.00,253,0.34
13-Dec-2011,134.15,142.55,134.15, 134.15,134.15,1080,1.45
09-Dec-2011,137.10,137.10,137.10, 137.10,137.10,1,0.00
08-Dec-2011,136.25,136.25,136.00, 136.00,136.00,252,0.34
07-Dec-2011,136.55,146.35,136.30, 144.95,140.45,300,0.43
05-Dec-2011,140.00,143.75,140.00, 142.80,142.75,1069,1.53
02-Dec-2011,135.55,142.95,135.55, 136.15,140.90,44,0.06
01-Dec-2011,137.00,143.70,137.00, 137.00,137.00,938,1.29
30-Nov-2011,139.95,140.00,139.95, 140.00,140.00,2,0.00
29-Nov-2011,130.35,143.00,130.35, 143.00,133.25,153,0.20
28-Nov-2011,135.00,135.00,122.00, 134.00,134.00,98,0.13
25-Nov-2011,136.10,136.10,135.00, 135.05,135.20,424,0.57
24-Nov-2011,138.00,144.60,132.00, 135.30,135.30,237,0.33
23-Nov-2011,143.00,149.75,138.00, 138.00,138.30,789,1.11
22-Nov-2011,137.00,141.10,137.00, 141.05,141.05,44,0.06
21-Nov-2011,140.00,141.10,140.00, 141.10,141.10,38,0.05
18-Nov-2011,141.00,143.80,141.00, 141.20,141.20,926,1.31
17-Nov-2011,141.00,143.95,141.00, 143.95,143.95,158,0.22
16-Nov-2011,140.00,140.05,140.00, 140.05,140.05,66,0.09
15-Nov-2011,141.00,144.00,140.00, 140.00,140.00,115,0.16
14-Nov-2011,142.00,142.00,141.05, 141.50,141.50,11241,15.87
11-Nov-2011,145.95,145.95,141.25, 142.00,142.00,5253,7.43
09-Nov-2011,142.00,144.15,141.90, 144.15,144.15,147,0.21
08-Nov-2011,142.95,144.65,140.00, 141.30,144.55,890,1.25
04-Nov-2011,146.55,146.55,141.60, 144.00,143.00,6093,8.67
03-Nov-2011,143.05,144.70,141.20, 141.30,141.45,1570,2.24
02-Nov-2011,143.05,149.20,143.05, 146.50,146.80,605,0.89
01-Nov-2011,143.00,152.85,140.30, 145.10,145.10,2050,3.07
31-Oct-2011,155.00,155.00,142.25, 148.50,147.75,1089,1.61
28-Oct-2011,152.00,152.00,145.00, 145.00,145.00,1182,1.74
26-Oct-2011,149.00,149.00,145.25, 148.00,147.95,1241,1.84
25-Oct-2011,155.05,157.55,146.50, 149.45,149.45,8019,12.00
24-Oct-2011,175.00,175.00,154.05, 154.50,156.95,1065,1.69
21-Oct-2011,160.00,160.55,157.25, 160.55,160.55,7,0.01
20-Oct-2011,160.00,164.80,158.85, 164.80,164.30,274,0.44
19-Oct-2011,159.45,163.05,159.40, 160.00,161.00,1215,1.94
18-Oct-2011,167.05,167.10,159.45, 160.00,160.10,1445,2.36
17-Oct-2011,172.00,172.00,165.30, 169.20,169.20,323,0.55
14-Oct-2011,172.00,172.05,167.30, 167.70,167.40,699,1.19
13-Oct-2011,170.00,170.75,169.10, 169.10,169.55,875,1.49
12-Oct-2011,170.00,184.00,167.00, 172.00,169.90,464,0.79
11-Oct-2011,172.00,175.00,172.00, 175.00,175.00,100,0.17
10-Oct-2011,175.00,175.00,175.00, 175.00,175.00,73,0.13
07-Oct-2011,168.25,175.00,164.50, 175.00,171.25,207,0.35
05-Oct-2011,180.00,180.00,167.00, 168.10,168.70,121,0.21
04-Oct-2011,175.00,175.00,169.95, 170.00,170.05,305,0.52
03-Oct-2011,169.75,186.15,168.00, 168.00,169.90,478,0.83
30-Sep-2011,168.35,173.70,168.35, 169.50,169.75,242,0.41
29-Sep-2011,171.75,171.75,166.00, 168.35,168.35,55,0.09
28-Sep-2011,170.60,187.35,170.60, 173.00,172.75,66,0.12
27-Sep-2011,178.85,178.90,174.00, 174.00,174.00,250,0.44
26-Sep-2011,171.45,175.00,170.00, 172.95,170.15,235,0.40
23-Sep-2011,169.45,178.90,169.30, 178.00,176.90,116,0.20
22-Sep-2011,180.00,180.95,170.30, 172.00,172.95,14533,25.40
21-Sep-2011,179.30,180.00,172.00, 173.50,173.55,4325,7.51
