Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,178.90,178.90,173.00, 177.00,176.10,19424,34.16
29-Dec-2011,165.00,175.90,163.25, 175.90,172.55,10127,17.16
28-Dec-2011,163.75,167.00,163.75, 166.00,166.00,5635,9.35
27-Dec-2011,164.00,169.25,163.60, 165.50,164.75,2550,4.22
26-Dec-2011,161.00,168.00,160.00, 167.50,165.40,8624,14.14
23-Dec-2011,163.05,167.00,162.00, 162.00,163.00,3162,5.20
22-Dec-2011,166.90,166.90,160.40, 166.00,164.40,25867,41.91
21-Dec-2011,163.10,167.00,140.95, 167.00,166.05,27015,44.77
20-Dec-2011,170.00,171.00,162.05, 162.05,166.80,79323,132.77
19-Dec-2011,175.00,175.45,166.60, 167.20,169.70,9737,16.50
16-Dec-2011,171.90,177.55,171.75, 177.00,175.40,13733,23.97
15-Dec-2011,172.00,172.95,171.00, 172.60,172.50,10160,17.49
14-Dec-2011,171.45,173.95,170.00, 173.00,173.35,5768,9.93
13-Dec-2011,173.00,174.85,169.70, 174.30,173.00,110063,189.14
12-Dec-2011,179.00,179.00,167.30, 178.00,175.90,12929,22.49
09-Dec-2011,174.00,178.75,174.00, 175.65,176.50,5129,9.04
08-Dec-2011,177.90,177.90,174.95, 175.00,175.10,19573,34.26
07-Dec-2011,178.00,178.95,175.00, 176.05,177.10,9339,16.54
05-Dec-2011,180.00,180.00,176.15, 178.00,178.00,16539,29.34
02-Dec-2011,178.00,180.00,177.00, 177.00,178.40,7877,14.05
01-Dec-2011,177.00,179.75,176.00, 179.40,178.00,16200,28.79
30-Nov-2011,175.15,176.65,174.50, 175.00,175.50,123310,215.85
29-Nov-2011,177.70,178.85,176.10, 177.00,177.35,7510,13.29
28-Nov-2011,176.00,179.90,173.65, 177.00,177.70,156801,277.53
25-Nov-2011,170.20,175.30,169.10, 175.00,174.05,4880,8.45
24-Nov-2011,175.00,175.00,167.15, 169.55,171.20,16474,28.03
23-Nov-2011,173.30,175.00,164.00, 175.00,172.75,114832,196.05
22-Nov-2011,176.20,178.00,172.25, 177.90,175.70,54592,95.00
21-Nov-2011,181.00,182.00,175.15, 175.60,178.00,30493,54.38
18-Nov-2011,181.50,181.50,174.95, 179.95,180.15,35279,63.20
17-Nov-2011,182.20,184.00,180.50, 183.00,183.00,17026,31.13
16-Nov-2011,183.25,185.90,176.15, 185.90,183.35,96151,173.32
15-Nov-2011,189.20,189.45,183.15, 185.45,184.55,11109,20.66
14-Nov-2011,191.25,193.00,186.25, 190.00,189.60,14921,28.27
11-Nov-2011,191.50,195.00,188.05, 194.20,192.25,20662,39.44
09-Nov-2011,191.20,195.80,183.95, 195.50,193.85,20863,40.19
08-Nov-2011,193.15,195.20,187.00, 195.20,193.30,21586,41.45
04-Nov-2011,192.00,193.80,192.00, 193.25,193.05,32770,63.25
03-Nov-2011,192.00,194.00,190.30, 192.00,193.00,15607,30.06
02-Nov-2011,194.65,194.65,190.30, 192.00,192.00,25093,48.16
01-Nov-2011,190.00,200.00,190.00, 194.45,194.65,96680,190.12
31-Oct-2011,193.00,194.70,188.70, 194.00,192.30,15883,30.40
28-Oct-2011,191.00,194.80,187.20, 194.00,191.50,22793,43.35
26-Oct-2011,195.00,195.70,187.25, 187.35,188.95,7859,14.98
25-Oct-2011,188.00,195.90,186.10, 193.00,192.50,27938,53.16
24-Oct-2011,187.00,192.50,187.00, 190.60,189.35,56994,108.11
21-Oct-2011,192.90,192.90,183.00, 188.10,187.85,45876,85.80
20-Oct-2011,191.40,193.55,187.50, 190.10,190.65,47711,90.68
19-Oct-2011,196.00,210.10,187.40, 192.15,194.05,369905,741.36
18-Oct-2011,187.00,188.00,182.00, 185.00,185.55,15006,27.77
17-Oct-2011,193.00,193.65,185.00, 188.00,186.65,11750,22.19
14-Oct-2011,190.00,194.75,190.00, 192.25,191.90,8035,15.53
13-Oct-2011,193.85,193.85,187.00, 191.00,190.90,26087,49.62
12-Oct-2011,187.00,187.85,181.15, 187.60,186.10,29078,53.84
11-Oct-2011,190.40,198.00,179.80, 183.25,182.60,7894,14.49
10-Oct-2011,187.00,187.00,182.05, 185.20,184.80,15622,28.88
07-Oct-2011,174.05,188.45,174.05, 184.00,183.90,6750,12.39
05-Oct-2011,184.50,188.75,179.90, 182.20,182.25,15361,27.85
04-Oct-2011,185.00,191.00,183.50, 187.00,185.65,26499,49.42
03-Oct-2011,188.00,191.65,185.00, 187.95,186.55,34019,63.32
30-Sep-2011,188.00,193.85,188.00, 188.00,188.90,60707,114.93
29-Sep-2011,186.00,188.00,184.50, 187.50,187.20,6813,12.72
28-Sep-2011,190.25,190.40,182.30, 187.50,186.75,12254,22.74
27-Sep-2011,190.50,192.40,187.00, 188.10,190.25,7948,15.08
26-Sep-2011,193.05,195.95,180.00, 189.95,187.45,47800,89.22
23-Sep-2011,200.00,215.00,190.00, 192.10,192.05,24481,47.54
22-Sep-2011,202.80,202.95,198.90, 199.50,199.75,19989,40.08
21-Sep-2011,205.50,206.00,203.00, 203.00,203.15,8906,18.12
20-Sep-2011,204.00,210.00,200.00, 206.90,205.10,20541,41.96
19-Sep-2011,206.75,208.95,202.35, 203.00,203.90,28878,58.98
16-Sep-2011,208.00,225.00,207.00, 207.70,207.25,14989,31.46
15-Sep-2011,211.70,211.70,208.00, 209.70,209.05,5941,12.42
14-Sep-2011,210.80,212.25,206.50, 208.65,209.65,53237,111.68
13-Sep-2011,216.45,217.65,208.10, 208.15,209.25,85186,181.17
12-Sep-2011,212.00,213.80,208.65, 211.60,211.25,21350,44.98
09-Sep-2011,217.00,217.00,209.25, 213.25,214.15,15657,33.41
08-Sep-2011,218.25,218.95,211.00, 214.00,214.40,18747,40.17
07-Sep-2011,217.70,245.10,215.05, 217.25,217.40,158064,344.76
06-Sep-2011,207.95,218.00,206.50, 215.00,215.80,91440,192.97
