Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,81.45,81.45,81.45, 81.45,81.45,17,0.01
29-Dec-2011,88.85,88.85,83.50, 84.00,83.85,229,0.19
27-Dec-2011,82.10,84.00,82.10, 83.00,83.65,73,0.06
23-Dec-2011,90.00,90.00,82.00, 89.95,89.95,55,0.05
22-Dec-2011,80.95,87.00,80.95, 86.00,86.00,98,0.08
21-Dec-2011,84.50,84.50,79.50, 79.50,79.50,165,0.13
20-Dec-2011,81.90,82.00,80.00, 80.00,80.35,453,0.37
19-Dec-2011,91.90,91.90,80.20, 81.10,81.75,3582,2.95
15-Dec-2011,91.95,91.95,91.90, 91.90,91.90,6,0.01
14-Dec-2011,94.95,94.95,94.95, 94.95,94.95,1,0.00
13-Dec-2011,95.00,95.00,95.00, 95.00,95.00,2,0.00
12-Dec-2011,92.25,92.25,91.50, 91.50,91.50,250,0.23
09-Dec-2011,90.00,94.50,90.00, 94.50,91.15,1387,1.26
08-Dec-2011,91.00,91.00,91.00, 91.00,91.00,20,0.02
07-Dec-2011,90.10,94.00,90.10, 91.00,91.00,77,0.07
05-Dec-2011,94.00,94.00,94.00, 94.00,94.00,415,0.39
02-Dec-2011,98.00,98.00,90.10, 90.10,90.10,201,0.18
01-Dec-2011,92.00,92.00,92.00, 92.00,92.00,100,0.09
30-Nov-2011,90.50,92.10,89.55, 92.10,92.10,2588,2.33
28-Nov-2011,89.00,89.00,89.00, 89.00,89.00,200,0.18
25-Nov-2011,85.00,90.70,85.00, 90.70,90.05,1312,1.14
24-Nov-2011,85.00,85.00,83.00, 84.10,84.10,184,0.15
23-Nov-2011,82.00,90.00,82.00, 88.70,88.70,170,0.15
22-Nov-2011,88.10,90.00,78.10, 84.50,85.90,602,0.51
21-Nov-2011,81.40,93.80,81.40, 83.15,88.00,868,0.76
18-Nov-2011,91.00,91.00,86.00, 86.00,86.00,295,0.26
17-Nov-2011,94.00,94.00,89.00, 89.00,89.00,783,0.71
16-Nov-2011,88.00,88.00,88.00, 88.00,88.00,5,0.00
15-Nov-2011,89.95,95.75,87.90, 94.80,91.85,2857,2.66
14-Nov-2011,85.00,85.00,85.00, 85.00,85.00,30,0.03
11-Nov-2011,87.50,88.00,82.85, 85.00,85.00,181,0.16
09-Nov-2011,81.25,89.75,81.25, 89.75,88.05,125,0.11
08-Nov-2011,90.00,90.00,85.10, 85.10,86.65,2719,2.37
04-Nov-2011,85.40,90.00,85.40, 89.90,88.30,865,0.77
03-Nov-2011,89.00,89.00,83.00, 86.95,85.40,3447,2.96
01-Nov-2011,94.00,94.00,89.10, 89.20,89.20,7,0.01
31-Oct-2011,89.90,92.25,85.00, 91.90,91.90,1190,1.07
28-Oct-2011,90.10,94.80,90.10, 94.80,94.80,150,0.14
26-Oct-2011,94.50,94.50,94.50, 94.50,94.50,20,0.02
25-Oct-2011,86.00,95.50,86.00, 95.30,90.30,948,0.87
24-Oct-2011,90.30,97.50,90.00, 90.50,90.50,2161,1.98
21-Oct-2011,86.00,95.00,86.00, 94.50,94.50,81,0.08
19-Oct-2011,94.50,97.00,86.50, 90.00,90.00,203,0.19
18-Oct-2011,90.00,90.00,90.00, 90.00,90.00,40,0.04
17-Oct-2011,92.25,93.10,92.25, 93.10,93.10,100,0.09
14-Oct-2011,93.00,99.95,88.05, 91.00,89.95,190,0.17
12-Oct-2011,99.00,99.00,90.60, 98.05,98.05,311,0.30
11-Oct-2011,99.00,99.00,98.50, 98.50,98.50,1015,1.00
10-Oct-2011,87.65,99.70,87.65, 99.70,99.70,7,0.01
07-Oct-2011,97.00,99.45,96.00, 96.00,96.00,436,0.43
05-Oct-2011,85.00,95.00,84.00, 94.90,94.90,695,0.63
04-Oct-2011,93.10,95.50,93.10, 95.50,95.50,115,0.11
30-Sep-2011,96.20,99.00,96.10, 99.00,99.00,360,0.35
29-Sep-2011,95.00,95.00,95.00, 95.00,95.00,420,0.40
28-Sep-2011,93.00,100.00,89.50, 96.10,96.60,1627,1.53
27-Sep-2011,95.50,95.50,93.65, 93.65,93.65,324,0.31
26-Sep-2011,96.10,96.10,91.00, 95.00,95.00,605,0.57
23-Sep-2011,95.00,100.00,95.00, 100.00,100.00,1027,1.01
21-Sep-2011,96.10,99.95,95.05, 95.05,95.05,175,0.17
20-Sep-2011,99.90,99.90,99.90, 99.90,99.90,10,0.01
19-Sep-2011,99.95,99.95,99.95, 99.95,99.95,2,0.00
16-Sep-2011,98.00,99.95,97.00, 99.95,99.95,226,0.22
15-Sep-2011,90.95,93.50,90.95, 93.50,93.50,50,0.05
14-Sep-2011,96.20,101.00,96.00, 96.00,96.00,488,0.47
13-Sep-2011,102.95,102.95,102.60, 102.95,102.75,3,0.00
12-Sep-2011,99.00,99.95,99.00, 99.95,99.45,97,0.10
09-Sep-2011,96.60,103.95,95.90, 99.90,99.50,658,0.64
08-Sep-2011,96.50,104.00,96.50, 104.00,104.00,58,0.06
