Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,14.15,15.70,14.15, 15.50,15.50,7951,1.23
29-Dec-2011,14.40,14.75,14.40, 14.75,14.75,863,0.13
28-Dec-2011,14.50,14.50,14.50, 14.50,14.50,149,0.02
27-Dec-2011,14.90,15.45,14.60, 14.90,14.90,4602,0.69
26-Dec-2011,13.30,14.90,13.30, 14.30,14.30,2854,0.42
23-Dec-2011,13.05,14.70,13.05, 14.20,14.65,2407,0.35
22-Dec-2011,14.10,14.50,14.10, 14.10,14.10,716,0.10
21-Dec-2011,14.00,15.00,14.00, 14.10,14.10,597,0.08
20-Dec-2011,13.00,14.50,13.00, 14.25,14.20,36574,5.28
19-Dec-2011,14.00,14.00,13.85, 14.00,14.00,2423,0.34
16-Dec-2011,13.00,14.80,13.00, 14.10,14.10,5677,0.83
15-Dec-2011,13.55,13.55,13.55, 13.55,13.55,20,0.00
14-Dec-2011,14.00,14.40,14.00, 14.00,14.00,158,0.02
13-Dec-2011,14.00,14.70,14.00, 14.35,14.30,3290,0.48
12-Dec-2011,14.40,14.85,13.55, 14.45,14.45,2973,0.43
09-Dec-2011,14.40,14.40,13.55, 14.40,14.40,202,0.03
08-Dec-2011,14.00,14.00,14.00, 14.00,14.00,50,0.01
07-Dec-2011,14.00,14.25,13.30, 14.00,14.00,5631,0.78
05-Dec-2011,14.30,14.30,13.50, 14.00,14.00,617,0.08
02-Dec-2011,14.35,14.35,13.55, 13.55,13.55,212,0.03
01-Dec-2011,14.00,14.30,14.00, 14.00,14.00,1088,0.15
30-Nov-2011,13.00,14.00,13.00, 13.55,13.55,25548,3.51
29-Nov-2011,13.00,13.95,13.00, 13.95,13.40,2506,0.33
28-Nov-2011,13.85,13.85,13.05, 13.05,13.05,454,0.06
25-Nov-2011,12.40,13.25,12.40, 13.25,13.25,490,0.06
24-Nov-2011,12.15,13.35,12.15, 12.60,12.60,1697,0.21
23-Nov-2011,13.40,13.40,12.25, 12.50,12.50,8381,1.05
22-Nov-2011,12.70,13.90,12.60, 13.60,13.45,1790,0.24
21-Nov-2011,13.00,14.40,12.70, 12.80,12.70,4148,0.57
18-Nov-2011,13.35,14.50,12.00, 13.90,13.90,2009,0.26
17-Nov-2011,13.65,14.00,13.50, 13.65,13.65,1728,0.24
16-Nov-2011,13.55,13.65,13.35, 13.60,13.60,2947,0.40
15-Nov-2011,14.00,14.00,13.90, 13.95,13.95,1317,0.18
14-Nov-2011,14.90,14.90,14.25, 14.25,14.25,1000,0.15
11-Nov-2011,14.10,14.10,14.10, 14.10,14.10,50,0.01
09-Nov-2011,14.70,15.00,14.30, 14.30,14.50,673,0.10
08-Nov-2011,14.50,14.75,14.50, 14.75,14.75,525,0.08
04-Nov-2011,14.55,14.90,14.55, 14.75,14.75,552,0.08
03-Nov-2011,14.55,14.55,14.55, 14.55,14.55,250,0.04
