Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,47.50,49.00,47.10, 48.40,48.10,1362,0.65
29-Dec-2011,48.05,50.60,47.20, 47.20,48.30,1347,0.66
28-Dec-2011,50.00,50.00,48.85, 48.90,48.90,109,0.05
27-Dec-2011,48.10,52.50,48.10, 50.60,51.00,4894,2.50
26-Dec-2011,47.70,49.90,47.70, 49.50,49.00,503,0.25
23-Dec-2011,52.00,52.00,47.10, 47.10,47.95,1305,0.63
22-Dec-2011,47.50,48.50,46.25, 48.00,48.00,786,0.38
21-Dec-2011,49.25,49.25,47.50, 48.85,48.70,443,0.21
20-Dec-2011,47.05,49.00,45.05, 47.30,47.30,1103,0.53
19-Dec-2011,50.50,50.50,47.55, 47.60,47.60,1924,0.93
16-Dec-2011,52.00,52.95,50.35, 52.00,51.95,819,0.42
15-Dec-2011,52.00,53.00,48.90, 53.00,52.60,8616,4.24
14-Dec-2011,51.05,54.45,50.35, 52.80,52.80,475,0.25
13-Dec-2011,50.00,55.25,48.10, 50.60,50.60,683,0.37
12-Dec-2011,52.25,53.00,50.05, 50.05,50.75,1349,0.69
09-Dec-2011,53.50,57.00,51.50, 52.55,53.35,1136,0.60
08-Dec-2011,52.05,52.80,51.00, 52.40,52.35,2612,1.35
07-Dec-2011,57.45,57.45,50.25, 52.50,52.85,4546,2.33
05-Dec-2011,55.00,55.10,52.90, 54.85,53.00,3977,2.11
02-Dec-2011,56.00,56.90,55.00, 55.10,55.30,1194,0.67
01-Dec-2011,55.00,57.80,55.00, 55.10,57.15,3577,2.03
30-Nov-2011,54.05,56.80,54.05, 55.00,54.95,2845,1.57
29-Nov-2011,58.50,58.50,54.50, 55.50,55.50,1563,0.87
28-Nov-2011,56.00,59.95,53.70, 59.50,59.55,913,0.53
25-Nov-2011,54.00,54.10,52.70, 52.80,53.90,956,0.51
24-Nov-2011,52.00,52.10,51.60, 51.95,51.95,472,0.25
23-Nov-2011,52.10,53.30,50.45, 50.45,51.25,727,0.37
22-Nov-2011,51.00,52.50,50.60, 51.70,51.95,2189,1.13
21-Nov-2011,57.20,57.20,51.00, 51.00,51.85,1156,0.61
18-Nov-2011,55.50,59.00,51.10, 53.10,53.10,3026,1.58
17-Nov-2011,56.20,56.80,56.20, 56.40,56.50,702,0.40
16-Nov-2011,58.50,63.70,55.00, 56.20,56.20,1786,1.00
15-Nov-2011,60.10,61.00,59.30, 59.30,59.35,2320,1.38
14-Nov-2011,61.90,61.90,60.00, 60.00,60.00,8460,5.09
11-Nov-2011,62.00,63.75,60.00, 61.00,61.00,922,0.56
09-Nov-2011,65.85,65.85,62.50, 62.50,62.55,262,0.16
08-Nov-2011,64.95,66.95,63.00, 65.25,65.25,1547,1.00
04-Nov-2011,64.05,66.00,64.00, 65.50,65.50,380,0.25
03-Nov-2011,65.00,65.85,64.95, 65.00,65.00,2531,1.65
02-Nov-2011,65.05,72.90,63.75, 64.05,65.60,1158,0.75
01-Nov-2011,65.00,67.00,64.00, 67.00,66.25,753,0.49
31-Oct-2011,63.00,66.35,62.80, 66.00,65.40,6235,3.99
28-Oct-2011,62.00,65.00,62.00, 64.00,64.00,2998,1.90
26-Oct-2011,63.00,65.00,63.00, 63.00,63.05,3525,2.23
25-Oct-2011,61.00,63.90,60.00, 63.90,62.50,4490,2.80
24-Oct-2011,62.00,63.00,61.55, 61.55,62.00,4802,2.99
21-Oct-2011,62.00,65.00,60.35, 62.00,62.00,1135,0.71
20-Oct-2011,64.00,68.45,62.60, 62.60,62.65,587,0.38
19-Oct-2011,61.00,68.85,59.70, 64.90,64.90,1271,0.83
18-Oct-2011,60.00,62.55,57.55, 61.00,62.00,998,0.60
17-Oct-2011,60.00,61.50,59.50, 60.75,60.75,539,0.33
14-Oct-2011,60.00,61.00,59.20, 61.00,61.00,704,0.43
13-Oct-2011,58.30,64.90,58.30, 61.00,61.00,394,0.24
12-Oct-2011,58.10,66.00,58.10, 60.50,59.00,513,0.30
11-Oct-2011,60.00,62.00,59.20, 59.20,59.25,1536,0.92
10-Oct-2011,58.50,59.00,56.55, 59.00,59.00,1202,0.70
07-Oct-2011,59.00,60.15,59.00, 59.55,59.55,1434,0.86
05-Oct-2011,64.10,64.10,58.55, 60.50,60.45,1372,0.82
04-Oct-2011,59.00,60.75,58.50, 60.75,60.75,1027,0.61
03-Oct-2011,57.05,64.00,57.05, 60.25,59.60,3087,1.85
30-Sep-2011,60.00,63.50,60.00, 60.70,61.00,1982,1.23
29-Sep-2011,59.00,60.95,58.50, 60.95,60.85,2206,1.33
28-Sep-2011,60.00,69.00,59.50, 60.25,59.65,6036,3.62
27-Sep-2011,57.00,61.75,57.00, 61.70,61.70,1792,1.08
26-Sep-2011,59.35,60.85,58.10, 58.30,58.25,2013,1.19
23-Sep-2011,59.50,60.80,58.05, 60.35,59.20,3268,1.96
22-Sep-2011,62.00,64.90,60.65, 60.70,60.70,1219,0.75
21-Sep-2011,62.10,65.00,62.10, 62.50,62.80,1978,1.24
20-Sep-2011,63.00,65.00,62.35, 63.00,63.30,1434,0.91
19-Sep-2011,65.00,65.00,62.05, 63.75,63.95,6061,3.85
16-Sep-2011,60.00,64.50,60.00, 63.45,63.45,709,0.44
15-Sep-2011,60.00,62.80,59.30, 61.40,61.40,11364,6.95
14-Sep-2011,58.15,61.50,58.15, 61.45,61.00,7681,4.63
13-Sep-2011,59.00,62.20,57.65, 59.05,59.60,7451,4.54
12-Sep-2011,60.60,63.65,60.60, 60.65,60.65,6366,3.96
09-Sep-2011,63.00,65.00,61.00, 61.85,61.85,2479,1.57
08-Sep-2011,67.00,67.00,59.55, 62.60,62.60,2288,1.42
07-Sep-2011,67.80,67.80,61.10, 62.00,61.75,6689,4.18
06-Sep-2011,59.00,67.50,57.50, 63.80,63.95,3172,2.02
05-Sep-2011,56.00,60.50,54.50, 60.50,60.50,1471,0.87
02-Sep-2011,54.60,58.00,53.10, 57.00,57.00,661,0.38
30-Aug-2011,55.00,56.00,53.85, 55.50,55.60,2418,1.33
29-Aug-2011,49.85,59.80,48.55, 54.30,56.10,1611,0.88
26-Aug-2011,53.00,54.60,47.45, 51.80,51.00,7881,4.00
25-Aug-2011,53.00,54.65,52.25, 53.05,53.75,2103,1.13
24-Aug-2011,52.00,54.90,51.00, 53.35,54.00,2658,1.42
23-Aug-2011,50.15,53.55,50.15, 53.00,53.00,3034,1.60
22-Aug-2011,53.10,55.80,49.00, 51.50,51.55,6650,3.44
19-Aug-2011,53.10,55.80,50.05, 51.50,51.05,7809,4.04
18-Aug-2011,57.00,58.00,53.60, 55.00,54.30,1800,1.00
17-Aug-2011,57.05,58.50,54.50, 56.25,57.85,12510,7.18
16-Aug-2011,59.80,59.80,58.00, 58.00,58.00,3380,1.98
12-Aug-2011,61.00,61.00,58.30, 58.30,58.45,3513,2.10
11-Aug-2011,60.00,64.00,60.00, 61.00,60.85,2098,1.29
10-Aug-2011,58.00,63.55,58.00, 63.35,62.05,1561,0.96
09-Aug-2011,55.10,60.00,55.10, 58.90,58.90,6113,3.59
08-Aug-2011,60.00,60.00,55.50, 59.00,58.75,10390,6.10
05-Aug-2011,58.05,61.00,58.00, 60.00,59.00,17054,10.11
04-Aug-2011,60.10,63.75,60.10, 62.45,61.90,1929,1.20
03-Aug-2011,63.10,64.55,61.90, 61.90,62.05,4102,2.57
02-Aug-2011,64.05,66.00,63.50, 64.95,64.55,8072,5.23
01-Aug-2011,65.00,67.85,64.35, 65.45,65.20,7283,4.76
29-Jul-2011,65.05,66.60,65.05, 65.80,65.75,3609,2.38
28-Jul-2011,67.00,68.00,66.05, 66.50,66.90,3528,2.36
27-Jul-2011,69.00,69.75,67.30, 68.00,68.05,3472,2.38
26-Jul-2011,69.00,71.95,69.00, 69.80,69.85,4210,2.93
25-Jul-2011,70.00,73.95,68.20, 70.05,70.60,918,0.65
22-Jul-2011,70.00,72.00,70.00, 70.50,70.60,3770,2.70
21-Jul-2011,72.00,73.00,70.40, 71.00,71.00,5649,4.07
20-Jul-2011,70.05,73.00,70.05, 72.60,72.70,12297,8.91
19-Jul-2011,71.00,72.00,71.00, 71.10,71.50,3341,2.39
18-Jul-2011,70.30,74.00,70.30, 71.10,71.20,18411,13.20
15-Jul-2011,68.05,70.00,68.05, 69.20,68.95,3057,2.11
14-Jul-2011,67.25,70.35,67.25, 68.50,68.60,6445,4.49
13-Jul-2011,69.70,70.10,68.90, 69.20,69.25,5798,4.04
12-Jul-2011,68.00,70.85,67.25, 68.85,69.05,5667,3.93
11-Jul-2011,69.15,70.90,68.80, 69.50,68.95,3677,2.57
08-Jul-2011,69.05,70.80,69.05, 70.80,70.10,4281,3.00
07-Jul-2011,68.40,71.00,68.40, 70.70,70.30,4312,3.03
06-Jul-2011,69.60,70.30,68.20, 69.05,69.05,6137,4.30
05-Jul-2011,70.10,70.95,69.50, 70.30,70.30,3977,2.79
04-Jul-2011,69.30,71.65,69.30, 70.00,70.15,4818,3.40
01-Jul-2011,70.00,72.00,69.10, 70.60,70.80,13722,9.67
30-Jun-2011,70.00,72.50,68.00, 70.15,71.55,6455,4.62
29-Jun-2011,67.05,69.40,67.05, 68.50,68.80,14299,9.84
28-Jun-2011,69.10,69.80,67.00, 68.50,67.80,4157,2.84
27-Jun-2011,70.00,71.00,69.00, 69.00,69.40,15098,10.62
24-Jun-2011,68.00,72.70,68.00, 70.00,70.05,1745,1.23
23-Jun-2011,67.20,70.00,67.20, 70.00,69.60,3986,2.76
22-Jun-2011,69.90,71.50,68.00, 68.00,68.05,3622,2.52
21-Jun-2011,72.50,72.50,69.30, 69.45,69.70,2898,2.04
20-Jun-2011,71.10,72.50,66.05, 71.00,71.15,3163,2.23
17-Jun-2011,71.50,72.00,70.10, 71.00,71.60,5577,3.98
16-Jun-2011,72.15,74.25,71.00, 71.00,71.25,5028,3.60
15-Jun-2011,73.70,73.95,72.70, 73.40,73.40,1949,1.43
14-Jun-2011,73.60,74.50,73.60, 74.00,73.95,5464,4.04
13-Jun-2011,73.20,75.05,73.20, 74.00,74.00,6088,4.53
10-Jun-2011,75.10,75.75,73.55, 73.70,73.80,3378,2.52
09-Jun-2011,74.00,76.00,74.00, 75.10,75.10,1014,0.76
08-Jun-2011,73.55,76.40,73.55, 75.55,75.60,3700,2.80
07-Jun-2011,73.55,76.80,73.55, 75.00,75.00,25544,19.18
06-Jun-2011,76.60,78.35,74.00, 74.90,74.10,55394,41.35
03-Jun-2011,77.20,81.50,77.05, 77.05,77.20,4472,3.48
02-Jun-2011,77.50,80.00,77.10, 78.00,77.95,696,0.54
01-Jun-2011,78.50,84.00,78.40, 78.60,78.65,11761,9.36
31-May-2011,79.30,81.00,78.20, 78.50,78.90,16075,12.73
30-May-2011,78.30,80.50,78.30, 80.00,80.00,2649,2.10
27-May-2011,77.05,81.05,77.05, 80.35,80.50,2561,2.05
26-May-2011,77.00,80.90,77.00, 79.00,79.00,1232,0.98
25-May-2011,77.00,80.40,77.00, 79.95,79.15,2222,1.75
24-May-2011,78.40,80.85,76.65, 79.10,79.30,7541,5.97
23-May-2011,80.00,80.00,78.00, 79.50,78.40,1964,1.54
20-May-2011,83.00,84.30,78.10, 80.15,80.20,4741,3.81
19-May-2011,80.15,83.00,80.10, 80.30,80.30,1840,1.50
18-May-2011,82.10,83.90,79.00, 83.90,82.45,26144,21.22
17-May-2011,83.75,84.40,82.00, 82.10,82.95,3707,3.09
16-May-2011,86.00,94.75,83.10, 83.25,83.70,8667,7.38
13-May-2011,94.00,94.00,84.65, 86.10,86.30,16345,14.32
