Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,11.00,11.50,10.70, 11.00,11.00,4407,0.48
29-Dec-2011,10.50,11.55,10.10, 11.25,11.10,240062,27.51
28-Dec-2011,11.75,11.75,10.25, 10.60,10.50,20768,2.22
27-Dec-2011,11.10,11.85,11.10, 11.70,11.55,6337,0.73
26-Dec-2011,11.00,11.50,10.90, 11.20,11.10,9076,1.01
23-Dec-2011,10.15,11.70,10.15, 11.25,11.35,7530,0.85
22-Dec-2011,11.80,11.80,9.80, 11.00,10.65,21745,2.26
21-Dec-2011,10.25,11.50,10.25, 10.30,10.45,15230,1.61
20-Dec-2011,10.75,11.00,10.50, 10.60,10.65,7529,0.81
19-Dec-2011,11.20,12.55,11.00, 11.00,11.05,3962,0.45
16-Dec-2011,10.65,12.80,10.65, 12.80,11.90,12968,1.51
15-Dec-2011,11.15,11.90,11.10, 11.35,11.35,7209,0.81
14-Dec-2011,11.20,11.95,11.20, 11.70,11.75,7141,0.84
13-Dec-2011,11.75,12.00,11.60, 11.80,11.80,9609,1.14
12-Dec-2011,12.40,12.95,12.20, 12.20,12.35,55302,6.92
09-Dec-2011,12.20,12.90,12.20, 12.90,12.75,201753,25.93
08-Dec-2011,13.00,13.80,12.75, 12.85,12.85,11096,1.46
07-Dec-2011,12.80,13.50,12.30, 13.50,13.40,89261,11.60
05-Dec-2011,12.90,12.90,12.35, 12.75,12.80,2347,0.30
02-Dec-2011,12.00,12.70,12.00, 12.70,12.55,5083,0.64
01-Dec-2011,12.50,12.80,12.35, 12.65,12.55,5975,0.75
30-Nov-2011,12.10,12.50,12.10, 12.35,12.30,17359,2.15
29-Nov-2011,12.80,12.80,11.75, 12.20,11.95,10128,1.22
28-Nov-2011,12.15,12.15,11.50, 11.90,11.80,10402,1.23
25-Nov-2011,11.25,12.00,11.25, 11.80,11.60,4849,0.56
24-Nov-2011,11.20,12.10,11.20, 12.00,11.80,8336,0.97
23-Nov-2011,12.00,12.00,11.10, 11.60,11.55,7564,0.87
22-Nov-2011,11.00,12.20,11.00, 12.20,12.00,7703,0.91
21-Nov-2011,12.00,12.05,11.05, 11.50,11.60,3633,0.42
18-Nov-2011,12.20,12.20,11.50, 11.65,11.85,9009,1.06
17-Nov-2011,12.50,12.80,12.15, 12.20,12.20,14145,1.76
16-Nov-2011,12.80,12.95,12.55, 12.95,12.85,14417,1.83
15-Nov-2011,13.15,13.75,12.85, 12.85,13.10,16112,2.12
14-Nov-2011,13.20,14.00,13.20, 13.35,13.40,4556,0.62
11-Nov-2011,13.45,14.20,13.30, 13.40,13.55,10709,1.45
09-Nov-2011,13.90,13.95,13.50, 13.50,13.55,5854,0.80
08-Nov-2011,13.40,14.00,13.40, 13.85,13.85,6053,0.83
04-Nov-2011,14.50,14.50,13.30, 13.90,13.90,29231,4.10
03-Nov-2011,14.35,14.35,13.50, 13.75,13.80,9055,1.25
02-Nov-2011,13.90,13.90,13.50, 13.55,13.65,6594,0.90
01-Nov-2011,13.20,14.10,13.20, 13.50,13.55,11178,1.53
31-Oct-2011,13.30,13.90,13.30, 13.60,13.65,29532,4.06
28-Oct-2011,14.00,14.00,13.30, 13.70,13.60,6064,0.83
26-Oct-2011,13.50,13.75,13.05, 13.75,13.50,4317,0.58
25-Oct-2011,14.40,14.40,10.70, 13.20,13.20,12245,1.63
24-Oct-2011,13.55,13.75,13.20, 13.50,13.30,12443,1.68
21-Oct-2011,13.60,14.25,13.45, 13.50,13.70,30594,4.19
20-Oct-2011,13.85,14.50,13.70, 13.95,13.85,8595,1.20
19-Oct-2011,14.50,14.50,13.50, 13.75,13.50,10179,1.39
18-Oct-2011,14.00,14.25,13.75, 13.95,13.85,4873,0.68
17-Oct-2011,14.25,14.60,14.05, 14.05,14.15,29155,4.17
14-Oct-2011,14.50,14.50,13.60, 14.20,14.05,7884,1.11
13-Oct-2011,14.25,14.70,14.25, 14.30,14.40,16251,2.36
12-Oct-2011,14.55,14.65,14.20, 14.35,14.25,8887,1.28
11-Oct-2011,14.90,14.90,13.50, 14.50,14.45,31466,4.50
10-Oct-2011,13.30,14.80,13.30, 14.40,14.20,13050,1.86
07-Oct-2011,14.10,14.50,13.50, 13.90,13.65,16329,2.27
05-Oct-2011,13.70,14.40,13.30, 13.70,13.80,3588,0.50
04-Oct-2011,14.10,14.50,14.00, 14.00,14.05,12128,1.72
03-Oct-2011,14.65,14.95,14.15, 14.60,14.65,11519,1.68
30-Sep-2011,14.50,15.00,14.50, 14.65,14.75,8225,1.21
29-Sep-2011,14.10,15.10,14.10, 15.10,14.90,8717,1.28
28-Sep-2011,15.40,15.45,14.40, 14.45,14.60,29630,4.46
27-Sep-2011,15.45,15.45,15.00, 15.00,15.10,13175,2.00
26-Sep-2011,15.80,15.80,14.50, 14.95,15.05,22078,3.31
23-Sep-2011,15.45,15.85,15.10, 15.60,15.40,13780,2.12
22-Sep-2011,16.40,16.40,15.75, 15.80,15.95,13741,2.20
21-Sep-2011,16.10,16.60,16.10, 16.60,16.50,8939,1.46
20-Sep-2011,16.05,16.80,16.05, 16.05,16.30,13554,2.23
19-Sep-2011,16.30,16.40,15.95, 16.20,16.05,8910,1.44
16-Sep-2011,16.25,16.50,16.00, 16.05,16.05,9457,1.53
15-Sep-2011,16.05,16.50,15.75, 16.20,16.05,9840,1.59
14-Sep-2011,16.05,16.50,15.90, 15.95,16.00,10803,1.74
13-Sep-2011,15.95,16.80,15.95, 16.70,16.20,14225,2.33
12-Sep-2011,16.30,16.85,16.10, 16.10,16.15,9951,1.61
09-Sep-2011,16.65,17.40,16.50, 16.50,16.75,10957,1.85
08-Sep-2011,16.90,17.25,16.10, 17.25,16.85,14427,2.41
07-Sep-2011,16.40,16.65,16.05, 16.50,16.40,13008,2.13
06-Sep-2011,15.50,16.50,15.50, 16.00,15.90,12062,1.92
05-Sep-2011,16.50,16.50,15.55, 16.00,16.15,11355,1.82
02-Sep-2011,14.70,16.95,14.70, 16.70,16.50,271360,44.71
30-Aug-2011,15.00,15.35,14.70, 15.10,15.10,10655,1.60
29-Aug-2011,14.50,15.40,14.50, 15.25,15.00,11038,1.66
26-Aug-2011,14.50,15.65,14.35, 14.45,14.50,28872,4.32
25-Aug-2011,15.40,15.95,14.90, 15.00,15.10,28793,4.44
24-Aug-2011,14.20,17.00,14.20, 15.60,15.85,161675,24.28
23-Aug-2011,14.90,14.90,13.80, 14.40,14.40,49293,7.09
22-Aug-2011,15.00,15.00,13.50, 14.35,14.05,54194,7.58
19-Aug-2011,14.60,15.30,14.45, 15.15,14.85,17389,2.55
18-Aug-2011,15.90,15.90,15.05, 15.15,15.20,18969,2.92
17-Aug-2011,17.00,17.05,15.60, 15.80,15.90,8905,1.43
16-Aug-2011,17.30,17.30,16.25, 16.75,16.60,20590,3.47
12-Aug-2011,16.70,17.50,16.50, 16.70,16.65,8742,1.48
11-Aug-2011,16.50,17.50,16.50, 17.15,16.95,8897,1.51
10-Aug-2011,17.15,17.45,16.70, 16.95,17.10,13010,2.23
09-Aug-2011,14.50,17.30,14.50, 16.45,16.45,50211,8.41
08-Aug-2011,17.80,17.80,16.95, 17.20,17.05,34423,5.93
05-Aug-2011,16.50,18.50,15.20, 18.05,18.20,122832,21.42
04-Aug-2011,18.50,18.50,16.85, 17.00,17.10,51600,8.98
03-Aug-2011,16.10,18.25,16.10, 18.10,17.85,36126,6.35
02-Aug-2011,19.50,19.50,15.60, 18.50,18.15,41490,7.47
01-Aug-2011,19.30,20.00,19.05, 19.35,19.40,18501,3.60
29-Jul-2011,20.15,20.15,19.50, 19.85,19.70,15725,3.13
28-Jul-2011,20.50,20.60,19.80, 20.25,20.15,26327,5.28
27-Jul-2011,20.90,21.35,20.45, 20.45,20.60,20508,4.26
26-Jul-2011,21.50,21.70,20.70, 20.95,21.05,23449,4.97
25-Jul-2011,21.65,21.75,21.00, 21.60,21.40,14980,3.20
22-Jul-2011,21.95,22.65,21.40, 21.50,21.55,23874,5.25
21-Jul-2011,21.85,23.85,21.40, 21.75,21.85,95466,21.69
20-Jul-2011,21.60,22.00,21.30, 21.60,21.55,12956,2.81
19-Jul-2011,22.00,22.00,21.55, 21.70,21.80,13592,2.96
18-Jul-2011,21.95,22.00,21.45, 21.80,21.85,11299,2.47
15-Jul-2011,24.00,24.00,21.45, 21.50,21.55,24684,5.35
14-Jul-2011,21.40,21.95,21.40, 21.70,21.65,14276,3.09
13-Jul-2011,21.70,22.20,21.50, 21.60,21.60,11698,2.56
12-Jul-2011,21.55,22.20,21.55, 21.65,21.70,11001,2.40
11-Jul-2011,21.90,22.30,21.60, 21.60,21.80,10775,2.37
08-Jul-2011,22.45,22.75,22.00, 22.10,22.15,31260,6.99
07-Jul-2011,22.30,22.75,22.25, 22.40,22.40,15329,3.45
06-Jul-2011,21.90,23.50,21.50, 22.50,22.45,47328,10.74
05-Jul-2011,22.10,22.25,21.60, 21.70,21.80,13098,2.86
04-Jul-2011,21.30,22.40,21.30, 22.40,22.25,25766,5.70
