Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,13.50,13.70,13.50, 13.50,13.50,42454,5.73
29-Dec-2011,14.40,15.25,14.20, 14.20,14.20,182521,26.08
28-Dec-2011,14.25,14.95,14.25, 14.95,14.95,106063,15.76
27-Dec-2011,13.90,14.25,13.40, 14.25,14.25,72900,10.27
26-Dec-2011,13.20,13.85,13.10, 13.60,13.60,41157,5.58
23-Dec-2011,13.00,13.40,12.90, 13.10,13.20,29381,3.86
22-Dec-2011,12.50,13.00,12.25, 12.85,12.90,57079,7.16
21-Dec-2011,12.80,12.95,12.50, 12.95,12.85,58342,7.46
20-Dec-2011,13.00,13.05,12.30, 12.30,12.35,41893,5.26
19-Dec-2011,13.40,13.40,12.70, 12.95,12.95,72235,9.31
16-Dec-2011,13.55,14.10,13.35, 13.35,13.35,40649,5.54
15-Dec-2011,14.05,14.50,14.00, 14.00,14.05,51343,7.22
14-Dec-2011,14.40,15.35,14.40, 14.70,14.70,41648,6.21
13-Dec-2011,14.90,15.10,14.25, 14.60,14.65,69503,10.13
12-Dec-2011,15.75,15.75,15.00, 15.00,15.00,69842,10.56
09-Dec-2011,16.05,16.50,15.60, 15.60,15.75,77256,12.40
08-Dec-2011,15.50,16.10,15.20, 16.10,16.05,79792,12.75
07-Dec-2011,15.10,15.60,15.10, 15.45,15.35,35927,5.52
05-Dec-2011,15.35,15.65,15.00, 15.55,15.45,36525,5.62
02-Dec-2011,15.00,15.45,14.90, 15.40,15.35,51882,7.89
01-Dec-2011,15.70,15.70,14.95, 15.45,15.25,63917,9.76
30-Nov-2011,15.00,15.90,14.95, 15.00,15.10,47176,7.18
29-Nov-2011,16.30,16.30,15.50, 15.70,15.60,54732,8.59
28-Nov-2011,17.40,17.50,16.05, 16.25,16.10,89759,15.00
25-Nov-2011,15.25,16.75,15.25, 16.75,16.75,64928,10.77
24-Nov-2011,16.00,16.35,15.50, 16.00,15.95,80601,12.80
23-Nov-2011,16.30,16.75,16.25, 16.25,16.25,59944,9.77
22-Nov-2011,17.25,18.00,17.10, 17.15,17.10,114394,19.76
21-Nov-2011,17.95,19.10,17.95, 17.95,18.00,273288,50.04
18-Nov-2011,18.90,19.00,18.90, 18.90,18.90,16573,3.13
17-Nov-2011,19.85,20.40,19.85, 19.85,19.85,48159,9.58
16-Nov-2011,21.05,21.05,20.85, 20.85,20.85,16729,3.49
15-Nov-2011,23.90,23.95,21.95, 21.95,21.95,103638,23.40
14-Nov-2011,22.60,23.10,22.50, 23.10,23.10,96066,22.09
11-Nov-2011,21.10,22.00,20.25, 22.00,22.00,283975,61.07
09-Nov-2011,21.25,21.90,20.80, 20.85,20.95,173577,36.76
08-Nov-2011,21.10,22.50,21.10, 21.70,21.65,214932,47.03
04-Nov-2011,22.15,23.90,22.15, 22.15,22.15,569766,130.44
03-Nov-2011,23.45,23.95,23.30, 23.30,23.30,35738,8.33
02-Nov-2011,24.50,25.00,24.50, 24.50,24.50,78867,19.35
01-Nov-2011,26.10,26.50,25.75, 25.75,25.75,101993,26.36
31-Oct-2011,28.10,28.95,27.10, 27.10,27.10,268474,73.75
28-Oct-2011,29.45,29.50,27.00, 28.25,28.50,1142739,325.74
26-Oct-2011,27.20,29.45,27.20, 27.30,28.35,1079606,303.12
25-Oct-2011,30.20,30.20,30.20, 30.20,30.20,50267,15.18
24-Oct-2011,33.55,33.55,33.55, 33.55,33.55,74503,25.00
21-Oct-2011,37.25,37.25,37.25, 37.25,37.25,549154,204.56
20-Oct-2011,46.55,46.55,46.55, 46.55,46.55,66602,31.00
19-Oct-2011,157.00,184.30,39.10, 39.10,58.15,53644144,61563.77
