Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,215.00,216.00,211.85, 212.95,212.50,162577,347.87
29-Dec-2011,211.70,216.80,211.00, 214.45,213.05,323390,690.22
28-Dec-2011,212.00,212.95,210.00, 211.10,211.25,93572,197.77
27-Dec-2011,215.00,217.30,209.10, 211.90,211.05,175915,376.29
26-Dec-2011,209.10,214.95,208.00, 214.40,214.25,223175,475.51
23-Dec-2011,206.30,211.00,206.05, 208.25,207.40,67259,140.01
22-Dec-2011,212.70,212.70,203.70, 208.35,209.35,81486,170.62
21-Dec-2011,213.00,215.90,208.10, 212.10,212.75,190909,405.39
20-Dec-2011,209.85,216.85,205.75, 209.70,211.10,665881,1410.27
19-Dec-2011,201.05,208.00,199.10, 206.20,207.25,306915,626.94
16-Dec-2011,205.00,208.15,199.50, 202.50,201.15,411392,842.14
15-Dec-2011,197.00,205.50,193.70, 205.00,203.00,210527,420.14
14-Dec-2011,195.00,199.00,193.05, 196.00,197.85,465030,919.34
13-Dec-2011,185.40,192.40,185.35, 192.40,190.90,71605,135.46
12-Dec-2011,188.10,193.50,188.00, 188.50,188.95,65306,124.11
09-Dec-2011,188.00,192.85,187.00, 189.70,190.50,88694,169.27
08-Dec-2011,197.90,197.90,190.00, 190.20,190.90,81015,155.47
07-Dec-2011,196.90,200.00,195.00, 195.00,196.65,118498,233.91
05-Dec-2011,196.30,199.95,194.50, 199.95,199.20,68032,135.20
02-Dec-2011,196.95,197.85,190.55, 197.50,196.80,63990,125.12
01-Dec-2011,193.95,200.80,192.20, 193.50,193.30,225848,444.52
30-Nov-2011,191.65,195.00,186.20, 192.45,191.60,93418,178.44
29-Nov-2011,190.00,193.90,188.65, 191.45,191.25,158571,304.13
28-Nov-2011,182.30,193.50,182.30, 192.00,192.60,99997,190.34
25-Nov-2011,182.00,187.40,180.00, 186.25,186.40,88974,164.86
24-Nov-2011,182.70,184.40,176.00, 181.00,182.05,420366,759.17
23-Nov-2011,188.90,188.90,179.40, 179.40,180.70,126696,232.31
22-Nov-2011,187.00,189.00,185.10, 188.50,187.85,109874,206.03
21-Nov-2011,184.00,193.60,183.80, 186.40,187.40,287375,545.81
18-Nov-2011,189.00,189.00,184.15, 184.70,186.20,78523,145.76
17-Nov-2011,190.00,195.00,185.15, 185.25,188.00,117820,225.67
16-Nov-2011,189.90,195.00,181.15, 193.95,192.30,210662,396.05
15-Nov-2011,194.55,195.90,187.10, 187.90,189.15,149911,288.65
14-Nov-2011,200.00,202.00,193.55, 195.60,194.50,257145,507.72
11-Nov-2011,185.15,202.25,185.15, 195.00,196.30,929661,1839.29
09-Nov-2011,187.90,192.00,184.95, 185.70,187.20,398396,755.64
08-Nov-2011,188.15,188.90,185.25, 186.80,186.80,112082,210.15
04-Nov-2011,185.85,189.80,185.85, 187.20,187.75,130103,244.67
03-Nov-2011,187.00,187.50,184.05, 186.60,185.85,85141,157.95
02-Nov-2011,183.80,187.75,183.80, 185.25,186.05,46533,86.75
01-Nov-2011,166.65,191.70,166.65, 185.85,185.70,112693,212.03
31-Oct-2011,190.00,191.45,188.20, 188.75,189.10,212788,403.88
28-Oct-2011,188.00,189.45,184.10, 188.55,188.65,210368,394.23
26-Oct-2011,184.45,188.35,181.55, 185.60,185.55,21889,40.50
25-Oct-2011,182.60,184.45,181.05, 183.00,183.20,266423,487.43
24-Oct-2011,184.00,186.40,181.10, 183.35,182.90,88780,162.74
21-Oct-2011,182.95,185.80,181.50, 183.00,183.00,206275,377.68
20-Oct-2011,186.00,187.35,182.35, 182.55,183.00,217945,400.52
19-Oct-2011,186.10,187.45,185.15, 185.30,186.15,199790,373.11
18-Oct-2011,189.70,190.60,184.10, 184.85,184.85,208216,387.44
17-Oct-2011,190.10,194.60,186.65, 191.30,190.85,310127,587.89
14-Oct-2011,180.70,185.85,180.00, 184.10,184.25,198608,365.63
13-Oct-2011,184.40,185.90,181.40, 182.00,182.25,142755,261.97
12-Oct-2011,183.00,184.65,181.30, 183.00,183.20,126158,230.47
11-Oct-2011,187.10,190.00,181.05, 182.25,182.10,222980,414.76
10-Oct-2011,182.20,187.80,179.50, 186.40,186.35,105310,194.03
07-Oct-2011,180.65,183.90,180.05, 181.80,182.00,89882,163.34
05-Oct-2011,176.00,182.00,176.00, 179.00,179.55,115213,207.35
04-Oct-2011,182.35,186.10,179.05, 180.00,179.95,227174,412.04
03-Oct-2011,185.00,185.80,182.05, 183.60,184.30,82697,152.60
30-Sep-2011,189.95,192.20,185.15, 185.25,186.35,153321,288.75
29-Sep-2011,188.80,191.00,185.60, 189.50,187.30,737856,1381.75
28-Sep-2011,197.95,197.95,188.10, 189.80,189.55,140140,269.48
27-Sep-2011,191.00,197.00,191.00, 195.95,194.90,150842,293.27
26-Sep-2011,192.60,192.65,187.00, 190.40,190.00,142450,269.89
23-Sep-2011,192.00,193.95,189.10, 192.00,192.05,186607,357.06
22-Sep-2011,202.90,202.90,191.75, 194.25,192.95,252858,492.61
21-Sep-2011,204.45,207.00,202.05, 202.50,202.90,157889,321.51
20-Sep-2011,203.10,205.00,201.00, 204.00,204.35,100997,206.16
19-Sep-2011,203.50,205.00,200.55, 203.40,203.20,72695,147.61
16-Sep-2011,205.50,207.00,203.00, 203.20,204.25,47780,97.78
15-Sep-2011,204.75,206.10,202.30, 205.50,205.10,136711,279.95
14-Sep-2011,202.30,205.00,200.20, 204.90,204.60,86488,175.39
13-Sep-2011,204.90,208.50,199.15, 202.95,201.55,142868,289.95
12-Sep-2011,200.00,206.40,179.00, 201.00,201.30,109380,221.03
09-Sep-2011,209.85,213.70,206.10, 206.30,207.20,269952,568.59
08-Sep-2011,208.95,208.95,205.00, 208.90,207.50,138332,286.49
07-Sep-2011,209.65,209.65,203.05, 205.00,205.00,209253,429.46
06-Sep-2011,201.95,203.00,198.55, 202.50,202.40,70025,140.91
05-Sep-2011,201.00,202.95,199.60, 202.00,201.95,55198,111.12
02-Sep-2011,203.30,207.35,201.00, 203.00,203.65,97729,200.05
30-Aug-2011,204.55,206.00,202.40, 203.00,203.30,161455,328.98
29-Aug-2011,192.10,204.50,192.10, 201.35,200.50,261445,524.07
26-Aug-2011,197.15,199.00,187.25, 194.00,190.05,122953,238.81
25-Aug-2011,201.00,202.95,194.25, 199.00,197.00,1235482,2430.29
24-Aug-2011,199.95,204.20,198.05, 198.85,199.25,172397,348.22
23-Aug-2011,199.00,201.40,196.55, 200.15,200.10,239962,480.33
22-Aug-2011,191.00,198.00,190.05, 198.00,197.00,225669,437.70
19-Aug-2011,191.40,200.90,185.10, 188.25,189.50,213728,409.93
18-Aug-2011,204.00,204.65,191.40, 191.40,195.10,149807,296.95
17-Aug-2011,202.70,207.35,200.10, 202.90,201.40,107428,218.03
16-Aug-2011,210.35,210.35,203.05, 203.55,204.35,119260,246.35
12-Aug-2011,235.00,235.00,205.00, 205.75,207.25,282812,602.78
11-Aug-2011,210.00,220.00,210.00, 216.80,216.50,953414,2058.84
10-Aug-2011,203.00,205.45,198.45, 202.00,201.60,195313,395.29
09-Aug-2011,198.65,204.00,191.05, 199.00,199.45,260533,518.40
08-Aug-2011,206.00,208.45,200.30, 205.00,204.55,123325,252.35
05-Aug-2011,202.95,211.10,200.00, 206.70,206.90,166063,340.89
04-Aug-2011,217.10,221.50,211.05, 211.90,212.50,113164,245.30
03-Aug-2011,213.80,217.30,204.25, 215.20,216.25,181205,385.46
02-Aug-2011,221.10,223.40,213.10, 213.90,213.90,120202,260.04
01-Aug-2011,226.85,227.70,222.25, 223.05,223.50,161534,363.13
29-Jul-2011,219.30,227.05,218.30, 222.50,222.70,265769,592.15
28-Jul-2011,229.05,229.90,218.30, 220.05,220.70,488729,1090.88
27-Jul-2011,226.95,230.85,222.50, 230.00,228.55,265973,601.51
26-Jul-2011,234.00,234.40,224.60, 226.25,225.60,438418,1003.61
25-Jul-2011,222.95,234.30,220.50, 231.20,232.65,776715,1780.25
22-Jul-2011,216.00,221.90,216.00, 220.00,220.40,169809,373.12
21-Jul-2011,213.15,219.90,213.00, 216.05,216.25,165447,358.62
20-Jul-2011,216.00,217.10,213.25, 215.20,215.00,243358,523.75
